No Document,Description,W,Keyword W,Keyword BOW,Keyword Gabung,hasilW,Kemiripan,True Positif,True Negative
0,polisi mengungkap beredarnya rekaman tim gabungan polres sambas direktorat reserse kriminal khusus terkait viral video media sosial melibatkan anggota dprd kabupaten sambas tanggal september polres sambas menerima laporan dugaan tindak pidana pemerasan dugaan tindak pidana ite kabid humas polda kalbar kombes donny charles go senin tersangka pemerasan warga binaan lembaga pemasyarakatan lapas kelas ii a pontianak polisi menyelidiki nomor petugas pencarian nomor penyelidikan polisi mendapati berinisial a warga pontianak lapas kelas ii a pontianak agustus keterangan a mengaku hp miliknya dipinjam g teman selnya lapas berkoordinasi lapas ii a pontianak petugas memeriksa g polisi narapidana warga sambas mengakui menyuruh pelaku d menghubungi korban diajak pelaku berinisial g lapas merencanakan pemerasan menyuruh rekannya berinisial d menghubungi korban,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['mengungkap'],[0.17334381], , 
1,polda metro jaya mengungkap penembakan peristiwa jumat wib tkp kantor pjr induk jaya pesanggrahan jaksel kabid humas polda metro jaya kombes zulpan wartawan polda metro jaya jakarta selasa zulpan kejadian mengakibatkan akibat penembakan mengakibatkan orang korban luka tembak kejadian korban akibat penembakan korban mengalami luka dibawa rs pelni dipindahkan rs kramat jati penanganan selang korban nama pp meninggal dunia zulpan pelaku penembakan pelakunya ipda os,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['wib', 'mengungkap']",[0.17609018], , 
2,polisi menangkap pria tempat tersangka pencurian amankan pelaku pencurian kekerasan curas pelaku pencurian pemberatan curat kapolres labuhanbatu akbp anhar arlia rangkuti wartawan rabu anhar orang pelaku curas orang pelaku curas curat pelaku ditangkap bs warga kotapinang ditangkap selasa kemarin bs pelaku pencurian rumah maya sari harahap warga kotapinang rabu curat pelaku ditangkap jsa warga aek kanopan ditangkap selasa kemarin mencuri isi warung milik bu manurung warga aek kanopan kotapinang tersangka mencuri uang senilai rp juta unit hp milik korban aek kanopan tersangka mencuri barang dagangan isi warung milik korban anhar curas tersangka ditangkap am warga rantau utara rvv warga rantau selatan merampas menjambret tersangka ditangkap polisi apn warga bilah barat temannya buron ap penjambretan pasangan suami istri jalan nenas rantauprapat januari curas modus dipakai pelaku memepet langsung merampas milik korbannya sepeda motor pelaku korban sepeda motor imbuh anhar terpisah kasat reskrim polres labuhanbatu akp rusdi marzuki pelaku ditangkap apn residivis tertangkap apn berulang kali aksi tempat tersangka apn dalami keterlibatan nya terlibat rusdi pelaku curat polisi menjerat tersangka pasal ayat pelaku curas polisi menjerat pasal ayat kesatu kuhp subsider pasal ayat keempat kuhp pencurian kekerasan,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'korbannya']",[0.41866242], , 
3,kepala smpn berinisial sa suwata sa teledor video call orang dikenal facebook vcs panggil infonya pemerasan kemarin info madiun uang ganti nomor rp juta penelpon laki laki suwata dikonfirmasi kamis suwata menyebut kepala sekolah korban percobaan pemerasan sa video call teman perempuan dikenal facebook bersangkutan kenal ndak kenal facebook kenalnya video call terkait percobaan pemerasan suwata kepala sekolah pelaporan percobaan pemerasan berhenti imbuhnya diberitakan gambar hasil tangkapan layar beredar aplikasi percakapan warga magetan gambar tangkapan layar posting an facebook posting an foto salah satunya gambar profil akun facebook berinisial sa foto pria telanjang dada posting an narasi sa pelaku video call sex vcs sa kepala smpn magetan,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['diberitakan'],[0.08720414], , 
4,polisi menetapkan penyanyi dangdut alasannya menghilangkan trauma sakit bersangkutan mengalami kdrt suaminya kabid humas polda metro jaya kombes e zulpan senin zulpan velline mengaku mengalami kdrt suaminya suaminya menghilangkan trauma narkotika jenis sabu zulpan akibat perbuatannya velline chu ditetapkan tersangka narkoba dijerat pasal berlapis pasal dipersangkakan terkait undang undang narkotika pasal ayat subsider pasal ayat huruf a,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",[],[0.10259784], , 
5,anjanii bee tewas silam berselang publik digegerkan peristiwa penemuan mayat nanay berlyn semak semak kawasan arcamanik kamis nanay berlyn anjanii bee tewas dibunuh berdasarkan keterangan kepolisian identifikasi proses autopsi wanita muda tewas luka tubuh leher disinyalir penyebab utama tewas ditambah luka tubuh kaki leher lukanya kasat reskrim polrestabes bandung akbp rudi trihandoyo dikonfirmasi berbeda nanay berlyn tim inafis polres cimahi ditemukannya mayat anjanii bee langsung menggelar olah tempat kejadian perkara tkp menemukan luka tubuh anjanii mengarah tindakan kekerasan ditemukan luka leher kepala luka wajah luka sayatan lehernya kapolres cimahi akbp m yoris maulana yusuf marzuki anjanii bee nanay berlyn tewas dibunuh memiliki kesamaan mayat gadis muda dibuang pembunuhnya ditemukan menggegerkan publik mayat anjanii bee ditemukan selokan hotel jalan raya lembang bandung barat mayat gadis subang ditemukan pemulung melintas lokasi penemuan mayat ditemukan mayat anjanii bee dibungkus kain sprei dibalut plastik berwarna hitam ditemukan mengenakan celana polisi menemukan indikasi korban diperkosa pola penemuan mayat nanay berlyn persis anjanii bee jasad nanay berlyn ditemukan semak belukar kawasan arcamanik kota bandung salah warga saksi penemuan mayat nanay berlyn irma mariana penemuan mayat pergi warung wib warung pas rumah kompor dimatiin pas lihat gundukan sampah baju pas kakinya irma nanay berlyn anjanii bee memiliki tato binatang tubuh tato polisi berhasil mengidentifikasi identitas mayat anjanii bee ditemukan tato bergambar burung hantu tulisan fu k my life lengannya ciri mencolok situ polisi mencari korban mengantongi identitas apapun nanay berlyn memiliki tato binatang salah satunya tato kucing kaki kanan korban tato tubuh korban gambar kucing kasat reskrim polrestabes bandung akbp rudi trihandoyo,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'wib', 'saksi']",[0.04600437], , 
6,pria berkaus peristiwa rumah ny simanjuntak kelurahan rambutan kecamatan ciracas jakarta timur wib pemilik rumah pergi melayat pulang pemakaman pemilik menjemur selimut pagar rumahnya rumah mendapati nggak tetangga pelaku terekam kamera cctv lingkungan tempat tinggalnya pelaku memakai kupluk kaus rekaman cctv pelaku celingak celinguk menarik selimut dijemur pagar korban pencurian wilayah kali korban pelaku pencurian korban,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['wib', 'tetangga', 'mata']",[0.36514837], , 
7,tim satgas cartenz papua damai berhasil mengevakuasi jenazah karyawan pt palapa timur telematika ppt dibunuh teroris kelompok kriminal bersenjata jenazah berhasil dievakuasi senin lokasi pembantaian tower bts b distrik beoga puncak dibunuh sadis rabu ditulis kamis evakuasi dipimpin ka ops cartenz papua damai kombes muhammad firman direskrimum polda papua kombes rizal ramdhani kapolres mimika akbp i gusti gde era adhinata helikopter diberangkatkan mengevakuasi jenazah helikopter mengangkut kantong jenazah helikopter pasukan pengamanan beoga tim menerbangkan jenazah helikopter distrik sugapa kabupaten intan jaya sugapa kantong jenazah dinaikkan pesawat perintis rimbun air diterbangkan bandara mozes kilangin timika jenazah proses identifikasi rsud mimika penjagaan ketat polisi bersenjata lengkap pagar portal kamar jenzah terbuka ditutup rapat jenazah dibawa ruang identifikasi berdiri tenda spanduk bertuliskan posko operasi damai cartenz evakuasi korban kekerasan kkb beoga kabupaten puncak tenda khusus medis identifikasi pemulasaran rsud mimika tim proses identifikasi pemulasaran jenazah karyawan ptt siapkan tim dokter siapkan meja petugas medis humas rsud mimika lucky mahakena senin identitas lengkap jenazah karyawan pt ptt korban pembantaian kkb,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",[],[0.], , 
8,polres merauke rumah tangga berinisial h melaporkan pemerkosaan mapolres merauke senin laporan teregister nomor lp b i spkt res mrke polda papua tanggal januari persetubuhan anak umur polisi penyelidikan rumah pelaku ha kampung jaya makmur kabupaten merauke digeledah hasilnya polisi menemukan bahan peledak terduga pelaku kapolres merauke akbp untung sangaji angkat bicara terkait membenarkan pemerkosaan umur dilaporkan senin tanggal januari jam wit berdasarkan laporan waktu kejadian persetubuhan anak umur korban kelas smp januari akbp untung senin akbp untung penangkapan pelaku ditemukan bahan peledak buah granat manggis magasin amunisi barang bukti pelaku mengancam korban pelaku mengancam korban dibunuh melaporkan tindakannya untung pengakuan paman korban korban diperkosa pelaku korban diancam dibunuh granat melaporkan tindakan pemerkosaan pengakuan korban pakdenya korban diancam granat untung pelaku terancam hukuman maksimal penjara,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['aksi'],[0.31722063], , 
9,polisi mengungkap tersangka lelih mawali wanita kabid humas polda metro jaya kombes zulpan tersangka lelih perempuan mengenal hn perempuan lelih korban fiky laki laki berpacaran hn pujaan hatinya tersangka lelih pembiayaan hidup hn juragan kontrakan kontrakannya polisi motif tersangka lelih membunuh fiky tersangka penyuka sejenis motif melatarbelakangi kejahatan pelaku utama saudari lm diduga memiliki kelainan seksual bersangkutan lesbi cemburu korban ff korban ff menjalin hubungan saksi hn zulpan zulpan tersangka lelih memiliki hubungan spesial wanita inisial hn hubungan lelih wanita hn terjalin pelaku lm memiliki hubungan spesial khusus saksi hn pengakuannya hubungan pacar saudari lm pelaku utama hn jadikan saksi korban ff menimbulkan kecemburuan,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'diduga', 'kejahatan', 'saksi', 'mengungkap']",[0.34126182], , 
