tingkat setelah parent,parent,similarity
1,adi,"[('darmawan', 0.6864727139472961), ('sugeng', 0.6773820519447327), ('santosa', 0.6738067269325256), ('wirawan', 0.6735242605209351), ('nugraha', 0.6698528528213501), ('putro', 0.6685884594917297), ('sucipto', 0.6684108376502991), ('nugroho', 0.6659624576568604), ('wicaksono', 0.6641518473625183), ('setyo', 0.6626697182655334)]"
2,darmawan,"[('setyo', 0.867649495601654), ('wicaksono', 0.8615152835845947), ('budiono', 0.8554459810256958), ('prasetyo', 0.8551371693611145), ('santosa', 0.852035403251648), ('wahyudi', 0.8486183881759644), ('setyawan', 0.8485000133514404), ('permana', 0.8467380404472351), ('wibisono', 0.8429157137870789), ('rahmad', 0.8424906730651855)]"
2,sugeng,"[('heri', 0.854465126991272), ('wahyudi', 0.8516450524330139), ('setyo', 0.8490751385688782), ('dedy', 0.8377072215080261), ('heru', 0.8360087871551514), ('edy', 0.8298821449279785), ('herry', 0.829495370388031), ('dedi', 0.8271963000297546), ('nurhadi', 0.826898992061615), ('supardi', 0.8262073993682861)]"
2,santosa,"[('permana', 0.8566052317619324), ('darmawan', 0.8520352840423584), ('cahyono', 0.8494649529457092), ('prasetyo', 0.8436547517776489), ('budiono', 0.8434889316558838), ('setyawan', 0.8391789793968201), ('dedy', 0.8378195762634277), ('hery', 0.8348215222358704), ('sapto', 0.8311839699745178), ('sugeng', 0.8256270289421082)]"
2,wirawan,"[('wicaksono', 0.8491998314857483), ('permana', 0.8421619534492493), ('darmawan', 0.8333309292793274), ('yudi', 0.8240315318107605), ('hermawan', 0.8233007788658142), ('kurniawan', 0.8197100162506104), ('prasetyo', 0.8183966279029846), ('setyo', 0.8168063163757324), ('indrawan', 0.8163883686065674), ('wibowo', 0.8126556873321533)]"
2,nugraha,"[('wicaksono', 0.8018907308578491), ('permana', 0.787116289138794), ('santosa', 0.7853096723556519), ('darmawan', 0.7830314040184021), ('prasetya', 0.7811643481254578), ('yudi', 0.7777460217475891), ('kurnia', 0.7690712809562683), ('setyawan', 0.7680510878562927), ('adhi', 0.7628392577171326), ('prasetyo', 0.7614636421203613)]"
2,putro,"[('setyo', 0.855459988117218), ('prasetyo', 0.8477587699890137), ('cahyono', 0.8430573344230652), ('siswanto', 0.8325681090354919), ('wicaksono', 0.8265449404716492), ('setyawan', 0.8259602785110474), ('wahyudi', 0.8252081871032715), ('darmawan', 0.8193077445030212), ('dedi', 0.8187488317489624), ('sugeng', 0.8187211751937866)]"
2,sucipto,"[('sutjipto', 0.8388501405715942), ('sumarmo', 0.7748014330863953), ('siswanto', 0.766365647315979), ('soemarmo', 0.7538151741027832), ('wicaksono', 0.7526730298995972), ('wahyudi', 0.7468643188476562), ('rahmad', 0.736383318901062), ('mochammad', 0.7353616952896118), ('putro', 0.7306265234947205), ('ramdani', 0.7305809855461121)]"
2,nugroho,"[('sasongko', 0.801034152507782), ('prasetyo', 0.7973636984825134), ('setyo', 0.7962407469749451), ('budiono', 0.7921239733695984), ('herry', 0.7887430191040039), ('sarwono', 0.7878064513206482), ('eko', 0.7850716710090637), ('setiadi', 0.7835865020751953), ('yudi', 0.7799832224845886), ('purnomo', 0.7780693173408508)]"
2,wicaksono,"[('prasetyo', 0.8969975709915161), ('setyawan', 0.8781652450561523), ('permana', 0.8698651194572449), ('yudi', 0.8651787042617798), ('hermawan', 0.8650824427604675), ('darmawan', 0.8615154027938843), ('wahyudi', 0.8590142130851746), ('wibisono', 0.8559813499450684), ('setyo', 0.8530845046043396), ('wirawan', 0.8491998910903931)]"
2,setyo,"[('wahyudi', 0.8911815285682678), ('prasetyo', 0.8781864047050476), ('herry', 0.876908004283905), ('purwanto', 0.8759926557540894), ('sigit', 0.8697059750556946), ('hery', 0.8693933486938477), ('haryadi', 0.8680665493011475), ('darmawan', 0.8676495552062988), ('purnomo', 0.8631929159164429), ('sapto', 0.8612668514251709)]"
3,budiono,"[('satrio', 0.8562764525413513), ('darmawan', 0.8554460406303406), ('hery', 0.8452804684638977), ('santosa', 0.8434889912605286), ('setyo', 0.8375612497329712), ('setyawan', 0.8323766589164734), ('wicaksono', 0.831927478313446), ('setiadi', 0.8301276564598083), ('yudi', 0.8286080360412598), ('singgih', 0.8263106346130371)]"
3,prasetyo,"[('wicaksono', 0.8969976902008057), ('setyawan', 0.8874848484992981), ('wahyudi', 0.8796584606170654), ('setyo', 0.8781862258911133), ('hermawan', 0.8737552762031555), ('sapto', 0.870456874370575), ('cahyono', 0.8566869497299194), ('yudi', 0.8556060791015625), ('darmawan', 0.855137050151825), ('permana', 0.8545991778373718)]"
3,wahyudi,"[('setyawan', 0.8926405310630798), ('setyo', 0.8911815881729126), ('prasetyo', 0.8796584606170654), ('heri', 0.8787182569503784), ('haryadi', 0.8765890002250671), ('hermawan', 0.8632521629333496), ('mochammad', 0.8593723177909851), ('wicaksono', 0.8590142130851746), ('edy', 0.8523707389831543), ('sugeng', 0.8516449928283691)]"
3,setyawan,"[('wahyudi', 0.8926405310630798), ('prasetyo', 0.8874847888946533), ('wicaksono', 0.8781653046607971), ('cahyono', 0.8623384237289429), ('setyo', 0.8588289022445679), ('setiadi', 0.857058584690094), ('hermawan', 0.8569361567497253), ('permana', 0.8568453788757324), ('darmawan', 0.8485000133514404), ('purnomo', 0.84377521276474)]"
3,permana,"[('wicaksono', 0.8698651194572449), ('kurnia', 0.8655573129653931), ('setyawan', 0.8568452000617981), ('santosa', 0.8566052913665771), ('prasetyo', 0.8545992970466614), ('darmawan', 0.8467380404472351), ('wirawan', 0.8421619534492493), ('yudi', 0.8420857191085815), ('setiawan', 0.8402206301689148), ('hermawan', 0.8365060091018677)]"
3,wibisono,"[('singgih', 0.856957197189331), ('hermawan', 0.856843113899231), ('wicaksono', 0.8559813499450684), ('setyo', 0.8533182144165039), ('prasetyo', 0.8449450135231018), ('darmawan', 0.8429157137870789), ('rully', 0.8358180522918701), ('yudi', 0.8296346068382263), ('ginanjar', 0.8290549516677856), ('setyawan', 0.8288201093673706)]"
3,rahmad,"[('darmawan', 0.842490553855896), ('siswanto', 0.8385204076766968), ('herry', 0.8258390426635742), ('setyo', 0.8240274786949158), ('prasetyo', 0.8228508234024048), ('wahyudi', 0.8201877474784851), ('setyawan', 0.8180418014526367), ('wicaksono', 0.809831440448761), ('cahyono', 0.8053255677223206), ('firmansyah', 0.8040878772735596)]"
3,heri,"[('hermawan', 0.8815047144889832), ('wahyudi', 0.8787182569503784), ('herry', 0.8633777499198914), ('setyo', 0.8580225110054016), ('sugeng', 0.854465126991272), ('haryadi', 0.8544310927391052), ('prasetyo', 0.8499659895896912), ('cahyo', 0.8451176285743713), ('cahyono', 0.8414754271507263), ('darmawan', 0.8394933342933655)]"
3,dedy,"[('setyo', 0.8459741473197937), ('wahyudi', 0.8414740562438965), ('dedi', 0.8390488028526306), ('santosa', 0.8378196954727173), ('sugeng', 0.8377072811126709), ('handoyo', 0.8324931859970093), ('herry', 0.8320316672325134), ('hermawan', 0.8315308690071106), ('suryana', 0.8263131380081177), ('hendri', 0.8259531259536743)]"
