,token,entity
0,endro,4195887728431377885
3,haryanto,4195887728431377885
4,budi,4195887728431377885
6,rekonstruksi,4195887728431377885
7,sulaiman,4195887728431377885
9,alias,4195887728431377885
10,spesifik,4195887728431377885
11,ardy,4195887728431377885
13,ryadi,4195887728431377885
14,muhammad,4195887728431377885
15,eka,4195887728431377885
16,faturahman,4195887728431377885
17,resmi,4195887728431377885
18,edi,4195887728431377885
19,susanto,4195887728431377885
21,afriandi,4195887728431377885
24,rheonald,4195887728431377885
26,rappocini,4195887728431377885
27,yani,4195887728431377885
32,yusuf,4195887728431377885
33,jamaluddin,4195887728431377885
35,khalil,4195887728431377885
36,agung,4195887728431377885
37,adnyana,4195887728431377885
38,andi,4195887728431377885
39,rekayasa,4195887728431377885
40,erwin,4195887728431377885
46,akhmad,4195887728431377885
51,drs,4195887728431377885
55,hendro,4195887728431377885
57,ahmad,4195887728431377885
58,fandi,4195887728431377885
65,yusantiyo,4195887728431377885
66,sandhy,4195887728431377885
77,sumarsono,4195887728431377885
78,abdul,4195887728431377885
80,agama,4195887728431377885
81,adat,4195887728431377885
84,hendri,4195887728431377885
86,aris,4195887728431377885
89,nasution,4195887728431377885
93,firman,4195887728431377885
94,muhalis,4195887728431377885
97,tomi,4195887728431377885
99,reski,4195887728431377885
100,eri,4195887728431377885
101,dasmi,4195887728431377885
104,ardika,4195887728431377885
112,noordianto,4195887728431377885
125,fitrayadi,4195887728431377885
126,syamsuardi,4195887728431377885
127,afhi,4195887728431377885
140,fahrun,4195887728431377885
141,affandi,4195887728431377885
159,rusdi,4195887728431377885
166,wibowo,4195887728431377885
167,amplas,4195887728431377885
171,wicaksono,4195887728431377885
172,rusuk,4195887728431377885
175,revianto,4195887728431377885
176,suradi,4195887728431377885
178,dharma,4195887728431377885
191,novri,4195887728431377885
196,sandy,4195887728431377885
199,rizkika,4195887728431377885
200,aulia,4195887728431377885
201,rafiqi,4195887728431377885
212,sales,4195887728431377885
217,supriyadi,4195887728431377885
218,ady,4195887728431377885
222,arsya,4195887728431377885
223,ricky,4195887728431377885
224,zulpan,4195887728431377885
227,fikri,4195887728431377885
228,suharto,4195887728431377885
229,sulistiyono,4195887728431377885
232,erna,4195887728431377885
233,ruswing,4195887728431377885
234,ferdy,4195887728431377885
