title,date,description,source
"
        6 Kios Terminal Lama Bojonegoro ludes Terbakar, Kerugian Capai Rp 22 Juta    ","Jumat, 28 Jan 2022 09:24 WIB",lokasi dikenal warga pasar ayam warung kios rumah pedagang enam kios lahan bekas terminal kamis 27 1 2022 malam mengagetkan warga kampung kelurahan karangpacar banjarejo tinggal lokasi kebakaran salah warga haris informasi titik api kebakaran berasal kompor ya kaget mas infonya terbakar kompor infonya listrik penyebabnya haris detikjatim jumat 28 1 2022 haris lokasi warung kios kebakaran terletak deretan sebelah barat dulunya kebakaran lokasi lokasi titik apinya berbeda deretan terbakar deretan sebelah barat terbakar deretan papar haris pedagang menghuni warga pasar ayam dianggap resmi legal pedagang ayam berjualan pasar ayam resmi pedagang ayam berjualan situ haris proses pemadaman petugas damkar pemkab bojonegoro selesai 01 20 wib mengerahkan 3 unit armada fire truk beserta 16 personel pos kota dibantu 2 unit truk water supply bpbd kebakaran meluluhlantakkan bangunan kayu kabid pemadaman penyelamatan damkar bojonegoro adi winarno penyebab kebakaran proses penyelidikan kerugian mencapai rp 22 juta akibat enam kios terbakar penyebab kebakaran proses penyelidikan aparat hukum kerugian 22 juta enam lapak terbakar haris,www.detik.com
"
        Gempa M 5,1 Guncang Enggano Bengkulu    ","Sabtu, 26 Feb 2022 07:09 WIB",berkekuatan magnitudo m 5 1 enggano bengkulu gempa kedalaman 18 kilometer badan meteorologi klimatologi geofisika berpotensi tsunami tulis infobmkg titik koordinat gempa tercatat 4 92 lintang selatan ls 101 72 bujur timur bt informasi berkaitan dampak akibat gempa,www.detik.com
"
        Sumbar Dilanda Gempa, BUMN Ikut Turun Tangan    ","Sabtu, 26 Feb 2022 18:58 WIB",gempa mengguncang wilayah sumatera barat kekuatan magnitudo 6 2 jumat 25 2 08 39 wib badan meteorologi klimatologi geofisika bmkg mencatat sumber gempa sumbar berlokasi 17 km timur laut pasaman barat kedalaman 10 km gempa memaksa warga mengungsi 5 000 warga mengungsi 35 titik sebaran titik pengungsian kecamatan talamau kecamatan pasaman kinali pendataan warga mengungsi pt jamkrindo berkolaborasi bumn menyalurkan bantuan kemanusiaan korban bencana gempa bumi provinsi sumatera barat dilaksanakan tanggal 26 februari 2022 direktur utama pt jamkrindo putrama wahju setyawan bantuan wujud kepedulian kontribusi perusahaan korban terdampak bencana sejalan program kegiatan tanggung sosial lingkungan pt jamkrindo hadir meringankan beban korban terkena musibah direktur utama pt jamkrindo putrama w setyawan sabtu 26 2 2022 bantuan diserahkan langsung koordinator satgas bencana bumn sumatera barat dibawah koordinasi pt kai pic satgas bumn sumbar bantuan terkumpul didistribusikan korban bencana alam pasaman barat moda transportasi kereta api jenis bantuan tahap barang kebutuhan sehari perlengkapan terpal ukuran 8 x12 tikar tikar busa beras air mineral galon air mineral 600 ml pop mie mie instan susu uht diapers tisu basah pembalut wanita bubur bayi selimut,www.detik.com
"
        Kandang Ayam di Blitar Ludes Terbakar, Pemilik Rugi Rp 400 Juta    ","Jumat, 28 Jan 2022 12:26 WIB",api melahap bangunan lantai berdinding anyaman bambu 06 00 wib kandang ayam milik ardi suseno 48 terletak dusun besukdowo rt 003 rw 001 desa ringinanom kecamatan udanawu kabupaten blitar korban kepulan asap area kandang ayam miliknya berukuran 10 x 60 meter lantai berisi 12 ribu ekor anak ayam area pembesaran ternak ayam dilengkapi alat pemanas bibit ayam doc bahan bakar elpiji 3 kg terpal sekam mudah terbakar dugaan area terbakar jatuhnya pemanas kandang bawahnya bahan mudah terbakar kondisi listrik kebakaran menyala terima laporan koordinasi petugas pemadam kebakaran dinding anyaman bambu abu atap rusak kapolsek udanawu akp anjun dikonfirmasi detikjatim jumat 28 1 2022 api berhasil dipadamkan 3 jam upaya pembasahan pendinginan petugas pemadam kebakaran polisi menemukan barang bukti delapan tabung elpiji 3 kg tabung lantai tabung lantai api menghanguskan isi ayamnya 11 ribu ekor terbakar dinding anyaman bambu terbakar atap rusak kerugian pemilik ditafsir rp 400 juta pungkasnya,www.detik.com
"
        Tewaskan 3 Orang, Begini Penampakan Terkini TKP Kebakaran di Tebet Jaksel    ","Sabtu, 29 Jan 2022 12:31 WIB",rumah kebon tebet jakarta selatan jaksel menewaskan orang rumah terbakar peristiwa pantauan sisa sisa bangunan terbakar berserakan lokasi ketua rt 3 kebon muslim menyebut orang tewas akibat kebakaran rumah terbakar unit meninggal orang suami istri orang temannya usia 40 muslim warga erni 44 kejadian pasar buru buru rumah menyelamatkan dokumen pas kejadian nggak lokasi pasar beli bahan jualan rumah anak ditelepon langsung pas langsung pulang erni pas langsung kebakaran diduga dipicu korsleting listrik korban tewas jamilah 40 madura maseroh 72 kumis 60 ketiga korban tewas dibawa rscm,www.detik.com
"
        Belasan Kapal di Pelabuhan Tegal Dilalap Api    ","Sabtu, 29 Jan 2022 11:26 WIB",13 kapal nelayan melaut terbakar 04 30 wib pelabuhan tegal jawa,www.detik.com
Indahnya Langit Pantai Pangandaran Memasuki Musim Kemarau,"Selasa, 28 Jul 2020 21:46 WIB",ayo share cerita pengalaman upload photo album travelingmu silakan memasuki musim kemarau langit pangandaran indah musim sisi keindahan pantai badan meteorologi klimatologi geofisika bmkg indonesia memasuki musim kemarau menjelang musim kemarau berlibur pantai langit cerah suasana petang menjelang matahari terbenam dramatis pencinta fotografi musim mengabadikan keindahan pantai cahaya kuning kuat menyapu hamparan pasir biru langit memantul air laut kontrasnya menyuguhkan panorama indah komunitas fotografi menjelang musim kemarau pengharapan nelayan musim kemarau panen jenis ikan salah nelayan mulyadi diawali musim ikan layang ikan sarden mulyadi kondisi laut lepas dingin musim kemarau ikan ikan bergerak pantai pantauan detikcom tingkat kunjungan wisatawan pantai pangandaran berangsur pulih ramainya kehadiran wisatawan kendati kerja pekan,www.detik.com
"
        Ketua RT: Rumah Terbakar di Tebet yang Tewaskan 3 Orang Dihuni Pemulung    ","Sabtu, 29 Jan 2022 13:37 WIB",menghanguskan rumah jl masjid 2 kebon tebet jakarta selatan menewaskan orang kebakaran diduga korsleting listrik pemicunya korsleting listrik meleduk api menjalar rumahnya lantainya lantai kayu dinding sekat sekat tripleks api cepat menjalar ketua rt 03 kebon muslim rumah terbakar kontrakan rumah dihuni pemulung diisi barang plastik kejadian api mudah menjalar lantaran banyaknya barang barang plastik botol air kemasan rumah pemulung situ dalamnya kardus gelas gelas air kemasan plastik plastik kena api cepat berbahaya rt lurah warga tinggal area diindahkan lantaran menyebut tinggal area bu lurah kasih larangan rumah dibersihkan ppsu kirim ppsu rw diberitakan rumah warga ludes terbakar pagi korsleting listrik akibat kejadian orang meninggal dunia orang dewasa suami istri kerabat orang meninggal suami istri temannya usia 40 muslim,www.detik.com
"
        Prakiraan Cuaca di Jatim, BMKG: Sedia Payung dan Jas Hujan    ","Rabu, 26 Jan 2022 08:15 WIB",kawasan surabaya raya kota surabaya sidoarjo gresik turun hujan intensitas ringan siang sore wilayah pantura daerah lamongan bojonegoro tuban turun hujan ringan sore daerah wisata kota batu mojokerto turun hujan ringan siang hujan deras turun malang lumajang jember situbondo bondowoso tulungagung pacitan siang sore kawasan madura raya hujan turun intensitas ringan siang sore daerah jatim turun hujan intensitas ringan detikers beraktivitas waspada detikers mengendarai roda lupa sedia payung jas,www.detik.com
"
        38 Rumah Terbakar, Begini Kondisi Permukiman Padat di Mangga Dua Jakpus    ","Jumat, 28 Jan 2022 12:44 WIB",puluhan rumah mangga selatan sawah jakarta pusat pantauan puluhan rumah terbakar berlokasi jalan pangeran jayakarta budi rahayu 1 mangga selatan sawah jakpus kondisi padatnya permukiman salah kendala petugas pemadam kebakaran damkar memadamkan api gerbang wilayah rw 09 jalanan memasuki lokasi kebakaran jalanan sepeda motor rumah rumah warga terbakar berdempetan kondisi diduga kebakaran api mudah merembet ketua rt 05 azwaruddin khusus rt 05 rumah terdampak rumah kos kosan rumah rumah alhamdulillah nggak korban jiwa azwaruddin ditemui lokasi ketua rt 06 nurjanah 22 rumah hangus wilayahnya mengaku kronologi kebakaran 22 rumah kayaknya ludes kebakar kejadiannya gak posisinya tidur dibangunin suami,www.detik.com
