title,date,description,source
Maling Motor Parlente di Pasuruan Gondol Motor Matik Pemilik Klinik,"Selasa, 15 Mar 2022 03:06 WIB","\-

Maling perlente beraksi di sebuah klinik bersalin di Kota Pasuruan. Pelaku
yang tampil necis itu berhasil menggondol motor matik milik pemilik klinik.

Pencurian itu terekam melalui CCTV klinik bersalin di Kelurahan Pohjentrek,
Kecamatan Purworejo, Kota Pasuruan. Dari video itu, terlihat pelaku mencuri
motor Honda Scoopy berwarna putih.

Salah satu tukang bangunan yang ada di lokasi, Ali Subhan mengatakan bahwa
dirinya tidak mengira kedua orang itu pencuri. Sebab, pelaku berpakaian rapi.

""Orangnya rapi. Saya kira tamu. Gerak-geriknya juga tidak mencurigakan,"" kata
Subhan, kepada , Senin (14/3/2022).

Aksi pencurian itu dilakukan Minggu (13/3/2022) pukul 10.00 WIB. Kronologinya
diawali dengan 2 pria yang datang ke klinik menggunakan motor Honda BeAT warna
hitam.

Seorang pelaku memakai kemeja putih dan tas dada dan pelaku lainnya memakai
jaket merah. Keduanya memakai helm berwarna merah dan tampak tenang saat
berada di tempat parkir motor.

Bahkan, 2 perempuan yang sempat keluar dari klinik tidak menaruh curiga dan
langsung pergi.

Saat tempat parkir sepi, pelaku beraksi menjebol kontak motor Scoopy putih.
Tidak butuh waktu lama, pelaku berhasil membawa kabur motor korban.

""Sudah dua kali pencurian motor di sini dalam sebulan ini,"" imbuh Subhan.

Namun, hingga saat ini, korban belum melaporkan kejadian tersebut pada pihak
kepolisian.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"2 Komplotan Maling Motor Asal Tangerang dan Lebak Diringkus, 19 Motor Disita","Selasa, 26 Apr 2022 16:55 WIB","\-

Polsek Neglasari meringkus dua komplotan pelaku pencurian sepeda motor
(curanmor). Dari dua komplotan ini, total 14 orang tersangka ditangkap dan
barang bukti motor curian sebanyak 19 unit motor berbagai jenis disita.

Kapolsek Neglasari Kompol Putra Pratama menjelaskan, komplotan pertama yang
ditangkap berasal dari Kampung Hamberang, Lebak, Banten. Total ada sembilan
orang tersangka dan 17 unit motor yang disita dari kelompok ini.

""Kelompok pertama ini total sementara ada sembilan orang tersangka yang kami
tangkap, semuanya berasal dari Kampung Hamberang, Lebak, Banten. Mereka
memiliki peran masing-masing yang terorganisir dan saling mendukung. Kami
masih belum berhasil menangkap tiga pelaku lainnya yang memiliki peran penting
sebagai pemetik motor,"" ucap Putra dalam keterangannya, Selasa (26/4/2022).

Menurutnya, total seluruh TKP pencurian motor dari komplotan ini sebanyak 32
lokasi, terbanyak di wilayah hukum Polsek Neglasari sebanyak 13 TKP. Beberapa
lokasi lainnya antara lain di Polsek Batu Ceper, Polsek Tangerang, Polrestro
Tangerang Kota, Polres Lebak, dan di beberapa lokasi wilayah hukum Polres
Bogor.

""Banyaknya TKP curanmor di wilayah kami merupakan bentuk kegagalan kami Polsek
Neglasari dalam upaya pencegahan terjadinya kejahatan. Sebagai cambuk bagi
kami, jajaran Polsek Neglasari untuk meningkatkan upaya preemtif dan preventif
dalam rangka meniadakan segala bentuk gangguan keamanan, menjaga keselamatan
harta benda masyarakat kami Kecamatan Neglasari,"" tuturnya.

Putra menyebut sembilan orang tersangka komplotan asal Hamberang terdiri atas
Bahtiar Rifai alias Eos (kapten sekaligus pemetik), Aditira alias Panjul
(pemetik), Wahyudi alias Yudi (joki), Saepul Imanul Hakim alias Upang (joki),
Tesha Agung Setiya Budi alias Conge (joki), Egi Muhamad Yani alias Yani
(joki), Yaya Sunarya alias Yayah (penadah), Joni Mahendra alias Jhon
(penadah), dan Ana Saputra alias Pokek (penadah).

Sementara itu, dari komplotan ini juga ada yang masih DPO bernama Sapri alias
Amang domisili di Jasinga, Bogor. DPO ini berperan sebagai pemetik yang saat
beraksi menggunakan jaket ojol, Devi alias Depidep (pemetik), dan Misbah alias
Mis (pemetik).

Selain komplotan asal Hamberang, Polsek Neglasari menangkap pelaku curanmor
kelompok lokal asal Neglasari dan sekitarnya. Barang bukti yang disita berupa
dua unit sepeda motor, dengan total 5 orang tersangka.

 _Simak selengkapnya di halaman selanjutnya..._

[Gambas:Video 20detik]

Selanjutnya __

Halaman

1  2

 ",www.detik.com
Pria di Dairi Nekat Habisi Oppungnya demi Perhiasan dan Uang,"Kamis, 26 Mei  2022 08:29 WIB","\-

Seorang pria di Kabupaten Dairi, bernama Rincon Manullang (42) diduga nekat
menghabisi Oppungnya atau nenek kandungnya demi menguasai perhiasan dan uang.
Tindakan biadab tersebut dilakukan Selasa (24/5/2022).

Kasat Reskrim AKP Rismanto J Purba mengatakan bahwa Rincon Manullang merupakan
warga Dusun Lumban Simbolon, Desa Dolok Tolong, Kecamatan Sumbul. Sementara
korban, Minta Siregar (97), warga Kecamatan Onan Ganjang, Humbang Hasundutan.

Rismanto menuturkan, pihak kepolisian menerima informasi adanya dugaan
pembunuhan. Dari laporan itu, personel bergerak melakukan penyelidikan.
Personel pun kemudian menangkap pelakunya yang tak lain merupakan cucu kandung
korban.

  

""Dengan waktu kurang dari 1 X 24 jam berhasil melakukan penangkapan terhadap
pelaku yang merupakan cucu dari korban,"" ujar Rismanto.  
Sesuai dengan pendalaman petugas, motif dari peristiwa itu, untuk menguasai
perhiasan dan uang milik korban.

Personel pun mencari dan berhasil menemukan barang bukti berupa satu buah
kalung emas, dua buah cincin emas, satu buah dompet, serta uang tunai sebesar
Rp 610 ribu.

""Barang bukti tersebut disembunyikan oleh pelaku di ladangnya yang berjarak
sekitar 4 KM dari lokasi kejadian dan hanya bisa ditempuh dengan berjalan kaki
dengan Medan menanjak juga curam,"" ujar Rismanto.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
"Korban Curanmor Silakan Merapat, Ada 7 Mobil-48 Motor Disita Polres Bogor","Kamis, 03 Mar 2022 01:31 WIB","\-

Polres Bogor menyita 7 mobil dan 48 motor dari pelaku pencurian kendaraan
bermotor (curanmor). Korban curanmor dipersilakan merapat untuk mengambil
kendaraannya kembali.

Kapolres Bogor AKBP Iman Imanuddin mempersilakan masyarakat yang menjadi
korban curanmor agar datang ke Polres Bogor dengan membawa bukti kepemilikan
kendaraan. Pengambilan barang bukti gratis tanpa dipungut biaya.

""Kami mengimbau kepada warga masyarakat yang menjadi korban kejahatan, di mana
roda dua atau roda empatnya dicuri, silakan dapat menghubungi Polres Bogor
untuk membawa bukti kepemilikan dan mencocokkan dengan barang bukti yang
berhasil kami sita tersebut,"" kata Kapolres Bogor, AKBP Iman Imanuddin kepada
wartawan, Rabu (2/3/2022).

Iman mengatakan surat-surat kendaraan tersebut nantinya akan dicocokkan dengan
barang bukti yang saat ini disita polisi. Hal ini juga sebagai bukti keabsahan
pemilik kendaraan bermotor.

Sebelumnya, Polres Bogor meringkus 68 pelaku curanmor selama beberapa bulan
terakhir ini. 68 pelaku ini ditangkap atas dasar 50 laporan polisi di Polres
Bogor.

""Polres Bogor telah berhasil mengamankan 68 pelaku pencurian kendaraan
bermotor, dengan 50 laporan polisi yang terdaftar di basis data kriminal yang
ada di Polres Bogor,"" ungkapnya.

Salah satu korban bernama Mela Karmelia merasa senang saat polisi mengungkap
kasusnya dan mengembalikan kendaraannya. Dia datang ke Polres Bogor untuk
mengambil motornya yang sempat dicuri.

""Saya sangat senang dan mengucapkan banyak terima kasih kepada Polres Bogor
yang telah mengungkap kasus pencurian kendaraan bermotor saya yang hilang,""
kata salah satu korban curanmor di Kabupaten Bogor, Mela Karmelia pada
kesempatan yang sama.

Mela mengatakan motornya hilang pada Kamis (3/2) di depan rumahnya sekitar
pukul 04.00 WIB. Dia berusaha mencari motornya tersebut, hingga akhirnya
motornya berhasil ditemukan pada Kamis (17/2).

""Hilangnya di depan rumah dari tanggal 3 Februari, ketemunya tanggal 17. Udah
mencari kemana-mana. Hilang jam 04.00 WIB,"" jelasnya.

 ",www.detik.com
"Kepergok Curi Motor Mahasiswa USU, 2 Pria Ini Dihajar Massa","Senin, 06 Jun 2022 14:35 WIB","\-

2 pelaku pencuri sepeda motor milik mahasiswa Universitas Sumatera Utara (USU)
dihajar massa. Kedua pelaku itu melakukan aksinya itu di Jalan Pasar VII,
Kecamatan Medan Selayang, Medan.

Kapolsek Sunggal, Kompol Chandra Yudha menjelaskan aksi pencurian itu terjadi
pada Minggu (5/6) kemarin. Adapun pelaku bernama Faisal Manik (25) warga Jalan
Setia Budi, dan Ibrahim Simamora (37) warga Jalan Medan Binjai.

""Kejadiannya sekitar pukul 16.00 WIB. Korbannya seorang mahasiswa bernama
Arpin Ekin Suranta Ginting (27),"" kata Chandra, Senin (6/6/2022).

  

Karena mengalami luka-luka akibat dihajar massa, kedua pria itu pun dilarikan
ke rumah sakit.

""Keduanya sempat dibawa RS Bhayangkara untuk menjalani perawatan medis,""
ujarnya.

Sementara itu saksi mata, Robby Niska menceritakan bahwa Arpin adalah seorang
mahasiswa USU yang sedang bekerja menjadi driver ojek online.

""Jadi waktu itu, Arpin sedang duduk di warung kopi menunggu orderan. Karena
dia kerja sebagai driver ojek online. Nah, saat itu dia parkir sepeda motornya
di gang kecil pas di samping warung itu,"" sebutnya.

""Setelah itu, ada salah satu pelaku yang mematahkan stang sepeda motornya.
Aksi pelaku dilihat oleh warga yang mengenali bahwa itu motor Arpin. Terakhir
diteriaki maling. Pelaku lari bersama kawannya yang sudah nunggu di seberang
jalan,"" tambahnya.

Kedua pelaku pun kemudian dikejar warga sekitar ke arah Fly Over Jamin
Ginting. Tepatnya dekat Rumah Makan Olakisat, kedua pelaku berhasil ditangkap
warga.

""Itu sempat dihajar massa. Lalu ditarik ke pasar VII. Pelaku diikat warga dan
kembali dihajar massa sampai akhirnya polisi datang,"" sebutnya.

""Itu kasihan korbannya. Karena dia mau wisuda tapi motornya sampai sekarang
masih ditahan untuk proses hukum di kepolisian,"" tutupnya.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Ulah Bejat Duo Perampok-Pemerkosa Hampir Bikin Korban Hilang Nyawa,"Kamis, 27 Jan 2022 08:04 WIB","\-

Peristiwa tragis menimpa perempuan usia 24 tahun di Balaraja, Kabupaten
Tangerang. Korban dirampok dan dianiaya, kemudian diperkosa oleh kedua
tersangka.

Seusai melakukan kejahatannya itu keduanya berencana menghilangkan jejak.
Mereka membuang korban ke Sungai Ciujung dalam kondisi tidak sadarkan diri.

Beruntung, korban selamat dari maut. Sementara dua pelaku ditangkap dua hari
setelah kejadian.

Insiden itu terjadi pada Kamis (20/1/2022) dini hari. Dua pelaku yang
ditangkap, yakni IS (22) dan GG (24), adalah sopir dan kernet angkot rute
Serang-Balaraja.

Kedua tersangka dihadiahi timah panas di kakinya karena melawan polisi saat
hendak dilakukan penangkapan.

##

## Diotaki Sopir Angkot

Kapolresta Tangerang Kombes Zain Dwi Nugroho mengatakan perampokan dan
pemerkosaan itu diotaki oleh sopir angkot berinisial IS. Dia yang merencanakan
untuk merampok korban.

""IS (22) ini berperan sebagai sopir angkot dan sebagai otak pencurian,
kekerasan dan pemerkosaan ini,"" kata Kombes Zain kepada wartawan di Polresta
Tangerang, Selasa (25/1).

Keduanya, kata Zain, melakukan kejahatan sadis itu karena ingin menguasai
harta korban.

""Dari hasil pemeriksaan motifnya diketahui ingin mengincar harta korban dan
ingin memperkosa korban,"" ungkap Zain.

##  
Dua Tersangka Adalah Residivis

Dua tersangka ini memiliki catatan kriminal. Tersangka IS adalah residivis
kasus pencabulan dan pencurian.

""IS ini juga sebagai residivis dengan dua kali ditahan terkait persetubuhan
terhadap anak di bawah umur serta kasus pencurian dengan pemberatan,"" katanya.

Sementara tersangka GG adalah residivis kasus curanmor. Dalam aksinya itu, GG
berperan sebagai kernet yang membantu tersangka IS.

""Dia bertugas sebagai penganiaya dengan cara menginjak dan memukul korban
dengan menggunakan ban serep terhadap tubuh dan kepala korban,"" ungkapnya.

  
 _Simak kronologi kejadian di halaman selanjutnya._

 __

[Gambas:Video 20detik]

  
  

Selanjutnya __

Halaman

1  2  3

 ",www.detik.com
Viral Pria Berniat Begal Ditangkap di Pesanggrahan Jaksel,"Minggu, 20 Mar 2022 15:23 WIB","\-

Video viral beredar di media sosial soal pelaku percobaan pembegalan ditangkap
di Jl Ciledug Raya, Pesanggrahan, Jakarta Selatan (Jaksel). Polisi memberikan
keterangan soal peristiwa tersebut.

Dalam rekaman video yang diunggah di Instagram, terjadi keramaian orang di
depan SPBU Petukangan Selatan, Pesanggrahan, Jakarta Selatan. Terlihat sebuah
mobil polisi dengan seorang pemuda berbaju putih duduk di bangku belakangnya
mobil tersebut.

""Percobaan pembegalan di depan SPBU, Petukangan Selatan atau Gang Lurah.
Minggu (20/3) 03.42 dini hari,"" tulis keterangan video tersebut, seperti
dilihat , Minggu (20/3/2022).

Kapolsek Pesanggrahan Kompol Nazirwan membenarkan kejadian tersebut. Satu
orang pelaku berinisial Y (23) ditangkap polisi.

""Benar. untuk yang diduga pelaku sudah diamankan. Inisial Y 23 tahun,"" kata
Kompol Nazirwan saat dihubungi , Minggu (20/3).

Nazirwan menjelaskan, kepolisian menerima laporan telepon dari warga tentang
adanya keramaian di Jl Ciledug Raya, Pesanggrahan, Jakarta Selatan, pada
Minggu (20/3) dini hari. Polisi yang bertugas langsung menuju lokasi yang
dilaporkan warga.

""Ada info dari warga yang telepon kantor, bahwa ada keramaian. Patroli yang
berada tidak jauh. Langsung ke TKP (tempat kejadian Perkara),"" ucap Nazirwan.

Saat berada di lokasi, polisi juga memeriksa beberapa orang yang ada di sana,
termasuk seorang pemotor yang terjatuh. Kemudian, polisi juga mengamankan
semuanya akibat adanya dugaan tawuran.

""Mengamankan beberapa orang, termasuk warga yang terjatuh dari motor, karena
menghindari terjadinya tawuran,"" sambungnya.

Namun Nazirwan belum dapat memastikan bahwa Y diduga tidak melakukan
pembegalan. Pihaknya tengah menyelidiki hal tersebut.

""Sementara masih didalami. Dugaan sementara bukan begal,"" sambungnya.

 ",www.detik.com
Detik-detik Perampok Sadis di Semarang Habisi Sekuriti Studio Foto,"Kamis, 31 Mar 2022 15:55 WIB","\-

Pelaku perampokan studio foto di Kota Semarang dibekuk polisi beberapa jam
setelah kabur. Direktorat Reserse Kriminal Umum Polda Jawa Tengah
mengungkapkan detik-detik perampokan yang menewaskan seorang sekuriti itu.

Direktur Reskrimum Polda Jateng, Kombes Djuhandhani Rahardjo Puro mengatakan
pelaku bernama Rismantoro (24) warga Karangsembung, Kabupaten Kebumen, Jawa
Tengah. Dirinya mengungkap, pelaku sudah memantau daerah sekitar dan
mengunjungi toko tersebut.

""Yang bersangkutan sudah merencanakan dari awal untuk melakukan pencurian,""
kata Djuhandhani di Mapolda Jateng, Kamis (31/3/2022).

Kemudian hari Senin (29/3) malam, lanjutnya, dia datang ke TKP yang berada di
Jalan Diponegoro Semarang. Pelaku sempat tiduran di sekitar lokasi sampai
akhirnya dihampiri penjaga malam, Supriono (37).

""Awalnya yang bersangkutan mengecek situasi toko kamera sambil tidur-tiduran
lalu ditegur oleh korban penjaga atas nama Supriono. Ditegur lalu diancam mau
dilaporkan ke polisi. Setelah melalui proses nego, tidak jadi dilaporkan.
Kemudian yang bersangkutan mengambil batu, dan di dalam tasnya sudah ada sajam
yaitu pisau,"" jelasnya.

Djuhandani menyebut, pelaku lalu minta diantar ke toilet, saat itulah pelaku
menghantam kepala korban hingga pingsan. Pelaku kemudian mengambil alat las
yang dibawa di motor untuk membongkar rolling door toko. Tapi ternyata pelaku
gagal dan mencari jalan lain ke belakang toko lewat plafon.

""Pelaku berupaya membuka rolling door dengan las tetapi tidak berhasil
sehingga yang bersangkutan masuk melalui pintu belakang atap plafon,"" katanya.

![Rilis kasus perampokan studio foto Semarang di Mapolda Jateng, Kamis
\(31/3/2022\).](https://akcdn.detik.net.id/community/media/visual/2022/03/31/rilis-
kasus-perampokan-studio-foto-semarang-di-mapolda-jateng-
kamis-3132022_169.jpeg?w=620)Rilis kasus perampokan studio foto Semarang di
Mapolda Jateng, Kamis (31/3/2022). (Foto: Angling Adhitya Purbaya/detikJateng)  
  
---  
  
Saat proses hendak menuju belakang toko ternyata pelaku melihat korban sudah
berubah posisi. Saat itulah dengan sadis dia pelaku mengambil pisau dan
menusuk korban hingga luka parah di bagian badan dan leher.

Djuhandani melanjutkan, pelaku kemudian menggasak sejumlah kamera, lensa, dan
drone termasuk tas. Ia kemudian kabur menuju ke tempat tinggalnya di Kebumen.
Pelaku juga sempat membawa kabur handphone korban dan membuangnya ke sungai.

""Yang bersangkutan baru pulang dari TKP dan akan pergi, setelah itu kami
buntuti dan di tengah jalan kami lakukan penangkapan tanpa perlawanan. Pelaku
langsung mengaku,"" katanya.

Pelaku dijerat Pasal 365 KUHP ayat 4 tentang pencurian disertai pemberatan dan
atau pasal 339 KUHP tentang pembunuhan dengan ancaman maksimal 20 tahun dan
hukuman mati.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Terekam CCTV! 'Perjuangan' Maling Panjat Pagar 2 M Hanya Ambil Barang Ini,"Rabu, 11 Mei  2022 09:39 WIB","\-

Aksi pencuri terekam CCTV di perumahan Graha Kartika Desa Belangwetan,
Kecamatan Klaten Utara, Klaten, Jawa Tengah. Maling itu menggasak sepeda BMX
anak yang terparkir di teras rumah.

Padahal, rumah tersebut terlindung pagar setinggi sekitar 2 meter. Saat ini
kasus pencurian itu tengah ditangani Polsek Klaten Utara.

""Kejadiannya itu hari Senin (9/5) pagi pukul 02.58 WIB. Yang diambil sepeda
BMX warna hitam, ada hijaunya,"" ungkap pemilik rumah Ira Mei (35) kepada ,
Rabu (11/5/2022) pagi.

Kejadian tersebut, terang Ira, baru disadari keluarganya pada Selasa (10/5)
siang saat bersih- bersih rumah. Mereka baru sadar sepeda itu sudah raib dari
tempatnya. Kemudian, mereka memeriksa CCTV.

""Pelaku hanya seorang diri, kalau dilihat hanya berjalan kaki tapi bawa motor
atau tidak saya tidak tahu. Pelaku mengenakan masker,"" lanjut Ira.

Akibat kejadian itu, sebut Ira, anaknya kehilangan sepeda. Harga sepeda
tersebut sekitar Rp 1,5 juta.

""Harganya sekitar Rp 1,5 juta. Sudah kami laporkan ke bhabinkamtibmas dan
dilanjutkan ke Polsek,"" imbuh Ira.

Dikatakan Ira, dari CCTV pelaku hanya beraksi sekitar tiga menit. Pelaku naik
memanjat ke pagar dan menarik sepeda dengan tali.

""Naik ke pagar lompat dan sepeda ditarik pakai tali. Naik dari pojok rumah
tapi terus turun, lalu naik ke pagar sudah bawa tali, itu sepeda anak saya
yang nomor satu,"" papar Ira.

Padahal tinggi pagar, sambung Ira, sekitar dua meter. Saat kejadian
keluarganya semua ada di rumah.

""Kami ada di rumah tapi tidak dengar apa-apa, padahal ada di rumah. Selain
pakai masker, (pelaku) juga pakai penutup kepala,"" imbuh Ira.

Kanit Reskrim Polsek Klaten Utara, Ipda Riyanto pada wartawan menjelaskan
kasus itu sudah dilaporkan usai kejadian. Polsek akan melakukan penyelidikan.

""Kita akan melakukan penyidikan berdasarkan CCTV. Kerugian sepeda BMX seharga
sekitar Rp 1,5 juta,"" jelas Riyanto.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
Pria Bergamis yang Viral Curi Kotak Infak di Medan Ditangkap,"Minggu, 10 Apr 2022 21:03 WIB","\-

Pria yang menggunakan gamis saat mencuri kotak infak di masjid di Medan
ditangkap oleh warga. Setelah ditangkap pria itu dibawa ke kantor polisi.

""Iya benar. Awalnya diserahkan warga di Polsek Batang Kuis, kemudian kita
interogasi karena ada dugaan di TKP kita,"" kata Kapolsek Medan Timur Kompol
Rona Tambunan kepada wartawan, Minggu (10/4/2022).

Pria itu ditangkap bersama anaknya yang ikut melakukan aksi pencurian. Mereka
telah melakukan aksi pencurian di sejumlah masjid yang ada di Kota Medan dan
sekitarnya.

  

Rona mengatakan warga yang menjadi korban telah memaafkan pelaku. Sehingga
pihak Polsek Medan Timur menyerahkan pelaku ke Polsek Percut Sei Tuan karena
ada laporan terhadap pelaku di Polsek itu.

""Maka kami serahkan ke Polsek Percut karena ada laporan polisinya di sana,""
jelas Rona.

Sebelumnya, aksi pria dan anaknya yang menggunakan gamis dua kali terekam CCTV
saat melakukan aksi pencurian kotak infak di Medan. Terakhir keduanya
melakukan aksi pencurian di masjid yang ada di Jalan Budi Pemasyarakatan Kota
Medan.

""Pencurian kotak infak di musala Jalan Budi Kemasyarakatan, Medan Timur.
Kelihatannya dua ini pernah terekam CCTV mencuri isi kotak infak juga
sebelumnya,"" tulis pengunggah dalam video yang viral.

Kapolsek Medan Timur Kompol Rona Tambunan mengatakan terkait peristiwa itu,
pihaknya sedang melakukan penyelidikan.

""Untuk kejadian sedang dalam penyelidikan kita,"" sebut Rona.

  
  
  
[Gambas:Video 20detik]  

 ",www.detik.com
