title,date,description,source
"9 Penadah Motor Hasil Curian di Probolinggo Ditangkap

","Minggu, 23 Jan 2022 08:09 WIB

",sembilan kamis polisi menangkap m hodli mengaku membeli motor abdul jalal seharga rp juta motor dilengkapi stnk palsu petugas menangkap abdul jalal petugas langsung interogasi penadah abdul jalal mengaku membeli motor muhamad untung harga rp juta muhamad untung ditangkap muhamad untung mengubah nomor mesin nomor rangka motor hasil pencurian tempat hesim solehudin orang ditangkap dirumahnya muhamad untung mengaku membeli motor musleha harga rp juta musleha ditangkap tim satreskrim polsek leces musleha mengaku motor hasil tukar bakir petugas langsung penangkapan bakir perlawanan bakir mengaku membeli motor sanusi harga rp juta petugas bergerak cepat menangkap sanusi medsos motor hasil pencurian tkp wilayah hukum polsek leces penyelidikan berhasil amankan penadah motor hasil pencurian unit motor pelaku pengejaran aipda eko apriyanto kanit reskrim polsek leces,www.detik.com
"Polda Metro Ikut Terjun Selidiki Perampokan Rp 400 Juta di PIK Jakut

","Rabu, 10 Nov 2021 21:32 WIB

",milik warga pantai indah kapuk pik jakarta utara raib digasak satuan reskrim membantu kewilayahan pengungkapan wadirkrimum polda metro jaya akbp jerry siagian dihubungi wartawan rabu aksi perampokan kawasan pik siang wib pelaku diduga senjata api melancarkan aksinya pemeriksaan saksi lokasi jerry pelaku mempersenjatai senjata api beraksi saksi senjata api jerry proses penyelidikan pelaku aksinya modus korban diikuti dicari waktu lengah korban pelakunya residivis kumpulkan alat bukti kejadian jerry kapolres metro jakarta utara kombes guruh arif darmawan membenarkan peristiwa anggota lapangan bentuk tim guruh dihubungi wartawan rabu perampokan wib guruh kronologi perampokan polisi bergerak lokasi olah tempat kejadian perkara tkp korban jiwa peristiwa korban mengalami,www.detik.com
"Polisi Periksa 12 Saksi Terkait Penembakan Ustaz di Tangerang

","Jumat, 24 Sep 2021 19:44 WIB

",polisi mendalami saksi pemeriksaan ya menganalisis cctv kabid humas polda kombes yusri yunus mapolres jakarta barat jumat yusri mengumpulkan alat bukti terkait insiden menganalisis alat alat bukti keterangan keterangan saksi diberitakan insiden penembakan a sabtu pinang kota tangerang korban ditembak menjalani salat magrib masjid rumahnya polisi menduga pelaku orang pelaku polisi menyita sebutir proyektil,www.detik.com
"Ulah Oknum Polisi Peras Wanita Berujung Jadi Tersangka

","Selasa, 22 Des 2020 05:22 WIB

",mis didampingi kuasa hukumnya melaporkan oknum polisi propam bali oknum anggota polisi aktif bali laporan terkait kode etik oknum polisi aktif langkah dipanggil propam klarifikasi peristiwa menyinkronkan laporan berita viral kode etik kepolisian kuasa hukum korban charlie usfunan wartawan jumat propam anggota aktif bali diperiksa usfunan peristiwa pemerasan selasa korban mis didatangi mengaku anggota polisi kartu anggotanya peristiwa mis melayani tamunya mis mengaku prostitusi online bali terdampak pandemi covid malam tamu mem booking selang jam pelanggan kosannya berhubungan badan mengetok pintu buka orang anggota tanda pengenal anggota kepolisian,www.detik.com
"Vonis 2,5 Tahun Bui untuk Polisi Pemeras PSK di Bali

","Jumat, 04 Jun 2021 22:21 WIB

",wanita berinisial mis tenang korban mis dipergoki melayani tamu kencannya kos kosan pria mengaku anggota polisi kartu tanda anggota kta korban pemerasan desember mis mengaku pekerja seks komersial psk prostitusi online bali terdampak oknum polisi briptu rcen dikirimkan uang rp ribu gawai korban diambil tersangka korban gawai membayar rp juta situasi memberatkan mis kuasa hukumnya mis melaporkan oknum polisi laporan terkait kode etik oknum polisi aktif langkah dipanggil propam klarifikasi peristiwa menyinkronkan laporan berita viral kode etik kepolisian kuasa hukum korban charlie usfunan wartawan jumat penyelidikan berjalan briptu rcen ditetapkan tersangka ditahan rutan,www.detik.com
"Akhir Pelarian Perampok Bejat Perkosa Bidan Desa di Muna Barat

","Jumat, 25 Feb 2022 07:30 WIB

",iya ditangkap kediaman keluarganya kapolsek sawerigadi ipda burhanuddin konfirmasi ls buronan polisi diduga perampokan disertai pelecehan seksual bidan desa inisial sf wilayah kecamatan sawerigadi muna barat kamis wita korban tertidur rumah dinasnya puskesmas pembantu pustu kecamatan sawerigadi korban tertidur kamarnya selasa ls menyelinap masuk rumah dinas korban ls lantas tindakan senonoh korban tertidur korban lantas berteriak pelaku langsung mencekik leher memegang pisau pelaku mengancam membunuh korban berteriak tolong korban memberontak pelaku memukul kali tubuh korban luka lebam pelaku melecehkan korban korban berontak ls ditangkap jajaran kepolisian jumat kabur dibawa polsek sawerigadi buron polisi menangkap ls kediaman keluarganya kecamatan barangka mubar rabu sekira wita periksa lakukan gelar perkara,www.detik.com
"Saat 'Bocahe Bapak' Memeras Eks Ajudan Jokowi

","Rabu, 01 Sep 2021 09:11 WIB

",polisi menyidik as tersangka kantor mengaku bocahe e cerita cerita hw mengaku as kantornya seingatnya as kantornya sebulan hw mengaku mengenal as ya udah ya lupa kenal ketemu satreskrim lakukan penyidikan lengkap dirilis ka kapolresra solo menghubungi seandainya korban melaporkan kasat reskrim polresta solo akp djohan andika dihubungi djohan mengungkap pengakuan tersangka orang korban laporan orang lapor ya orang korban kesempatan korban seluas luasnya laporan,www.detik.com
"Polisi Sebut Pria Misterius Pakai Airsoft Gun Tembak Pemuda di Kota Malang

","Selasa, 22 Feb 2022 13:41 WIB

",polisi berupaya mengungkap identitas pelaku penembakan pemuda kota malang penyelidikan pelaku orang penembakan airsoft gun duga penembakan airsoft gun orang kasat reskrim polresta malang kota kompol tinton yudha riambodo wartawan selasa tinton jenis senjata pelaku diduga kuat air softgun senjata api iya senjata api airsoft gun tinton mengaku hasil klarifikasi korban korban mengenal pelaku penembakan terkait kenal tidaknya mengklarifikasi korban korban mengenal orang akunya rekan korban berinisial rk mengaku pelaku orang mengendarai motor yamaha aerox warna hitam pelaku orang pakai hoodie hitam satunya perempuan pakai hoodie hitam bermasker rk rk korban enam teman temannya lokasi kejadian berniat membeli bakso pelaku menghampiri korban korban berlari tertembak pelaku korban berdiri diatas jembatan korban lari tertembak pelaku kabur arah selatan pungkasnya,www.detik.com
"Rumah di Bekasi Dibobol Maling, Motor hingga Laptop Raib

","Senin, 14 Feb 2022 16:36 WIB

",video menampilkan aksi terduga pelaku pencurian rumah kosong perumahan kecamatan mustikajaya video penuturan korban pemilik rumah candra hotmaripa rumah salah keluarganya kabar rumahnya dibobol maling sabtu tanggal kemarin pulang rumahnya candra pintu terbuka isi rumah berantakan candra lantas langsung melaporkan kejadian kepolisian sore harinya polisi olah tkp laporan kepolisian langsung dihubungi terpisah kanit reskrim polsek bantargebang iptu agus susetyo membenarkan kejadian kepolisian penyelidikan iya lidik iptu agus dihubungi,www.detik.com
"Terungkapnya Pembunuhan Sadis di Balik Misteri Mayat Wanita Hamil di Tegal

","Selasa, 08 Mar 2022 06:07 WIB

",teka teki penemuan mayat wanita hamil area persawahan desa dukuhturi kecamatan dukuhturi kabupaten tegal jawa terungkap berbekal identitas korban polres tegal menangkap pembunuhnya pacar korban kapolres tegal akbp arie prasetya syafa at terungkap identitas korban ditemukan korban berinisial nd warga desa karangsembung kecamatan songgom kabupaten brebes hasil penyelidikan polisi korban dibunuh pacarnya aji setiawan warga desa bedug kecamatan pangkah kabupaten tegal pemeriksaan keluarga hasil korban hamil kerucutkan hubungan korban orang terdekatnya arie wartawan kantornya senin arie pelaku ditangkap minggu wib tersangka kekasih korban menjalin hubungan bebernya kapolres tegal akbp arie prasetya syafa at pelaku mengaku gelap mata korban menuntut pertanggungjawaban kehamilannya tersangka pembunuhan kekasihnya korban memberitahu hamil pertanggungjawaban didesak gelap mata menghabisi korban arie wartawan kantornya senin arie pelaku berdalih sakit hati korban kerap membandingkan lelaki kaya wartawan pelaku mengaku kalap pertanggungjawaban menghamili korban gelap mata khilaf sakit hati dibanding bandingkan laki laki kaya pelaku jumat wib pelaku menghampiri korban tempat kosnya bertempat kelurahan margadana kecamatan margadana kota tegal pelaku mengajak korban makan seblak warung pasar margadana selesai makan pelaku mengajak korban jalan jalan sepeda motor milik pelaku pelaku membawa korban tempat sepi seputaran area sawah desa dukuhturi kecamatan dukuhturi kabupaten tegal tkp pelaku kekerasan korban mendorong terjatuh tepian sawah pelaku menghampiri menganiaya korban korban bernyawa pelaku membuang jenazah korban parit genangan air tujuan jenazah korban orang perbuatan pelaku pergi meninggalkan tkp tersangka pembunuhan kekasihnya korban memberitahu hamil pertanggungjawaban didesak gelap mata berencana menghabisi korban kapolres tegal akbp arie prasetya syafa at wartawan kantornya senin perbuatannya membunuh korban pelaku dijerat uu perlindungan anak pasal kuhp pembunuhan berencana ancaman pidana maksimal hukuman mati,www.detik.com
