title,date,description,nama
Visual Interaktif: Drama Asmara Pembunuh Eneng Kulsum,"Jumat, 20 Mei  2022 13:19 WIB",alias aden membunuh eneng kulsum wanita cibadak kabupaten sukabumi pria diduga merencanakan aksi kejinya jumat 135 malam aden sengaja membawa sebilah pisau menunggu eneng kulsum rumahnya pelaku menyerang menusuk korban nyawa eneng tertolong polisi memburu menangkap aden motifnya keterangan saksi keterangan tersangka dendam korban menjalin hubungan tersangka korban rujuk mantan suaminya kapolsek cibadak kompol maryono,"aden, maryono"
"262 Pelaku Curas, Curat, dan Curanmor di Jatim Ditangkap Setahun Terakhir","Rabu, 10 Nov 2021 18:11 WIB",262 tersangka diamankan masingmasing berbeda curat 127 tersangka curas 51 tersangka curanmor 84 tersangka terang wakapolda jatim brigjen slamet hadi supraptoyo jumpa pers gedung mahameru rabu 10112021 curat menyoroti curas aksinya bandit kerap korbannya terluka sengaja dilukai curas tersangka menjambret tas milik korban mengendarai sepeda motor menodongkan senjata tajam tersangka segan segan melukai korbannya perlawanan hadi curat modus aksinya tersangka merusak pintu jendela rumah gudang milik korban imbuhnya kesempatan polda jatim menyerahkan unit kendaraan roda unit sepeda motor pemiliknya korban curanmor salah korban hasanuddin mengaku bersyukur terimakasih polisi kendaraanya ucapkan terima kasih kapolda anggota jatanras menangkap pelaku mencuri mobil hasanuddin menceritakan mobilnya hilang sebulan keterangan polisi mobilnya ditemukan exit tol japanan mobil parkir rumah 1700 wib 0300 wib keterangannya mobil ditemukan tol japanan warga pandaan pasuruan iwdiwd,"slamet, hadi, supraptoyo"
Terungkap! Ini Identitas Terduga Maling Motor Tewas Dibakar Massa di Bangkalan,"Rabu, 06 Okt 2021 19:42 WIB",terungkap inisial 50 warga desa parseh kecamatan socah beber kasat reskrim polres bangkalan akp sigit nursiyo dwiyugo rabu 6102021 sigit terungkapnya identitas korban petugas handphone perangkat desa handphone ditemukan lokasi korban dibakar temuan polisi menyelidikinya handphone milik korban dibakar petugas mengamankan handphone perangkat desa nemuin korban dibakar kroscek registrasi nomornya pas kknya papar sigit sigit identitasnya terungkap menghubungi keluarganya jenazah diserahkan malam kemarin dikuburkan malam identitasnya hubungi keluarganya sigit terduga maling motor curanmor tewas dibakar massa peristiwa desa rabesen kecamatan kwanyar bangkalan madura kapolsek kwanyar iptu mansur dikonfirmasi membenarkan kejadian mansur peristiwa 0200 wib kejadiannya 0200 wib massa pelaku dibakar motornya mansur 5102021 iwdiwd,sigit nursiyo dwiyugo
Pencuri Motor yang Dikejar di Suramadu hingga Tertangkap Ngaku Penadah,"Kamis, 21 Okt 2021 22:11 WIB",pas tangkap ngakunya mencuri beli motor mencuri pemilik motor mahur kamis 21102021 mahur percaya menangkap memborgolnya tiang listrik polisi polsek sukolilo bangkalan percaya borgol milik sekuriti proyek nunggu polisi sukolilo kantor polisi ngaku membeli mahur beli hasil uangnya pakai sabu percaya omongnya ngelantur mahur mahur menangkap menyerahkan pencuri motor polisi motornya dicuri diambil kantor polisi pengembangan mencari pelaku tkp laporan terang mahur mahur pencurian motornya order mengambil makanan jalan embong malang mengambil order tahutahu honda beat bernomor pelat 6432 li miliknya hilang motor dikunci ganda order motor parkir ambil order tahutahu motor hilang kunci mahur motor hilang mahur melaporkannya polsek genteng saudaranya berinisiatif menunggu pencuri jembatan suramadu ditunggu jam motornya pelaku melintas jembatan suramadu kehilangan momen mahur keempat saudaranya menunggangi motornya masingmasing mengejar pelaku,mahur
Terduga Maling Motor yang Tewas Dibakar di Bangkalan Seorang Residivis,"Rabu, 06 Okt 2021 20:09 WIB",polres bangkalan proses kasusnya curanmor terang kasat reskrim polres bangkalan akp sigit nursiyo dwiyugo rabu 6102021 sigit motor dibakar motor hasil kejahatan motor korban motornya nama hasil nyuri pas kejadian beber sigit sigit menyelidiki massa terlibat membakar korban namanama terlibat dikantongi dicari mempertanggungjawabkan perbuatannya selidiki cari mempertanggungjawabkan pencurian menghilangkan nyawa salah dipanggil dalami mengumpulkan keterangan saksisaksi sigit terduga maling motor curanmor tewas dibakar massa peristiwa desa rabesen kecamatan kwanyar bangkalan madura kapolsek kwanyar iptu mansur dikonfirmasi membenarkan kejadian mansur peristiwa 0200 wib kejadiannya 0200 wib massa pelaku dibakar motornya mansur 5102021 video maling sepeda beraksi perumahan elite garut iwdiwd,sigit nursiyo dwiyugo
Juragan Air Isi Ulang di Surabaya Ditemukan Tewas dengan Luka Tusuk,"Jumat, 07 Jan 2022 11:14 WIB",pembunuhan manukan tama kecamatan tandes polsek tandes satreskrim polrestabes surabaya olah tkp dilaksanakan kapolsek tandes kompol hendri ibnu indarto wartawan lokasi jumat 712022 pria berusia 65 bernama suryatyo tewas ruko huni istrinya ruko tempat isi ulang air mineral hendri menyebut pria tewas korban pembunuhan ditemukan luka akibat senjata tajam diduga tewasnya korban diawali perampokan ruko miliknya polisi menyebut barang hilang ruko kejadian pembunuhan subuh 0500 wib luka bekas tusukan senjata sajam doakan doakan pelaku imbuh hendri hendri menyebut menyelidiki pembunuhan diikuti perampokan hendri membeberkan polisi mendalami menurutnya saksi kunci istri korban motif dalami laksanakan pendalaman menangkap pelakunya selamat saksi istrinya dalami hidup mudahmudahan titik terang hendri hendri polisi mengumpulkan rekaman cctv barang bukti pastinya lakukan penyelidikan cctv bukti kesimpulannya perampokan tidakkita dalami laporan tkp pembunuhan laporan hendri iwdiwd,hendri ibnu indarto
Polisi Cari Pembakar Terduga Maling Motor yang Tewas Dibakar Massa,"Selasa, 05 Okt 2021 17:57 WIB",menyelidiki mencari pelaku pembakaran kabid humas polda jatim kombes gatot repli handoko selasa 5102021 gatot menyebut korban tewas dibakar identitasnya dicari menurutnya korban terduga curanmor dicari identitasnya kerangka kendaraannya dibakar motornya hasil curian paparnya mengimbau warga menangkap terduga pelaku kejahatan diserahkan polisi main hakim gatot terduga maling motor curanmor tewas dibakar massa peristiwa desa rabesen kecamatan kwanyar bangkalan madura kapolsek kwanyar iptu mansur dikonfirmasi membenarkan kejadian mansur peristiwa 0200 wib kejadiannya 0200 wib massa pelaku curanmor dibakar motornya mansur 5102021 iwdiwd, gatot repli handoko
"Gasak Kayu Ulin-Genset Rp 1 M, 19 Pencuri di Gudang Balikpapan Ditangkap","Rabu, 18 Mei  2022 14:25 WIB",19 anggota komplotan spesialis pembobol gudang kota balikpapan kalimantan timur kaltim ditangkap polisi pelaku menggasak isi gudang kayu ulin genset mesin las senilai rp miliar penadah 10 pelaku hasil pencurian gudang kota balikpapan kapolres balikpapan kombes thirdy hadmiarso rabu 1852022 pencurian gudang kosong milik iy jalan mt haryono balikpapan komplotan 15 beraksi maret mei 2022 kejadian berulangulang bergantian kombes thirdy terbongkar pemilik iy menangkap basah pelaku menyatroni gudang miliknya truk thirdy otak pelaku rekannya pencurian mencongkel gudang milik iy dijaga gudang penjaga pelaku mencongkel gudang tempat pencurian menjarah barangbarang milik korban truk sewaan bebernya hasil pencurian pelaku berhasil meraup rp miliar barangbarang gudang memiliki nilai jual pelaku mengambil bahanbahan kerangka bangunan balok kayu ulin genset mesin las lainlain berulangulang kerugian total sekita 19 pelaku digelandang mapolres balikpapan polisi masig pengejaran rekan pelaku lakukan pencarian daftar dpo pelaku amankan polres balikpapan,kombes thirdy hadmiarso
"Kepergok Curi Motor Mahasiswa USU, 2 Pria Ini Dihajar Massa","Senin, 06 Jun 2022 14:35 WIB",pelaku pencuri sepeda motor milik mahasiswa universitas sumatera utara usu dihajar massa pelaku aksinya jalan pasar vii kecamatan medan selayang medan kapolsek sunggal kompol chandra yudha aksi pencurian minggu 56 kemarin pelaku bernama faisal manik 25 warga jalan setia budi ibrahim simamora 37 warga jalan medan binjai kejadiannya 1600 wib korbannya mahasiswa bernama arpin ekin suranta ginting 27 chandra senin 662022 mengalami lukaluka akibat dihajar massa pria dilarikan rumah sakit dibawa rs bhayangkara menjalani perawatan medis saksi robby niska menceritakan arpin mahasiswa usu driver ojek online waktu arpin duduk warung kopi menunggu orderan driver ojek online parkir sepeda motornya gang pas samping warung salah pelaku mematahkan stang sepeda motornya aksi pelaku warga mengenali motor arpin diteriaki maling pelaku lari kawannya nunggu seberang jalan pelaku dikejar warga arah fly over jamin ginting tepatnya rumah makan olakisat pelaku berhasil ditangkap warga dihajar massa ditarik pasar vii pelaku diikat warga dihajar massa polisi kasihan korbannya wisuda motornya ditahan proses hukum kepolisian tutupnya,"chandra yudha, faisal manik, arpin"
"Duit Wakil Ketua DPRD Bone Rp 640 Juta Dicuri Tetangga, Pelaku Foya-foya","Rabu, 25 Mei  2022 21:22 WIB",pria kabupaten bone sulawesi selatan sulsel ditangkap polisi pencurian uang milik wakil ketua dprd bone andi wahyudi taqwa senilai rp 640 juta pelaku tetangga korban terungkap menghabiskan uang curiannya foyafoya laporan kehilangan uang wakil ketua dprd bone rp 640 juta korban melapor kapolsek tanete riattang kompol andi iqbal detiksulse rabu 2552022 keempat pelaku pencurian masingmasing berinisial 16 19 25 17 ditangkap kediamannya masingmasing selasa 105 keempat pelaku tetangga korban wilayah tanete riattang diamankan anakanak rumahnya umur kompol andi iqbal andi pencurian dialami korban desember 2021 rumahnya wilayah tante riattang korban keempat pelaku melaporkannya polisi andi korban rugi pelaku rp 640 juta dicuri rumah korban pelaku mengembalikan rp 100 juta dicari korban rp 540 juta uang korban dicuri pelaku berfoyafoya uang rp 100 juta dikembalikan korban sisa rp 640 juta pakai foyafoya uangnya kasih rp 100 juta wakil kompol andi andi pelaku tetangga korban rumah korban berkumpul anakanaknya situ kumpulkumpul korban andi wahyudi taqwa pelaku digelandang mapolsek tenete riattang polisi mengamankan barang bukti unit sepeda motor motor diamankan,"andi wahyudi taqwa, andi iqbal"
