no,daerah,tipe
1,aceh barat,kabkot
2,aceh barat daya,kabkot
3,aceh besar,kabkot
4,aceh jaya,kabkot
5,aceh selatan,kabkot
6,aceh singkil,kabkot
7,aceh tamiang,kabkot
8,aceh tengah,kabkot
9,aceh tenggara,kabkot
10,aceh timur,kabkot
11,aceh utara,kabkot
12,bener meriah,kabkot
13,bireuen,kabkot
14,gayo lues,kabkot
15,nagan raya,kabkot
16,pidie,kabkot
17,pidie jaya,kabkot
18,simeulue,kabkot
19,banda aceh,kabkot
20,langsa,kabkot
21,lhokseumawe,kabkot
22,sabang,kabkot
23,subulussalam,kabkot
24,asahan,kabkot
25,batubara,kabkot
26,dairi,kabkot
27,deli serdang,kabkot
28,humbang hasundutan,kabkot
29,karo,kabkot
30,labuhanbatu,kabkot
31,labuhanbatu selatan,kabkot
32,labuhanbatu utara,kabkot
33,langkat,kabkot
34,mandailing natal,kabkot
35,nias,kabkot
36,nias barat,kabkot
37,nias selatan,kabkot
38,nias utara,kabkot
39,padang lawas,kabkot
40,padang lawas utara,kabkot
41,pakpak bharat,kabkot
42,samosir,kabkot
43,serdang bedagai,kabkot
44,simalungun,kabkot
45,tapanuli selatan,kabkot
46,tapanuli tengah,kabkot
47,tapanuli utara,kabkot
48,toba samosir,kabkot
49,binjai,kabkot
50,gunungsitoli,kabkot
51,medan,kabkot
52,padangsidempuan,kabkot
53,pematangsiantar,kabkot
54,sibolga,kabkot
55,tanjungbalai,kabkot
56,tebing tinggi,kabkot
57,agam,kabkot
58,dharmasraya,kabkot
59,kepulauan mentawai,kabkot
60,lima puluh kota,kabkot
61,padang pariaman,kabkot
62,pasaman,kabkot
63,pasaman barat,kabkot
64,pesisir selatan,kabkot
65,sijunjung,kabkot
66,solok,kabkot
67,solok selatan,kabkot
68,tanah datar,kabkot
69,bukittinggi,kabkot
70,padang,kabkot
71,padangpanjang,kabkot
72,pariaman,kabkot
73,payakumbuh,kabkot
74,sawahlunto,kabkot
75,solok,kabkot
76,banyuasin,kabkot
77,empat lawang,kabkot
78,lahat,kabkot
79,muara enim,kabkot
80,musi banyuasin,kabkot
81,musi rawas,kabkot
82,musi rawas utara,kabkot
83,ogan ilir,kabkot
84,ogan komering ilir,kabkot
85,ogan komering ulu,kabkot
86,ogan komering ulu selatan,kabkot
87,ogan komering ulu timur,kabkot
88,penukal abab lematang ilir,kabkot
89,lubuklinggau,kabkot
90,pagar alam,kabkot
91,palembang,kabkot
92,prabumulih,kabkot
93,bengkalis,kabkot
94,indragiri hilir,kabkot
95,indragiri hulu,kabkot
96,kampar,kabkot
97,kepulauan meranti,kabkot
98,kuantan singingi,kabkot
99,pelalawan,kabkot
100,rokan hilir,kabkot
