token_0,BIO_tag_0
budi,b-nama
 ,O
budhi,o
 ,O
darma,b-nama
 ,O
heru,b-nama
 ,O
asih,b-nama
 ,O
raharjo,b-nama
 ,O
pekerti,o
 ,O
heri,b-nama
 ,O
utomo,b-nama
 ,O
sarwono,b-nama
 ,O
nugroho,b-nama
 ,O
santosa,b-nama
 ,O
dedy,b-nama
 ,O
permana,b-nama
 ,O
kurnia,b-nama
 ,O
cahyono,b-nama
 ,O
atmaja,b-nama
 ,O
setyo,b-nama
 ,O
prasetyo,b-nama
 ,O
hery,b-nama
 ,O
brata,o
 ,O
panca,o
 ,O
widya,b-nama
 ,O
karsa,o
 ,O
mulya,o
 ,O
dharma,o
 ,O
bhakti,o
 ,O
bhuana,o
 ,O
husada,o
 ,O
sugeng,b-nama
 ,O
purnomo,b-nama
 ,O
wahyudi,b-nama
 ,O
herry,b-nama
 ,O
nurhadi,b-nama
 ,O
edy,b-nama
 ,O
hendro,b-nama
 ,O
welas,b-nama
 ,O
handayani,b-nama
 ,O
rahayu,b-nama
 ,O
mulyo,b-nama
 ,O
kumala,b-nama
 ,O
arga,b-nama
 ,O
sukma,b-nama
 ,O
pohaci,o
 ,O
siswanto,b-nama
 ,O
sapto,b-nama
 ,O
wicaksono,b-nama
 ,O
setyawan,b-nama
 ,O
putro,b-nama
 ,O
keluhuran,o
 ,O
pekertinya,o
 ,O
luhur,o
 ,O
akhlak,o
 ,O
berbudi,o
 ,O
schwarzkrone,o
 ,O
bidhun,o
 ,O
anduk,o
 ,O
kejujuran,o
 ,O
karimah,o
 ,O
hermawan,b-nama
 ,O
haryadi,b-nama
 ,O
cahyo,b-nama
 ,O
darmawan,b-nama
 ,O
sudarsono,b-nama
 ,O
oetomo,b-nama
 ,O
priyo,b-nama
 ,O
harsono,b-nama
 ,O
triyono,b-nama
 ,O
purwanto,b-nama
 ,O
kusumaatmadja,b-nama
 ,O
mulyana,b-nama
 ,O
sumarsono,b-nama
 ,O
setiadi,b-nama
 ,O
pramono,b-nama
 ,O
wibisono,b-nama
 ,O
sasongko,b-nama
 ,O
budiono,b-nama
 ,O
eko,b-nama
 ,O
yudi,b-nama
 ,O
dedi,b-nama
 ,O
handoyo,b-nama
 ,O
suryana,b-nama
 ,O
hendri,b-nama
 ,O
wirawan,b-nama
 ,O
setiawan,b-nama
 ,O
cahya,b-nama
 ,O
asmoro,b-nama
 ,O
wirya,b-nama
 ,O
haryo,b-nama
 ,O
atmadja,b-nama
 ,O
kusumah,b-nama
 ,O
ragil,b-nama
 ,O
wardana,b-nama
 ,O
legowo,o
 ,O
subrata,b-nama
 ,O
sigit,b-nama
 ,O
mochamad,b-nama
 ,O
hartoyo,b-nama
 ,O
anyung,o
 ,O
yuda,b-nama
 ,O
suparto,b-nama
 ,O
kusumo,b-nama
 ,O
mangun,b-nama
 ,O
sapta,b-nama
 ,O
manunggal,o
 ,O
indera,o
 ,O
persada,o
 ,O
wiyata,o
 ,O
artha,o
 ,O
kartika,b-nama
 ,O
nugraha,b-nama
 ,O
eka,b-nama
 ,O
tresna,o
 ,O
wira,b-nama
 ,O
wuri,o
 ,O
mukti,o
 ,O
kerta,o
 ,O
sradha,o
 ,O
dhamma,o
 ,O
sanata,o
 ,O
oratmangun,o
 ,O
prajna,o
 ,O
wiratama,o
 ,O
bakti,o
 ,O
manggala,o
 ,O
satya,b-nama
 ,O
krida,o
 ,O
bina,o
 ,O
braja,o
 ,O
bhaladika,o
 ,O
wisesa,b-nama
 ,O
akasa,o
 ,O
yudha,b-nama
 ,O
stikes,o
 ,O
akbid,o
 ,O
rsia,o
 ,O
medika,o
 ,O
akper,o
 ,O
supardi,b-nama
 ,O
mochammad,b-nama
 ,O
sunarya,b-nama
 ,O
suwarno,b-nama
 ,O
sutisna,b-nama
 ,O
singgih,b-nama
 ,O
prayitno,b-nama
 ,O
irianto,b-nama
 ,O
kartiko,b-nama
 ,O
tyas,b-nama
 ,O
murti,b-nama
 ,O
ketulusan,o
 ,O
sedya,o
 ,O
wardhani,o
 ,O
pratiwi,b-nama
 ,O
wijayanti,b-nama
 ,O
wahyuni,b-nama
 ,O
wardani,b-nama
 ,O
ningrum,b-nama
 ,O
astuti,b-nama
 ,O
anggraini,b-nama
 ,O
hartati,b-nama
 ,O
utami,b-nama
 ,O
retno,b-nama
 ,O
endah,b-nama
 ,O
harjo,b-nama
 ,O
rejo,b-nama
 ,O
kadus,o
 ,O
kasun,o
 ,O
arum,o
 ,O
rejosari,o
 ,O
gatak,o
 ,O
drojo,o
 ,O
sidodadi,o
 ,O
winata,o
 ,O
woro,o
 ,O
anggraeni,b-nama
 ,O
puspitasari,b-nama
 ,O
yuliani,b-nama
 ,O
kadek,b-nama
 ,O
vira,b-nama
 ,O
rini,b-nama
 ,O
ardi,b-nama
 ,O
kemala,o
 ,O
ratih,b-nama
 ,O
tuti,b-nama
 ,O
sanghyang,o
 ,O
bhatari,o
 ,O
betara,o
 ,O
candrakirana,o
 ,O
parwati,o
 ,O
bhatara,o
 ,O
nyi,o
 ,O
retna,b-nama
 ,O
munding,o
 ,O
rahmad,b-nama
 ,O
supriyanto,b-nama
 ,O
sugiyanto,b-nama
 ,O
nurjaman,o
 ,O
sunarto,b-nama
 ,O
handoko,b-nama
 ,O
keperkasaan,o
 ,O
keteguhan,o
 ,O
keuletan,o
 ,O
kesucian,o
 ,O
keagungan,o
 ,O
keikhlasan,o
 ,O
hatees,o
 ,O
heryadi,o
 ,O
istiawan,b-nama
 ,O
dwiarso,b-nama
 ,O
subanar,o
 ,O
bhidun,o
 ,O
pangudi,o
 ,O
berakhlak,o
 ,O
pertjajah,o
 ,O
mrih,o
 ,O
akhlaq,o
 ,O
keimanan,o
 ,O
ketaqwaan,o
 ,O
aqidah,o
 ,O
akidah,o
 ,O
beramal,o
 ,O
akhlakul,o
 ,O
keutamaan,o
 ,O
berilmu,o
 ,O
berkepribadian,o
 ,O
santun,o
 ,O
berkarakter,o
 ,O
guyau,o
 ,O
waseso,o
 ,O
ketabahan,o
 ,O
ketekunan,o
 ,O
kesederhanaan,o
 ,O
kelembutan,o
 ,O
kesungguhan,o
 ,O
ketegasan,o
 ,O
berakhlakul,o
 ,O
berakhlaqul,o
 ,O
imtaq,o
 ,O
akhlaqul,o
 ,O
bertaqwa,o
 ,O
ipteks,o
 ,O
hendrawan,b-nama
 ,O
septian,b-nama
 ,O
kurniawan,b-nama
 ,O
hengky,b-nama
 ,O
juwono,b-nama
 ,O
kartasasmita,b-nama
 ,O
boedi,b-nama
 ,O
tjipto,b-nama
 ,O
soedjono,b-nama
 ,O
sunaryo,b-nama
 ,O
soesatio,b-nama
 ,O
sastro,b-nama
 ,O
hardjo,b-nama
 ,O
agoes,b-nama
 ,O
putranto,b-nama
 ,O
sudrajat,b-nama
 ,O
