title,date,description,source
"IRT di Badung Bali Curi Perhiasan Senilai Rp 80 Juta

","Senin, 28 Feb 2022 13:32 WIB

","Seorang ibu rumah tangga (IRT) di Kabupaten Badung,

 Perhiasan emas yang dicuri berupa dua gelang anak, satu kalung anak, satu
cincin anak, satu cincin dewasa, satu cincin berlian, satu cincin kawin, dan
satu pasang sumpel intan.

 ""Jumlah kerugian ditaksir mencapai Rp 80 juta. Modus operandi pelaku dengan
masuk melalui pintu yang tidak terkunci. Motifnya untuk memenuhi kebutuhan
hidup,"" kata Kasi Humas Polres Badung Iptu I Ketut Sudana dalam keterangannya
kepada

 Sudana mengatakan korban mengetahui perhiasannya hilang pada Sabtu
(16/2/2021). Rumah korban berada di Lungkungan Banjar Cempak, Desa Kapal,
Mengwi, Badung.

 Saat itu korban beserta keluarganya hendak berangkat kondangan. Korban
kemudian tidak menemukan perhiasan emasnya yang sebelumnya ditaruh di atas
lemari. Perhiasan milik cucu korban di lemari baju lantai dua juga telah
hilang.

 Atas peristiwa tersebut, korban melaporkannya ke pihak kepolisian guna
penanganan lebih lanjut. Laporan korban teregistrasi di Polsek Mengwi dengan
nomor LP/ B/ 07/ II/2022/SPKT/SEK. MENGWI/RES. BADUNG/POLDA BALI tertanggal 26
Februari 2022.

 Mendapatkan laporan tersebut, Unit Reserse Kriminal (Reskrim) Polsek Mengwi
langsung mendatangi tempat kejadian perkara (TKP). Di sana polisi melakukan
olah TKP dan pengumpulan bahan keterangan dari korban dan saksi.

 ""Berdasarkan hasil pengumpulan bahan keterangan yang dilakukan terhadap korban
dan saksi-saksi di TKP pelaku mengarah kepada seorang perempuan atas nama Ni
Ketut Astini asal Desa Madenan, Kecamatan Tejakula, Kabupaten Buleleng,""
terang Sudana.

 Berbekal data yang diperoleh, Polsek Mengwi kemudian bergerak melakukan
penyelidikan. Kemudian pada Sabtu (26/2) sekitar pukul 17.00 Wita, Polsek
Mengwi mengamankan pelaku di sebuah mes di Lingkungan Banjar Cempak, Kelurahan
Kapal, Kecamatan Mengwi, Kabupaten Badung.

 ""Pelaku mengakui perbuatannya telah melakukan pencurian perhiasan emas di
Rumah Pak Cipta Nadi, Lingkungan Banjar Cempak, Kelurahan Kapal, Kecamatan
Mengwi, Kabupaten Badung, yang dilakukan sebanyak tiga kali berselang setiap
satu minggu,"" jelas Sudana.

 

 ",www.detik.com
"Jejak 'Protagonis' Doni Salmanan Sebelum Terjerat Kasus Binomo

","Jumat, 04 Mar 2022 09:31 WIB

","Soreang itu sempat menjadi bulan-bulanan warganet karena disinyalir menjadi
salah satu afiliator dalam transaksi digital dengan sistem binary option
sebagai sumber kekayaannya.

 Sekilas tentang binary option, dikutip dari berbagai sumber, itu merupakan
sistem trading yang mengharuskan pelakunya menebak angka yang keluar dalam
waktu satu menit dengan modal yang disetorkan di awal. Jika benar, bakal
mendapatkan cuan. Jika salah, modal yang telah disetorkan akan hangus.

 Mundur ke belakang, pria berusia 23 tahun itu sempat menjadi protagonis
tatkala pandemi COVID-19 melanda sejak awal 2020. Pada 3 Agustus 2021 silam,
ia mendonasikan sejumlah uang hasil lelang motor sport miliknya.

 Kala itu, Doni melelang sepeda motor Yamaha R1M berwarna merah. Motor dengan
kapasitas mesin 1.000 cc 4 silinder itu terjual Rp 830 juta kepada seorang
YouTuber juga yang bernama Lanang Cikal Narendra.

 Bak pahlawan, Doni menyumbangkan semua uang yang didapat dari hasil lelang
motor tersebut untuk membantu masyarakat di Jawa Barat yang terdampak pandemi
COVID-19. Penyerahan donasi dilakukan di kawasan Kota Baru Parahyangan,
Padalarang, Kabupaten Bandung Barat pada Gubernur Jawa Barat Ridwan Kamil dan
Pemda KBB diwakili Plt. Bupati Bandung Barat Hengky Kurniawan.

 Donasi yang diserahkan sang

 ""Saya melelang motor Yamaha R1M punya saya seharga Rp 830 juta dan semuanya
saya donasikan,"" ungkap Doni Salmanan saat ditemui di Padalarang, Bandung
Barat kala itu.

 Kepada wartawan, Doni menyebut alasan ia rela melepas koleksi kesayangannya
itu didasari kepedulian pada masyarakat yang mengalami kesulitan akibat
diterjang badan pandemi COVID-19. Belum lagi pemerintah yang menerapkan
kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat hingga
PPKM Level 3-4.

 ""Saya yang punya penghasilan ingin membantu dengan cara berbagi seperti ini,""
kata Doni.

 Sebelum donasi yang dilakukan pada Juli 2021 lalu, Doni Salmanan juga sempat
menggegerkan publik dan media sosial karena membagi-bagikan uang jutaan rupiah
pada pengendara di jalanan Kota Bandung. Aksinya yang direkam dalam video dan
diunggah ke akun media sosial miliknya viral hingga mengundang bermacam reaksi

 ""Setiap minggu saya selalu melakukan hal seperti itu (bagi-bagi uang kepada
pengendara), tapi ada yang diekspose dan tidak. Saya ingin kasih contoh untuk
anak bikers lainnya. Ayo kita sama-sama bantu masyarakat yang terdampak PPKM
dan pandemi COVID-19 ini,"" tutur Doni mengakhiri wawancara.

 ",www.detik.com
"Kisah Kejinya Si Pembunuh Berantai 'Twitter'

","Minggu, 06 Mar 2022 07:09 WIB

","Media sosial bisa menjadi alat yang berbahaya di tangan seorang penjahat.
Seorang pria Jepang bernama

 Seperti dilansir

 Shiraishi menghubungi korban-korbannya via Twitter dan membujuk mereka untuk
bertemu dengan iming-iming dia akan membantu mereka untuk bunuh diri.
Dilaporkan bahwa nyaris seluruh korban yang dihabisi Shiraishi pernah
mengungkapkan keinginan untuk bunuh diri.

 Kepada polisi setempat, seperti dilaporkan sejumlah media lokal yang mengutip
sumber kepolisian, Shiraishi mengaku dirinya membunuh para korban 'pada hari
yang sama dia bertemu' dengan mereka.

 Dari sembilan orang yang dihabisinya, hanya satu yang berjenis kelamin laki-
laki. Shiraishi menyebut pria itu terpaksa dibunuh karena mencurigai hilangnya
kekasihnya, yang telah terlebih dahulu dibunuh oleh Shiraishi.

 Shiraishi membunuh pria tersebut, karena dia terus menanyakan soal keberadaan
kekasihnya. Shiraishi khawatir pria itu akan melaporkan peristiwa hilangnya
sang kekasih kepada polisi.

 Shiraishi mengakui para korbannya kebanyakan wanita muda, berusia sekitar
20-an atau atau masih remaja. Shiraishi juga mengaku dirinya memutilasi
jenazah para korbannya di dalam kamar mandi, dengan menggunakan sebuah
gergaji. Polisi telah menemukan gergaji yang dimaksud di dalam apartemen
Shiraishi.

 ""Awalnya, butuh waktu tiga hari untuk memutilasi satu jenazah, tapi mulai dari
korban kedua, saya bisa melakukannya dalam sehari,"" demikian pengakuan
mengerikan Shiraishi seperti dikutip sumber tersebut.

 Terbongkarnya aksi keji Shiraishi ini berawal dari penyelidikan hilangnya
seorang wanita berusia 23 tahun. Wanita yang hilang ini diketahui menulis
pesan berbunyi 'Saya mencari seseorang untuk mati bersama saya' via Twitter.
Polisi kemudian menemukan keterkaitan wanita itu dengan Shiraishi.

 Polisi menemukan 9 jenazah korban yang telah dimutilasi, termasuk dua potongan
kepala, di apartemen Shiraishi yang ada di kota Zama, pinggiran Tokyo.
Potongan tubuh korban disimpan di dalam kotak-kotak pendingin yang diletakkan
tersebar di apartemen Shiraishi. Total ada 240 potongan tulang manusia yang
ditemukan dari apartemen kecil itu.

 ""Saya tidak bisa membuangnya (jenazah itu) karena takut ketahuan,"" tutur
Shiraishi kepada polisi setempat.

 

 ",www.detik.com
"Wanita Diperkosa 2 Pria Gemparkan Singapura, Pelaku Ditangkap

","Minggu, 13 Mar 2022 12:00 WIB

","Seorang wanita berusia 32 tahun menjadi korban pemerkosaan di

 Dilansir Channel News Asia, Minggu (13/1/2022) menurut keterangan polisi,
mereka mendapatkan panggilan bantuan pada Selasa (8/3) sekitar pukul 07.25
waktu setempat. Seorang wanita ditemukan dalam kondisi terkapar di Jalan
Pioneer, tepatnya di bawah jembatan dekat stasiun MRT Tuas West Road,
Singapura.

 Wanita yang identitasnya dilindungi itu ditemukan dalam keadaan sadar. Namun
terdapat luka-luka di kepala dan tubuhnya dan langsung dilarikan ke rumah
sakit.

 ""Setelah pemeriksaan medis, luka-lukanya menunjukkan bahwa dia mungkin telah
diserang secara seksual,"" demikian keterangan polisi.

 ""Petugas dari Departemen Reserse Kriminal, Departemen Intelijen Polisi,
Komando Keamanan Transportasi Umum dan Divisi Polisi Jurong segera memulai
penyelidikan atas dugaan kasus pemerkosaan,"" tambah mereka.

 Setelah diselidiki, polisi mengidentifikasi dua pria warganegara Bangladesh
sebagai pelaku pemerkosaan. Mereka ditangkap dalam waktu 12 jam setelah
laporan diterima polisi.

 Penyelidikan awal mengungkapkan bahwa wanita tersebut tidak mengenal dua
pelaku. Mereka diduga membawa korban ke Pioneer Road dan menyerangnya.

 Dalam pengadilan pada Kamis (10/3) lalu, Ahmed Rayhan (30) dan Alam Foysal
(36) didakwa memerkosa seorang wanita pada Selasa (8/3) sekitar pukul 00:30
hingga 02:20.

 Dalam rekaman video dari dalam penjara, keduanya tampak mengenakan kaos hitam
dan kemeja bermotif bunga. Mereka mengikuti proses pengadilan melalui seorang
penerjemah bahasa.

 Pengadilan memerintahkan kedua terdakwa untuk ditahan selama satu minggu
kedepan untuk dilakukan penyelidikan lebih lanjut. Sidang kedua mereka akan
berlangsung pada 17 Maret 2022 mendatang.

 Kedua pelaku terancam hukuman penjara hingga 20 tahun dengan tambahan denda
atau hukum cambuk.

 ",www.detik.com
"Bawa Kabur Mobil Mewah Pelanggan, Karyawan Car Wash di Makassar Dibekuk

","Jumat, 18 Mar 2022 16:04 WIB

","Karyawan

 Dilansir dari

 ""Pelaku merupakan karyawan tempat cuci mobil,"" kata Kanit Jatanras Polrestabes
Makassar Iptu Afhi Abrianto, Jumat (18/3/2022).

 Aan diketahui akan membawa mobil tersebut untuk digadaikan ke rekannya. ""Dia
gadaikan ke salah satu temannya sebanyak Rp 5 juta,"" ungkap Afhi.

 Polisi kemudian bergerak mencuri mobil yang digadaikan Aan. Hasilnya, mobil
tersebut berhasil ditemukan Unit Jatanras Polres Gowa.

 ""Temannya ini curiga kenapa mobil ini hanya lima juta dan tidak ada surat-
suratnya, temannya ini menyerahkan mobil tersebut kepada petugas kepolisian
daerah setempat (Jatanras Gowa),"" jelas Afhi.

 Simak selengkapnya

 ",www.detik.com
"AKBP Mustari Laporkan Balik Ortu ABG Korban Pemerkosaan di Sulsel

","Minggu, 13 Mar 2022 08:31 WIB

","Oknum polisi sekaligus tersangka kasus

 Dilansir dari

 Orang tua korban berinisial AR. Erwin menuding AR kerap meminta uang kepada
AKBP Mustari setelah mengetahui putrinya diduga diperkosa.

 ""Untuk sementara kita laporkan tindak pidana pemerasannya,"" ujar Erwin Mahmud
di SPKT Polda Sulsel dilansir

 AR, sebut Erwin, mengetahui pemerkosaan itu. Erwin menuding AR memanfaatkan
situasi korban.

 ""Transferan itu awalnya Rp 200 ribu sampai ada Rp 2,5 juta menurut info klien
kami,"" sebut Erwin, Rabu (9/3).

 Simak selengkapnya

 ",www.detik.com
"Apa yang Dimaksud Korupsi? Ketahui Penyebab dan Upaya untuk Memberantasnya

","Selasa, 14 Des 2021 19:00 WIB

","dipandang sebagai kejahatan luar biasa yang memerlukan upaya luar biasa pula
untuk memberantasnya. Di Indonesia, korupsi kerap kali dilakukan oleh para
pejabat publik hingga anggota dewan. Lantas apa sebenarnya pengertian korupsi?

 Jeremy Pope dalam bukunya ""Strategi Memberantas Korupsi"" mengatakan, korupsi
adalah penyalahgunaan kekuasaan dan kepercayaan untuk kepentingan publik atau
perilaku tidak mematuhi prinsip mempertahankan jarak.

 Dalam sejarah Indonesia, korupsi mulai terjadi sejak zaman kerajaan. Bahkan
VOC bangkrut pada awal abad ke 20 akibat korupsi yang merajalela di tubuhnya.

 Setelah proklamasi kemerdekaan, banyak petinggi Belanda yang kembali ke tanah
airnya. Posisi kosong mereka kemudian diisi oleh kaum pribumi pegawai
pemerintah yang tumbuh dan berkembang di lingkungan korup.

 Kultur korupsi ini kemudian terus berlanjut hingga masa pemerintahan orde
lama. Presiden Soeharto pada saat itu terus mengupayakan berbagai cara untuk
memberantas korupsi. Namun, di samping hal itu Presiden Soeharto juga tumbang
dengan isu korupsi.

 Sampai saat ini, kasus korupsi di Indonesia seakan menjadi budaya yang sangat
sulit dihentikan, hampir pada setiap organisasi atau perusahaan bahkan
institusi pemerintahan, korupsi terus dilakukan.

 Apa yang menyebabkan korupsi bisa terjadi terus menerus? Berikut ini
penjelasannya.

 Penyebab terjadinya

 Faktor internal korupsi terdiri dari 2 aspek, yaitu aspek individu dan aspek
sosial.

 \- Kualitas moral individu juga berperan penting dalam penyebab terjadinya
korupsi. Adanya sifat serakah dalam diri manusia, gaya hidup yang konsumtif
dan himpitan ekonomi dapat membuat seseorang melakukan korupsi.

 \- Dalam aspek sosial, keluarga dapat menjadi pendorong seseorang untuk
berperilaku korup.

 Faktor eksternal korupsi terdiri dari aspek sikap masyarakat terhadap korupsi,
aspek ekonomi, aspek politik dan aspek organisasi.

 a. Sikap masyarakat terhadap praktik korupsi.

 Misalnya, dalam sebuah organisasi, kesalahan individu sering ditutupi demi
menjaga nama baik organisasi. Demikianlah tindak korupsi dalam sebuah
organisasi sering kali ditutup-tutupi.

 b. Aspek ekonomi

 Kondisi ekonomi sering membuka peluang bagi seseorang untuk korupsi.
Pendapatan yang tidak dapat memenuhi kebutuhan atau saat sedang terdesak
masalah ekonomi membuka ruang bagi seseorang untuk melakukan jalan pintas, dan
salah satunya adalah dengan melakukan korupsi.

 c. Aspek politik

 Perilaku korup seperti penyuapan, politik uang merupakan fenomena yang sering
terjadi.

 Sebagai contoh, seseorang membeli suatu atau menyuap para pemilih/anggota
partai agar dapat memenangkan sebuah jabatan.

 d. Aspek organisasi

 Aspek-aspek penyebab korupsi dalam sudut pandang organisasi antara lain;

 \- Kurang adanya teladan dari pemimpin

 \- Tidak adanya kultur organisasi yang benar

 \- Sistem akuntabilitas di instansi pemerintah kurang memadai

 \- Manajemen cenderung menutupi korupsi di dalam organisasi

 \- Lemahnya pengawasan.

 Adapun upaya memberantas korupsi yang dilansir dari laman kpk.go.id, ada tiga
strategi yakni:

 1\. Perbaikan Sistem

 Sistem yang berjalan di Indonesia dinilai masih banyak yang memberikan peluang
terjadinya tindak pidana korupsi.

 Agar tidak bisa melakukan korupsi, diperlukan upaya perbaikan sistem seperti
mendorong transparansi penyelenggara negara yang dilakukan KPK menerima
pelaporan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN) dan juga
gratifikasi.

 2\. Edukasi dan Kampanye

 Edukasi dan kampanye dilakukan agar orang tidak mau melakukan korupsi. Edukasi
dan kampanye adalah strategi pembelajaran pendidikan antikorupsi dengan tujuan
membangkitkan kesadaran masyarakat mengenai dampak korupsi.

 3\. Represif

 Strategi represif ini bertujuan agar orang takut melakukan korupsi. Upaya ini
diwujudkan dalam upaya penindakan hukum untuk membawa koruptor ke pengadilan.

 Nah, itulah penjelasan mengenai

 ",www.detik.com
"Pria yang Viral Pukul Wanita di Malang Ternyata Sepasang Kekasih

","Selasa, 22 Feb 2022 15:22 WIB

","Polisi bergerak cepat merespons video viral

 Kapolsek Karangploso AKP Syamsul Hidayat menuturkan hasil penyelidikan
mengungkap bahwa lokasi kejadian berada di Jalan Anggrek, Desa Donowarih,
Kecamatan Karangploso, Kabupaten Malang.

 ""Untuk peristiwanya sendiri, lanjut Syamsul, terjadi pada Minggu (20/2),
sekitar pukul 17.00 WIB,"" kata Syamsul kepada wartawan, Selasa (22/2/2022).

 Syamsul membeberkan pihaknya juga berhasil mengungkap identitas pria dan
wanita yang ada di dalam video. Korban berinisial EY (24), warga Desa
Langlang, Kecamatan Singosari, Kabupaten Malang, sementara pelaku berinisial
CSA (20), warga Pendem, Kecamatan Junrejo, Kota Batu.

 ""Korban saat itu tidak melaporkan kejadian yang dialami. Dikarenakan korban
dan pelaku saling kenal. Keduanya ada hubungan pacaran,"" beber Syamsul.

 Korban selanjutnya dibawa petugas ke

 ""Kami juga melakukan visum dan klarifikasi kepada korban beserta orang tuanya.
Termasuk terduga pelaku,"" terang Syamsul.

 Sebuah video memperlihatkan aksi kekerasan pria terhadap seorang wanita viral.
Kasus ini telah ditangani oleh aparat kepolisian.

 Video yang diunggah menyebutkan kejadian itu berada di Karangploso, Kabupaten
Malang. Video berdurasi 28 detik itu mempertontonkan seorang pria berkaos
kuning dan mengenakan topi, memukul perempuan yang berada di atas motor
sebanyak dua kali.

 ",www.detik.com
"Polisi AKBP Mustari Pemerkosa Siswi SMP Dipecat!

","Jumat, 11 Mar 2022 14:00 WIB

","Polisi Sulsel AKBP Mustari tersangka

 ""Hasilnya menjatuhkan sanksi berupa sanksi yang sifatnya tidak administratif
berupa perilaku pelanggaran dinyatakan sebagai perbuatan tercela,"" kata ketua
sidang kode etik Kombes Ai Afriandi di Mapolda Sulsel seperti dikutip dari

 ""Kemudian kedua, sanksi yang sifatnya administratif berupa direkomendasikan
pemberhentian tidak dengan hormat atau PTDH dari dinas Kepolisian Negara
Republik Indonesia,"" sambung Afriandi.

 Afriandi mengatakan AKBP Mustari resmi dipecat berdasarkan hasil sidang kode
etik. Terduga pelanggar AKBP Mustari terbukti melanggar kode etik profesi
Polri.

 ""Melanggar Pasal 7 ayat 1 huruf B Peraturan Kapolri (Perkap) Nomor 14 2011
tentang Kode Etik Profesi Polri,"" kata Afriandi.

 Diberitakan sebelumnya, AKBP Mustari resmi menjalani sidang kode etik hari
ini. Sidang kode etik mulai digelar sekitar pukul 08.45 Wita pagi tadi.

 Silakan baca berita selengkapnya

 ",www.detik.com
"Polisi Bantah Rekayasa Kasus Begal Terdakwa Fikry cs di Bekasi

","Rabu, 02 Mar 2022 20:50 WIB

","LBH Jakarta menyebutkan kasus pemuda bernama

 ""Tidak ada rekayasa dan tidak ada penyiksaan. Bahwa penangkapan para terdakwa
berdasarkan hasil penyelidikan dan fakta-fakta di lapangan,"" kata Kabid Humas
Polda Metro Jaya Kombes Endra Zulpan kepada wartawan, Rabu (2/3/2022).

 Zulpan menjelaskan, awalnya SPK Polsek Tambelang telah menerima laporan
tentang kejadian pencurian dengan kekerasan yang terjadi pada Sabtu, 24 Juli
2021, pukul 01.30 WIB. Korban bernama Darusman Ferdiansyah dibegal oleh 6
orang pelaku.

 Dalam laporan polisi bernomor LP/B/968-13/VII/2021/SPKT/Polsek
Tambelang/Polrestro Bekasi/Polda Metro Jaya itu, dijelaskan bahwa korban masih
mengingat nopol pelaku begal serta dapat memastikan wajah para pelaku yang

 ""Setelah didapat foto-foto kelompok CBL (Fikry cs), kemudian diperlihatkan
kepada korban di mana korban menunjuk 2 (dua) foto kelompok CBL yang diduga
bagian dari pelaku. Serta mengenali pelat nomor motor yang digunakan pelaku,""
lanjutnya.

 Polsek Tambelang menangkap 4 orang diduga pelaku atas nama Muhammad Fikry,
Adurohman, Andrianto, dan Muhammad Rizki. Semuanya sudah dewasa serta menyita
barang bukti berupa Honda Vario nopol B-4956-TNO dan Honda Beat nopol
B-4358-FPW,

 Namun penyelidikan oleh Polsek Tambelang itu dipraperadilankan oleh pihak
tersangka terkait penangkapan tersangka. Putusan praperadilan menolak eksepsi
termohon dan Polsek Tambelang memenangkan praperadilan tersebut.

 Kuasa hukum tersangka juga telah mengadukan hal tersebut ke Propam Polda Metro
Jaya dan Kompolnas. Namun, menurut Zulpan, hasil pemeriksaan Kompolnas
menyatakan bahwa dalam proses penangkapan, penahanan, dan penyitaan telah
sesuai dengan prosedur.

 ""Dari hasil pemeriksaan anggota Kompolnas bahwa dalam proses penangkapan,
penahanan, dan penyitaan telah sesuai dengan prosedur,"" sambungnya.

 

 ",www.detik.com
