tingkat setelah parent,parent,similarity
1,indonesia,"[('nusantara', 0.6336740851402283), ('malaysia', 0.5273208618164062), ('yogyakarta', 0.5226682424545288), ('jepang', 0.5148957371711731), ('jakarta', 0.5082994103431702), ('tiongkok', 0.4960557520389557), ('singapura', 0.4951317608356476), ('riau', 0.4918879568576813), ('indonesian', 0.4892876148223877), ('makassar', 0.4892513155937195)]"
2,nusantara,"[('indonesia', 0.6336740255355835), ('riau', 0.5376212000846863), ('sriwijaya', 0.5373368263244629), ('persada', 0.5227940082550049), ('buana', 0.5147895216941833), ('makassar', 0.5134797096252441), ('banten', 0.5021368861198425), ('palembang', 0.4909151792526245), ('melayu', 0.48265987634658813), ('bali', 0.47832590341567993)]"
2,malaysia,"[('singapura', 0.8074566721916199), ('sarawak', 0.7158288359642029), ('johor', 0.7081539034843445), ('brunei', 0.7045674324035645), ('sabah', 0.6961515545845032), ('malaya', 0.6666083931922913), ('kelantan', 0.6613246202468872), ('thailand', 0.6609722375869751), ('terengganu', 0.6382607817649841), ('kedah', 0.6377370953559875)]"
2,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460445761680603), ('jogjakarta', 0.7178210020065308), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419415473937988), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613829612732)]"
2,jepang,"[('tiongkok', 0.6498856544494629), ('okinawa', 0.6375840902328491), ('inggris', 0.605661928653717), ('taiwan', 0.6039366126060486), ('rusia', 0.5765446424484253), ('korea', 0.5746220350265503), ('jerman', 0.5724655985832214), ('cina', 0.5712189674377441), ('prancis', 0.5528958439826965), ('belanda', 0.5516903400421143)]"
2,jakarta,"[('surabaya', 0.6788262724876404), ('bandung', 0.6456542611122131), ('bekasi', 0.6120882630348206), ('palembang', 0.6100819706916809), ('bogor', 0.6096035838127136), ('semarang', 0.60313481092453), ('yogyakarta', 0.5961077213287354), ('tangerang', 0.5946990847587585), ('depok', 0.577135443687439), ('ciputat', 0.5691471695899963)]"
2,tiongkok,"[('cina', 0.7772679328918457), ('taiwan', 0.7136415243148804), ('china', 0.7043383717536926), ('rrt', 0.6607980132102966), ('jepang', 0.6498857140541077), ('korea', 0.6343694925308228), ('qing', 0.6278963685035706), ('manchuria', 0.6221181750297546), ('vietnam', 0.6165829300880432), ('tibet', 0.606395423412323)]"
2,singapura,"[('malaysia', 0.8074567317962646), ('johor', 0.6513969898223877), ('singapore', 0.6461361050605774), ('thailand', 0.638859748840332), ('taiwan', 0.6294376254081726), ('penang', 0.6193045377731323), ('brunei', 0.6020339131355286), ('australia', 0.5925828218460083), ('malaya', 0.5903350114822388), ('hongkong', 0.5836425423622131)]"
2,riau,"[('jambi', 0.7128907442092896), ('pekanbaru', 0.681580126285553), ('kepri', 0.6788676977157593), ('bangka', 0.6582104563713074), ('bengkulu', 0.6506332755088806), ('tanjungpinang', 0.6469845771789551), ('bengkalis', 0.6262900829315186), ('belitung', 0.6069045066833496), ('batam', 0.6046921610832214), ('sumbar', 0.5988503694534302)]"
2,indonesian,"[('malaysian', 0.6096141338348389), ('asian', 0.5442444086074829), ('debating', 0.5379377007484436), ('moslem', 0.5182164311408997), ('leadership', 0.5119863152503967), ('singapore', 0.4933677613735199), ('students', 0.4927001893520355), ('asean', 0.4911753535270691), ('empowerment', 0.4897216856479645), ('indonesia', 0.4892876446247101)]"
