tingkat setelah parent,parent,similarity
,,
1,waktu,"[('waktunya', 0.6795573234558105), ('jam', 0.5151779055595398), ('sementara', 0.48946142196655273), ('saat', 0.48490312695503235), ('hari', 0.48395559191703796), ('tempoh', 0.4767948389053345), ('hitungan', 0.47354477643966675), ('detik', 0.4680251479148865), ('menit', 0.45570996403694153), ('selang', 0.45209458470344543)]"
2,waktunya,"[('waktu', 0.6795573830604553), ('hidupnya', 0.4771888256072998), ('istirahat', 0.45944616198539734), ('saatnya', 0.4515756070613861), ('seharian', 0.45108217000961304), ('beristirahat', 0.43395379185676575), ('kehidupannya', 0.4337908625602722), ('pekerjaannya', 0.43215182423591614), ('masa', 0.4238238036632538), ('cuti', 0.4177698493003845)]"
2,jam,"[('menit', 0.7242034673690796), ('detik', 0.6582715511322021), ('minggu', 0.6154540777206421), ('sejam', 0.6150256991386414), ('pukul', 0.5926238298416138), ('hari', 0.5792282819747925), ('berjam', 0.5704294443130493), ('semenit', 0.5562298893928528), ('milidetik', 0.5180313587188721), ('seminggu', 0.5177568793296814)]"
2,sementara,"[('sedangkan', 0.6645538806915283), ('saat', 0.6398103833198547), ('selain', 0.6393873691558838), ('ketika', 0.5934101343154907), ('karena', 0.5716542601585388), ('samping', 0.5634675621986389), ('tetapi', 0.5390990376472473), ('namun', 0.5342879891395569), ('meskipun', 0.5301047563552856), ('setelah', 0.5277387499809265)]"
2,saat,"[('ketika', 0.7700065970420837), ('sementara', 0.63981032371521), ('setelah', 0.5713344812393188), ('kala', 0.5658323764801025), ('disaat', 0.5616037249565125), ('sewaktu', 0.5065683126449585), ('dimana', 0.5042053461074829), ('akhirnya', 0.5013895630836487), ('karena', 0.5012362003326416), ('waktu', 0.48490312695503235)]"
2,hari,"[('harinya', 0.686499297618866), ('minggu', 0.6785523295402527), ('malam', 0.6146321892738342), ('bulan', 0.593883752822876), ('pekan', 0.5820012092590332), ('jam', 0.5792282819747925), ('pagi', 0.5320126414299011), ('jumat', 0.5302468538284302), ('perayaan', 0.5301728248596191), ('haripun', 0.5192945599555969)]"
2,tempoh,"[('semalam', 0.5220562815666199), ('waktu', 0.4767948091030121), ('selang', 0.44247156381607056), ('sepekan', 0.4375905990600586), ('lebaran', 0.43302708864212036), ('kemarin', 0.41779789328575134), ('sesingkat', 0.41540291905403137), ('petang', 0.4093400537967682), ('kalpa', 0.4073219895362854), ('sesudah', 0.3994445204734802)]"
2,hitungan,"[('kabisat', 0.5981770753860474), ('detik', 0.589398980140686), ('milidetik', 0.571586549282074), ('sepersekian', 0.5594587326049805), ('selang', 0.555368185043335), ('interval', 0.53724604845047), ('perhitungan', 0.5204002857208252), ('durasinya', 0.5164675712585449), ('per', 0.5140269994735718), ('durasi', 0.5107936859130859)]"
2,detik,"[('menit', 0.7528502941131592), ('jam', 0.6582714915275574), ('milidetik', 0.6231894493103027), ('sepersekian', 0.6010153889656067), ('hitungan', 0.589398980140686), ('semenit', 0.5594877004623413), ('selang', 0.5344513654708862), ('interval', 0.5259149670600891), ('sejam', 0.5084478259086609), ('frame', 0.4994661808013916)]"
2,menit,"[('detik', 0.7528502941131592), ('jam', 0.7242035269737244), ('sejam', 0.6345894932746887), ('semenit', 0.6221640110015869), ('minggu', 0.5794610977172852), ('milidetik', 0.5477977395057678), ('sebulan', 0.5272974371910095), ('seminggu', 0.5181542038917542), ('hitungan', 0.5020907521247864), ('pukul', 0.4941784739494324)]"
