tingkat setelah parent,parent,similarity
1,surabaya,"[('semarang', 0.7880793213844299), ('malang', 0.7244021892547607), ('jakarta', 0.6788262128829956), ('madiun', 0.6739822030067444), ('bandung', 0.6485385298728943), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708095550537), ('palembang', 0.6329647898674011), ('surakarta', 0.6244344711303711), ('jember', 0.6240251064300537)]"
2,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497219443321228), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243847846984863), ('tegal', 0.7242745161056519), ('malang', 0.720335066318512), ('salatiga', 0.7184394598007202), ('purwokerto', 0.7121427059173584)]"
2,malang,"[('surabaya', 0.724402129650116), ('kediri', 0.7242322564125061), ('semarang', 0.720335066318512), ('blitar', 0.6941945552825928), ('bandung', 0.6888080835342407), ('jember', 0.685132622718811), ('mojokerto', 0.6767305135726929), ('probolinggo', 0.6701105237007141), ('madiun', 0.6524862051010132), ('magelang', 0.6356691122055054)]"
2,jakarta,"[('surabaya', 0.6788262724876404), ('bandung', 0.6456542611122131), ('bekasi', 0.6120882630348206), ('palembang', 0.6100819706916809), ('bogor', 0.6096035838127136), ('semarang', 0.60313481092453), ('yogyakarta', 0.5961077213287354), ('tangerang', 0.5946990847587585), ('depok', 0.577135443687439), ('ciputat', 0.5691471695899963)]"
2,madiun,"[('mojokerto', 0.7328988313674927), ('magelang', 0.7303693294525146), ('blitar', 0.7289073467254639), ('semarang', 0.7243849039077759), ('pasuruan', 0.7180318832397461), ('jombang', 0.7109017372131348), ('jember', 0.7049100995063782), ('kediri', 0.7018264532089233), ('cilacap', 0.6916696429252625), ('ngawi', 0.6870994567871094)]"
2,bandung,"[('bogor', 0.7604233026504517), ('malang', 0.688808023929596), ('tasikmalaya', 0.6824037432670593), ('cimahi', 0.6755126714706421), ('purwakarta', 0.6576993465423584), ('cianjur', 0.6559135317802429), ('sukabumi', 0.6496258974075317), ('surabaya', 0.6485385298728943), ('jakarta', 0.6456542611122131), ('semarang', 0.6368222236633301)]"
2,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460445761680603), ('jogjakarta', 0.7178210020065308), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419415473937988), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613829612732)]"
2,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214034199714661), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.6758688688278198), ('gorontalo', 0.6734250783920288), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135151863098), ('parepare', 0.6426612734794617)]"
2,palembang,"[('makassar', 0.7024365663528442), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544742584228516), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474036574363708), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647302627563), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261778473854065), ('medan', 0.625846803188324)]"
2,surakarta,"[('yogyakarta', 0.8291754722595215), ('semarang', 0.7265726327896118), ('salatiga', 0.6889052391052246), ('pekalongan', 0.6621844172477722), ('magelang', 0.6536304950714111), ('madiun', 0.6431910395622253), ('jogjakarta', 0.6431556940078735), ('mataram', 0.6430928707122803), ('kraton', 0.6309205293655396), ('mangkunegaran', 0.6308548450469971)]"
2,jember,"[('probolinggo', 0.7383838295936584), ('jombang', 0.7361061573028564), ('banyuwangi', 0.7293094396591187), ('lumajang', 0.7280812859535217), ('situbondo', 0.7233957052230835), ('bondowoso', 0.7222006916999817), ('pasuruan', 0.7121523022651672), ('bojonegoro', 0.7067436575889587), ('madiun', 0.7049100399017334), ('malang', 0.6851325631141663)]"
3,surabaya,"[('semarang', 0.7880793213844299), ('malang', 0.7244021892547607), ('jakarta', 0.6788262128829956), ('madiun', 0.6739822030067444), ('bandung', 0.6485385298728943), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708095550537), ('palembang', 0.6329647898674011), ('surakarta', 0.6244344711303711), ('jember', 0.6240251064300537)]"
3,magelang,"[('temanggung', 0.7698610424995422), ('klaten', 0.7642683386802673), ('purworejo', 0.760752260684967), ('semarang', 0.7497219443321228), ('sragen', 0.7440623044967651), ('wonogiri', 0.7381899952888489), ('madiun', 0.7303692698478699), ('purbalingga', 0.7274575233459473), ('salatiga', 0.7232397198677063), ('wonosobo', 0.7207026481628418)]"
3,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460445761680603), ('jogjakarta', 0.7178210020065308), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419415473937988), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613829612732)]"
3,pekalongan,"[('semarang', 0.7401671409606934), ('tegal', 0.7270418405532837), ('pemalang', 0.720807671546936), ('brebes', 0.7192357778549194), ('banyumas', 0.7113261222839355), ('wonosobo', 0.7089510560035706), ('banjarnegara', 0.7062557339668274), ('purworejo', 0.7034938931465149), ('sragen', 0.703156590461731), ('probolinggo', 0.7007827758789062)]"
3,surakarta,"[('yogyakarta', 0.8291754722595215), ('semarang', 0.7265726327896118), ('salatiga', 0.6889052391052246), ('pekalongan', 0.6621844172477722), ('magelang', 0.6536304950714111), ('madiun', 0.6431910395622253), ('jogjakarta', 0.6431556940078735), ('mataram', 0.6430928707122803), ('kraton', 0.6309205293655396), ('mangkunegaran', 0.6308548450469971)]"
