title,date,description,source
"UMKM Resah Produk Impor, Ketua MPR Minta Ada Pembinaan

","Selasa, 07 Des 2021 22:55 WIB

",ketua mpr ri bambang soesatyo menerima masukan pelaku umkm indonesia tergabung forum ukm digital alumni universitas indonesia forum ukm digital alumni universitas indonesia hadir iman fisip pahala fib welly ft dwika fe wirawan ft mengaku resah maraknya produk impor umkm china menghabisi produk umkm lokal berdasarkan data kementerian koperasi ukm 50 persen produk dijual platform online e commerce berasal china pemerintah kementerian koperasi ukm bergerak cepat membina pelaku umkm mencapai 64 2 juta kontribusi produk domestik bruto 61 07 persen senilai rp 8 573 89 triliun menguasai pasar domestik umkm indonesia menguasai pasar internasional bamsoet keterangan tertulis selasa 7 12 2021 kontribusi umkm indonesia total ekspor 15 65 persen kalah dibandingkan singapura 41 persen thailand 29 persen china 60 persen memecahkan permasalahan bamoset menilai upaya membawa umkm kelas kementerian koperasi ukm mengembangkan trading house sistem terpadu meningkatkan pemasaran produk pelaku umkm pelaku umkm cepat berkembang memasarkan produknya salah kuncinya digitalisasi data kementerian koperasi ukm mencatat november 2021 umkm terdigitalisasi mencapai 16 4 juta unit presiden joko widodo menargetkan 2024 30 juta umkm terhubung ekonomi digital proyeksi google nilai ekonomi digital indonesia 2025 mencapai usd 146 miliar dinikmati umkm nilai ekonomi digital indonesia mencapai usd 70 miliar tumbuh 49 persen year on year yoy capaian 2020 senilai usd 47 miliar bamsoet melanjutkan tantangan kesulitan dihadapi memajukan umkm apresiasi pemerintah kinerja penyaluran kredit usaha rakyat kur tercatat 30 november 2021 realisasi kur mencapai rp 263 22 triliun mayoritasnya disalurkan usaha mikro data penyaluran kur super mikro rp 9 71 triliun 1 104 917 debitur kur mikro mencapai rp 166 11 triliun disalurkan 5 418 549 debitur kur tercatat rp 87 37 triliun diterima 446 730 debitur layanan pembiayaan dihadirkan pemerintah pelaku umkm prospek berkembang bankable kur membantu pelaku umkm sisi permodalan manajemen usaha kemudahan legalitas pungkasnya,www.detik.com
"Daerah yang Ekonominya Tumbuh di Atas 7%, Maluku-Papua Paling Tinggi!

","Kamis, 05 Agu 2021 14:31 WIB

",pertumbuhan ekonomi indonesia kuartal ii 2021 tercatat 7 07 badan pusat statistik bps angka covid 19 kepala bps margo yuwono daerah struktur perekonomian indonesia didominasi pulau jawa sumatera margo menyebut pulau jawa menyumbang kontribusi 57 92 perekonomian nasional disusul sumatera mencapai 21 73 konferensi pers kamis 5 8 2021 sisi pertumbuhan provinsi ekonominya tumbuh 7 maluku papua tercatat 8 75 sulawesi 8 51 kuartal ii 2021 pulau jawa berhasil tumbuh 7 88 kuartal ii 2021 daftarnya maluku papua 8 75 sulawesi 8 51 pulau jawa 7 88 kalimantan 6 28 sumatera 5 27 bali nusa tenggara 3 70,www.detik.com
"Ekonomi Kuartal I-2021 Diramal Masih Minus, tapi Kuartal II Bisa Loncat 6%

","Kamis, 25 Mar 2021 13:01 WIB

",kuartal i 2021 diprediksi zona negatif pengamat ekonomi pt bank permata josua pardede angkanya minus 2 1 kondisinya januari februari signifikan pemulihannya ekspektasinya kisaran negatif 2 1 kuartal i 2021 josua pelatihan wartawan bank indonesia bi virtual bertajuk sinergi memperkuat perekonomian kamis 25 3 2021 ekonomi loncat kuartal ii 2021 diprediksi tumbuh 6 ekspektasi dampak terkontraksinya ekonomi kuartal ii dialami negara dunia low base effect mendongkrak ekonomi kuartal ii perhitungan 6 an harapkan mendongkrak pemulihan aktivitas ekonomi normal semester ii 2021 seiring pelaksanaan vaksinasi masif negara indonesia dipercepat men drive pertumbuhan ekonomi semester ii program vaksinasi pikir kunci terkait peran covid covid nya kegiatan ekonomi longgar ya harapkan kesempatan deputi gubernur bi sugeng prediksi perbaikan proyeksi lembaga internasional klik halaman,www.detik.com
"Begini Langkah-langkah BI Dongkrak Ekonomi RI, Mana yang Ampuh?

","Jumat, 06 Agu 2021 15:25 WIB

",bank indonesia memiliki jurus membantu mendorong perekonomian moneter sistem pembayaran deputi gubernur senior bank indonesia destry damayanti bi berupaya mengoptimalkan bauran kebijakan moneter sistem pembayaran pendalaman pasar keuangan keuangan syariah dioptimalkan stimulus ekonomi acara sinergi menjaga momentum optimisme pemulihan ekonomi jumat 6 8 2021 2020 bi memangkas bi 7 days reverse repo rate 150 basis poin giro wajib minimum gwm 300 bps bi mengambil kebijakan keleluasaan sektor keuangan dp 0 kendaraan bermotor kredit pemilikan rumah kpr bank indonesia mengoptimalkan bauran kebijakan menjaga stabilitas makroekonomi sistem keuangan mendukung upaya perbaikan ekonomi informasi bi memiliki jurus mendorong perekonomian mlanjutkan kebijakan nilai tukar rupiah menjaga stabilitas nilai tukar sejalan fundamental mekanisme pasar penguatan strategi operasi moneter memperkuat efektivitas stance kebijakan moneter akomodatif halaman,www.detik.com
"Megawati Sebut Sertifikat Vaksin Efektif Dorong Pemulihan Ekonomi

","Sabtu, 28 Agu 2021 18:33 WIB

",ketua pdi perjuangan kondisi ekonominya tolong dianjurkan masyarakat ya prokes untung surat vaksinasi bilang efektif mega dikutip video diunggah akun youtube sekretariat presiden sabtu 28 8 2021 video merekam kegiatan pertemuan presiden jokowi pimpinan partai politik koalisi istana negara 25 agustus mega berbicara ketua partai politik koalisi sisi ekonomi rakyat vaksinasi berperan prokes nih mesti diomongkan namanya kehidupan ekonomi berjalan penuh sambung pidatonya mega presiden joko widodo jokowi berbincang pandemi covid 19 melanda indonesia upaya vaksinasi mengatasinya perbincangan mega menyemangati jokowi tegar menghadapi situasi pandemi barusan presiden jokowi situasional kondisi namanya berjalan negara tercinta republik indonesia presiden lupa berbincang pandemi vaksinasi mega kesempatan mega presiden jokowi tegar covid 19 indonesia dunia waktu bertemu bilang tegar bilang dunia kecepatan vaksinasi pengobatan meruntuhkan virus sambung,www.detik.com
"Tambang PTFI Buat Papua Raih Pertumbuhan Ekonomi Tertinggi di Q3-2021

","Rabu, 15 Des 2021 16:29 WIB

",pertumbuhan ekonomi provinsi papua mencapai 14 54 q3 2021 menjadikan papua provinsi angka pertumbuhan ekonomi tertinggi tingkat nasional kegiatan pertambangan pt freeport indonesia ptfi lakukan kabupaten mimika salah kontributor utama tingginya angka pertumbuhan ekonomi papua kurun waktu data badan pusat statistik bps menyebut sektor pertambangan penggalian kontributor terbesar tingginya angka pertumbuhan ekonomi papua triwulan iii 2021 pertumbuhan 37 56 yoy tingginya angka pertumbuhan ekonomi papua triwulan iii 2021 terlepas kontribusi sektor pertambangan penggalian pt freeport indonesia salah sektor vital menggerakkan perekonomian papua tantangan pandemi kepala bps provinsi papua adriana helena robaha keterangan tertulis dikutip rabu 15 12 2021 dukungan sektor pertambangan penggalian produk domestik regional bruto pdrb dasar harga konstan adhk papua tumbuh 2 42 triwulan iii 2021 imbuhnya tingginya kontribusi ptfi anggota mind id pencapaian angka pertumbuhan ekonomi papua berbanding lurus peningkatan produksi ptfi triwulan iii 2021 pt freeport indonesia bersyukur peningkatan produksi menggenjot pertumbuhan ekonomi signifikan papua triwulan iii 2021 menyadari pencapaian papua melibatkan peran pemangku kepentingan karyawan ptfi masyarakat mendukung keberlanjutan operasi mimika presiden direktur ptfi tony wenas tony sejalan peningkatan produksi upaya ptfi meningkatkan kesejahteraan masyarakat area operasinya diperluas langsung kontributor tingginya angka pertumbuhan ekonomi papua tony menjabarkan dampak pandemi covid 19 ptfi pemerintah kabupaten mimika keuskupan timika yayasan pemberdayaan masyarakat amungme kamoro ypmak mitra berupaya menjaga daya tahan ekonomi masyarakat program bantuan langsung pembangunan pengembangan kapasitas masyarakat berwirausaha ptfi tony berupaya membangun papua mengedepankan kolaborasi sinergi pemerintah pemangku kepentingan mendukung pemerintah upaya percepatan pencapaian tujuan pembangunan berkelanjutan sustainable development goals sdgs ptfi mitra sejati pemerintah indonesia membantu percepatan pencapaian tujuan pembangunan berkelanjutan tpb papua indonesia senantiasa membuka pintu kolaborasi mewujudkan visi papua bangkit mandiri sejahtera papar tony kepala badan perencanaan pembangunan daerah bappeda kabupaten mimika yohana paliling mengapresiasi upaya ptfi membangun papua pemerintah kabupaten mimika mengapresiasi inisiatif ptfi membangun papua mimika pembangunan ptfi lakukan terwujud tingginya angka pertumbuhan ekonomi papua tercermin peningkatan kesejahteraan masyarakat area operasi ptfi sejalan tujuan pembangunan daerah mimika urai yohanna,www.detik.com
"Pemerintah Harus Lakukan Ini Supaya Ekonomi Bisa Pulih

","Jumat, 16 Jul 2021 19:54 WIB

",ekonomi indonesia mengalami tekanan akibat pandemi covid 19 pemulihan ekonomi pengendalian covid 19 sekretaris kementerian koordinator bidang perekonomian susiwijono moegiarso percepatan vaksinasi covid 19 menyebut orang divaksin dosis 56 17 juta kejar susi jumat 16 7 2021 progres vaksinasi mencegah penularan menumbuhkan kepercayaan pelaku ekonomi optimalisasi apbn menggerakkan ekonomi nasional susi menyebut realisasi anggaran pen mencapai rp 226 6 triliun terealisasi 32 4 pagu rp 699 43 triliun implementasi uu cipta kerja mendorong peningkatan kualitas umkm umkm dinilai salah sektor membangkitkan perekonomian nasional direktur riset core indonesia piter abdullah umkm tempat membuka lapangan kerja indonesia piter penyerapan tenaga kerja sektor umkm mencapai 97 angkatan kerja indonesia 3 juta piter umkm penyokong ekonomi terbesar kontribusinya mencapai 60 pdb umkm perhatian pemerintah deputi bidang usaha mikro kementerian koperasi ukm eddy satriya umkm skala global rendah data kemenkop penyaluran kredit bank umkm mencapai 20 kontribusi ekspor mencapai 14 eddy singapura penyaluran kredit umkm mencapai 39 malaysia 51 kontribusi ekspor 35,www.detik.com
"Mendag dan Mentan Gandeng KPK Cegah Korupsi Importasi

","Kamis, 22 Apr 2021 15:22 WIB

",menteri pertanian menteri pertanian menteri perdagangan diundang ketua kpk masukan aspek berkaitan importasi pertemuan rangka mencapai efektivitas efisiensi aspek menentukan proses proses importasi sesuai ketentuan syahrul wartawan gedung merah putih kpk jakarta selatan kamis 22 4 2021 aspek aspek diharapkan dikawal kpk deputi pencegahan aspek aspek terkait langsung perizinan riph rekomendasi impor produk hortikultura sambungnya syahrul berharap bimbingan kpk korupsi kementerian pimpinan dicegah pengkajian membahas alih fungsi menentukan kepentingan pertanian jangka mencapai kesepakatan menteri perdagangan mengolahnya diasistensi harapan kpk diasistensi langsung kpk berharap hindari syahrul catatan deputi pencegahan pertemuan alih fungsi lahan kritis kritis kepentingan pertanian jangka imbuhnya syahrul memperkuat tata kelola pupuk deputi pencegahan kpk tata kelola diperbaiki regulasinya pengawasan ketiga memperkuat tata kelola pupuk berkoordinasi deputi pencegahan perbaikan perbaikan regulasinya kebijakan kebijakan sop nya langkah pengawasan kementerian pertanian kpk,www.detik.com
"Kontribusi Pemuda Jaga Kedaulatan Ekonomi dan Politik Kala Pandemi

","Selasa, 05 Okt 2021 16:25 WIB

",pemuda memegang peran aspek kehidupan bernegara sisi politik ekonomi perhatian menjaga kontribusi pemuda demokrasi transformasi politik kesejahtaraan ekonomi kemajuan pemuda presiden perserikatan organisasi kepemudaan tingkat nasional poknas muhammad ryano panjaitan konferensi nasional 2 digelar jakarta jumat 1 10 2021 gagasan trajektori poknas demokrasi politik kesejahteraan pembangunan bangsa transformasi peran sosial ekonomi politik pemuda ryano kesempatan ryano menerangkan mendasari gagasan transformasi politik kesejahteraan dominasi politik kekuasaan kalangan organisasi kepemudaan mencapai tujuan organisasi kebutuhan pengurus anggota organisasi kondisi bangsa indonesia dihadapkan tantangan pemuda organisasi kepemudaan memiliki visi trajektori aktivisme politik terarah dirasakan manfaatnya urainya ketiga pemahaman kekuasaan jabatan tujuan berakibat kebuntuan gagasan program kekuasaan jabatan dijalankan menghadirkan manfaat pemuda masyarakat poknas berharap tugas tanggung pemuda organisasi kepemudaan akses kesejahteraan pemuda tanah air peluang diciptakan kerja kolaborasi dibangun program program kepemudaan produktif kongkret dirasakan manfaatnya,www.detik.com
"Airlangga Optimistis Ekonomi RI Tumbuh 5,2% di 2022, Ini Hitungannya

","Selasa, 28 Des 2021 11:52 WIB

",menteri koordinator bidang perekonomian airlangga mengakui masyarakat global menghadapi varian omicron transmisinya kali dibandingkan varian tingkat dampak kesehatan omicron rendah buktinya tingkat hunian rumah sakit amerika serikat as 3 airlangga menyebut pemerintah indonesia vaksin booster vaksin pakai memanfaatkan vaksin merah putih diinisiasi universitas airlangga vaksin nusantara kesehatan kia tangguh keterangan tertulis selasa 28 12 2021 ketua komite penanganan covid 19 pemulihan ekonomi nasional kpcpen tantangan pandemi internasional properti evergrande china evan grande terlilit utang tingkat global usd 300 miliar jatuh tempo 2022 as inflasi menimbulkan kekhawatiran negara as menaikkan tingkat suku bunga berdampak tapering off suku bunga global terkerek terang ketua partai golkar kendati airlangga bersyukur tingginya inflasi as dibarengi kenaikan tingkat suku bunga kondisi negeri indonesia percaya ri memiliki cadangan devisa us 140 miliar neraca perdagangan positif kondisi internal meredam kondisi global perbankan memiliki dana ketiga menjaga suku bunga menjaga inflasi rendah 1 7 airlangga membuatnya optimistis room inflasi ditopang ketersediaan bahan pangan beras 2 3 berswasembada pasokan beras,www.detik.com
