tingkat setelah parent,parent,similarity
1,kriminalitas,"[('kekerasan', 0.6600057482719421), ('kejahatan', 0.6485456228256226), ('pemerkosaan', 0.6454994082450867), ('rasisme', 0.6409823298454285), ('intimidasi', 0.6399812698364258), ('diskriminasi', 0.6323240995407104), ('terorisme', 0.6228175163269043), ('perkosaan', 0.6209455728530884), ('nepotisme', 0.6201228499412537), ('pelecehan', 0.6139492988586426)]"
2,kekerasan,"[('intimidasi', 0.7123724222183228), ('pemerkosaan', 0.6810244917869568), ('penyiksaan', 0.6784852743148804), ('diskriminasi', 0.6765977740287781), ('kejahatan', 0.6740831732749939), ('pemaksaan', 0.6714295744895935), ('kebencian', 0.6674340963363647), ('rasisme', 0.6645455956459045), ('perkosaan', 0.6628375053405762), ('kriminalitas', 0.6600057482719421)]"
2,kejahatan,"[('kriminal', 0.7204362154006958), ('kekerasan', 0.6740831732749939), ('terorisme', 0.6611036658287048), ('pelanggaran', 0.6517056226730347), ('kriminalitas', 0.648545503616333), ('ketidakadilan', 0.6485175490379333), ('penipuan', 0.6403814554214478), ('pemerkosaan', 0.6348280906677246), ('kekejaman', 0.633955717086792), ('penyiksaan', 0.6140637397766113)]"
2,pemerkosaan,"[('pelecehan', 0.7989924550056458), ('perkosaan', 0.7891415357589722), ('penyiksaan', 0.7389665842056274), ('penculikan', 0.7260031700134277), ('sodomi', 0.7092134356498718), ('pembunuhan', 0.705818235874176), ('mutilasi', 0.6910873651504517), ('kekerasan', 0.6810243725776672), ('intimidasi', 0.6687672734260559), ('pemukulan', 0.6651917099952698)]"
2,rasisme,"[('antisemitisme', 0.8157601952552795), ('seksisme', 0.7876165509223938), ('homofobia', 0.750591516494751), ('rasial', 0.7382771372795105), ('diskriminasi', 0.7213080525398254), ('nazisme', 0.7188762426376343), ('fasisme', 0.714239776134491), ('rasis', 0.71222984790802), ('sentimen', 0.7098761796951294), ('homoseksualitas', 0.6953266859054565)]"
2,intimidasi,"[('pemaksaan', 0.7648037075996399), ('pemerasan', 0.7392621040344238), ('penyiksaan', 0.7382861375808716), ('kekerasan', 0.712372362613678), ('penipuan', 0.7011247277259827), ('teror', 0.6975589990615845), ('perkosaan', 0.689903974533081), ('provokasi', 0.6837178468704224), ('pemukulan', 0.6786699891090393), ('represi', 0.6689473986625671)]"
2,diskriminasi,"[('rasisme', 0.7213080525398254), ('homoseksualitas', 0.718957781791687), ('intoleransi', 0.6979636549949646), ('segregasi', 0.6968909502029419), ('prasangka', 0.6960349082946777), ('penindasan', 0.6914769411087036), ('ketidakadilan', 0.6864151358604431), ('kekerasan', 0.6765977144241333), ('rasial', 0.674548864364624), ('homofobia', 0.6667439937591553)]"
2,terorisme,"[('teroris', 0.7018745541572571), ('spionase', 0.6870896220207214), ('kejahatan', 0.6611037254333496), ('rasisme', 0.657060980796814), ('teror', 0.624719500541687), ('kekerasan', 0.6229608058929443), ('kriminalitas', 0.6228175163269043), ('subversi', 0.6197922229766846), ('perompakan', 0.6110155582427979), ('kriminal', 0.6056593060493469)]"
2,perkosaan,"[('pemerkosaan', 0.7891414761543274), ('pelecehan', 0.7291304469108582), ('penculikan', 0.7159233093261719), ('pemukulan', 0.7123729586601257), ('perzinahan', 0.7079305648803711), ('pemerasan', 0.6994624137878418), ('penyuapan', 0.6957428455352783), ('sodomi', 0.69016033411026), ('intimidasi', 0.6899039149284363), ('pemaksaan', 0.6845114827156067)]"
2,nepotisme,"[('kolusi', 0.8508495092391968), ('korupsi', 0.7417346239089966), ('penyuapan', 0.6908106207847595), ('penyelewengan', 0.6845595836639404), ('kriminalisasi', 0.6656115651130676), ('intimidasi', 0.651564359664917), ('penyalahgunaan', 0.638112485408783), ('perzinahan', 0.6351834535598755), ('pemerasan', 0.6338680386543274), ('subversif', 0.6315848231315613)]"
2,pelecehan,"[('pemerkosaan', 0.7989923357963562), ('perkosaan', 0.7291305065155029), ('penganiayaan', 0.6678381562232971), ('pemukulan', 0.6607785820960999), ('penyiksaan', 0.6601446270942688), ('kekerasan', 0.6565665602684021), ('sodomi', 0.6506063938140869), ('diskriminasi', 0.6478965878486633), ('intimidasi', 0.6427803039550781), ('persekusi', 0.6323187947273254)]"
