,token,entity
0,fadil,4195887728431377885
2,rudi,4195887728431377885
4,irwasda,4195887728431377885
8,tommy,4195887728431377885
9,bambang,4195887728431377885
10,souissa,4195887728431377885
12,rk,4195887728431377885
15,anwar,4195887728431377885
24,sauki,4195887728431377885
26,nur alamsyah,4195887728431377885
28,saleno lolo,4195887728431377885
29,saleno,4195887728431377885
33,kamaruddin,4195887728431377885
39,ardiansyah,4195887728431377885
41,ardianysah,4195887728431377885
44,ardianyah,4195887728431377885
46,murniati,4195887728431377885
47,endro purnomo,4195887728431377885
48,endro,4195887728431377885
51,budi haryanto,4195887728431377885
52,budi,4195887728431377885
54,iqbal,4195887728431377885
55,asnan,4195887728431377885
56,sahabuddin asri,4195887728431377885
57,sulaiman,4195887728431377885
58,chaerul,4195887728431377885
59,akmal,4195887728431377885
61,najamuddin,4195887728431377885
62,muhammad iqbal asnan,4195887728431377885
68,muhammad,4195887728431377885
73,iqbal asnan,4195887728431377885
80,sulaiman chaerul akmal,4195887728431377885
83,suartana,4195887728431377885
93,muhammad eka,4195887728431377885
94,eka,4195887728431377885
95,anak,4195887728431377885
108,indonesia,4195887728431377885
110,amdia,4195887728431377885
111,ipda,4195887728431377885
113,adiprana,4195887728431377885
114,ir,4195887728431377885
117,alfian,4195887728431377885
124,alauddin,4195887728431377885
125,asri,4195887728431377885
126,arahan,4195887728431377885
135,ahmad,4195887728431377885
136,adegan,4195887728431377885
139,sulaiman asri,4195887728431377885
142,iqbal curhat,4195887728431377885
151,chaerul akmal,4195887728431377885
161,ancaman,4195887728431377885
162,asw,4195887728431377885
163,aman,4195887728431377885
165,istri,4195887728431377885
168,sainuddin,4195887728431377885
169,ik,4195887728431377885
173,alami,4195887728431377885
174,agung,4195887728431377885
175,alit,4195887728431377885
176,adnyana,4195887728431377885
181,ashfiah,4195887728431377885
182,amir,4195887728431377885
183,advis,4195887728431377885
184,akbar,4195887728431377885
223,agus,4195887728431377885
225,akhmad,4195887728431377885
228,haryanto,4195887728431377885
230,afriandi,4195887728431377885
235,baubau,4195887728431377885
239,nganjuk,4195887728431377885
241,insiden,4195887728431377885
245,imbau,4195887728431377885
250,artanto,4195887728431377885
265,arfandi,4195887728431377885
267,celana,4195887728431377885
273,burhanuddin,4195887728431377885
275,sore,4195887728431377885
277,ihzam,4195887728431377885
279,ari,4195887728431377885
280,abdul,4195887728431377885
284,banjar,4195887728431377885
288,agama,4195887728431377885
290,asahan,4195887728431377885
291,neo,4195887728431377885
294,aw,4195887728431377885
296,sutomo,4195887728431377885
299,akalakalan,4195887728431377885
301,muhammad salman,4195887728431377885
304,salman,4195887728431377885
308,imbuh,4195887728431377885
309,amry,4195887728431377885
311,aditya,4195887728431377885
315,satres,4195887728431377885
318,negeri,4195887728431377885
323,cukai,4195887728431377885
326,alpen,4195887728431377885
327,andi,4195887728431377885
328,fe,4195887728431377885
329,aris,4195887728431377885
335,suheri,4195887728431377885
338,rs,4195887728431377885
344,firman,4195887728431377885
346,fasilitas,4195887728431377885
349,aek,4195887728431377885
351,alat,4195887728431377885
352,sawit,4195887728431377885
354,arman,4195887728431377885
365,fz,4195887728431377885
368,arak,4195887728431377885
369,arul,4195887728431377885
370,indra,4195887728431377885
371,novianto,4195887728431377885
392,apapun,4195887728431377885
393,ag,4195887728431377885
399,nambo,4195887728431377885
400,76d,4195887728431377885
403,afhi,4195887728431377885
404,aan,4195887728431377885
430,ar,4195887728431377885
431,affandi,4195887728431377885
444,nazaruddin,4195887728431377885
459,sahabuddin,4195887728431377885
463,buta,4195887728431377885
466,saripuddin,4195887728431377885
467,ilegal,4195887728431377885
468,narapidana,4195887728431377885
486,yudi,4195887728431377885
487,il,4195887728431377885
492,sumut,4195887728431377885
493,abyadi,4195887728431377885
498,budhi,4195887728431377885
519,ap,4195887728431377885
521,ayat,4195887728431377885
546,aulia,4195887728431377885
548,awaludin,4195887728431377885
549,amin,4195887728431377885
550,ady,4195887728431377885
551,eu,4195887728431377885
552,judi,4195887728431377885
556,sholat,4195887728431377885
557,isu,4195887728431377885
560,edi aipda,4195887728431377885
562,nur,4195887728431377885
