title,date,description,source
Maling Motor Parlente di Pasuruan Gondol Motor Matik Pemilik Klinik,"Selasa, 15 Mar 2022 03:06 WIB","\- maling perlente beraksi di sebuah klinik bersalin di kota pasuruan. pelaku yang tampil necis itu berhasil menggondol motor matik milik pemilik klinik. pencurian itu terekam melalui cctv klinik bersalin di kelurahan pohjentrek, kecamatan purworejo, kota pasuruan. dari video itu, terlihat pelaku mencuri motor honda scoopy berwarna putih. salah satu tukang bangunan yang ada di lokasi, ali subhan mengatakan bahwa dirinya tidak mengira kedua orang itu pencuri. sebab, pelaku berpakaian rapi. ""orangnya rapi. saya kira tamu. gerak-geriknya juga tidak mencurigakan,"" kata subhan, kepada , senin (14/3/2022). aksi pencurian itu dilakukan minggu (13/3/2022) pukul 10.00 wib. kronologinya diawali dengan 2 pria yang datang ke klinik menggunakan motor honda beat warna hitam. seorang pelaku memakai kemeja putih dan tas dada dan pelaku lainnya memakai jaket merah. keduanya memakai helm berwarna merah dan tampak tenang saat berada di tempat parkir motor. bahkan, 2 perempuan yang sempat keluar dari klinik tidak menaruh curiga dan langsung pergi. saat tempat parkir sepi, pelaku beraksi menjebol kontak motor scoopy putih. tidak butuh waktu lama, pelaku berhasil membawa kabur motor korban. ""sudah dua kali pencurian motor di sini dalam sebulan ini,"" imbuh subhan. namun, hingga saat ini, korban belum melaporkan kejadian tersebut pada pihak kepolisian. [gambas:video 20detik]",www.detik.com
"2 Komplotan Maling Motor Asal Tangerang dan Lebak Diringkus, 19 Motor Disita","Selasa, 26 Apr 2022 16:55 WIB","\- polsek neglasari meringkus dua komplotan pelaku pencurian sepeda motor (curanmor). dari dua komplotan ini, total 14 orang tersangka ditangkap dan barang bukti motor curian sebanyak 19 unit motor berbagai jenis disita. kapolsek neglasari kompol putra pratama menjelaskan, komplotan pertama yang ditangkap berasal dari kampung hamberang, lebak, banten. total ada sembilan orang tersangka dan 17 unit motor yang disita dari kelompok ini. ""kelompok pertama ini total sementara ada sembilan orang tersangka yang kami tangkap, semuanya berasal dari kampung hamberang, lebak, banten. mereka memiliki peran masing-masing yang terorganisir dan saling mendukung. kami masih belum berhasil menangkap tiga pelaku lainnya yang memiliki peran penting sebagai pemetik motor,"" ucap putra dalam keterangannya, selasa (26/4/2022). menurutnya, total seluruh tkp pencurian motor dari komplotan ini sebanyak 32 lokasi, terbanyak di wilayah hukum polsek neglasari sebanyak 13 tkp. beberapa lokasi lainnya antara lain di polsek batu ceper, polsek tangerang, polrestro tangerang kota, polres lebak, dan di beberapa lokasi wilayah hukum polres bogor. ""banyaknya tkp curanmor di wilayah kami merupakan bentuk kegagalan kami polsek neglasari dalam upaya pencegahan terjadinya kejahatan. sebagai cambuk bagi kami, jajaran polsek neglasari untuk meningkatkan upaya preemtif dan preventif dalam rangka meniadakan segala bentuk gangguan keamanan, menjaga keselamatan harta benda masyarakat kami kecamatan neglasari,"" tuturnya. putra menyebut sembilan orang tersangka komplotan asal hamberang terdiri atas bahtiar rifai alias eos (kapten sekaligus pemetik), aditira alias panjul (pemetik), wahyudi alias yudi (joki), saepul imanul hakim alias upang (joki), tesha agung setiya budi alias conge (joki), egi muhamad yani alias yani (joki), yaya sunarya alias yayah (penadah), joni mahendra alias jhon (penadah), dan ana saputra alias pokek (penadah). sementara itu, dari komplotan ini juga ada yang masih dpo bernama sapri alias amang domisili di jasinga, bogor. dpo ini berperan sebagai pemetik yang saat beraksi menggunakan jaket ojol, devi alias depidep (pemetik), dan misbah alias mis (pemetik). selain komplotan asal hamberang, polsek neglasari menangkap pelaku curanmor kelompok lokal asal neglasari dan sekitarnya. barang bukti yang disita berupa dua unit sepeda motor, dengan total 5 orang tersangka. _simak selengkapnya di halaman selanjutnya..._ [gambas:video 20detik] selanjutnya __ halaman 1 2",www.detik.com
Pria di Dairi Nekat Habisi Oppungnya demi Perhiasan dan Uang,"Kamis, 26 Mei  2022 08:29 WIB","\- seorang pria di kabupaten dairi, bernama rincon manullang (42) diduga nekat menghabisi oppungnya atau nenek kandungnya demi menguasai perhiasan dan uang. tindakan biadab tersebut dilakukan selasa (24/5/2022). kasat reskrim akp rismanto j purba mengatakan bahwa rincon manullang merupakan warga dusun lumban simbolon, desa dolok tolong, kecamatan sumbul. sementara korban, minta siregar (97), warga kecamatan onan ganjang, humbang hasundutan. rismanto menuturkan, pihak kepolisian menerima informasi adanya dugaan pembunuhan. dari laporan itu, personel bergerak melakukan penyelidikan. personel pun kemudian menangkap pelakunya yang tak lain merupakan cucu kandung korban. ""dengan waktu kurang dari 1 x 24 jam berhasil melakukan penangkapan terhadap pelaku yang merupakan cucu dari korban,"" ujar rismanto. sesuai dengan pendalaman petugas, motif dari peristiwa itu, untuk menguasai perhiasan dan uang milik korban. personel pun mencari dan berhasil menemukan barang bukti berupa satu buah kalung emas, dua buah cincin emas, satu buah dompet, serta uang tunai sebesar rp 610 ribu. ""barang bukti tersebut disembunyikan oleh pelaku di ladangnya yang berjarak sekitar 4 km dari lokasi kejadian dan hanya bisa ditempuh dengan berjalan kaki dengan medan menanjak juga curam,"" ujar rismanto. [gambas:video 20detik]",www.detik.com
"Korban Curanmor Silakan Merapat, Ada 7 Mobil-48 Motor Disita Polres Bogor","Kamis, 03 Mar 2022 01:31 WIB","\- polres bogor menyita 7 mobil dan 48 motor dari pelaku pencurian kendaraan bermotor (curanmor). korban curanmor dipersilakan merapat untuk mengambil kendaraannya kembali. kapolres bogor akbp iman imanuddin mempersilakan masyarakat yang menjadi korban curanmor agar datang ke polres bogor dengan membawa bukti kepemilikan kendaraan. pengambilan barang bukti gratis tanpa dipungut biaya. ""kami mengimbau kepada warga masyarakat yang menjadi korban kejahatan, di mana roda dua atau roda empatnya dicuri, silakan dapat menghubungi polres bogor untuk membawa bukti kepemilikan dan mencocokkan dengan barang bukti yang berhasil kami sita tersebut,"" kata kapolres bogor, akbp iman imanuddin kepada wartawan, rabu (2/3/2022). iman mengatakan surat-surat kendaraan tersebut nantinya akan dicocokkan dengan barang bukti yang saat ini disita polisi. hal ini juga sebagai bukti keabsahan pemilik kendaraan bermotor. sebelumnya, polres bogor meringkus 68 pelaku curanmor selama beberapa bulan terakhir ini. 68 pelaku ini ditangkap atas dasar 50 laporan polisi di polres bogor. ""polres bogor telah berhasil mengamankan 68 pelaku pencurian kendaraan bermotor, dengan 50 laporan polisi yang terdaftar di basis data kriminal yang ada di polres bogor,"" ungkapnya. salah satu korban bernama mela karmelia merasa senang saat polisi mengungkap kasusnya dan mengembalikan kendaraannya. dia datang ke polres bogor untuk mengambil motornya yang sempat dicuri. ""saya sangat senang dan mengucapkan banyak terima kasih kepada polres bogor yang telah mengungkap kasus pencurian kendaraan bermotor saya yang hilang,"" kata salah satu korban curanmor di kabupaten bogor, mela karmelia pada kesempatan yang sama. mela mengatakan motornya hilang pada kamis (3/2) di depan rumahnya sekitar pukul 04.00 wib. dia berusaha mencari motornya tersebut, hingga akhirnya motornya berhasil ditemukan pada kamis (17/2). ""hilangnya di depan rumah dari tanggal 3 februari, ketemunya tanggal 17. udah mencari kemana-mana. hilang jam 04.00 wib,"" jelasnya.",www.detik.com
"Kepergok Curi Motor Mahasiswa USU, 2 Pria Ini Dihajar Massa","Senin, 06 Jun 2022 14:35 WIB","\- 2 pelaku pencuri sepeda motor milik mahasiswa universitas sumatera utara (usu) dihajar massa. kedua pelaku itu melakukan aksinya itu di jalan pasar vii, kecamatan medan selayang, medan. kapolsek sunggal, kompol chandra yudha menjelaskan aksi pencurian itu terjadi pada minggu (5/6) kemarin. adapun pelaku bernama faisal manik (25) warga jalan setia budi, dan ibrahim simamora (37) warga jalan medan binjai. ""kejadiannya sekitar pukul 16.00 wib. korbannya seorang mahasiswa bernama arpin ekin suranta ginting (27),"" kata chandra, senin (6/6/2022). karena mengalami luka-luka akibat dihajar massa, kedua pria itu pun dilarikan ke rumah sakit. ""keduanya sempat dibawa rs bhayangkara untuk menjalani perawatan medis,"" ujarnya. sementara itu saksi mata, robby niska menceritakan bahwa arpin adalah seorang mahasiswa usu yang sedang bekerja menjadi driver ojek online. ""jadi waktu itu, arpin sedang duduk di warung kopi menunggu orderan. karena dia kerja sebagai driver ojek online. nah, saat itu dia parkir sepeda motornya di gang kecil pas di samping warung itu,"" sebutnya. ""setelah itu, ada salah satu pelaku yang mematahkan stang sepeda motornya. aksi pelaku dilihat oleh warga yang mengenali bahwa itu motor arpin. terakhir diteriaki maling. pelaku lari bersama kawannya yang sudah nunggu di seberang jalan,"" tambahnya. kedua pelaku pun kemudian dikejar warga sekitar ke arah fly over jamin ginting. tepatnya dekat rumah makan olakisat, kedua pelaku berhasil ditangkap warga. ""itu sempat dihajar massa. lalu ditarik ke pasar vii. pelaku diikat warga dan kembali dihajar massa sampai akhirnya polisi datang,"" sebutnya. ""itu kasihan korbannya. karena dia mau wisuda tapi motornya sampai sekarang masih ditahan untuk proses hukum di kepolisian,"" tutupnya. [gambas:video 20detik]",www.detik.com
Ulah Bejat Duo Perampok-Pemerkosa Hampir Bikin Korban Hilang Nyawa,"Kamis, 27 Jan 2022 08:04 WIB","\- peristiwa tragis menimpa perempuan usia 24 tahun di balaraja, kabupaten tangerang. korban dirampok dan dianiaya, kemudian diperkosa oleh kedua tersangka. seusai melakukan kejahatannya itu keduanya berencana menghilangkan jejak. mereka membuang korban ke sungai ciujung dalam kondisi tidak sadarkan diri. beruntung, korban selamat dari maut. sementara dua pelaku ditangkap dua hari setelah kejadian. insiden itu terjadi pada kamis (20/1/2022) dini hari. dua pelaku yang ditangkap, yakni is (22) dan gg (24), adalah sopir dan kernet angkot rute serang-balaraja. kedua tersangka dihadiahi timah panas di kakinya karena melawan polisi saat hendak dilakukan penangkapan. ## ## diotaki sopir angkot kapolresta tangerang kombes zain dwi nugroho mengatakan perampokan dan pemerkosaan itu diotaki oleh sopir angkot berinisial is. dia yang merencanakan untuk merampok korban. ""is (22) ini berperan sebagai sopir angkot dan sebagai otak pencurian, kekerasan dan pemerkosaan ini,"" kata kombes zain kepada wartawan di polresta tangerang, selasa (25/1). keduanya, kata zain, melakukan kejahatan sadis itu karena ingin menguasai harta korban. ""dari hasil pemeriksaan motifnya diketahui ingin mengincar harta korban dan ingin memperkosa korban,"" ungkap zain. ## dua tersangka adalah residivis dua tersangka ini memiliki catatan kriminal. tersangka is adalah residivis kasus pencabulan dan pencurian. ""is ini juga sebagai residivis dengan dua kali ditahan terkait persetubuhan terhadap anak di bawah umur serta kasus pencurian dengan pemberatan,"" katanya. sementara tersangka gg adalah residivis kasus curanmor. dalam aksinya itu, gg berperan sebagai kernet yang membantu tersangka is. ""dia bertugas sebagai penganiaya dengan cara menginjak dan memukul korban dengan menggunakan ban serep terhadap tubuh dan kepala korban,"" ungkapnya. _simak kronologi kejadian di halaman selanjutnya._ __ [gambas:video 20detik] selanjutnya __ halaman 1 2 3",www.detik.com
Viral Pria Berniat Begal Ditangkap di Pesanggrahan Jaksel,"Minggu, 20 Mar 2022 15:23 WIB","\- video viral beredar di media sosial soal pelaku percobaan pembegalan ditangkap di jl ciledug raya, pesanggrahan, jakarta selatan (jaksel). polisi memberikan keterangan soal peristiwa tersebut. dalam rekaman video yang diunggah di instagram, terjadi keramaian orang di depan spbu petukangan selatan, pesanggrahan, jakarta selatan. terlihat sebuah mobil polisi dengan seorang pemuda berbaju putih duduk di bangku belakangnya mobil tersebut. ""percobaan pembegalan di depan spbu, petukangan selatan atau gang lurah. minggu (20/3) 03.42 dini hari,"" tulis keterangan video tersebut, seperti dilihat , minggu (20/3/2022). kapolsek pesanggrahan kompol nazirwan membenarkan kejadian tersebut. satu orang pelaku berinisial y (23) ditangkap polisi. ""benar. untuk yang diduga pelaku sudah diamankan. inisial y 23 tahun,"" kata kompol nazirwan saat dihubungi , minggu (20/3). nazirwan menjelaskan, kepolisian menerima laporan telepon dari warga tentang adanya keramaian di jl ciledug raya, pesanggrahan, jakarta selatan, pada minggu (20/3) dini hari. polisi yang bertugas langsung menuju lokasi yang dilaporkan warga. ""ada info dari warga yang telepon kantor, bahwa ada keramaian. patroli yang berada tidak jauh. langsung ke tkp (tempat kejadian perkara),"" ucap nazirwan. saat berada di lokasi, polisi juga memeriksa beberapa orang yang ada di sana, termasuk seorang pemotor yang terjatuh. kemudian, polisi juga mengamankan semuanya akibat adanya dugaan tawuran. ""mengamankan beberapa orang, termasuk warga yang terjatuh dari motor, karena menghindari terjadinya tawuran,"" sambungnya. namun nazirwan belum dapat memastikan bahwa y diduga tidak melakukan pembegalan. pihaknya tengah menyelidiki hal tersebut. ""sementara masih didalami. dugaan sementara bukan begal,"" sambungnya.",www.detik.com
Detik-detik Perampok Sadis di Semarang Habisi Sekuriti Studio Foto,"Kamis, 31 Mar 2022 15:55 WIB","\- pelaku perampokan studio foto di kota semarang dibekuk polisi beberapa jam setelah kabur. direktorat reserse kriminal umum polda jawa tengah mengungkapkan detik-detik perampokan yang menewaskan seorang sekuriti itu. direktur reskrimum polda jateng, kombes djuhandhani rahardjo puro mengatakan pelaku bernama rismantoro (24) warga karangsembung, kabupaten kebumen, jawa tengah. dirinya mengungkap, pelaku sudah memantau daerah sekitar dan mengunjungi toko tersebut. ""yang bersangkutan sudah merencanakan dari awal untuk melakukan pencurian,"" kata djuhandhani di mapolda jateng, kamis (31/3/2022). kemudian hari senin (29/3) malam, lanjutnya, dia datang ke tkp yang berada di jalan diponegoro semarang. pelaku sempat tiduran di sekitar lokasi sampai akhirnya dihampiri penjaga malam, supriono (37). ""awalnya yang bersangkutan mengecek situasi toko kamera sambil tidur-tiduran lalu ditegur oleh korban penjaga atas nama supriono. ditegur lalu diancam mau dilaporkan ke polisi. setelah melalui proses nego, tidak jadi dilaporkan. kemudian yang bersangkutan mengambil batu, dan di dalam tasnya sudah ada sajam yaitu pisau,"" jelasnya. djuhandani menyebut, pelaku lalu minta diantar ke toilet, saat itulah pelaku menghantam kepala korban hingga pingsan. pelaku kemudian mengambil alat las yang dibawa di motor untuk membongkar rolling door toko. tapi ternyata pelaku gagal dan mencari jalan lain ke belakang toko lewat plafon. ""pelaku berupaya membuka rolling door dengan las tetapi tidak berhasil sehingga yang bersangkutan masuk melalui pintu belakang atap plafon,"" katanya. ![rilis kasus perampokan studio foto semarang di mapolda jateng, kamis \(31/3/2022\).](https://akcdn.detik.net.id/community/media/visual/2022/03/31/rilis- kasus-perampokan-studio-foto-semarang-di-mapolda-jateng- kamis-3132022_169.jpeg?w=620)rilis kasus perampokan studio foto semarang di mapolda jateng, kamis (31/3/2022). (foto: angling adhitya purbaya/detikjateng) --- saat proses hendak menuju belakang toko ternyata pelaku melihat korban sudah berubah posisi. saat itulah dengan sadis dia pelaku mengambil pisau dan menusuk korban hingga luka parah di bagian badan dan leher. djuhandani melanjutkan, pelaku kemudian menggasak sejumlah kamera, lensa, dan drone termasuk tas. ia kemudian kabur menuju ke tempat tinggalnya di kebumen. pelaku juga sempat membawa kabur handphone korban dan membuangnya ke sungai. ""yang bersangkutan baru pulang dari tkp dan akan pergi, setelah itu kami buntuti dan di tengah jalan kami lakukan penangkapan tanpa perlawanan. pelaku langsung mengaku,"" katanya. pelaku dijerat pasal 365 kuhp ayat 4 tentang pencurian disertai pemberatan dan atau pasal 339 kuhp tentang pembunuhan dengan ancaman maksimal 20 tahun dan hukuman mati. [gambas:video 20detik]",www.detik.com
Terekam CCTV! 'Perjuangan' Maling Panjat Pagar 2 M Hanya Ambil Barang Ini,"Rabu, 11 Mei  2022 09:39 WIB","\- aksi pencuri terekam cctv di perumahan graha kartika desa belangwetan, kecamatan klaten utara, klaten, jawa tengah. maling itu menggasak sepeda bmx anak yang terparkir di teras rumah. padahal, rumah tersebut terlindung pagar setinggi sekitar 2 meter. saat ini kasus pencurian itu tengah ditangani polsek klaten utara. ""kejadiannya itu hari senin (9/5) pagi pukul 02.58 wib. yang diambil sepeda bmx warna hitam, ada hijaunya,"" ungkap pemilik rumah ira mei (35) kepada , rabu (11/5/2022) pagi. kejadian tersebut, terang ira, baru disadari keluarganya pada selasa (10/5) siang saat bersih- bersih rumah. mereka baru sadar sepeda itu sudah raib dari tempatnya. kemudian, mereka memeriksa cctv. ""pelaku hanya seorang diri, kalau dilihat hanya berjalan kaki tapi bawa motor atau tidak saya tidak tahu. pelaku mengenakan masker,"" lanjut ira. akibat kejadian itu, sebut ira, anaknya kehilangan sepeda. harga sepeda tersebut sekitar rp 1,5 juta. ""harganya sekitar rp 1,5 juta. sudah kami laporkan ke bhabinkamtibmas dan dilanjutkan ke polsek,"" imbuh ira. dikatakan ira, dari cctv pelaku hanya beraksi sekitar tiga menit. pelaku naik memanjat ke pagar dan menarik sepeda dengan tali. ""naik ke pagar lompat dan sepeda ditarik pakai tali. naik dari pojok rumah tapi terus turun, lalu naik ke pagar sudah bawa tali, itu sepeda anak saya yang nomor satu,"" papar ira. padahal tinggi pagar, sambung ira, sekitar dua meter. saat kejadian keluarganya semua ada di rumah. ""kami ada di rumah tapi tidak dengar apa-apa, padahal ada di rumah. selain pakai masker, (pelaku) juga pakai penutup kepala,"" imbuh ira. kanit reskrim polsek klaten utara, ipda riyanto pada wartawan menjelaskan kasus itu sudah dilaporkan usai kejadian. polsek akan melakukan penyelidikan. ""kita akan melakukan penyidikan berdasarkan cctv. kerugian sepeda bmx seharga sekitar rp 1,5 juta,"" jelas riyanto. [gambas:video 20detik]",www.detik.com
Pria Bergamis yang Viral Curi Kotak Infak di Medan Ditangkap,"Minggu, 10 Apr 2022 21:03 WIB","\- pria yang menggunakan gamis saat mencuri kotak infak di masjid di medan ditangkap oleh warga. setelah ditangkap pria itu dibawa ke kantor polisi. ""iya benar. awalnya diserahkan warga di polsek batang kuis, kemudian kita interogasi karena ada dugaan di tkp kita,"" kata kapolsek medan timur kompol rona tambunan kepada wartawan, minggu (10/4/2022). pria itu ditangkap bersama anaknya yang ikut melakukan aksi pencurian. mereka telah melakukan aksi pencurian di sejumlah masjid yang ada di kota medan dan sekitarnya. rona mengatakan warga yang menjadi korban telah memaafkan pelaku. sehingga pihak polsek medan timur menyerahkan pelaku ke polsek percut sei tuan karena ada laporan terhadap pelaku di polsek itu. ""maka kami serahkan ke polsek percut karena ada laporan polisinya di sana,"" jelas rona. sebelumnya, aksi pria dan anaknya yang menggunakan gamis dua kali terekam cctv saat melakukan aksi pencurian kotak infak di medan. terakhir keduanya melakukan aksi pencurian di masjid yang ada di jalan budi pemasyarakatan kota medan. ""pencurian kotak infak di musala jalan budi kemasyarakatan, medan timur. kelihatannya dua ini pernah terekam cctv mencuri isi kotak infak juga sebelumnya,"" tulis pengunggah dalam video yang viral. kapolsek medan timur kompol rona tambunan mengatakan terkait peristiwa itu, pihaknya sedang melakukan penyelidikan. ""untuk kejadian sedang dalam penyelidikan kita,"" sebut rona. [gambas:video 20detik]",www.detik.com
