tingkat setelah parent,parent,similarity
1,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
2,manado,"[('ambon', 0.778994083404541), ('makassar', 0.7650017142295837), ('kendari', 0.6690382361412048), ('bitung', 0.645226240158081), ('tomohon', 0.6414216756820679), ('sibolga', 0.6361725330352783), ('gorontalo', 0.6301072239875793), ('makasar', 0.6252570748329163), ('kupang', 0.617101788520813), ('pontianak', 0.6170780062675476)]"
2,ambon,"[('manado', 0.7789939641952515), ('makassar', 0.7373163104057312), ('ternate', 0.7190890908241272), ('tual', 0.6905583739280701), ('kupang', 0.6616342067718506), ('makasar', 0.6526421904563904), ('maluku', 0.6504935026168823), ('masohi', 0.6419035196304321), ('tidore', 0.6116446852684021), ('haruku', 0.6076962351799011)]"
2,kendari,"[('baubau', 0.7621661424636841), ('palopo', 0.7499604821205139), ('tual', 0.7394525408744812), ('parepare', 0.7277011275291443), ('makassar', 0.7214033603668213), ('bitung', 0.7100937366485596), ('kupang', 0.6979011297225952), ('palangkaraya', 0.6955941915512085), ('mamuju', 0.6923125386238098), ('pontianak', 0.6917119026184082)]"
2,palembang,"[('makassar', 0.7024365067481995), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544741988182068), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474037170410156), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647898674011), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261777877807617), ('medan', 0.625846803188324)]"
2,makasar,"[('makassar', 0.6792885065078735), ('ujungpandang', 0.6768785715103149), ('palangkaraya', 0.6706939339637756), ('hanlan', 0.6573381423950195), ('ambon', 0.6526421904563904), ('bitung', 0.6465306878089905), ('kupang', 0.6462867259979248), ('masohi', 0.6369932889938354), ('tual', 0.6367196440696716), ('menado', 0.6365934610366821)]"
2,balikpapan,"[('tarakan', 0.8135008215904236), ('samarinda', 0.7718706130981445), ('bontang', 0.7572046518325806), ('palangkaraya', 0.7281298637390137), ('pontianak', 0.712532639503479), ('banjarmasin', 0.6811392903327942), ('makassar', 0.675868809223175), ('kendari', 0.660660982131958), ('tenggarong', 0.6602572798728943), ('singkawang', 0.6555374264717102)]"
2,gorontalo,"[('bengkulu', 0.7077628970146179), ('kendari', 0.6806756258010864), ('makassar', 0.6734251976013184), ('parepare', 0.6614675521850586), ('sulawesi', 0.6599657535552979), ('maluku', 0.659121572971344), ('sulsel', 0.6545152068138123), ('palopo', 0.6464530825614929), ('baubau', 0.6346099376678467), ('tolitoli', 0.6316871643066406)]"
2,ternate,"[('tidore', 0.8233423233032227), ('ambon', 0.7190890312194824), ('jailolo', 0.6973066926002502), ('bacan', 0.6807116866111755), ('makassar', 0.6712484359741211), ('maluku', 0.6388164162635803), ('gowa', 0.637122631072998), ('buton', 0.6279655694961548), ('malaka', 0.6228310465812683), ('sulu', 0.6167241334915161)]"
2,banjarmasin,"[('pontianak', 0.7494269013404846), ('samarinda', 0.6912866830825806), ('martapura', 0.6845555901527405), ('banjarbaru', 0.6838390231132507), ('balikpapan', 0.6811392307281494), ('makassar', 0.6558136343955994), ('tarakan', 0.6543596982955933), ('palembang', 0.6506720781326294), ('palangkaraya', 0.6378647685050964), ('singkawang', 0.6309277415275574)]"
2,parepare,"[('palopo', 0.7620823383331299), ('kendari', 0.72770094871521), ('persipare', 0.6987245082855225), ('baubau', 0.6900745034217834), ('sulsel', 0.6707442402839661), ('takalar', 0.6657980680465698), ('tual', 0.6637996435165405), ('gorontalo', 0.6614674925804138), ('kotamobagu', 0.6484179496765137), ('banjarbaru', 0.6459128856658936)]"
3,ambon,"[('manado', 0.7789939641952515), ('makassar', 0.7373163104057312), ('ternate', 0.7190890908241272), ('tual', 0.6905583739280701), ('kupang', 0.6616342067718506), ('makasar', 0.6526421904563904), ('maluku', 0.6504935026168823), ('masohi', 0.6419035196304321), ('tidore', 0.6116446852684021), ('haruku', 0.6076962351799011)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,kendari,"[('baubau', 0.7621661424636841), ('palopo', 0.7499604821205139), ('tual', 0.7394525408744812), ('parepare', 0.7277011275291443), ('makassar', 0.7214033603668213), ('bitung', 0.7100937366485596), ('kupang', 0.6979011297225952), ('palangkaraya', 0.6955941915512085), ('mamuju', 0.6923125386238098), ('pontianak', 0.6917119026184082)]"
3,bitung,"[('tual', 0.7524458765983582), ('masohi', 0.721893310546875), ('tomohon', 0.7115574479103088), ('kendari', 0.71009361743927), ('luwuk', 0.7095844149589539), ('saumlaki', 0.7067572474479675), ('palopo', 0.7053840160369873), ('kotamobagu', 0.702265202999115), ('sibolga', 0.6954153180122375), ('amurang', 0.6937013864517212)]"
3,tomohon,"[('kotamobagu', 0.7342615127563477), ('bitung', 0.7115575671195984), ('pematangsiantar', 0.7076056003570557), ('amurang', 0.7013564705848694), ('bajawa', 0.6767057776451111), ('singkawang', 0.6662412881851196), ('tentena', 0.6615715026855469), ('sibolga', 0.6612578630447388), ('mamuju', 0.658182680606842), ('luwuk', 0.6557715535163879)]"
3,sibolga,"[('pematangsiantar', 0.7771965861320496), ('kabanjahe', 0.7453570365905762), ('padangsidimpuan', 0.7310624718666077), ('padangsidempuan', 0.705263614654541), ('bitung', 0.6954154372215271), ('amurang', 0.6842363476753235), ('luwuk', 0.6828646659851074), ('tual', 0.6782859563827515), ('binjai', 0.6774120330810547), ('parapat', 0.6767541766166687)]"
3,gorontalo,"[('bengkulu', 0.7077628970146179), ('kendari', 0.6806756258010864), ('makassar', 0.6734251976013184), ('parepare', 0.6614675521850586), ('sulawesi', 0.6599657535552979), ('maluku', 0.659121572971344), ('sulsel', 0.6545152068138123), ('palopo', 0.6464530825614929), ('baubau', 0.6346099376678467), ('tolitoli', 0.6316871643066406)]"
3,makasar,"[('makassar', 0.6792885065078735), ('ujungpandang', 0.6768785715103149), ('palangkaraya', 0.6706939339637756), ('hanlan', 0.6573381423950195), ('ambon', 0.6526421904563904), ('bitung', 0.6465306878089905), ('kupang', 0.6462867259979248), ('masohi', 0.6369932889938354), ('tual', 0.6367196440696716), ('menado', 0.6365934610366821)]"
