tingkat setelah parent,parent,similarity
1,jakarta,"[('surabaya', 0.6788262724876404), ('bandung', 0.6456542611122131), ('bekasi', 0.6120882630348206), ('palembang', 0.6100819706916809), ('bogor', 0.6096037030220032), ('semarang', 0.6031348705291748), ('yogyakarta', 0.5961077213287354), ('tangerang', 0.5946990847587585), ('depok', 0.5771353840827942), ('ciputat', 0.5691471099853516)]"
2,surabaya,"[('semarang', 0.7880793809890747), ('malang', 0.724402129650116), ('jakarta', 0.6788262128829956), ('madiun', 0.6739820837974548), ('bandung', 0.6485385894775391), ('yogyakarta', 0.6419416666030884), ('makassar', 0.6408708691596985), ('palembang', 0.6329646706581116), ('surakarta', 0.6244343519210815), ('jember', 0.6240251064300537)]"
2,bandung,"[('bogor', 0.7604233622550964), ('malang', 0.688808023929596), ('tasikmalaya', 0.6824036836624146), ('cimahi', 0.6755126714706421), ('purwakarta', 0.6576993465423584), ('cianjur', 0.6559134721755981), ('sukabumi', 0.6496258974075317), ('surabaya', 0.6485385298728943), ('jakarta', 0.6456542611122131), ('semarang', 0.6368221044540405)]"
2,bekasi,"[('ciputat', 0.750861406326294), ('depok', 0.75013267993927), ('bogor', 0.7307212352752686), ('tangerang', 0.7194622755050659), ('cikarang', 0.6976995468139648), ('karawang', 0.6808739900588989), ('cakung', 0.6527759432792664), ('cileungsi', 0.6468222141265869), ('cibubur', 0.6369040608406067), ('pamulang', 0.6348360180854797)]"
2,palembang,"[('makassar', 0.7024365067481995), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544741988182068), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474037170410156), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647898674011), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261777877807617), ('medan', 0.625846803188324)]"
2,bogor,"[('bandung', 0.7604232430458069), ('sukabumi', 0.7495936155319214), ('bekasi', 0.730721116065979), ('cianjur', 0.7137830853462219), ('depok', 0.6908438801765442), ('cimahi', 0.6668136715888977), ('karawang', 0.6627344489097595), ('garut', 0.6618160009384155), ('tasikmalaya', 0.6616714000701904), ('purwakarta', 0.6609673500061035)]"
2,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497220039367676), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243849039077759), ('tegal', 0.7242745757102966), ('malang', 0.720335066318512), ('salatiga', 0.718439519405365), ('purwokerto', 0.7121427059173584)]"
2,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460446953773499), ('jogjakarta', 0.7178210616111755), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419416069984436), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613233566284)]"
2,tangerang,"[('bekasi', 0.7194621562957764), ('cilegon', 0.6684912443161011), ('ciputat', 0.6446429491043091), ('bogor', 0.6443670392036438), ('depok', 0.6321688294410706), ('serpong', 0.6317017078399658), ('pandeglang', 0.623502790927887), ('lebak', 0.6229065656661987), ('pamulang', 0.5990420579910278), ('cikarang', 0.5957491993904114)]"
2,depok,"[('bekasi', 0.7501325607299805), ('bogor', 0.6908438205718994), ('cimahi', 0.6578271389007568), ('tangerang', 0.6321688890457153), ('cilegon', 0.631739616394043), ('bandung', 0.6315338611602783), ('ciputat', 0.6275485157966614), ('tegal', 0.595329999923706), ('tasikmalaya', 0.589453935623169), ('cileungsi', 0.5847452282905579)]"
2,ciputat,"[('pamulang', 0.7865549921989441), ('pulogadung', 0.7723935842514038), ('perumnas', 0.7653574347496033), ('mikrolet', 0.7566080093383789), ('bekasi', 0.7508614659309387), ('cileungsi', 0.7487024068832397), ('cipayung', 0.7456145286560059), ('kalideres', 0.7433485984802246), ('kopaja', 0.7379216551780701), ('cakung', 0.7349115610122681)]"
3,semarang,"[('surabaya', 0.7880793213844299), ('magelang', 0.7497220039367676), ('yogyakarta', 0.7460446357727051), ('pekalongan', 0.7401672005653381), ('surakarta', 0.7265726327896118), ('madiun', 0.7243849039077759), ('tegal', 0.7242745757102966), ('malang', 0.720335066318512), ('salatiga', 0.718439519405365), ('purwokerto', 0.7121427059173584)]"
3,malang,"[('surabaya', 0.724402129650116), ('kediri', 0.7242322564125061), ('semarang', 0.720335066318512), ('blitar', 0.6941945552825928), ('bandung', 0.6888079643249512), ('jember', 0.6851326823234558), ('mojokerto', 0.6767305135726929), ('probolinggo', 0.6701105237007141), ('madiun', 0.6524861454963684), ('magelang', 0.6356691122055054)]"
3,jakarta,"[('surabaya', 0.6788262724876404), ('bandung', 0.6456542611122131), ('bekasi', 0.6120882630348206), ('palembang', 0.6100819706916809), ('bogor', 0.6096037030220032), ('semarang', 0.6031348705291748), ('yogyakarta', 0.5961077213287354), ('tangerang', 0.5946990847587585), ('depok', 0.5771353840827942), ('ciputat', 0.5691471099853516)]"
3,madiun,"[('mojokerto', 0.7328988313674927), ('magelang', 0.7303693294525146), ('blitar', 0.7289074063301086), ('semarang', 0.7243847846984863), ('pasuruan', 0.7180318832397461), ('jombang', 0.7109017968177795), ('jember', 0.7049100399017334), ('kediri', 0.7018264532089233), ('cilacap', 0.6916697025299072), ('ngawi', 0.6870993971824646)]"
3,bandung,"[('bogor', 0.7604233622550964), ('malang', 0.688808023929596), ('tasikmalaya', 0.6824036836624146), ('cimahi', 0.6755126714706421), ('purwakarta', 0.6576993465423584), ('cianjur', 0.6559134721755981), ('sukabumi', 0.6496258974075317), ('surabaya', 0.6485385298728943), ('jakarta', 0.6456542611122131), ('semarang', 0.6368221044540405)]"
3,yogyakarta,"[('surakarta', 0.8291753530502319), ('semarang', 0.7460446953773499), ('jogjakarta', 0.7178210616111755), ('yogya', 0.6863094568252563), ('jogja', 0.6523117423057556), ('surabaya', 0.6419416069984436), ('diy', 0.63551926612854), ('bandung', 0.6323790550231934), ('magelang', 0.6301012635231018), ('madiun', 0.6253613233566284)]"
3,makassar,"[('manado', 0.7650018930435181), ('ambon', 0.737316370010376), ('kendari', 0.7214033603668213), ('palembang', 0.7024365663528442), ('makasar', 0.6792884469032288), ('balikpapan', 0.675868809223175), ('gorontalo', 0.6734249591827393), ('ternate', 0.6712484359741211), ('banjarmasin', 0.6558135747909546), ('parepare', 0.6426613330841064)]"
3,palembang,"[('makassar', 0.7024365067481995), ('pekanbaru', 0.6645552515983582), ('jambi', 0.6544741988182068), ('banjarmasin', 0.6506720781326294), ('bengkulu', 0.6474037170410156), ('pontianak', 0.6383492946624756), ('surabaya', 0.6329647898674011), ('tanjungpinang', 0.6266205906867981), ('dumai', 0.6261777877807617), ('medan', 0.625846803188324)]"
3,surakarta,"[('yogyakarta', 0.8291754722595215), ('semarang', 0.7265726327896118), ('salatiga', 0.6889053583145142), ('pekalongan', 0.662184476852417), ('magelang', 0.6536304950714111), ('madiun', 0.6431910395622253), ('jogjakarta', 0.6431556344032288), ('mataram', 0.6430928707122803), ('kraton', 0.6309205293655396), ('mangkunegaran', 0.6308548450469971)]"
3,jember,"[('probolinggo', 0.7383838295936584), ('jombang', 0.7361063361167908), ('banyuwangi', 0.7293094396591187), ('lumajang', 0.7280812859535217), ('situbondo', 0.7233957052230835), ('bondowoso', 0.7222008109092712), ('pasuruan', 0.7121522426605225), ('bojonegoro', 0.7067436575889587), ('madiun', 0.7049099802970886), ('malang', 0.685132622718811)]"
