tingkat setelah parent,parent,similarity
1,budi,"[('budhi', 0.6205414533615112), ('darma', 0.6084010601043701), ('heru', 0.5488176941871643), ('asih', 0.5459403991699219), ('raharjo', 0.5449875593185425), ('pekerti', 0.5448434352874756), ('heri', 0.5431290864944458), ('utomo', 0.5398364067077637), ('sarwono', 0.5364453196525574), ('nugroho', 0.5285580158233643)]"
2,budhi,"[('santosa', 0.8030893802642822), ('dedy', 0.7978243231773376), ('permana', 0.7865484356880188), ('kurnia', 0.7810990810394287), ('cahyono', 0.7769461870193481), ('atmaja', 0.7734637260437012), ('setyo', 0.7687528729438782), ('prasetyo', 0.7647681832313538), ('raharjo', 0.7605352401733398), ('hery', 0.7589486837387085)]"
2,darma,"[('brata', 0.7571079730987549), ('budhi', 0.7387105226516724), ('panca', 0.7196041345596313), ('widya', 0.716288149356842), ('karsa', 0.7157838940620422), ('mulya', 0.7070000171661377), ('dharma', 0.705683708190918), ('bhakti', 0.6995442509651184), ('bhuana', 0.6886026263237), ('husada', 0.6866244077682495)]"
2,heru,"[('sugeng', 0.8360087275505066), ('setyo', 0.8238560557365417), ('purnomo', 0.816060483455658), ('wahyudi', 0.8075599074363708), ('cahyono', 0.8062238693237305), ('herry', 0.8062164783477783), ('nurhadi', 0.8051130175590515), ('edy', 0.803727388381958), ('heri', 0.7997632026672363), ('hendro', 0.7978957295417786)]"
2,asih,"[('welas', 0.8096296787261963), ('mulya', 0.7512748837471008), ('handayani', 0.7039275169372559), ('rahayu', 0.7021653056144714), ('budhi', 0.6945697665214539), ('mulyo', 0.6906751394271851), ('kumala', 0.6859394907951355), ('arga', 0.6844133734703064), ('sukma', 0.6828402876853943), ('pohaci', 0.6790918707847595)]"
2,raharjo,"[('prasetyo', 0.8490724563598633), ('siswanto', 0.8312613368034363), ('cahyono', 0.8226813673973083), ('sapto', 0.8194600343704224), ('setyo', 0.8168728947639465), ('wicaksono', 0.8117445707321167), ('setyawan', 0.8114442825317383), ('wahyudi', 0.8105626702308655), ('putro', 0.8097380995750427), ('kurnia', 0.8092595338821411)]"
2,pekerti,"[('keluhuran', 0.7495842576026917), ('pekertinya', 0.7244451642036438), ('luhur', 0.7099592685699463), ('akhlak', 0.6727631688117981), ('berbudi', 0.6707586646080017), ('schwarzkrone', 0.6572684049606323), ('bidhun', 0.6524450778961182), ('anduk', 0.6250016093254089), ('kejujuran', 0.6147395968437195), ('karimah', 0.6039799451828003)]"
2,heri,"[('hermawan', 0.8815047144889832), ('wahyudi', 0.8787182569503784), ('herry', 0.8633777499198914), ('setyo', 0.8580225110054016), ('sugeng', 0.854465126991272), ('haryadi', 0.8544310927391052), ('prasetyo', 0.8499659895896912), ('cahyo', 0.8451176285743713), ('cahyono', 0.8414754271507263), ('darmawan', 0.8394933342933655)]"
2,utomo,"[('sudarsono', 0.8057956099510193), ('oetomo', 0.7539907097816467), ('priyo', 0.7370962500572205), ('setyo', 0.7364736795425415), ('harsono', 0.7331340909004211), ('cahyono', 0.7268533110618591), ('prasetyo', 0.7216514945030212), ('triyono', 0.7215725779533386), ('putro', 0.7184200286865234), ('purwanto', 0.7153834104537964)]"
2,sarwono,"[('kusumaatmadja', 0.8446452021598816), ('mulyana', 0.838137686252594), ('sumarsono', 0.8258721232414246), ('setiadi', 0.8233659267425537), ('hery', 0.8197121024131775), ('setyo', 0.8186826705932617), ('priyo', 0.8171209692955017), ('pramono', 0.8139013648033142), ('santosa', 0.8086336255073547), ('wibisono', 0.8080849647521973)]"
2,nugroho,"[('sasongko', 0.801034152507782), ('prasetyo', 0.7973636984825134), ('setyo', 0.7962407469749451), ('budiono', 0.7921239733695984), ('herry', 0.7887430191040039), ('sarwono', 0.7878064513206482), ('eko', 0.7850716710090637), ('setiadi', 0.7835865020751953), ('yudi', 0.7799832224845886), ('purnomo', 0.7780693173408508)]"
3,santosa,"[('permana', 0.8566052317619324), ('darmawan', 0.8520352840423584), ('cahyono', 0.8494649529457092), ('prasetyo', 0.8436547517776489), ('budiono', 0.8434889316558838), ('setyawan', 0.8391789793968201), ('dedy', 0.8378195762634277), ('hery', 0.8348215222358704), ('sapto', 0.8311839699745178), ('sugeng', 0.8256270289421082)]"
3,dedy,"[('setyo', 0.8459741473197937), ('wahyudi', 0.8414740562438965), ('dedi', 0.8390488028526306), ('santosa', 0.8378196954727173), ('sugeng', 0.8377072811126709), ('handoyo', 0.8324931859970093), ('herry', 0.8320316672325134), ('hermawan', 0.8315308690071106), ('suryana', 0.8263131380081177), ('hendri', 0.8259531259536743)]"
3,permana,"[('wicaksono', 0.8698651194572449), ('kurnia', 0.8655573129653931), ('setyawan', 0.8568452000617981), ('santosa', 0.8566052913665771), ('prasetyo', 0.8545992970466614), ('darmawan', 0.8467380404472351), ('wirawan', 0.8421619534492493), ('yudi', 0.8420857191085815), ('setiawan', 0.8402206301689148), ('hermawan', 0.8365060091018677)]"
3,kurnia,"[('permana', 0.8655573725700378), ('yudi', 0.8406909704208374), ('setyawan', 0.8302401304244995), ('setiawan', 0.8280857801437378), ('wicaksono', 0.8266758322715759), ('cahya', 0.8252639770507812), ('prasetyo', 0.8250026702880859), ('hermawan', 0.8240584135055542), ('darmawan', 0.8234929442405701), ('dedy', 0.8195887804031372)]"
3,cahyono,"[('setyawan', 0.8623384237289429), ('setyo', 0.8587314486503601), ('prasetyo', 0.8566870093345642), ('santosa', 0.8494648933410645), ('wahyudi', 0.8485472202301025), ('putro', 0.8430573344230652), ('cahyo', 0.8415314555168152), ('heri', 0.8414754271507263), ('hermawan', 0.8394438624382019), ('wicaksono', 0.837449848651886)]"
3,atmaja,"[('asmoro', 0.8311437368392944), ('permana', 0.8304954171180725), ('wirya', 0.8288247585296631), ('haryo', 0.8206028938293457), ('atmadja', 0.8178971409797668), ('kusumah', 0.8161076307296753), ('ragil', 0.8111711740493774), ('wardana', 0.8108012080192566), ('legowo', 0.8106569051742554), ('subrata', 0.8105202317237854)]"
3,setyo,"[('wahyudi', 0.8911815285682678), ('prasetyo', 0.8781864047050476), ('herry', 0.876908004283905), ('purwanto', 0.8759926557540894), ('sigit', 0.8697059750556946), ('hery', 0.8693933486938477), ('haryadi', 0.8680665493011475), ('darmawan', 0.8676495552062988), ('purnomo', 0.8631929159164429), ('sapto', 0.8612668514251709)]"
