tingkat setelah parent,parent,similarity
1,riski,"[('oky', 0.8040154576301575), ('febriani', 0.8013582229614258), ('pratiwi', 0.7996953725814819), ('rahmadani', 0.795842170715332), ('puspitasari', 0.7943817377090454), ('ramadhani', 0.7915531992912292), ('cahya', 0.7895363569259644), ('anggara', 0.7887485027313232), ('feby', 0.7838521003723145), ('alivia', 0.7827778458595276)]"
2,oky,"[('firmansyah', 0.8343703150749207), ('noval', 0.8325062990188599), ('andrianto', 0.8163896799087524), ('ginanjar', 0.8125426173210144), ('indrawan', 0.8122251033782959), ('septian', 0.8111750483512878), ('alfian', 0.8102974891662598), ('rinaldi', 0.8073407411575317), ('alfin', 0.8042816519737244), ('riski', 0.8040155172348022)]"
2,febriani,"[('novyansari', 0.8874545097351074), ('febriana', 0.8873453140258789), ('alivia', 0.8873306512832642), ('wulansari', 0.8826950192451477), ('lindiawati', 0.8798291087150574), ('fionista', 0.8780977129936218), ('safitri', 0.8773221373558044), ('puspitasari', 0.876327395439148), ('parahitha', 0.870978593826294), ('millyena', 0.8706670999526978)]"
2,pratiwi,"[('anggraini', 0.913391649723053), ('puspitasari', 0.9002090692520142), ('rahmawati', 0.8942475914955139), ('anggraeni', 0.8919168710708618), ('yuliana', 0.8906604051589966), ('yulianti', 0.8853989243507385), ('rizka', 0.8820533752441406), ('annisa', 0.8774385452270508), ('damayanti', 0.8753176331520081), ('ramadhani', 0.8752033710479736)]"
2,rahmadani,"[('alivia', 0.8558616042137146), ('novyansari', 0.8483619689941406), ('febriana', 0.8352376818656921), ('parahitha', 0.8320738077163696), ('jelsen', 0.8271478414535522), ('fionista', 0.8270650506019592), ('yemi', 0.8257706165313721), ('meriatul', 0.8247737288475037), ('megasari', 0.824072003364563), ('tjindarbumi', 0.8209238648414612)]"
2,puspitasari,"[('anggraeni', 0.9060910940170288), ('pratiwi', 0.9002091288566589), ('alivia', 0.8958761096000671), ('safitri', 0.8923790454864502), ('yulianti', 0.8897657990455627), ('rahmawati', 0.8823073506355286), ('hapsari', 0.8813944458961487), ('wulansari', 0.878380537033081), ('anggraini', 0.8782489895820618), ('novyansari', 0.8773984313011169)]"
2,ramadhani,"[('dita', 0.8841546773910522), ('anggraini', 0.8796111941337585), ('pratiwi', 0.8752033710479736), ('riska', 0.871662974357605), ('anisa', 0.8669644594192505), ('annisa', 0.8646815419197083), ('puspitasari', 0.8646689653396606), ('wulandari', 0.8641189932823181), ('aulia', 0.8629078269004822), ('safitri', 0.8618268370628357)]"
2,cahya,"[('tyas', 0.861641526222229), ('pratiwi', 0.8611180186271667), ('septian', 0.8527411222457886), ('anggraini', 0.8393331170082092), ('puspitasari', 0.839299738407135), ('novia', 0.834376335144043), ('permana', 0.830568790435791), ('aulia', 0.8305155038833618), ('safitri', 0.8304628729820251), ('rizki', 0.8282296061515808)]"
2,anggara,"[('cahya', 0.8179622292518616), ('widi', 0.8137660026550293), ('ramadhani', 0.8087958693504333), ('anisa', 0.8037199974060059), ('datau', 0.8023505806922913), ('septian', 0.7939479351043701), ('rezky', 0.7926135063171387), ('irham', 0.7913649678230286), ('azzahra', 0.7904222011566162), ('adelia', 0.7889333963394165)]"
2,feby,"[('febiola', 0.843005359172821), ('novyansari', 0.8409548401832581), ('alivia', 0.8364015817642212), ('febriani', 0.8326917290687561), ('hadju', 0.832395613193512), ('afifa', 0.8293048143386841), ('parahitha', 0.8282821774482727), ('aldy', 0.8279009461402893), ('millyena', 0.8259018063545227), ('ussy', 0.8257294297218323)]"
2,alivia,"[('novyansari', 0.9786649346351624), ('jelsen', 0.9344015717506409), ('fionista', 0.9312016367912292), ('parahitha', 0.929874062538147), ('yemi', 0.9294998049736023), ('millyena', 0.9255533814430237), ('lindiawati', 0.9157708883285522), ('febriana', 0.9118998646736145), ('mariroh', 0.9007604718208313), ('audia', 0.9006624221801758)]"
3,firmansyah,"[('yudi', 0.8536427021026611), ('alfian', 0.8450008630752563), ('darmawan', 0.838188648223877), ('hendri', 0.8373010158538818), ('oky', 0.8343704342842102), ('wicaksono', 0.8309948444366455), ('ardiansyah', 0.8300347328186035), ('hartoyo', 0.8267987966537476), ('rully', 0.8229494094848633), ('hamdani', 0.8227912187576294)]"
