tingkat setelah parent,parent,similarity
1,aksi,"[('demonstrasi', 0.6421080827713013), ('aksinya', 0.5943784713745117), ('boikot', 0.5901685953140259), ('tindakan', 0.5697618126869202), ('pemogokan', 0.5621821284294128), ('protes', 0.5609323978424072), ('kekerasan', 0.5514772534370422), ('provokasi', 0.5467625260353088), ('polisionil', 0.5453224778175354), ('pengkhianatan', 0.540084183216095)]"
2,demonstrasi,"[('protes', 0.7934477925300598), ('pemogokan', 0.7438275218009949), ('kerusuhan', 0.6805011630058289), ('boikot', 0.6578859090805054), ('unjuk', 0.642197847366333), ('aksi', 0.642108142375946), ('pawai', 0.6369510889053345), ('pembantaian', 0.5974276065826416), ('penembakan', 0.5971705317497253), ('pemboikotan', 0.5830284357070923)]"
2,aksinya,"[('pengejaran', 0.6695346236228943), ('serangannya', 0.6285976767539978), ('tindakannya', 0.6199491620063782), ('perlawanannya', 0.6107335686683655), ('pertarungannya', 0.6089244484901428), ('keberaniannya', 0.6087054014205933), ('kegagalannya', 0.6054674983024597), ('perjuangannya', 0.6048890352249146), ('keterlibatannya', 0.5998936891555786), ('keberhasilannya', 0.5949852466583252)]"
2,boikot,"[('pemboikotan', 0.8113222718238831), ('protes', 0.7361668944358826), ('embargo', 0.6918632388114929), ('penentangan', 0.6865706443786621), ('pelarangan', 0.6594486236572266), ('demonstrasi', 0.6578859090805054), ('pemogokan', 0.639146089553833), ('pembajakan', 0.637561023235321), ('provokasi', 0.6151715517044067), ('penolakan', 0.6126655340194702)]"
2,tindakan,"[('perbuatan', 0.7390549182891846), ('tindakannya', 0.6913716793060303), ('sikap', 0.6710721850395203), ('penghinaan', 0.6443749666213989), ('pelanggaran', 0.6271412372589111), ('upaya', 0.6265771985054016), ('pemaksaan', 0.6184755563735962), ('provokasi', 0.6088642477989197), ('kejahatan', 0.6064387559890747), ('ketidakpedulian', 0.606406033039093)]"
2,pemogokan,"[('demonstrasi', 0.7438275814056396), ('protes', 0.6689384579658508), ('mogok', 0.6457269787788391), ('kerusuhan', 0.6448402404785156), ('boikot', 0.639146089553833), ('penembakan', 0.6125553846359253), ('pembangkangan', 0.6099311709403992), ('pembantaian', 0.6061258912086487), ('bentrokan', 0.6029552221298218), ('penjarahan', 0.5996758341789246)]"
2,protes,"[('demonstrasi', 0.793447732925415), ('boikot', 0.7361668944358826), ('penentangan', 0.68438720703125), ('kecaman', 0.6793701648712158), ('pemboikotan', 0.6756014227867126), ('ketidakpuasan', 0.6698666214942932), ('provokasi', 0.6689448952674866), ('pemogokan', 0.6689385175704956), ('penolakan', 0.6578032970428467), ('kerusuhan', 0.6490381360054016)]"
2,kekerasan,"[('intimidasi', 0.7123724222183228), ('pemerkosaan', 0.6810244917869568), ('penyiksaan', 0.6784852743148804), ('diskriminasi', 0.6765977740287781), ('kejahatan', 0.6740831732749939), ('pemaksaan', 0.6714295744895935), ('kebencian', 0.6674340963363647), ('rasisme', 0.6645455956459045), ('perkosaan', 0.6628375053405762), ('kriminalitas', 0.6600057482719421)]"
2,provokasi,"[('intimidasi', 0.6837177872657776), ('penghinaan', 0.6767168641090393), ('pengkhianatan', 0.6723411083221436), ('protes', 0.6689449548721313), ('kekejaman', 0.6525858044624329), ('kecurigaan', 0.6486032009124756), ('pemaksaan', 0.6450770497322083), ('fitnah', 0.6419389843940735), ('kebrutalan', 0.6417130827903748), ('penentangan', 0.6341515183448792)]"
2,polisionil,"[('polisional', 0.58292555809021), ('afirmatif', 0.5597753524780273), ('heroiknya', 0.5526109337806702), ('aksi', 0.5453225374221802), ('penumpasan', 0.5244649052619934), ('sabotase', 0.5201882719993591), ('politionele', 0.5126605033874512), ('kamisan', 0.5059188604354858), ('penghadangan', 0.5042672753334045), ('penyanderaan', 0.5012078285217285)]"
