token_0,BIO_tag_0
jakarta,
",",O
timur,
",",O
provos,
",",O
lakukan,
",",O
sidang,
",",O
disiplin,
",",O
tuntut,
",",O
mutasi,
",",O
area,
",",O
polda,
",",O
metro,
",",O
jaya,
",",O
fadil,
",",O
rapat,
",",O
gangguan,
",",O
kamtibman,
",",O
polda,
",",O
metro,
",",O
jaya,
",",O
senin,
",",O
1312,
",",O
fadil,
",",O
menyayangkan,
",",O
sikap,
",",O
aipda,
",",O
rudi,
",",O
berempati,
",",O
korban,
",",O
perampokan,
",",O
kabid,
",",O
propam,
",",O
awasi,
",",O
sentra,
",",O
pelayanan,
",",O
kepolisian,
",",O
terpadu,
",",O
spkt,
",",O
loket,
",",O
pelayanan,
",",O
masyarakat,
",",O
masyarakat,
",",O
melapor,
",",O
dilayani,
",",O
menyakiti,
",",O
hati,
",",O
masyarakat,
",",O
fadil,
",",O
irwasda,
",",O
kabid,
",",O
propam,
",",O
spktspkt,
",",O
tolong,O
",",O
ditertibkan,
",",O
kapolres,
",",O
fadil,
",",O
fadil,
",",O
mengultimatum,
",",O
anggotanya,
",",O
kejadian,
",",O
terulang,
",",O
catat,
",",O
anggota,
",",O
menodai,
",",O
kemurnian,
",",O
profesi,
",",O
kabid,
",",O
propam,
",",O
jajaran,
",",O
tuntut,
",",O
hukuman,
",",O
mutasi,
",",O
area,
",",O
fadil,
",",O
berkas,
",",O
terduga,
",",O
pelanggar,
",",O
selesai,
",",O
kabid,
",",O
humas,
",",O
polda,
",",O
sulsel,
",",O
kombes,
",",O
komang,
",",O
suartana,
",",O
suartana,
",",O
chaerul,
",",O
akmal,
",",O
sulaiman,
",",O
penahanan,
",",O
satreskrim,
",",O
polrestabes,
",",O
makassar,
",",O
diambil,
",",O
alih,
",",O
propam,
",",O
polda,
",",O
sulsel,
",",O
sidang,
",",O
kode,
",",O
etik,
",",O
polri,
",",O
tinggal,
",",O
nunggu,
",",O
sidang,
",",O
kode,
",",O
etik,
",",O
suartana,
