token_0,BIO_tag_0
alias,
",",O
aden,b-nama
",",O
membunuh,
",",O
eneng,b-nama
",",O
kulsum,
",",O
wanita,
",",O
cibadak,
",",O
kabupaten,
",",O
sukabumi,
",",O
pria,
",",O
diduga,
",",O
merencanakan,
",",O
aksi,
",",O
kejinya,
",",O
jumat,
",",O
135,
",",O
malam,
",",O
aden,b-nama
",",O
sengaja,
",",O
membawa,
",",O
sebilah,
",",O
pisau,
",",O
menunggu,
",",O
eneng,b-nama
",",O
kulsum,
",",O
rumahnya,
",",O
pelaku,
",",O
menyerang,
",",O
menusuk,
",",O
korban,
",",O
nyawa,
",",O
eneng,b-nama
",",O
tertolong,
",",O
polisi,
",",O
memburu,
",",O
menangkap,
",",O
aden,b-nama
",",O
motifnya,
",",O
keterangan,
",",O
saksi,
",",O
keterangan,
",",O
tersangka,
",",O
dendam,
",",O
korban,
",",O
menjalin,
",",O
hubungan,
",",O
tersangka,
",",O
korban,
",",O
rujuk,
",",O
mantan,
",",O
suaminya,
",",O
kapolsek,
",",O
cibadak,
",",O
kompol,
",",O
maryono,b-nama
",",O
262,
",",O
tersangka,
",",O
diamankan,
",",O
masingmasing,
",",O
berbeda,
",",O
curat,
",",O
127,
",",O
tersangka,
",",O
curas,
",",O
51,
",",O
tersangka,
",",O
curanmor,
",",O
84,
",",O
tersangka,
",",O
terang,
",",O
wakapolda,
",",O
jatim,
",",O
brigjen,
",",O
slamet,b-nama
",",O
hadi,b-nama
",",O
supraptoyo,b-nama
",",O
jumpa,
",",O
pers,
",",O
gedung,
",",O
mahameru,
",",O
rabu,
",",O
10112021,
",",O
curat,
",",O
menyoroti,
",",O
curas,
",",O
aksinya,
",",O
bandit,
",",O
kerap,
",",O
korbannya,
",",O
terluka,
",",O
sengaja,
",",O
dilukai,
",",O
curas,
",",O
tersangka,
",",O
menjambret,
",",O
tas,
",",O
milik,
",",O
korban,
",",O
mengendarai,
",",O
sepeda,
",",O
motor,
",",O
menodongkan,
",",O
senjata,
",",O
tajam,
",",O
tersangka,
",",O
segan,
",",O
segan,
",",O
melukai,
",",O
korbannya,
",",O
perlawanan,
",",O
hadi,b-nama
",",O
curat,
",",O
modus,
",",O
aksinya,
",",O
tersangka,
",",O
merusak,
",",O
pintu,
",",O
jendela,
",",O
rumah,
",",O
gudang,
",",O
milik,
",",O
korban,
",",O
imbuhnya,
",",O
kesempatan,
",",O
polda,
",",O
jatim,
",",O
menyerahkan,
",",O
unit,
",",O
kendaraan,
",",O
roda,
",",O
unit,
",",O
sepeda,
",",O
motor,
",",O
pemiliknya,
",",O
korban,
",",O
curanmor,
",",O
salah,
",",O
korban,
",",O
hasanuddin,b-nama
",",O
mengaku,
",",O
bersyukur,
",",O
terimakasih,
",",O
polisi,
",",O
kendaraanya,
",",O
ucapkan,
",",O
terima,
",",O
kasih,
",",O
kapolda,
",",O
anggota,
",",O
jatanras,
",",O
menangkap,
",",O
pelaku,
",",O
mencuri,
",",O
mobil,
",",O
hasanuddin,b-nama
",",O
menceritakan,
",",O
mobilnya,
",",O
hilang,
",",O
sebulan,
",",O
keterangan,
",",O
polisi,
",",O
mobilnya,
",",O
ditemukan,
",",O
exit,
",",O
tol,
",",O
japanan,
",",O
mobil,
",",O
parkir,
",",O
rumah,
",",O
1700,
",",O
wib,
",",O
300,
",",O
wib,
",",O
keterangannya,
",",O
mobil,
",",O
ditemukan,
",",O
tol,
",",O
japanan,
",",O
warga,
",",O
pandaan,
",",O
pasuruan,
",",O
iwdiwd,
",",O
terungkap,
",",O
inisial,
",",O
50,
",",O
warga,
",",O
desa,
",",O
parseh,
",",O
kecamatan,
",",O
socah,
",",O
beber,
",",O
kasat,
",",O
reskrim,
",",O
polres,
",",O
bangkalan,
",",O
akp,
",",O
sigit,b-nama
",",O
nursiyo,i-nama
",",O
dwiyugo,e-nama
",",O
rabu,
",",O
6102021,
",",O
sigit,b-nama
",",O
terungkapnya,
",",O
identitas,
",",O
korban,
",",O
petugas,
",",O
handphone,
",",O
perangkat,
",",O
desa,
",",O
handphone,
",",O
ditemukan,
",",O
lokasi,
",",O
korban,
",",O
dibakar,
",",O
temuan,
",",O
polisi,
",",O
menyelidikinya,
",",O
handphone,
",",O
milik,
",",O
korban,
",",O
dibakar,
",",O
petugas,
",",O
mengamankan,
",",O
handphone,
",",O
perangkat,
",",O
desa,
",",O
nemuin,
",",O
korban,
",",O
dibakar,
",",O
kroscek,
",",O
registrasi,
",",O
nomornya,
",",O
pas,
",",O
kknya,
",",O
papar,
",",O
sigit,b-nama
",",O
sigit,b-nama
",",O
identitasnya,
",",O
terungkap,
",",O
menghubungi,
",",O
keluarganya,
",",O
jenazah,
",",O
diserahkan,
",",O
malam,
",",O
kemarin,
",",O
dikuburkan,
",",O
malam,
",",O
identitasnya,
",",O
hubungi,
",",O
keluarganya,
",",O
sigit,b-nama
",",O
terduga,
",",O
maling,
",",O
motor,
",",O
curanmor,
",",O
tewas,
",",O
dibakar,
",",O
massa,
",",O
peristiwa,
",",O
desa,
",",O
rabesen,
",",O
kecamatan,
",",O
kwanyar,
",",O
bangkalan,
",",O
madura,
",",O
kapolsek,
",",O
kwanyar,
",",O
iptu,
",",O
mansur,b-nama
",",O
dikonfirmasi,
",",O
membenarkan,
",",O
kejadian,
",",O
mansur,b-nama
",",O
peristiwa,
",",O
200,
",",O
wib,
",",O
kejadiannya,
",",O
200,
",",O
wib,
",",O
massa,
",",O
pelaku,
",",O
dibakar,
",",O
motornya,
",",O
mansur,b-nama
",",O
5102021,
",",O
iwdiwd,
",",O
pas,
",",O
tangkap,
",",O
ngakunya,
",",O
mencuri,
",",O
beli,
",",O
motor,
",",O
mencuri,
",",O
pemilik,
",",O
motor,
",",O
mahur,b-nama
",",O
kamis,
",",O
21102021,
",",O
mahur,b-nama
",",O
percaya,
",",O
menangkap,
",",O
memborgolnya,
",",O
tiang,
",",O
listrik,
",",O
polisi,
",",O
polsek,
",",O
sukolilo,
",",O
bangkalan,
",",O
percaya,
",",O
borgol,
",",O
milik,
",",O
sekuriti,
",",O
proyek,
",",O
nunggu,
",",O
polisi,
",",O
sukolilo,
",",O
kantor,
",",O
polisi,
",",O
ngaku,
",",O
membeli,
",",O
mahur,b-nama
",",O
beli,
",",O
hasil,
",",O
uangnya,
",",O
pakai,
",",O
sabu,
",",O
percaya,
",",O
omongnya,
",",O
ngelantur,
",",O
mahur,b-nama
",",O
mahur,b-nama
",",O
menangkap,
",",O
menyerahkan,
",",O
pencuri,
",",O
motor,
",",O
polisi,
",",O
motornya,
",",O
dicuri,
",",O
diambil,
",",O
kantor,
",",O
polisi,
",",O
pengembangan,
",",O
mencari,
",",O
pelaku,
",",O
tkp,
",",O
laporan,
",",O
terang,
",",O
mahur,b-nama
",",O
mahur,b-nama
",",O
pencurian,
",",O
motornya,
",",O
order,
",",O
mengambil,
",",O
makanan,
",",O
jalan,
",",O
embong,
",",O
malang,
",",O
mengambil,
",",O
order,
",",O
tahutahu,
",",O
honda,
",",O
beat,
",",O
bernomor,
",",O
pelat,
",",O
6432,
",",O
li,
",",O
miliknya,
",",O
hilang,
",",O
motor,
",",O
dikunci,
",",O
ganda,
",",O
order,
",",O
motor,
",",O
parkir,
",",O
ambil,
",",O
order,
",",O
tahutahu,
",",O
motor,
",",O
hilang,
",",O
kunci,
",",O
mahur,b-nama
",",O
motor,
",",O
hilang,
",",O
mahur,b-nama
",",O
melaporkannya,
",",O
polsek,
