tingkat setelah parent,parent
1,anwar
2,rosihan
2,chairil
2,saiful
2,rais
2,syaiful
2,taufiq
2,ridwan
2,fahmi
2,munir
2,muchtar
3,chairil
3,rivai
3,anwar
3,zaini
3,djamil
3,bakri
3,saiful
3,joesoef
3,sanusi
3,khaidir
3,rosihan
3,anwar
3,fuady
3,emha
3,khaidir
3,nadjib
3,hamsad
3,rusli
3,pane
3,achdiat
3,akhmad
3,syamsul
3,rifai
3,munawar
3,muchtar
3,djamil
3,syaiful
3,hamdani
3,arief
3,lutfi
3,amien
3,luthfi
3,taufiq
3,djamal
3,zulkifli
3,akhmad
3,dimyati
3,chalid
3,munir
3,fahmi
3,yudi
3,ramli
3,mochammad
3,priyanto
3,syamsul
3,wahyudi
3,alfian
3,mochamad
3,hendri
3,akhmad
3,munawar
3,kiemas
3,fahmi
3,akhmad
3,rais
3,bachri
3,madjid
3,lutfi
3,mohamad
3,ridwan
3,fauzan
3,arief
3,ichsan
3,saiful
3,helmi
3,tohir
3,bachtiar
3,hamdani
3,yudi
3,syamsul
3,syamsul
3,zaki
3,lutfi
3,fuad
3,fadhil
3,muchtar
3,farid
3,fikri
3,fauzan
3,akmal
3,luthfi
3,yasin
3,jufri
3,munawar
3,fuad
3,akhmad
3,lutfi
3,muchtar
3,nizar
3,assegaf
3,lutfi
3,munawar
3,nasrul
3,fauzan
3,rifai
3,fahmi
3,hamdani
3,zaki
3,idham
3,fikri
4,rosihan
4,anwar
4,fuady
4,emha
4,khaidir
4,nadjib
4,hamsad
4,rusli
4,pane
4,achdiat
4,djamil
4,akhmad
4,junus
4,azis
4,zaini
4,rusli
4,effendi
4,muchtar
4,baharuddin
4,hamidy
4,rosihan
4,chairil
4,saiful
4,rais
4,syaiful
4,taufiq
4,ridwan
4,fahmi
4,munir
4,muchtar
4,luthfi
4,akhmad
4,zulkifli
4,baharuddin
4,djamil
4,awaluddin
4,basri
4,moh
4,idham
4,bakri
4,junus
4,akhmad
4,zaini
4,rivai
4,muchtar
4,hamidy
4,djamal
4,lutfi
4,munawar
4,effendi
4,zaini
4,husin
4,nizar
4,muhtadi
4,assegaf
4,lutfi
4,husaini
4,muchtar
4,munawar
4,rivai
4,akhmad
4,syamsul
4,rifai
4,munawar
4,muchtar
4,djamil
4,syaiful
4,hamdani
4,arief
4,lutfi
4,daoed
4,soedarsono
4,moehammad
4,abdoel
4,djamal
4,junus
4,zaini
4,rivai
4,soemitro
4,oemar
4,lutfi
4,akhmad
4,basri
4,djamil
4,baharuddin
4,sulaeman
4,husin
4,abdoel
4,junus
4,pane
4,hamdani
4,syamlan
4,saifudin
4,risman
4,fuady
4,akhmad
4,sofian
4,ismet
4,burhanudin
4,djamil
4,chairil
4,rivai
4,anwar
4,zaini
4,djamil
4,bakri
4,saiful
4,joesoef
4,sanusi
4,khaidir
4,rosihan
4,chairil
4,saiful
4,rais
4,syaiful
4,taufiq
4,ridwan
4,fahmi
4,munir
4,muchtar
4,khaidir
4,syaeful
4,abrar
4,rozy
4,awaludin
4,jeffry
4,bront
4,risman
4,udjang
4,ruswandi
4,nadjib
4,ainun
4,achdiat
4,maman
4,violinda
4,seno
4,hasri
4,madjid
4,hamsad
4,asrul
4,hamdani
4,syamlan
4,saifudin
4,risman
4,fuady
4,akhmad
4,sofian
4,ismet
4,burhanudin
4,djamil
4,emha
4,ainun
4,yosi
4,butet
4,hasri
4,violinda
4,seno
4,trisno
4,asrul
4,hamsad
4,ajidarma
4,ahmadun
4,gumira
4,herfanda
4,triwikromo
4,rangkuti
4,sapardi
4,afrizal
4,malna
4,yosi
4,rivai
4,amran
4,effendi
4,nurdin
4,sanusi
4,taufiq
4,djamil
4,bachtiar
4,usman
4,junus
4,sanusi
4,armijn
4,junus
4,rangkuti
4,lafran
4,rosidi
4,hamsad
4,alisjahbana
4,situmorang
4,rivai
4,ajidarma
4,gumira
4,mihardja
4,utuy
4,rosidi
4,amidjaja
4,emha
4,ajip
4,hamsad
4,triwikromo
4,mochamad
4,muhidin
4,mochammad
4,munawar
4,baharuddin
4,husin
4,efendi
4,djamal
4,idham
4,lutfi
4,fahmi
4,syaiful
4,saiful
4,lutfi
4,fuad
4,munawar
4,hamdani
4,arief
4,ramli
4,fikri
4,munawar
4,mawardi
4,hamdani
