token_0,BIO_tag_0
warga,o
 ,O
cengkareng,o
 ,O
jakarta,o
 ,O
barat,o
 ,O
dinyatakan,o
 ,O
tewas,o
 ,O
dibunuh,o
 ,O
polisi,o
 ,O
mencocokkan,o
 ,O
identitas,o
 ,O
sesosok,o
 ,O
mayat,o
 ,O
perempuan,o
 ,O
ditemukan,o
 ,O
jatisampurna,o
 ,O
bekasi,o
 ,O
jumat,o
 ,O
295,o
 ,O
minggu,o
 ,O
dinyatakan,o
 ,O
hilang,o
 ,O
polisi,o
 ,O
menangkap,o
 ,O
pelaku,o
 ,O
penemuan,o
 ,O
jasad,o
 ,O
perempuan,o
 ,O
jatisampurna,o
 ,O
bekasi,o
 ,O
keluarga,o
 ,O
melapor,o
 ,O
polisi,o
 ,O
harapan,o
 ,O
ditemukan,o
 ,O
sisi,o
 ,O
keluarga,o
 ,O
berikhtiar,o
 ,O
ikhtiar,o
 ,O
mencari,o
 ,O
manamana,o
 ,O
tangerang,o
 ,O
wanita,o
 ,O
riyan,b-nama
 ,O
keluarga,o
 ,O
nggak,O
 ,O
amanaman,o
 ,O
terdakwa,o
 ,O
terdakwa,o
 ,O
fikry,b-nama
 ,O
abdul,b-nama
 ,O
rohman,b-nama
 ,O
randy,b-nama
 ,O
apriyanto,b-nama
 ,O
muhammad,b-nama
 ,O
rizky,b-nama
 ,O
sidang,o
 ,O
keempatnya,o
 ,O
digelar,o
 ,O
pengadilan,o
 ,O
negeri,o
 ,O
cikarang,o
 ,O
mengadili,o
 ,O
terdakwa,o
 ,O
terbukti,o
 ,O
sadar,o
 ,O
bersalah,o
 ,O
tindakan,o
 ,O
pidana,o
 ,O
pencurian,o
 ,O
tindakan,o
 ,O
kekerasan,o
 ,O
dakwaan,o
 ,O
penuntut,o
 ,O
hakim,o
 ,O
ketua,o
 ,O
chandra,b-nama
 ,O
ramadhani,b-nama
 ,O
membacakan,o
 ,O
vonis,o
 ,O
pn,o
 ,O
cikarang,o
 ,O
bekasi,o
 ,O
senin,o
 ,O
2542022,o
 ,O
hakim,o
 ,O
menjatuhkan,o
 ,O
putusan,o
 ,O
abdurrahman,b-nama
 ,O
pidana,o
 ,O
penjara,o
 ,O
10,o
 ,O
terdakwa,o
 ,O
dijatuhi,o
 ,O
vonis,o
 ,O
penjara,o
 ,O
menjatuhkan,o
 ,O
pidana,o
 ,O
terdakwa,o
 ,O
fikri,b-nama
 ,O
randy,b-nama
 ,O
rizky,b-nama
 ,O
pidana,o
 ,O
masingmasing,o
 ,O
sambung,o
 ,O
hakim,o
 ,O
hakim,o
 ,O
membacakan,o
 ,O
putusan,o
 ,O
keluarga,o
 ,O
terdakwa,o
 ,O
menahan,o
 ,O
air,o
 ,O
dibacakan,o
 ,O
vonis,o
 ,O
keluarga,o
 ,O
kecewa,o
 ,O
ruangan,o
 ,O
sidang,o
 ,O
jaksa,o
 ,O
menuntut,o
 ,O
muhammad,b-nama
 ,O
fikry,b-nama
 ,O
muhammad,b-nama
 ,O
rizky,b-nama
 ,O
randy,b-nama
 ,O
apriyanto,b-nama
 ,O
penjara,o
 ,O
abdul,b-nama
 ,O
rohman,b-nama
 ,O
dituntut,o
 ,O
25,o
 ,O
penjara,o
 ,O
sidang,o
 ,O
terpisah,o
 ,O
basri,o
 ,O
haji,o
 ,O
gadungan,o
 ,O
ditangkap,o
 ,O
polisi,o
 ,O
wilayah,o
 ,O
btn,o
 ,O
selindo,o
 ,O
batangase,o
 ,O
kecamatan,o
 ,O
mandai,o
 ,O
kabupaten,o
 ,O
maros,o
 ,O
senin,o
 ,O
213,o
 ,O
berdasarkan,o
 ,O
catatan,o
 ,O
kepolisian,o
 ,O
pelaku,o
 ,O
total,o
 ,O
memiliki,o
 ,O
tujuh,o
 ,O
laporan,o
 ,O
polisi,o
 ,O
polsek,o
 ,O
pelaku,o
 ,O
lp,o
 ,O
polsek,o
 ,O
kanit,o
 ,O
resmob,o
 ,O
polda,o
 ,O
sulsel,o
 ,O
kompol,o
 ,O
dharma,o
 ,O
negara,o
 ,O
darma,o
 ,O
pelaku,o
 ,O
kerap,o
 ,O
beraksi,o
 ,O
wilayah,o
 ,O
makassar,o
 ,O
maros,o
 ,O
kabupaten,o
 ,O
gowa,o
 ,O
korbannya,o
 ,O
emakemak,o
 ,O
korban,o
 ,O
mudah,o
 ,O
terpedaya,o
 ,O
pelaku,o
 ,O
mengaku,o
 ,O
haji,o
 ,O
korban,o
 ,O
tahunya,o
 ,O
pelaku,o
 ,O
ngaku,o
 ,O
haji,o
 ,O
pas,o
 ,O
tangkap,o
 ,O
pengakuan,o
 ,O
pelaku,o
 ,O
haji,o
 ,O
dharma,b-nama
 ,O
dharma,b-nama
 ,O
pelaku,o
 ,O
beraksi,o
 ,O
pattallassang,o
 ,O
gowa,o
 ,O
mei,o
 ,O
2021,o
 ,O
pelaku,o
 ,O
menyasar,o
 ,O
rumah,o
 ,O
tangga,o
 ,O
alias,o
 ,O
emakemak,o
 ,O
memakai,o
 ,O
emas,o
 ,O
korban,o
 ,O
mengeluarkan,o
 ,O
gelangnya,o
 ,O
dibersihkan,o
 ,O
jinnya,o
 ,O
korban,o
 ,O
menolak,o
 ,O
berhasil,o
 ,O
didesak,o
 ,O
pelaku,o
 ,O
dharma,o
 ,O
pelaku,o
 ,O
berdalih,o
 ,O
ambil,o
 ,O
alat,o
 ,O
bagasi,o
 ,O
motor,o
 ,O
kabur,o
 ,O
sambungnya,o
 ,O
pelaku,o
 ,O
menipu,o
 ,O
wanita,o
 ,O
kawasan,o
 ,O
panakkukang,o
 ,O
makassar,o
 ,O
desember,o
 ,O
2020,o
 ,O
pelaku,o
 ,O
berdalih,o
 ,O
membeli,o
 ,O
rumah,o
 ,O
korban,o
 ,O
pelaku,o
 ,O
menuding,o
 ,O
rumah,o
