token_0,BIO_tag_0
budi,
 ,O
budhi,
 ,O
darma,
 ,O
heru,
 ,O
asih,
 ,O
raharjo,
 ,O
pekerti,
 ,O
heri,
 ,O
utomo,
 ,O
sarwono,
 ,O
nugroho,
 ,O
santosa,
 ,O
dedy,
 ,O
permana,
 ,O
kurnia,
 ,O
cahyono,
 ,O
atmaja,
 ,O
setyo,
 ,O
prasetyo,
 ,O
hery,
 ,O
brata,
 ,O
panca,
 ,O
widya,
 ,O
karsa,
 ,O
mulya,
 ,O
dharma,
 ,O
bhakti,
 ,O
bhuana,
 ,O
husada,
 ,O
sugeng,
 ,O
purnomo,
 ,O
wahyudi,
 ,O
herry,
 ,O
nurhadi,
 ,O
edy,
 ,O
hendro,
 ,O
welas,
 ,O
handayani,
 ,O
rahayu,
 ,O
mulyo,
 ,O
kumala,
 ,O
arga,
 ,O
sukma,
 ,O
pohaci,
 ,O
siswanto,
 ,O
sapto,
 ,O
wicaksono,
 ,O
setyawan,
 ,O
putro,
 ,O
keluhuran,
 ,O
pekertinya,
 ,O
luhur,
 ,O
akhlak,
 ,O
berbudi,
 ,O
schwarzkrone,
 ,O
bidhun,
 ,O
anduk,
 ,O
kejujuran,
 ,O
karimah,
 ,O
hermawan,
 ,O
haryadi,
 ,O
cahyo,
 ,O
darmawan,
 ,O
sudarsono,
 ,O
oetomo,
 ,O
priyo,
 ,O
harsono,
 ,O
triyono,
 ,O
purwanto,
 ,O
kusumaatmadja,
 ,O
mulyana,
 ,O
sumarsono,
 ,O
setiadi,
 ,O
pramono,
 ,O
wibisono,
 ,O
sasongko,
 ,O
budiono,
 ,O
eko,
 ,O
yudi,
 ,O
dedi,
 ,O
handoyo,
 ,O
suryana,
 ,O
hendri,
 ,O
wirawan,
 ,O
setiawan,
 ,O
cahya,
 ,O
asmoro,
 ,O
wirya,
 ,O
haryo,
 ,O
atmadja,
 ,O
kusumah,
 ,O
ragil,
 ,O
wardana,
 ,O
legowo,
 ,O
subrata,
 ,O
sigit,
 ,O
mochamad,
 ,O
hartoyo,
 ,O
anyung,
 ,O
yuda,
 ,O
suparto,
 ,O
kusumo,
 ,O
mangun,
 ,O
sapta,
 ,O
manunggal,
 ,O
indera,
 ,O
persada,
 ,O
wiyata,
 ,O
artha,
 ,O
kartika,
 ,O
nugraha,
 ,O
eka,
 ,O
tresna,
 ,O
wira,
 ,O
wuri,
 ,O
mukti,
 ,O
kerta,
 ,O
sradha,
 ,O
dhamma,
 ,O
sanata,
 ,O
oratmangun,
 ,O
prajna,
 ,O
wiratama,
 ,O
bakti,
 ,O
manggala,
 ,O
satya,
 ,O
krida,
 ,O
bina,
 ,O
braja,
 ,O
bhaladika,
 ,O
wisesa,
 ,O
akasa,
 ,O
yudha,
 ,O
stikes,
 ,O
akbid,
 ,O
rsia,
 ,O
medika,
 ,O
akper,
 ,O
supardi,
 ,O
mochammad,
 ,O
sunarya,
 ,O
suwarno,
 ,O
sutisna,
 ,O
singgih,
 ,O
prayitno,
 ,O
irianto,
 ,O
kartiko,
 ,O
tyas,
 ,O
murti,
 ,O
ketulusan,
 ,O
sedya,
 ,O
wardhani,
 ,O
pratiwi,
 ,O
wijayanti,
 ,O
