title,date,description,source
"
        Salah Kaprah Neneng yang Menyesal Tapi Puas Usai Bunuh Dini    ","Rabu, 18 Mei  2022 06:46 WIB","Polisi mengungkap sejumlah fakta terbaru terkait

 Neneng Umaya telah ditetapkan sebagai tersangka dan ditahan di kasus

 Pembunuhan Dini Nurdiani ini

 ""Motifnya sendiri ternyata kecemburuan. Tersangka ini adalah istri pacar
korban,"" kata Kapolsek Cengkareng Kompol Ardhie Dimasetyo kepada wartawan,
Sabtu (14/5).

 Menurut Ardhie, ID dan Dini Nurdiani sudah menjalin hubungan selama 4 bulan.

 ""Berawal dari istrinya ngecek

 Isi chat ID dengan

 ""Nah, semenjak itu N langsung kesal, langsung mempunyai pemikiran yang emosi.
Jadi motifnya cemburu dan sakit hati,"" tambahnya.

 Neneng Umaya kemudian merencanakan pembunuhan Dini Nurdiani. Dia bersiasat
memancing korban dengan menggunakan HP suami.

 Tersangka Neneng Umaya seolah-olah adalah ID, mengajak Dini Nurdiani buat buka
puasa bersama. Dini Nurdiani terpancing, hingga kemudian Neneng mempersiapkan
pisau hingga gunting untuk membunuh Dini Nurdiani.

 .

 

 ",www.detik.com
"
        Runutan Penyelidikan Polisi Bongkar Pembunuhan Sadis Dini Nurdiani    ","Minggu, 15 Mei  2022 10:31 WIB","Seorang perempuan bernama

 Hasil penyelidikan mengungkap Dini dibunuh oleh seorang perempuan berinisial
NU (24). Pihak kepolisian diketahui membutuhkan waktu hampir satu bulan untuk
mengungkap kasus tersebut.

 ""Kurang-lebih satu bulan dari awal keluarganya melaporkan ke Polsek
Cengkareng. Awalnya saat itu melaporkan bahwa keluarganya ada yang hilang,""
kata Kanit Reskrim Polsek Cengkareng AKP Ali Barokah saat dihubungi, Minggu
(15/5/2022).

 Ali mengatakan pihaknya lalu mulai melakukan rangkaian penyelidikan dalam
mengungkap keberadaan dari Dini yang dinyatakan hilang tersebut. Awalnya,
pihak keluarga Dini yang dimintai keterangan oleh polisi.

 ""Kita lidik dari keluarganya kita mintai keterangan. Dari orang-orang yang
terindikasi dekat dengan korban sampai akhirnya ada titik terang itu,"" ujar
Ali.

 Titik terang kasus itu berawal saat polisi memeriksa rekan kerja korban. Dari
keterangan rekan kerja itu, didapatkan informasi korban tengah menjalin
hubungan dengan seorang pria yang belakangan diketahui merupakan suami pelaku.

 ""Jadi ada kita mintai keterangan dari orang terdekat tempat dia kerja jadi
memang pada saat itu kita koordinasi dengan tempat kerja dia ada CCTV pada
saat korban pulang. Itu kita mintai keterangan yang di kantor sampai ada titik
terang ada orang-orang yang dikatakan teman dekatlah. Kita coba telusuri dan
akhirnya benar ada yang kita curigai,"" jelas Ali.

 Setelah melakukan pemeriksaan kepada keluarga, rekan kerja, hingga suami
pelaku, polisi menemukan bukti bahwa NU merupakan pelaku

 ""Kita urut dari mulai di lingkungan kerja, korban pulang, dan pakai analisa IT
akhirnya terungkap pelakunya dan pelakunya tunggal,"" tutur Ali.

 

 ",www.detik.com
"
        Berawal dari Jeratan Pinjol, Ibu Bunuh Anak Balitanya di Semarang    ","Minggu, 15 Mei  2022 08:26 WIB","Seorang ibu di Semarang bernama Riska (34) tega menghabisi nyawa anak
balitanya sendiri dalam kamar hotel. Kasus ini berawal lilitan tagihan
pinjaman online (pinjol) yang menyebabkan Riska berkonflik dengan suami dan
berujung maut untuk anaknya.

 Riska ditemukan dalam kondisi pingsan oleh petugas tergeletak dalam kamar
hotel di salah satu hotel di kawasan Gajahmungkur, Semarang pada Selasa (10/5)
petang. Sementara anaknya yang masih berusia 3 tahun 7 bulan sudah meninggal
dunia saat ditemukan.

 Diduga setelah membunuh anaknya, Riska berusaha bunuh diri.

 Kapolrestabes Semarang, Kombes Irwan Anwar, saat jumpa pers kasus di
Mapolrestabes Semarang, Jalan DR Sutomo, Batursari, Semarang, Rabu (11/5/2022)
menjelaskan motif di balik kasus ini.

 ""Si tersangka ini merasa takut karena telah menggunakan uang milik mereka
suami istri,"" kata Kapolrestabes Semarang, Kombes Irwan Anwar, saat jumpa pers
kasus di Mapolrestabes Semarang, Jalan DR Sutomo, Batursari, Semarang, Rabu
(11/5/2022).

 Irwan menyebut berdasarkan keterangan Riska, suaminya itu sosok yang baik dan
tak pernah marah. Oleh karenanya ketika ditegur suaminya, Riska menjadi kalut.

 Setelah ditegur suaminya, Riska lalu kabur dan pergi ke salah satu hotel
bersama anak balitanya. Secara spontan, Riska berusaha melakukan upaya bunuh
diri setelah membekap anaknya hingga tewas.

 Kepada polisi Riska mengaku nekat mengambil uang tabungan senilai puluhan juta
dan ditegur oleh suaminya. Uang puluhan juta itu akan dia gunakan untuk
melunasi pinjol.

 ""Rekeningnya kosong dari 39 juta sisa sejuta oleh istrinya disebut uang
tersebut telah digunakan oleh yang bersangkutan untuk membayar cicilan
(pinjaman) online,"" jelasnya.

 Riska menyebut pihak yang meminjam di pinjol adalah temannya berinisial SS.
Tagihan itu dialamatkan kepadanya karena terlanjur meminjamkan identitasnya ke
SS.

 Dengan identitas Riska, SS meminjam uang sebanyak Rp 12 juta. Namun, karena
tak pernah dibayar tagihan itu membengkak dan kini mencapai Rp 38 juta.

 Polisi kemudian melacak keberadaan SS. Selain itu teror pinjol yang diterima
Riska juga didalami polisi.

 ",www.detik.com
"
        Anggota TNI Dibacok di Terminal Medan, Motif Pelaku Masih Misterius    ","Kamis, 21 Apr 2022 10:29 WIB","Anggota TNI bernama

 ""Iya pelaku sudah ditangkap,"" kata Kabid Humas Polda Sumut Kombes Hadi
Wahyudi, seperti dilansir dari detikSumut, Kamis (21/4/2022).

 Menurut informasi, peristiwa itu terjadi pada Selasa (19/4) yang lalu. Korban
dibacok saat sedang mengobrol.

 Korban dibacok di bagian kepala. Setelah dibacok, korban langsung terjatuh
dengan kepala dipenuhi darah.

 Akibat pembacokan itu korban langsung dibawa ke rumah sakit. Korban saat ini
masih dalam perawatan.

 ""(Motifnya) sedang didalami,"" jelas Hadi.

 ",www.detik.com
"
        Ojol di Bekasi Ditusuk Begal, Pelaku Nyamar Jadi Penumpang Ditangkap Warga    ","Jumat, 22 Apr 2022 11:26 WIB","Sebuah video memperlihatkan seorang pria berinisial G (20) diduga begal
diamankan warga di Cikarang Selatan,

 Dalam video yang beredar terlihat pria diduga begal tersebut menggunakan baju
hitam digeledah oleh aparat kepolisian. Selain itu tangan dari terduga begal
tersebut diikat dari belakang.

 Kapolsek Cikarang Selatan, Kompol Satirin membenarkan kejadian tersebut.
Menurutnya peristiwa tersebut terjadi pada Kamis (21/4/2022) pukul 21.10 WIB
malam.

 Menurut Satirin pelaku saat melakukan aksinya berpura-pura menjadi pelanggan
ojol. Tersangka lalu menghampiri pengemudi ojol berinisial R (46) dan meminta
untuk diantarkan menuju Cifest.

 ""Setibanya di TKP, tersangka menusuk punggung kanan korban dari belakang
menggunakan pisau hingga keduanya terjatuh. Selanjutnya korban berteriak
sehingga tersangka ditangkap oleh warga sekitar,"" ucap Satirin ketika
dihubungi

 Pelaku lalu diamankan polisi menuju Polsek Cikarang Selatan. Sedangkan korban
hanya mengalami luka sobek di bagian punggung dan pelipis.

 ""Atas kejadian tersebut korban berhasil selamat dan mengalami luka tusuk
punggung sebelah kanan (4 jahitan) dan luka sobek pelipis kanan (5 jahitan),""
imbuhnya.

 ",www.detik.com
"
        Polda Lampung Siapkan Penghargaan Bagi Warga yang Lawan Begal    ","Sabtu, 16 Apr 2022 22:36 WIB","Dia mengimbau masyarakat jangan takut melawan begal. Kepolisian juga akan
tetap melayani warga yang membela diri dan mempertahankan harga benda maupun
nyawanya jika terancam.

 ""Saya akan beri penghargaan warga yang dapat melumpuhkan begal,"" kata Hendro
melalui keterangan tertulisnya, Sabtu (16/4/2022).

 Hal itu diungkapkan Hendro menanggapi polemik warga yang membela diri dari
tindak kejahatan begal. Seperti diketahui, salah seorang

 Hendro menegaskan, sejak masuk Lampung dia telah menggencarkan penindakan
terhadap pelaku kejahatan jalanan terutama begal. Dia memerintahkan jajarannya
menindak para pelaku tindak pidana C3.

 C3 adalah pencurian dengan pemberatan (curat), pencurian dengan kekerasan
(curas), dan pencurian kendaraan bermotor (curanmor).

 Dia juga meminta jajaran untuk menindak tegas pelaku C3 dan tidak memberi
ruang bagi pelaku kejahatan di wilayah hukum Polda Lampung. Sebab ulah mereka
meresahkan masyarakat.

 ""Tidak ada ruang bagi pelaku kejahatan khususnya C3 di wilayah hukum Polda
Lampung ini, sampai lubang semut pun pasti akan kami kejar,"" ujarnya.

 ""Oleh karena itu, warga juga jangan takut melawan begal yang membahayakan
dirinya. Polisi tak akan memprosesnya bahkan diberi penghargaan yang bisa
melumpuhkan begal,"" tambahnya.

 Dia berharap masyarakat Lampung tidak pesimis untuk turut serta membantu
aparat penegak hukum dalam memerangi kejahatan.

 ",www.detik.com
"
        Sopir Pariwisata Alih Profesi Jadi 'Peluncur' Sabu - Residivis    ","Rabu, 20 Apr 2022 16:01 WIB","""Dia kan dulunya seorang sopir tamu (WNA). Sopir pribadi tamu. Karena pandemi
COVID-19 itu, dia tidak bekerja lagi. Dia seorang residivis juga kok,"" kata
Kepala BNNK Gianyar AKBP I Gusti Agung Alit Adnyana saat dihubungi detikBali
dari Denpasar, Rabu (20/4/2022).

 ACK sebelumnya juga dibui dengan kasus yang sama pada 2015. Ia ditangkap oleh
Polresta Denpasar. Kemudian majelis hakim memutus ACK mendapatkan pidana
selama 6,5 tahun penjara. Setelah mendapatkan remisi, ACK akhirnya keluar pada
2020 lalu.

 ""Kemudian putusan hakim dia ditahan 6,5 tahun, tapi dipotong remisi gitu, 2020
dia keluar. Karena tidak ada pekerjaan ya akhirnya bermain itu (narkoba) lagi,
sebagai peluncur (pengedar) dan sebagainya,"" terang Alit Adnyana.

 Alit Adnyana menuturkan, penangkapan pelaku berawal dari informasi masyarakat
pada Selasa (12/4). Saat itu, terdapat informasi dari masyarakat bahwa ada
orang yang mencurigakan. Mereka akhirnya melaporkan kepada BNNK Gianyar.

 ""Akhirnya dia (masyarakat) lapor kepada tim opsnal di lapangan. Kebetulan kita
banyak sering memberikan sosialisasi informasi kepada masyarakat kalau ada
orang yang mencurigakan supaya melapor kepada kami,"" jelasnya.

 Tim opsnal BNNK Gianyar akhirnya menindaklanjuti laporan masyarakat tersebut
dengan datang ke

 ""Ternyata dia mengambil sesuatu yang setelah digeledah, disaksikan oleh
beberapa masyarakat di sana diduga itu merupakan sabu,"" ungkapnya.

 Tim akhirnya melakukan pemeriksaan terhadap yang bersangkutan. Dari
pemeriksaan itu ditemukan ada tiga paket plastik yang diduga sabu-sabu.
Masing-masing paket itu terdiri dari beberapa paket-paket kecil-kecil dengan
jumlah 58,8 gram sabu-sabu.

 Usai ditemukan barang bukti, pihaknya kemudian kembali melakukan pengembangan.
Dari sana diketahui bahwa pelaku ACK memang sebagai peluncur atau membawakan
barang untuk orang lain.

 ""Dia membawa barang itu, dia dapatkan, dia akan edarkan lagi untuk paket-paket
kecil. Sekali dia melakukan penempelan dia mendapat ongkos Rp 50 ribu. Itu
menurut hasil pemeriksaan anggota, pada saat dilakukan berita acara
pemeriksaan,"" ujarnya.

 Alit Adnyana menegaskan, bahwa pelaku bergerak sendirian untuk menjadi
peluncur sabu-sabu. Karena itu, tidak ada tersangka lain dalam pengungkapan
kasus tersebut.

 ""Memang satu saja tersangkanya, berdasarkan hasil pengembangan dari
pemeriksaan anggota berantas ya memang hanya dia seorang yang menjadi peluncur
untuk melakukan peredaran

 BNNK Gianyar kini mengganjar pelaku dengan Pasal 112 Undang-Undang (UU) Nomor
35 tahun 2009 tentang Narkotika. Ia terancam hukuman pidana paling singkat
selama 4 tahun penjara.

 ",www.detik.com
"
        Kesal HP Diambil, Pria di Lebong Gorok Leher Paman hingga Putus    ","Jumat, 22 Apr 2022 19:58 WIB","Pria di Lebong,

 Kasat Reskrim Polres Lebong Iptu Alexander mengatakan peristiwa itu terjadi
hari ini di rumah korban yang berada di Kecamatan Rimbo Pengarang, Lebong.
Alex menyebut sempat terjadi keributan antara keduanya sebelum pelaku
menggorok pamannya.

 ""Pengakuan pelaku karena korban mengambil handphone pelaku, akhirnya terjadi
keribuatan antara pelaku dan korban. Karena emosi pelaku menggorok leher
korban hingga putus, "" kata Alex, Jumat (22/4/2022).

 Saat ini pelaku beserta barang bukti telah diamankan polres Lebong Polda
Bengkulu, sedangkan korban telah dibawa kerumah duka untuk.dimakamkan.

 ""Terduga pelaku sudah ditangkap, berikut barang bukti sebilah senjata tajam
jenis parang dengan panjang sekira kurang lebih 35 cm,"" jelasnya.

 ",www.detik.com
"
        2 Pengedar Narkoba di Makassar Ditangkap, 1 Pemasok Masih Buron    ","Selasa, 26 Apr 2022 14:30 WIB","""Mereka melakukan pemesanan barang-barang ini dari seorang buron melalui
pengiriman sejenis jasa kurir dan dibagi menjadi 6 titik atau TKP, supaya
tidak terlalu banyak, mereka memecah titik-titik,"" kata Kapolrestabes Makassar
Kombes Pol Budi Haryanto dalam jumpa pers di Mapolrestabes Makassar, Selasa
(26/4/2022).

 Kedua pelaku berinisial FZ dan ZF. Mereka ditangkap bersama barang bukti
narkoba jenis ganja sebesar 1,8 kilogram dan sabu seberat 10 gram.

 ""Kami mengamankan pelaku yang tak punya pekerjaan ini memasukkan barang
(transaksi), yaitu jenis sabu dan ganja. Sabu seberat 10 gram dan ganja 1,8
kilogram. Ancaman hukuman 10 tahun,"" terangnya.

 Berdasarkan keterangan pelaku, mereka memesan narkoba dari seseorang yang
masih buronan polisi inisial FR. Namun polisi masih berupaya mengembangkan
penangkapan ini dan mengejar FR.

 ""Untuk kedua pelaku (FZ dan ZF) pemain baru. Namun indikasi barang ini berasal
dari pemain lama (FR). Namun masih kita kembangkan,"" beber Budi.

 Budi menambahkan, barang bukti yang diamankan sudah dibagi dalam sejumlah
kemasan untuk diedarkan. Target pengedaran narkoba salah satunya di Kota
Makassar.

 ""Dari keterangan pelaku, barang ini akan diedarkan ke Makassar. Kalau untuk
rencananya, tidak hanya pas bulan puasa ini. Dia akan mencari pembeli untuk
edarkan barang yang dilarang ini,"" jelasnya

 ",www.detik.com
"
        Modus Kesurupan, Pria Bulungan Perkosa Anak Tiri yang Masih Bocah-Melahirkan    ","Rabu, 20 Apr 2022 03:29 WIB","""Dari hasil penyidikan, pelaku melakukan bujuk rayu dengan pura-pura
kesurupan. Alasannya harus melakukan hubungan badan dengan korban untuk dapat
sembuh dari kesurupan,"" ungkap Kasat Reskrim polres Bulungan Iptu M Khomaini
saat dihubungi

 Khomaini menjelaskan pemerkosaan yang dilakukan HP dilakukannya sebanyak 4
kali sejak Juni 2021 hingga Agustus 2021. Atas perbuatannya RA yang masih di
bawah umur hamil dan harus melahirkan anak dari ayah tirinya.

 ""Informasi awal adanya laporan dari peksos (pekerja sosial) di rumah sakit
wilayah Bulungan yang curiga dengan korban yang masih di bawah umur
melahirkan,"" jelasnya.

 ""Setelah didalami, dibujuk rayu sama orang peksos ini, barulah didapat kalau
pelakunya adalah ayah tirinya. Kemudian dari peksos ini membuat laporan ke
Polres Bulungan pada 13 April,"" imbuhnya.

 Polisi kemudian melakukan pengejaran selama 4 hari terhadap HP. Pasalnya
pelaku yang mengetahui dirinya diincar kepolisian melarikan diri.

 ""Setelah adanya laporan tersebut, kami langsung melakukan penyelidikan
terhadap pelaku. Empat hari kami lakukan penyelidikan mencari keberadaan
pelaku. Karena dia sudah was-was akan dicari kami,"" kata Khomaini.

 HP baru ditangkap polisi pada 16 April lalu. Dia diamankan di wilayah Kota
Tanjung Selor setelah memancing keluar dengan membawa korban RA menemuinya.

 ""Pelaku yang bersembunyi di wilayah Tanjung Selor, kita tangkap setelah kami
jebak, karena pelaku ini berencana mau jemput (korban) yang nantinya mau
dibawa kabur,"" ungkapnya.

 Kepada polisi, HP mengaku memperkosa anak tirinya saat sang istri tak berada
di rumah. Selain itu RA yang dalam kondisi hamil dipaksa HP untuk berbohong
meyakinkan istri dan para tetangga bahwa yang menghamilinya adalah orang lain.

 ""Anaknya ini diajarin juga sama pelaku kalau ditanya bilang tidak tahu siapa
yang melakukan sampai dia hamil. Si pelaku sering ngasih uang juga ke korban,
jadi ngikut saja,"" bebernya.

 ",www.detik.com
