title,date,description,source
"Bagaimana Cara Desa Bisa Bangkit Lagi Usai Diterjang Corona?

","Kamis, 11 Jun 2020 16:46 WIB

","Menteri Desa, Pembangunan Daerah Tertinggal dan Transmigrasi (Mendes PDTT)
Abdul Halim Iskandar membeberkan berbagai strateg pemerintah untuk
meningkatkan kembali ekonomi desa dan daerah tertinggal. Ia optimistis bila
dijalankan secara optimal, keuntungan yang didapat bisa dimanfaatkan pula
untuk pembangunan Indonesia secara menyeluruh.

 ""Saya berkeyakinan betul bahwa apapun yang berkembang di desa kemudian
terakumulasi agregatnya adalah bahwa kesejahteraan desa, kemaslahatan desa,
pertumbuhan ekonomi desa di situ ada kesejahteraan bangsa Indonesia,
pertumbuhan ekonomi bangsa Indonesia,"" kata Abdul dalam webinar nasional
bertajuk Mendayagunakan Modal Desa untuk Menggerakkan Investasi Nasional,
Kamis (11/6/2020).

 Lalu, apa saja kiat yang disiapkan Kemendes PDTT untuk memulihkan ekonomi desa
yang sempat jatuh karena pandemi Corona?

 Abdul memaparkan setidaknya ada empat strategi yang bakal dikembangkan demi
memulihkan ekonomi desa, salah satunya ialah terkait wisata desa.

 ""Kita punya wisata desa yang cukup banyak, yang dalam situasi COVID-19 ini
pasti semua

 Wisata desa yang sempat terbengkalai selama COVID-19 akan diperbaiki dan
dirawat secara maksimal untuk meningkatkan jumlah kunjungan warga masyarakat
di sana. Akhirnya, pendapatan dari wisata desa ini bisa diputar untuk
meningkatkan pendapatan BUMDes.

 ""Dan ini juga sudah kita antisipasi misalnya dengan menggerakkan padat karya
tunai desa untuk pemeliharaan peralatan dan penyempurnaan tempat-tempat wisata
milik desa. Nah kalau itu sudah terjadi betul nanti, reboundnya, pasti nilai
ekonomi, perputaran ekonomi di desa akan meningkat. Ketika perputaran ekonomi
di desa meningkat maka pendapatan BUMDes akan naik, karena hampir 100% wisata
desa itu ada di bawah naungan bumdes,"" tambahnya.

 Selain wisata desa, sektor lain yang hendak dikembangkan oleh Kemendes PDTT
adalah sektor pertanian. Menurutnya, pendapatan BUMDes yang meningkat dari
wisata desa tadi bisa dimanfaatkan untuk mengembangkan pertanian di desa-desa.

 ""Salah satu contoh, kita sedang menyiapkan intensifikasi tanaman di Kalimantan
Tengah dengan luasan 10 ribu hektare. Intensifikasi ini modalnya sedikit tapi
harapannya adalah produktivitasnya tinggi, kita juga menyiapkan untuk
ekstensifikasi. Jadi total intensifikasi dan ekstensifikasi yang siap untuk
melakukan proses ketahanan pangan, upaya ketahanan pangan itu ada 1,8 juta
lahan pertanian,"" tuturnya.

 Menurutnya, untuk luasan 10 ribu hektare lahan saja bisa menghasilkan 110 ribu
ton gabah kering dan 79 ribu ton beras setiap tahunnya. Apalagi, kalau
pemerintah berkenan memberi izin optimalisasi kepada 1,8 juta lahan pertanian
tersebut.

 Kiat lainnya ialah dengan pemasaran secara daring atau online terhadap wisata
desa dan produk pertanian desa tersebut. Tak ketinggalan, melakukan permodalan
BUMDes dengan cara menginvestasikan dana BUMDes tersebut di pasar modal.

 ""Satu contoh BUMDes-BUMDes yang sudah bagus, BUMDes yang memiliki potensi
pengelolaan bisa saja kemudian menjual sahamnya dan dibeli oleh BUMDes-BUMDes
di desa-desa yang tidak memiliki potensi, supaya apa, supaya terjadi
pemerataan pendapatan dari berbagai eksplorasi dan upaya peningkatan ekonomi
masyarakat,"" tandasnya.

 ",www.detik.com
"Krisis BBM di Lebanon, Mobil Antre Mengular di SPBU

","Sabtu, 04 Sep 2021 14:17 WIB

","\- Para pengemudi mengantre panjang di SPBU untuk mengisi bahan bakar, di
Beirut. Krisis ekonomi dan keuangan di Lebanon menjadi pemicu antrian
tersebut.

 Pemandangan udara menunjukan antrian panjang untuk mengisi bahan bakar di SPBU
jalan tol di Beirut, Jumat (3/9/2021). Krisis keuangan dan BBM menjadi pemicu
antrian tersebut.

 Krisis keuangan membawa Lebanon pada krisis bahan bakar, pemadaman listrik
bergilir dan penyelundupan ataupun penimbunan bahan bakar.

 Pengemudi yang antri bahan bakar sholat di SPBU.

 Tampak pengemudi turun dari kendaraan karena lamanya antrian.

 ",www.detik.com
"Jurus Jokowi Siapkan Desa Jadi Penyangga Kota saat Krisis

","Kamis, 24 Sep 2020 12:22 WIB

","Presiden Joko Widodo (

 bilang jika terjadi krisis ekonomi di perkotaan maka yang terjadi adalah
perpindahan penduduk dari kota ke desa.

 ""Ketika terjadi krisis ekonomi di perkotaan maka desa menjadi penyangga,
menjadi

 Di antara tiga jurus yang sudah disiapkan, Jokowi mengatakan yang pertama
adalah menargetkan dalam jangka pendek program yang berkaitan dengan jaring
perlindungan sosial berjalan baik.

 ""Seperti PKH, bansos tunai, BLT desa, betul-betul harus kita pastikan tepat
sasaran dan berjalan efektif. Dan pastikan itu diterima oleh masyarakat di
desa yang terdampak COVID dan yang sangat membutuhkan,"" katanya.

 Jokowi juga mengatakan pelaksanaan program padat karya tunai di desa harus
mampu mengurangi beban masyarakat yang kehilangan pekerjaan, kesulitan mencari
kerja, serta masyarakat yang berasal dari kelompok tidak mampu.

 Kedua, Jokowi meminta seluruh pejabat negara menjadikan pandemi Corona sebagai
momentum untuk mengintegrasikan atau mengkonsolidasikan program penanggulangan
kemiskinan dengan peningkatan ekonomi desa.

 ""Saya minta semua kementerian jangan membuat program sendiri-sendiri yang
lepas-lepas tidak terintegrasi tidak terpadu, sehingga, outcome hasilnya tidak
terlihat, ini harus terintegrasi betul,"" jelasnya.

 Mantan Gubernur DKI Jakarta ini mencontohkan program desa yang terintegrasi
adalah Kementerian Desa memastikan program dana desa digunakan untuk kegiatan
produktif. Sementara Kementerian PUPR menyediakan infrastruktur dasarnya,
sedangkan Kementerian Perhubungan memenuhi konektivitas transportasinya.

 

 ",www.detik.com
"Khofifah Serahkan Zakat Produktif-Ajak Pelaku UMKM Lamongan Berselawat

","Sabtu, 05 Mar 2022 20:00 WIB

","Gubernur Jatim Khofifah Indar Parawansa menemui para pelaku

 Khofifah mendoakan dan mengajak pelaku UMKM melantunkan selawat Burdah.
Khofifah bertemu para pelaku UMKM di Kantor UPT Bapenda Provinsi Jatim di
Jalan Panglima Sudirman Lamongan. Masing-masing pelaku UMKM menerima zakat
produktif sebesar Rp 500 ribu dan juga memberikan santunan kepada sejumlah
anak yatim piatu.

 ""Pelaku usaha ultra mikro seringkali tidak bisa mengakses lembaga perbankan.
Untuk itu, kita berkeliling ke berbagai kabupaten/kota untuk menyisir pelaku
usaha ultra mikro ini melalui zakat produktif,"" kata Khofifah usai acara,
Sabtu (5/3/2022).

 Dalam kesempatan ini, Khofifah juga mengajak semua yang hadir memanjatkan doa
dan melantunkan selawat Burdah secara bersama-sama. Sesaat sebelum melantunkan
selawat ini, Khofifah juga menyampaikan jika Pemprov Jatim menyediakan subsidi
bunga bagi masyarakat yang mengakses BPR Jatim setahun 3 persen yang
peruntukannya agar pelaku usaha UMKM terhindar dari jeratan rentenir.

 ""Panjenengan sudah berikhtiar luar biasa, mudah-mudahan Allah paringi
kesehatan semuanya, sehat lahirnya, sehat batinnya, semoga semua sehat
dompetnya,"" kata Khofifah yang diamini oleh semua yang hadir.

 Dia berharap para pelaku UMKM di Blitar dijauhkan dari rentenir dan zakat
produktif dari beberapa BUMD Jatim kepada 100 pelaku UMKM ini juga bisa
menjadi bantalan ekonomi agar pelaku UMKM tidak terjerat rentenir.

 ""Zakat produktif ini untuk pelaku usaha ultra mikro sebesar Rp 500 ribu. Kita
berharap ini akan menjadi bantalan ekonomi mereka karena kalau tidak maka
mereka kalau terpaksa ya ke rentenir dan yang potensi menjadi marketnya
rentenir ya mereka ini yang ultra mikro ini yang nantinya akan menjadi jeratan
ekonomi berikutnya,"" imbuhnya.

 Zakat produktif ini, menurut

 ",www.detik.com
"Warung Rojali Jadi Cara Sandiaga Promosikan Produk UMKM, Apa Itu?

","Sabtu, 05 Mar 2022 18:26 WIB

","Ayo share cerita pengalaman dan upload photo album travelingmu di sini.
Silakan

 Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi
Kreatif menghadirkan program 'Warung Rojali'. Kegiatan ini sebagai upaya untuk
mempromosikan produk secara online lewat fitur siaran langsung di aplikasi
media sosial.

 Menteri Pariwisata dan Ekonomi Kreatif

 ""Program ini diselenggarakan sebagai wujud dukungan Kementerian Pariwisata dan
Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif terhadap produk ekonomi
kreatif dari UMKM seluruh Indonesia,"" ujarnya dalam keterangan tertulis, Sabtu
(5/3/2022).

 Lebih lanjut Sandiaga menjelaskan program Warung Rojali telah berlangsung pada
tanggal 25 hingga 28 Februari 2022 melalui siaran langsung di akun media
sosial TikTok @warungrojali. Selama periode tersebut, ditampilkan beraneka
macam produk ekonomi kreatif, mulai dari fesyen, kriya, dan kuliner.

 Adapun beberapa jenama yang turut tampil adalah Exodos57, Imago, Six Scents,
Bendera.co, Sambal Ning Niniek, ZM (Zaskia Mecca), Someone Clothing, dan masih
banyak lagi.

 Menurutnya penonton yang menyaksikan tayangan di @warungrojali bisa langsung
membeli dengan menekan produk yang muncul saat dipromosikan di tayangan.

 ""Yang ingin saya garis bawahi kita semua harus membeli produk ekonomi kreatif
lokal yang harus di-support oleh kita sendiri,"" jelas Sandiaga.

 Sandiaga berharap acara ini dapat menjadi awal kebangkitan ekonomi dan
penciptaan

 ",www.detik.com
"Menyambut Ide Ridwan Kamil Jadikan Mahasiswa CEO Desa

","Rabu, 31 Okt 2018 13:27 WIB

","Gubernur Jawa Barat Ridwan Kamil menyampaikan kepada mahasiswa IPB telah
menemukan formula baru dalam mengatasi permasalahan ekonomi pembangunan desa.
Pembangunan desa dapat dilakukan dengan pengembangan pertanian melalui Produk
Unggulan Desa (Prudes) dan Produk Unggulan Kawasan Pedesaan (Prukades). Prudes
dan Prukades bersinergi dengan embung desa, badan usaha milik desa (BUMDes),
dan Sarana Olahraga Desa.

 Ridwan Kamil menyampaikan gagasan itu saat berbicara di

 Mantan Walikota Bandung itu juga menjelaskan pemerintahannya akan terus
bekerja untuk mendorong Program Produk Unggulan Desa di mana ke depan akan
menumbuhkembangkan perekonomian masyarakat. Pemprov menargetkan akan ada Satu
Desa Satu Produk Unggulan. ""Pemprov Jabar membutuhkan SDM berkualitas untuk
mengelola desa, oleh karena itu saya mengajak mahasiswa IPB untuk menjadi CEO
mengelola desa.""

 Berdasarkan Badan Pemberdayaan Masyarakat dan Pemerintah Desa Jawa Barat,
Provinsi Jabar memiliki potensi sumber daya manusia dan sumber daya alam yang
kompetitif, dan masyarakatnya hidup dalam akar tradisi yang kondusif. Wilayah
administrasi pemerintahan Jabar memiliki 17 Kabupaten, 9 Kota, dan 620
Kecamatan, terdiri dari 5242 desa dan 632 kelurahan. Jumlah penduduk Jabar
mencapai 40.737.592 jiwa dengan kepadatan rata-rata mencapai 981 jiwa/km2.
Dari total penduduk tersebut 57% di antaranya tinggal di perdesaan.

 Potensi tersebut belum digarap secara optimal, dalam arti belum dikelola
secara profesional dan proporsional yang berorientasi kepada kepentingan
masyarakat serta berdasar pada prinsip kesetaraan dan keadilan. Kondisi ini
menempatkan masyarakat Jabar saat ini pada posisi yang kurang menguntungkan,
sehingga menyisakan sejumlah permasalahan yang kompleks dan perlu penanganan
dengan segera.

 Fakta bahwa pelaksanaan pembangunan belum mencapai sasaran yang tepat sesuai
dengan yang ditetapkan tercermin dari perolehan Indeks Pembangunan Manusia
(IPM) Jabar, di mana berdasarkan perhitungan sementara Badan Pusat Statistik
(BPS) pada 2017 menunjukkan angka 70,05 --suatu kondisiyang memprihatinkan.
Angka IPM ini menyiratkan bahwa target-target pelaksanaan program setiap
tahunnya belum mencapai kinerja yang ditetapkan.

 Menghadapi era idustri 4.0, Ridwan Kamil menegaskan pengetahuan dan penguasaan
teknologi sangat diperlukan untuk bersaing dengan negara lainnya. ""Saya
menantang IPB untuk bisa memajukan pertanian lewat digital, misalnya menjual
beras lewat aplikasi. Saya akan latih itu petani-petani bagaimana caranya
menjual beras secara

 Hal tersebut sebagai imbal balik karena Provinsi Jabar dalam sepuluh tahun
terakhir telah memberikan andil besar bagi IPB di antaranya memberikan mobil
listrik, bus kampus, membantu pembangunan Auditorium Fakultas Ekonomi dan
Manajemen, dan memberikan beasiswa bagi mahasiswa S1, S2, dan S3.

 

 ",www.detik.com
"Sri Mulyani dan 3 Krisis Ekonomi: Sama-sama Bebani Keuangan Negara

","Minggu, 24 Okt 2021 16:09 WIB

","Menteri Keuangan Sri Mulyani Indrawati bercerita pengalamannya melewati 3
krisis ekonomi. Mulai dari krisis ekonomi 1997-1998, krisis ekonomi 2008, dan
krisis ekonomi imbas dari pandemi COVID-19 yang terjadi sekarang.

 Dari 3 krisis yang sudah dilaluinya, menurut Sri Mulyani ada satu persamaan
besar dari ketiganya. Dia bilang ketiga krisis ini pada ujungnya adalah
membebani keuangan negara.

 ""Penyebabnya memang beda, namun ujungnya sama-sama keuangan negara mendapat
beban. Semua krisis sama sama bebani keuangan negara,"" kata Sri Mulyani dalam
webinar Kontan, Minggu (24/10/2021).

 Krisis yang pertama di tahun 1997-1998, menurutnya dipicu oleh perubahan
neraca pembayaran. Kala itu perubahan cara perhitungan nilai tukar mata uang
asing menimbulkan efek domino ke perekonomian nasional.

 Khususnya terjadi pada sektor usaha dan sektor perbankan. Pinjaman-pinjaman
dengan mata uang asing mengalami pembengkakan karena perubahan cara hitung
nilai tukar, yang awalnya tetap menjadi mengikuti pasar.

 ""Domino effect-nya adalah kalau ada perusahaan atau perbankan yang meminjam ke
luar negeri, begitu nilai tukar terkoreksi dari awal Rp 2.500 jadi Rp 5.000,
terus Rp 7.500, sampai ke Rp 17.000 bahkan saat transisisi ke pak Habibie itu,
utangnya jadi berlipat,"" papar Sri Mulyani.

 ""Kalau utang berlipat ganda, tapi nilai tukar berubah, maka penerimaan yang
bentuknya rupiah jadi tidak mampu membayar kembali,"" lanjutnya.

 Utang berlipat, fenomena kebangkrutan pun terjadi. Hal ini pun menjadi gawat,
karena sektor perbankan ikut menjadi pihak yang paling banyak mengalami
kebangkrutan.

 ""Kalau sudah perbankan bankrupt juga itu terjadi sistemic crisis karena sistem
keuangan terkena secara langsung,"" kata Sri Mulyani.

 Bersambung ke halaman selanjutnya.

 ",www.detik.com
"Strategi Integrasi Ekonomi Desa

","Selasa, 13 Okt 2020 15:30 WIB

","Presiden Joko Widodo secara khusus menggelar rapat terbatas integrasi ekonomi
desa (24/9). Urgensinya menguatkan bantalan desa menampung arus balik pekerja
kota yang tersapu PHK semasa pandemi Covid-19.

 Sepanjang April-Juni 2020, ekonomi pertanian, kehutanan, dan perikanan tetap
tumbuh 2,62 persen. Sementara industri pengolahan secara umum terkontraksi
-0,11 persen, ternyata khusus industri makanan dan minuman masih naik 0,52
persen. Inilah jenis industri pengolahan yang tersambung langsung dengan bahan
baku komoditas dari desa. Sehingga, fokus meningkatkan usaha petani, pekebun,
dan nelayan di 74.766 desa berpeluang menjaga berjalannya produksi Indonesia.

 Perihal integrasi ekonomi sejak lama selesai disepakati pada tataran konsep.
Yang mendesak saat ini langkah teknis di lapangan guna menguatkan dampak
pembangunan desa bagi warga dan pendatang urban.

 Pertama, mengingat telunjuk Presiden pra rapat justru terarah kepada para
menteri, merujuk PP 47/2015 integrasi pembangunan desa dan pemberdayaan
masyarakat diletakkan ke pundak Kemendesa PDTT. Teknik penerapannya di
lapangan membutuhkan amunisi berupa data detail desa berikut contoh
keberhasilannya.

 Sejak menduduki kursinya, Menteri Desa PDTT menggarap data desa yang komplet,
dinamis, dan berkelanjutan. Data tahunan 74.953 desa terbangun sejak 2017:
profil desa, perencanaan pembangunan, dan penggunaan dana desa. Kini ditambah
kompilasi data potensi ekonomi, ekologi, dan sosial. Sedang dilengkapi pula
data tahunan pada level rukun tetangga dan level keluarga. Data lebih dari 400
ribu RT diperlukan pemerintah desa kala menentukan titik pembangunan.
Informasi 30 juta lebih keluarga desa memastikan manfaat dan dampak
pembangunan diterima warga yang paling berhak.

 Badan Pengembangan dan Informasi yang baru dibentuk Kemendesa PDTT menjadi
penghulu integrasi seluruh informasi desa. Saban tahun telah disiapkan
rekomendasi asimetris yang unik bagi masing-masing desa, kabupaten/kota,
provinsi, hingga nasional (

 Kemendesa PDTT juga mengompilasi beragam contoh keberhasilan desa, kawasan
perdesaan dan transmigrasi, Bumdes dan Bumdesma, serta prestasi warga. Bahwa
informasi teladan-teladan itu kurang bergema ke ruang publik mengabarkan
urgensi menyajikan ulang secara lebih sederhana, gampang diakses, dan selalu
mengandung informasi terbaru.

 Kedua, integrasi informasi kegiatan dan anggaran berlokus desa asal Kemenkeu.
Kegiatan dari segenap kementerian dan lembaga terlapor ke Kemenkeu, bahkan
setahun sebelum dijalankan, dalam wujud Rencana Kerja dan Anggaran Kementerian
dan Lembaga. Karena berbasis elektronik, mudah memilah kegiatan berlokus desa
dari semua kementerian dan lembaga agar diintegrasikan dengan pusat data
APBDes di Kemendesa PDTT. Secara deduktif diperkirakan Rp 500 triliun anggaran
kementerian dan lembaga mengarah ke desa saban tahun (tujuh kali lipat Dana
Desa 2020).

 Ada baiknya diregulasikan pula tahap konsultasi proposal kegiatan kementerian
dan lembaga itu dengan Kemendesa PDTT. Tujuannya, mengintegrasikan lokus desa
dan pemanfaatan keluarga secara tepat, rigid, cepat, dan holistik ke seluruh
Indonesia.

 Ketiga, integrasi rencana anggaran dan belanja daerah untuk desa. Setiap akhir
tahun, seluruh pemda wajib menyerahkan RAPBD untuk ditelaah Kemendagri. Guna
menjalankan arahan Presiden, perlu diatur agar dalam proses ini Kemendesa PDTT
disertakan menguji usulan pemda dengan lokus-lokus prioritas desa yang unik di
setiap provinsi dan kabupaten. Dalam proses ini, sekaligus minimal 10 persen
APBD untuk Alokasi Dana Desa bisa ditelaah. Saat ini nilainya Rp 31 triliun
per tahun, padahal berpotensi lebih dari dua kali lipat.

 Keempat, mengintegrasikan pemberdayaan warga desa, terutama pada aspek ekonomi
mikro, kecil, dan menengah. Bumdes dan Bumdesma menjadi organisasi ekonomi
publik yang mudah terintegrasi: 40.898 Bumdes dan 252 Bumdes Bersama telah
mengajukan registrasi, segera diikuti kewajiban melapor keuangan mingguan,
14.045 Bumdes telah menjalankan kegiatan bersama perbankan, 126 Bumdes
berkolaborasi dengan

 Kelima, berkhidmat pada keberlanjutan dampak. Seluruh kegiatan dan anggaran
diukur hanya menurut dampak yang diinginkan maupun terwujud, meninggalkan
prestasi menghabiskan anggaran. Ini mengharuskan

 ",www.detik.com
"'Neraka' di Lebanon

","Jumat, 09 Jul 2021 22:00 WIB

","Dilansir dari CNN, Jumat (9/7/2021), Perdana Menteri sementara Lebanon Hassan
Diab mengatakan negaranya mendekati ledakan sosial di tengah krisis ekonomi
yang terus memburuk.

 ",www.detik.com
"Jurus Supaya Usaha Kecil Bisa Go Internasional

","Jumat, 25 Feb 2022 17:08 WIB

","Usaha Mikro Kecil dan Menengah (UMKM) Indonesia bisa menjadi penggerak
perekonomian di masa pandemi COVID-19. UMKM juga bisa mendunia dan produk-
produk asal RI bisa dikenal di berbagai negara.

 Direktur Grup Kebijakan Sektor Jasa Keuangan Terintegrasi (GKKT) Otoritas Jasa
Kuangan (OJK)/Wakil Satgas Syariah dan UMKM, Greatman Rajab mengatakan UMKM
berperan penting untuk perekonomian Indonesia.

 Karena itu dibutuhkan pengembangan ekosistem UMKM yang mencakup sektor
fashion, food, holtikultura, ekonomi kreatif, furnitur, dan pertenakan menjadi
prioritas ekspor. Selain itu, akselerasi digital UMKM melalui kegiatan edukasi
serta fasilitas on boarding business, business matching, dan capacity
building.

 ""OJK juga mendirikan Kampus UMKM yang merupakan program kerjasama industri
jasa keuangan dengan stakeholder terkait, seperti start up unicorn dan PTN/PTS
untuk memberikan pelatihan end to end kepada kelompok UMKM agar siap-siap go
global,"" ujarnya, ditulis Jumat (25/2/2022).

 Menurut dia UMKM harus dapat memanfaatkan presidensi G20 untuk mendorong
peluang usaha di sektor hijau.

 Wakil Pemimpin Divisi SME PT Bank Negara Indonesia (Persero) Tbk Yessy Aktaina
mengatakan UMKM perlu untuk terus didorong agar bisa go internasional atau
ekspor. Dia menegaskan, membuat UMKM naik kelas, merupakan focus BNI saat ini.

 Saat ini ada 3 Pilar Strategi Pemberdayaan UMKM BNI, pertama, BNI mendorong
pelaku UMKM untuk Go Ekspor, BNI fokus untuk meningkatkan bisnis Mitra BNI
melalui value chain berbasis digital, dan BNI fokus untuk pengembangan
ekosistem unggulan berbasis digital.

 Untuk ekspor BNI telah menyiapkan skema pembiayaan BNI untuk Produksi UMKM
Naik Kelas antara lain Fast Trex & BWU Fast Trex (Fasilitas Transaksi Ekspor),
untuk Nasabah Baru ataupun Existing berorientasi ekspor.

 BNI telah menghadirkan Xpora, merupakan One Stop Solution Hub yang memberikan
layanan bagi pelaku UMKM Indonesia agar dapat Go Productive, Go Digital, & Go
Global serta menjadi pusat layanan bagi para pengusaha diaspora Indonesia yang
berada di luar negeri.

 Melalui Xpora, BNI ingin KCLN dan diaspora Indonesia untuk membantu ekspor
UMKM. ""Xpora merupakan orkestrator ekosistem UMKM yang mempertemukan penjual,
pembeli (termasuk Diaspora) dan enabler ekspor,"" tutur Yessy.

 Ketua Umum INTANI (Insan Tani dan Nelayan Indonesia) yang juga Asisten Staf
Khusus Wakil Presiden (Wapres) RI, Guntur Subagja menyoroti industri halal
yang belum banyak dilirik UMKM. Sebagai negara dengan penduduk muslim terbesar
di dunia, Indonesia memiliki potensi menjadi produsen industri halal yang kini
dikuasai Brazil, AS, India, Rusia dan China.

 Untuk mengejar keketingalan itu, pemerintah dan pengusaha pelaku usaha yang
tergabung dalam Asosiasi Platform Digital Ekspor Indonesia (PD Ekspor)
berkolaborasi dengan membangun ekosistem ekspor produk halal UMKM, ""Global
Halal Hub Indonesia"". Hal ini sejalan dengan arahan Wakil Presiden RI Ma'ruf
Amin yang menargetkan Indonesia menempati posisi sebagai pusat produk halal
dunia di tahun 2024.

 ""Saat ini 99% UMKM Memberikan kontribusi utama dalam struktur ekonomi
Indonesia, 23,9% UMKM telah masuk ke dalam platform digital dan 14% UMKM kita
memiliki kemampuan menembus pasar ekspor,"" ujarnya.

 Managing Director Export Hub, Amalia Prabowo mengatakan Indonesia membutuhkan
banyak pakar e-commerce agar dapat mendorong UMKM masuk pasar ekspor. Dia
membadingkan dengan Singapura yang mampu meraup cuan dengan membeli barang-
barang hasil UMKM Indonesia dengan menjualnya lagi di platform e-commerce
global.

 ""Kita perlu e-commerce exper sebanyak-banyaknya untuk membantu UMKM itu eksis
di semua platform. Singapura itu tidak punya UMKM, mereka hanya membeli barang
dari UMKM kita, tapi mereka punya banyak e-commerce expert dari kita,""
jelasnya.

 Amalia menambahkan, saat ini banyak UMKM bangga dengan ekspor mereka meski
hanya dalam bentuk ""hand carry"", dia menegaskan bahwa cita-cita bersama
penggiat UMKM adalah menginginkan agar ekspor UMKM tidak hanya dalam bentuk
""hand carry"" tetapi dengan bentuk B2B.

 Deputi Bidang Usaha Mikro Kemenkop UKM RI, Eddy Satriya menyebutkan tahun 2021
pemerintah melalui program PEN telah memberikan dukungan terhadap UMKM dengan
alokasi anggaran sebesar Rp 96,21 triliun dan terealisasi sebesar Rp 83,19
triliun. Sementara untuk tahun 2022 ini, pemerintah telah mengalokasikan dana
PEN sebesar Rp 451,64 triliun dimana Rp 174,87 triliun dialokasikan untuk
Penguatan Pemulihan Ekonomi.

 ",www.detik.com
