title,date,description,source
"Bagaimana Cara Desa Bisa Bangkit Lagi Usai Diterjang Corona?

","Kamis, 11 Jun 2020 16:46 WIB

","Menteri Desa, Pembangunan Daerah Tertinggal dan Transmigrasi (Mendes PDTT)
Abdul Halim Iskandar membeberkan berbagai strateg pemerintah untuk
meningkatkan kembali ekonomi desa dan daerah tertinggal. Ia optimistis bila
dijalankan secara optimal, keuntungan yang didapat bisa dimanfaatkan pula
untuk pembangunan Indonesia secara menyeluruh.

 ""Saya berkeyakinan betul bahwa apapun yang berkembang di desa kemudian
terakumulasi agregatnya adalah bahwa kesejahteraan desa, kemaslahatan desa,
pertumbuhan ekonomi desa di situ ada kesejahteraan bangsa Indonesia,
pertumbuhan ekonomi bangsa Indonesia,"" kata Abdul dalam webinar nasional
bertajuk Mendayagunakan Modal Desa untuk Menggerakkan Investasi Nasional,
Kamis (11/6/2020).

 Lalu, apa saja kiat yang disiapkan Kemendes PDTT untuk memulihkan ekonomi desa
yang sempat jatuh karena pandemi Corona?

 Abdul memaparkan setidaknya ada empat strategi yang bakal dikembangkan demi
memulihkan ekonomi desa, salah satunya ialah terkait wisata desa.

 ""Kita punya wisata desa yang cukup banyak, yang dalam situasi COVID-19 ini
pasti semua

 Wisata desa yang sempat terbengkalai selama COVID-19 akan diperbaiki dan
dirawat secara maksimal untuk meningkatkan jumlah kunjungan warga masyarakat
di sana. Akhirnya, pendapatan dari wisata desa ini bisa diputar untuk
meningkatkan pendapatan BUMDes.

 ""Dan ini juga sudah kita antisipasi misalnya dengan menggerakkan padat karya
tunai desa untuk pemeliharaan peralatan dan penyempurnaan tempat-tempat wisata
milik desa. Nah kalau itu sudah terjadi betul nanti, reboundnya, pasti nilai
ekonomi, perputaran ekonomi di desa akan meningkat. Ketika perputaran ekonomi
di desa meningkat maka pendapatan BUMDes akan naik, karena hampir 100% wisata
desa itu ada di bawah naungan bumdes,"" tambahnya.

 Selain wisata desa, sektor lain yang hendak dikembangkan oleh Kemendes PDTT
adalah sektor pertanian. Menurutnya, pendapatan BUMDes yang meningkat dari
wisata desa tadi bisa dimanfaatkan untuk mengembangkan pertanian di desa-desa.

 ""Salah satu contoh, kita sedang menyiapkan intensifikasi tanaman di Kalimantan
Tengah dengan luasan 10 ribu hektare. Intensifikasi ini modalnya sedikit tapi
harapannya adalah produktivitasnya tinggi, kita juga menyiapkan untuk
ekstensifikasi. Jadi total intensifikasi dan ekstensifikasi yang siap untuk
melakukan proses ketahanan pangan, upaya ketahanan pangan itu ada 1,8 juta
lahan pertanian,"" tuturnya.

 Menurutnya, untuk luasan 10 ribu hektare lahan saja bisa menghasilkan 110 ribu
ton gabah kering dan 79 ribu ton beras setiap tahunnya. Apalagi, kalau
pemerintah berkenan memberi izin optimalisasi kepada 1,8 juta lahan pertanian
tersebut.

 Kiat lainnya ialah dengan pemasaran secara daring atau online terhadap wisata
desa dan produk pertanian desa tersebut. Tak ketinggalan, melakukan permodalan
BUMDes dengan cara menginvestasikan dana BUMDes tersebut di pasar modal.

 ""Satu contoh BUMDes-BUMDes yang sudah bagus, BUMDes yang memiliki potensi
pengelolaan bisa saja kemudian menjual sahamnya dan dibeli oleh BUMDes-BUMDes
di desa-desa yang tidak memiliki potensi, supaya apa, supaya terjadi
pemerataan pendapatan dari berbagai eksplorasi dan upaya peningkatan ekonomi
masyarakat,"" tandasnya.

 ",www.detik.com
"Desa Minim Sumber Daya Alam, Bagaimana Maksimalkan Ekonominya?

","Kamis, 11 Jun 2020 17:41 WIB

","Menteri Desa, Pembangunan Daerah Tertinggal dan Transmigrasi (Mendes PDTT)
Abdul Halim Iskandar mengusulkan agar badan usaha milik desa (BUMDes) bisa
lebih inovatif dalam mengelola keuangannya supaya bisa terus eksis mendukung
ekonomi desa. Misalnya dengan saling berkolaborasi antarsesama BUMDes lainnya
dalam memaksimalkan pengelolaan keuangannya.

 Hal ini menurutnya lumrah dilakukan untuk mendukung desa-desa yang tak
memiliki banyak sumber daya alam atau manusia potensial sebagai pendapatan
BUMDes-nya.

 ""1 contoh BUMDes yang sudah bagus, BUMDes yang memiliki potensi pengelolaan
(SDA dan SDM) bisa saja kemudian menjual saham dan dibeli oleh BUMDes-BUMDes
di desa-desa yang tidak memiliki potensi. Supaya apa? supaya terjadi
pemerataan pendapatan dari berbagai eksplorasi dan upaya peningkatan ekonomi
masyarakat,"" ujar Abdul dalam dalam webinar nasional bertajuk Mendayagunakan
Modal Desa untuk Menggerakkan Investasi Nasional, Kamis (11/6/2020).

 Menurutnya upaya peningkatan ekonomi secara kreatif perlu terus digodok oleh
desa-desa agar bisa terus berkembang.

 ""Saya dengar ada beberapa pemikiran begini namanya BUMDes itu ya kops desa
kecil, tidak boleh kemudian BUMDes itu melakukan investasi di desa lainnya.
Menurut saya tidak bisa. Ada saatnya kita harus berikan ruang seluas-luasnya
antardesa antar-BUMDes untuk melakukan berbagai upaya peningkatan ketahanan
dan pertumbuhan ekonomi di masing-masing desa,"" tegasnya.

 Abdul berprinsip bila terjadi pemerataan ekonomi di seluruh desa di Indonesia,
bukan tidak mungkin Indonesia menjadi lebih sejahtera secara menyeluruh.

 ""Saya berprinsip seperti itu karena saya berkeyakinan betul bahwa apapun yang
berkembang di desa kemudian terakumulasi agregatnya adalah bahwa kesejahteraan
desa, kemaslahatan desa pertumbuhan ekonomi desa di situ ada kesejahteraan
bangsa Indonesia, pertumbuhan ekonomi bangsa Indonesia. Itulah makanya kalau
kita fokus bangun desa, pada hakikatnya kita adalah bangun Indonesia karena
desa adalah Indonesia dan Indonesia adalah desa,"" tandasnya.

 Ekonomi desa sendiri diyakini bisa cepat pulih usai serangan COVID-19 lewat
topangan sejumlah pusat-pusat ekonomi yang ada di desa-desa tersebut. Mulai
dari pasar tradisional, lahan-lahan pertanian, hingga perhotelan atau
penginapan.

 Berikut 10 pusat-pusat ekonomi desa yang berpeluang paling cepat pulih selama
masa new normal nanti:

 1\. Kelompok pertokoan di 6.809 desa

 ",www.detik.com
"Pakai Jurus Ini, Pemerataan Ekonomi hingga ke Desa Bukan Cuma Wacana

","Kamis, 09 Des 2021 15:49 WIB

","Kemah Budaya Kaum Muda (KBKM) 2021 tingkat nasional dilaksanakan pada 29
November - 4 Desember 2021 di Kementerian Pendidikan, Kebudayaan, Riset dan
Teknologi. Kegiatan ini melibatkan 21 kelompok dari dua kategori yang telah
tersaring secara ketat sejumlah 424 kelompok dari 14 regional.

 Puncak kegiatan tingkat nasional ini telah berhasil memilih juara pertama,
kedua dan ketiga di tiap kategori, selain itu juga ada apresiasi untuk tema
inisiatif inklusif.

 Kelompok Sirel dari Jogjakarta hadir sebagai juara kategori Aplikasi. Sirel
berhasil menjadi juara pertama dengan karya aplikasi pemindai relief candi
Borobudur, Prambanan, dan Sojiwan. Aplikasi ini merupakan pengejawantahan
konsep merdeka belajar sekaligus terobosan dalam wisata budaya.

 Untuk kategori Purwarupa kelompok Haminjon menjadi juaranya, Haminjon meraih
juara pertama dengan karya mengolah getah kemenyan menjadi bahan dasar
berbagai produk wangi-wangian seperti parfum dan aromatherapy. Kehadiran
Haminjon diharapkan mampu melestarikan budaya petani yang sudah dijaga ratusan
tahun sekaligus meningkatkan taraf perekonomian di desa.

 Selain itu, Tuli Jabar Juara juga meraih apresiasi atas tema inisiatif
inklusif, yang membuat aplikasi untuk memberikan akses bagi penyandang
disabilitas di Desa Adat Cirendeu.

 Tim Sirel, Assajie Satyananda mengaku bersyukur atas pencapaiannya di program
KBKM. Tim Sirel dibentuk pada tahun 2021 dalam kegiatan Kemah Budaya Kaum Muda
yang diselengarakan Direktorat Jendral Kebudayaan.

 ""Motivasi dan tujuan kami tentu saja kami ingin mengembangkan aplikasi kami
dengan tujuan untuk melakukan kebudayaan terutama di lokasi Candi. Mulai dari
kegiatan pariwisata Dan kegiatan belajar mengajar lokasi Candi,"" kata Pemenang
KBKM 2021, Assajie Satyananda.

 Bersambung ke halaman selanjutnya.

 

 ",www.detik.com
"Jurus Jokowi Siapkan Desa Jadi Penyangga Kota saat Krisis

","Kamis, 24 Sep 2020 12:22 WIB

","Presiden Joko Widodo (

 bilang jika terjadi krisis ekonomi di perkotaan maka yang terjadi adalah
perpindahan penduduk dari kota ke desa.

 ""Ketika terjadi krisis ekonomi di perkotaan maka desa menjadi penyangga,
menjadi

 Di antara tiga jurus yang sudah disiapkan, Jokowi mengatakan yang pertama
adalah menargetkan dalam jangka pendek program yang berkaitan dengan jaring
perlindungan sosial berjalan baik.

 ""Seperti PKH, bansos tunai, BLT desa, betul-betul harus kita pastikan tepat
sasaran dan berjalan efektif. Dan pastikan itu diterima oleh masyarakat di
desa yang terdampak COVID dan yang sangat membutuhkan,"" katanya.

 Jokowi juga mengatakan pelaksanaan program padat karya tunai di desa harus
mampu mengurangi beban masyarakat yang kehilangan pekerjaan, kesulitan mencari
kerja, serta masyarakat yang berasal dari kelompok tidak mampu.

 Kedua, Jokowi meminta seluruh pejabat negara menjadikan pandemi Corona sebagai
momentum untuk mengintegrasikan atau mengkonsolidasikan program penanggulangan
kemiskinan dengan peningkatan ekonomi desa.

 ""Saya minta semua kementerian jangan membuat program sendiri-sendiri yang
lepas-lepas tidak terintegrasi tidak terpadu, sehingga, outcome hasilnya tidak
terlihat, ini harus terintegrasi betul,"" jelasnya.

 Mantan Gubernur DKI Jakarta ini mencontohkan program desa yang terintegrasi
adalah Kementerian Desa memastikan program dana desa digunakan untuk kegiatan
produktif. Sementara Kementerian PUPR menyediakan infrastruktur dasarnya,
sedangkan Kementerian Perhubungan memenuhi konektivitas transportasinya.

 

 ",www.detik.com
"Wamendes: Teknologi Digital Dorong Kemajuan Ekonomi Desa

","Sabtu, 15 Feb 2020 13:29 WIB

","Wakil Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Budi Arie
Setiadi mengatakan teknologi kini memberikan peran yang penting dalam
mewujudkan pembangunan desa. Oleh karenanya, implementasi dana desa melalui
BUMDes harus mampu menggerakkan perekonomian.

 ""Teknologi digital memberi daya dorong dan daya ungkit yang penting bagi
kemajuan desa. Maka kehadiran BUMDes sangat penting bagi desa-desa di seluruh
Indonesia. BUMDes harus mampu menjadi penggerak bagi ekonomi perdesaan,"" ujar
Budi dalam keterangannya, Sabtu (15/2/2020).

 Dalam Temu Wicara yang bertajuk Peran Pengembangan Teknologi Era Digital untuk
Ketahanan Ekonomi Pedesaan di Jatilawang Banyumas ini, Budi juga menekankan
pentingnya peran pemuda di desa untuk memberikan perubahan melalui teknologi.

 ""Setiap saya turun ke desa selalu saya tanya ada berapa persen anak muda yang
tinggal di desa. Sebab teknologi digital sangat akrab dengan anak muda. Desa-
desa yang digerakkan anak muda akan membawa perubahan dan kemajuan yg
signifikan,"" jelasnya.

 ""Seperti yang selalu dikatakan oleh bapak Presiden Jokowi bahwa Indonesia yang
luas ini sangat

 Sementara itu, hal yang sama juga diungkapkan Wakil Bupati Banyumas Sadewo Tri
Lastiono. Menurutnya, manfaat teknologi kini sudah sangat luas tidak hanya
sebatas inovasi tapi bisa memberi dampak yang baik bagi desa.

 Sebagai informasi, acara yang dihadiri oleh ratusan peserta UMKM dan BUMDes
lebih juga di gelar berbagai bazar produk jamu, makanan, minuman, kerajinan
dan batik dari buruh migran yang sudah kembali dan ikut membangun industri di
desa ini.

 ",www.detik.com
"Strategi Integrasi Ekonomi Desa

","Selasa, 13 Okt 2020 15:30 WIB

","Presiden Joko Widodo secara khusus menggelar rapat terbatas integrasi ekonomi
desa (24/9). Urgensinya menguatkan bantalan desa menampung arus balik pekerja
kota yang tersapu PHK semasa pandemi Covid-19.

 Sepanjang April-Juni 2020, ekonomi pertanian, kehutanan, dan perikanan tetap
tumbuh 2,62 persen. Sementara industri pengolahan secara umum terkontraksi
-0,11 persen, ternyata khusus industri makanan dan minuman masih naik 0,52
persen. Inilah jenis industri pengolahan yang tersambung langsung dengan bahan
baku komoditas dari desa. Sehingga, fokus meningkatkan usaha petani, pekebun,
dan nelayan di 74.766 desa berpeluang menjaga berjalannya produksi Indonesia.

 Perihal integrasi ekonomi sejak lama selesai disepakati pada tataran konsep.
Yang mendesak saat ini langkah teknis di lapangan guna menguatkan dampak
pembangunan desa bagi warga dan pendatang urban.

 Pertama, mengingat telunjuk Presiden pra rapat justru terarah kepada para
menteri, merujuk PP 47/2015 integrasi pembangunan desa dan pemberdayaan
masyarakat diletakkan ke pundak Kemendesa PDTT. Teknik penerapannya di
lapangan membutuhkan amunisi berupa data detail desa berikut contoh
keberhasilannya.

 Sejak menduduki kursinya, Menteri Desa PDTT menggarap data desa yang komplet,
dinamis, dan berkelanjutan. Data tahunan 74.953 desa terbangun sejak 2017:
profil desa, perencanaan pembangunan, dan penggunaan dana desa. Kini ditambah
kompilasi data potensi ekonomi, ekologi, dan sosial. Sedang dilengkapi pula
data tahunan pada level rukun tetangga dan level keluarga. Data lebih dari 400
ribu RT diperlukan pemerintah desa kala menentukan titik pembangunan.
Informasi 30 juta lebih keluarga desa memastikan manfaat dan dampak
pembangunan diterima warga yang paling berhak.

 Badan Pengembangan dan Informasi yang baru dibentuk Kemendesa PDTT menjadi
penghulu integrasi seluruh informasi desa. Saban tahun telah disiapkan
rekomendasi asimetris yang unik bagi masing-masing desa, kabupaten/kota,
provinsi, hingga nasional (

 Kemendesa PDTT juga mengompilasi beragam contoh keberhasilan desa, kawasan
perdesaan dan transmigrasi, Bumdes dan Bumdesma, serta prestasi warga. Bahwa
informasi teladan-teladan itu kurang bergema ke ruang publik mengabarkan
urgensi menyajikan ulang secara lebih sederhana, gampang diakses, dan selalu
mengandung informasi terbaru.

 Kedua, integrasi informasi kegiatan dan anggaran berlokus desa asal Kemenkeu.
Kegiatan dari segenap kementerian dan lembaga terlapor ke Kemenkeu, bahkan
setahun sebelum dijalankan, dalam wujud Rencana Kerja dan Anggaran Kementerian
dan Lembaga. Karena berbasis elektronik, mudah memilah kegiatan berlokus desa
dari semua kementerian dan lembaga agar diintegrasikan dengan pusat data
APBDes di Kemendesa PDTT. Secara deduktif diperkirakan Rp 500 triliun anggaran
kementerian dan lembaga mengarah ke desa saban tahun (tujuh kali lipat Dana
Desa 2020).

 Ada baiknya diregulasikan pula tahap konsultasi proposal kegiatan kementerian
dan lembaga itu dengan Kemendesa PDTT. Tujuannya, mengintegrasikan lokus desa
dan pemanfaatan keluarga secara tepat, rigid, cepat, dan holistik ke seluruh
Indonesia.

 Ketiga, integrasi rencana anggaran dan belanja daerah untuk desa. Setiap akhir
tahun, seluruh pemda wajib menyerahkan RAPBD untuk ditelaah Kemendagri. Guna
menjalankan arahan Presiden, perlu diatur agar dalam proses ini Kemendesa PDTT
disertakan menguji usulan pemda dengan lokus-lokus prioritas desa yang unik di
setiap provinsi dan kabupaten. Dalam proses ini, sekaligus minimal 10 persen
APBD untuk Alokasi Dana Desa bisa ditelaah. Saat ini nilainya Rp 31 triliun
per tahun, padahal berpotensi lebih dari dua kali lipat.

 Keempat, mengintegrasikan pemberdayaan warga desa, terutama pada aspek ekonomi
mikro, kecil, dan menengah. Bumdes dan Bumdesma menjadi organisasi ekonomi
publik yang mudah terintegrasi: 40.898 Bumdes dan 252 Bumdes Bersama telah
mengajukan registrasi, segera diikuti kewajiban melapor keuangan mingguan,
14.045 Bumdes telah menjalankan kegiatan bersama perbankan, 126 Bumdes
berkolaborasi dengan

 Kelima, berkhidmat pada keberlanjutan dampak. Seluruh kegiatan dan anggaran
diukur hanya menurut dampak yang diinginkan maupun terwujud, meninggalkan
prestasi menghabiskan anggaran. Ini mengharuskan

 ",www.detik.com
"Begini Cara Pemerintah Kebut Pemulihan Ekonomi Lewat Desa

","Selasa, 14 Des 2021 11:45 WIB

","Pemerintah mempercepat pemulihan ekonomi yang terdampak pandemi COVID-19.
Salah satunya adalah upaya untuk memberdayakan desa-desa dan membangun desa
kreatif di sejumlah daerah.

 Sebagai bentuk upaya untuk mendukung hal tersebut, Menteri Pariwisata dan
Ekonomi Kreatif Sandiaga Uno meluncurkan Kepmen Pedoman Desa Kreatif dan
program Desa Kreatif. Sandi yakin, dengan adanya program ini, ekonomi desa
bisa terkerek yang kemudian bisa berkontribusi terhadap pemulihan dan
percepatan pertumbuhan ekonomi.

 ""Ini adalah awal kebangkitan Ekonomi di desa, seperti tema acara ini. Bersama
Desa Kreatif kita akan hadirkan lapangan kerja baru & produk kreatif
berkelanjutan,"" ujar Sandi, ditulis Selasa (14/12/2021).

 Sandi meluncurkan program desa kreatif tersebut di Condet, Minggu lalu. Dia
mengatakan, Condet salah satu contoh desa kreatif yang masih mempertahankan
budaya dan produk ekonomi kreatif meski ada di tengah kota metropolitan.

 ""Condet ini spesial banget. Ini adalah satu kawasan yang betul-betul
melestarikan budaya dan mendorong produk ekonomi kreatif walaupun mereka ada
di tengah-tengah kota metropolitan,"" kata Sandiaga.

 Menanggapi hal itu, Ketua Umum Asosiasi Desa Kreatif Indonesia (ADKI) Fikri El
Aziz mengapresiasi langkah Sandi dalam Peluncuran Keputusan Menteri Parekraf
RI Tentang Pedoman Desa Kreatif. Sebagai Tuan Rumah yang menyelenggarakan
acara tersebut ADKI merasa terhormat diberikan kepercayaan untuk melaunching
Kepmen Menparekraf RI.

 ""Mewakili 125 Kepala Desa yang telah bergabung di Asosiasi Desa Kreatif
Indonesia saya mengucapkan apresiasi kepada Menparekraf Sandiaga Uno,
Membangun Indonesia dari Desa adalah Nawacita Presiden RI, Joko Widodo,"" ujar
Fikri.

 Dikatakannya, program Desa Kreatif yang diinisiasi bersama ADKI,
Kemenparekraf, & Kemendes PDTT RI, adalah Gerak Bersama dalam meningkatkan
Ekonomi, khususnya bagi masyarakat desa.

 ""Indonesia perlu gebrakan untuk rebound kembali di 2022, Desa Kreatif yang
sudah ditetapkan secara regulasi oleh Mas Menteri menjadi motivasi bagi para
Kepala Desa untuk kembali membangkitkan perekonomian di desa."" Tambah Fikri.

 Dalam Kepmen yang ditanda tangani Mantan Wakil Gubernur DKI Jakarta itu, Desa
Kreatif memiliki definisi sebuah kawasan yang terletak di wilayah
administratif desa/ kelurahan yang masyarakatnya telah mengembangkan produk
unggulan.

 Melalui satu atau lebih dari 17 subsektor ekonomi kreatif yang memberikan
nilai tambah dan manfaat bagi pertumbuhan ekonomi desa/ kelurahan. Berdasarkan
level pengembangannya, desa kreatif dibagi menjadi empat kategori yaitu
inisiatif, produktif, inovatif dan berkelanjutan.

 ",www.detik.com
"Airlangga Pede Ekonomi RI Tembus 5% di Kuartal I, Realistis?

","Senin, 07 Feb 2022 13:49 WIB

","Menteri Koordinator Bidang Perekonomian Airlangga Hartarto meyakini
pertumbuhan ekonomi Indonesia akan tembus di atas 5% pada kuartal I-2022.

 ""Nah tentu kita melihat bahwa pertumbuhan di kuartal pertama tahun lalu itu
kita masih minus 0,7% dan tentu kita berharap bahwa di kuartal pertama tahun
ini kita bisa dorong di atas 5%"" katanya dalam konferensi pers virtual, Senin
(7/2/2022).

 Dia menjelaskan hal itu akan mempengaruhi pertumbuhan pada kuartal II, dan
lagi pada kuartal II ada momen ramadhan dan Idul Fitri. Ditambah, pemerintah
masih menggelontorkan dana untuk penanganan COVID-19 dan pemulihan ekonomi
nasional.

 ""Dan dari program pemerintah untuk penanganan COVID yang disediakan alokasinya
adalah Rp 455,62 triliun, dan penanganan kesehatan adalah 122,5 triliun dimana
untuk penanganan pasien itu sekitar Rp 32,96 triliun, walaupun tentu akibat
delta kemarin masih ada yang di-carry over yang besarnya sekitar Rp 23,6
triliun, kemudian ada program perlindungan masyarakat Rp 154,8 triliun, dan
penguatan pemulihan ekonomi Rp 178,3 triliun,"" paparnya.

 Berdasarkan hasil survei di masyarakat, mantan Menteri Perindustrian itu
menjelaskan terlihat optimisme. Ekonomi Indonesia sepanjang 2022 pun
diprediksi menyentuh 4,7 hingga 5,6%.

 ""Itu diprediksi perekonomian Indonesia di level 4,7% sampai 5,6%"" sebut
Airlangga.

 Pemerintah juga akan berupaya menjaga jalannya perhelatan Presidensi G20 pada
Februari ini. Airlangga menjelaskan ada 17 event, baik virtual maupun hybrid.
Dia memastikan itu dijalankan sesuai protokol kesehatan.

 ",www.detik.com
"Bye-bye Malaysia-Thailand, Ekonomi RI Sudah Pulih Duluan

","Kamis, 10 Feb 2022 15:51 WIB

","Indonesia masuk jajaran negara yang telah kembali ke level pra-pandemi dalam
hal pemulihan ekonomi. Indonesia bergabung dengan Singapura, Amerika Serikat,
Korea Selatan, dan China.

 ""Secara negara maju itu ada Amerika memang sudah 2,1% di atas pra-pandeminya,
Indonesia sudah 1,5% di atas 2019, Korea dan Tiongkok itu cukup tinggi di atas
pra-pandeminya,"" kata Kepala Badan Kebijakan Fiskal (BKF) Kementerian Keuangan
Febrio Kacaribu dalam diskusi virtual, Kamis (10/2/2022).

 Dia menjelaskan posisi Indonesia saat ini dibandingkan sebelum pandemi lebih
baik dibanding negara tetangga seperti Malaysia dan Thailand.

 ""Kalau kita bandingkan dengan banyak negara, Indonesia relatif baik
dibandingkan banyak negara, misalnya yang sudah kembali ke pra-pandeminya itu
untuk negara tetangga kita itu hanya Singapura, sementara Filipina, Malaysia,
Thailand itu belum, masih lebih rendah dibandingkan dengan pra-pandeminya,""
jelas dia.

 Beberapa negara yang ekonominya belum kembali ke level pra-pandemi, yaitu
Filipina, Meksiko, Italia, Jerman dan Prancis.

 ""Untuk negara-negara yang belum ini seperti saya sebutkan tadi seperti
Filipina, Meksiko, bahkan negara majunya ada Italia, Jerman, Prancis masih di
bawah level pra-pandemi. Untuk negara tetangga kita seperti Thailand itu juga
belum, jadi kita memang relatif cukup berhasil menavigasi krisis di tahun
2020,"" tambahnya.

 Febrio memaparkan sejumlah bukti Indonesia mulai pulih, yaitu tingkat
kemiskinan yang berhasil turun kembali ke single digit, dari 10,2% ke 9,7%,
walaupun belum mencapai level angka kemiskinan yang dicapai sebelum pandemi di
9,2%.

 Level ketimpangan pun sudah kembali kurang lebih sama dengan sebelum pandemi,
yaitu 0,381 pada 2021, sementara sebelum pandemi pada 2019 adalah 0,380.

 Jumlah pengangguran juga sudah turun dari 9,77 juta pada 2020 menjadi 9,10
juta. Tingkat pengangguran terbuka juga turun dari 7,07% pada 2020 menjadi
6,49% pada 2021.

 ",www.detik.com
"Perang Rusia-Ukraina Ganggu Rantai Pasok, Elektronik-BMW Bisa Makin Mahal

","Kamis, 24 Feb 2022 15:10 WIB

","Pasokan barang dan pangan yang diekspor dari Rusia dan

 Salah satu ekspor terpenting di Rusia adalah minyak, selain itu Ukraina juga
merupakan pemasok pertanian terbesar yang mengirimkan gandum, gandum hitam,
dan biji-bijian lainnya ke Asia Tengah dan Timur Tengah.

 Selain itu, Rusia juga merupakan produsen utama alumunium yang hanya ada
kurang dari setengah di dunia. Bagian alumunium yang dibutuhkan yaitu platinum
dan nikel elemen kunci dalam microchip kompleks yang digunakan pada meteran
listrik dan mobil canggih seperti BMW.

 ""Segala sesuatu mulai dari meteran listrik hingga BMW canggih,"" kata Kepala
Ekonom RSM Joe Brusuelas, dikutip dari

 Kemacetan ekspor dalam logam ini dinilai dapat menjadi kritis, karena bisa
memperburuk kekurangan bahan semikonduktor dan semakin mendorong harga mobil,
elektronik, dan barang-barang penting lainnya.

 Kepala Investasi di Bleakley Advisory Group, Peter Boockvar juga mengatakan,
bahwa Ukraina adalah produsen uranium utama di Eropa, karena memiliki simpanan
titanium, besi dan merkuri yang besar.

 ""Karena harga komoditas setinggi itu, gangguan apa pun akan sangat berarti,""
kata Peter.

 Dapat dipastikan, nantinya pasokan ekspor barang dan pangan tersebut akan
terhambat dan membuat waktu indent barang seperti mobil, barang-barang
elektronik, dan furnitur menjadi lebih lama serta harganya ikut meningkat.

 Selain itu, para ahli juga menunjukkan ketegangan yang terjadi akibat perang
Rusia-Ukraina akan semakin memperburuk masalah yang sudah berlangsung selama
ini, terlebih lagi sejak adanya pandemi COVID-19.

 ",www.detik.com
