title,date,description,source
"MotoGP, Agenda Paling Penting di Sirkuit Mandalika Tahun 2022

","\- 09/03/2022, 23:53 WIB

","Perhelatan balap motor MotoGP Mandalika 2022 tak lama lagi akan berlangsung di
Sirkuit Mandalika, Kabupaten Lombok Tengah, Provinsi Nusa Tenggara Barat.

 Pergelaran tersebut akan berlangsung pada 18-20 Maret 2022.

 Berkenaan dengan MotoGP Mandalika 2022 tersebut, Indonesia Tourism Development
Corporation (ITDC) bersama Mandalika Grand Prix Association (MGPA) membuka
untuk umum Mandalika GP Hub.

 Wahana untuk memperkenalkan sekaligus mendekatkan masyarakat pada MotoGP itu
berada di Rasuna Epicentrum, Jalan Rasuna Said, Jakarta Selatan.

 ""Mandalika GP Hub merupakan bagian dari balapan MotoGP di Sirkuit Mandalika,""
kata Wakil Direktur Utama Mandalika Grand Prix Association (MGPA) Cahyadi
Wanda saat membuka Mandalika GP Hub pada Selasa (8/3/2022).

 Pada kesempatan itu juga, kata Cahyadi, pihaknya memperkenalkan 15 perusahaan
yang sudah berkomitmen menjadi sponsor

 Para sponsor itu adalah Pertamina, Telkom Indonesia, Telekomunikasi Selular
(Telkomsel), Bank Rakyat Indonesia, Bank Mandiri, Perusahaan Gas Negara (PGN),
GoTo Gojek Tokopedia, Pembangunan Perumahan, Aprilia Indonesia, Astra Honda
Motor, J&T; Express, Bank Tabungan Negara, TDR High Performance Technology,
RCB (Racing Boy), dan KYT Helmet.

 Cahyadi menerangkan pula bahwa Mandalika GP Hub terbuka untuk umum mulai 8-20
Maret 2022.

 ""Di Mandalika GP Hub tersedia tempat penjualan tiket MotoGP Mandalika 2022,""
ucap Cahyadi.

 Selain tempat penjualan tiket, di Mandalika GP Hub tersedia gerai layanan
cukur rambut dan simulator motor MotoGP.

 Sementara itu, penulusuran Kompas.com di penjualan tiket, Selasa (8/3/2022),
pada sekitar pukul 15.00 WIB, menunjukkan bahwa tiket yang tersedia adalah
tiket Premium Grandstand.

 ""Tiket itu ada di Zona J dan K,"" kata petugas tiket, Grace, menerangkan.

 Harga tiket di Premium Grandstand itu adalah Rp 2.300.000 per tiket.

 Grace memaparkan, pemegang tiket Premium Grandstand bisa menyaksikan balapan
untuk gelaran pada 19 dan 20 Maret 2022.

 Pada kesempatan itu juga, Cahyadi Wanda menyebut bahwa pada laga balapan tadi
akan hadir 63.000 penonton.

 Mereka menyaksikan langsung di lokasi Sirkuit Mandalika.

 Sementara, kata Cahyadi Wanda, akan ada 200 negara yang menayangkan MotoGP
Mandalika 2022 melalui berbagai media digital.

 Cahyadi Wanda mengatakan pula bahwa 400 juta pasang mata di seluruh dunia akan
menyaksikan MotoGP Mandalika 2022.

 Selanjutnya, Cahyadi Wanda menerangkan, sepanjang 2022 ada tiga agenda balapan
skala internasional di Sirkuit Mandalika.

 ""MotoGP Mandalika 2022 menjadi yang paling penting,"" kata Cahyadi Wanda.

 Kemudian, dua agenda lainnya adalah GP Series 2022 dan World Superbike 2022.

 Agenda GP Series 2022 pada Oktober 2022.

 Lantas, World Superbike (WSBK) 2022 berlangsung 11-13 November 2022.

 Sementara itu, Direktur Keuangan, Strategi, dan Manajemen Risiko Indonesia
Tourism Development Corporation (ITDC) Nugdha Achadie dalam acara itu
mengatakan bahwa Dorna Sport, pemegang hak balapan MotoGP juga akan
mengirimkan timnya hadir di Mandalika.

 Nugdha mengatakan tim Dorna Sports akan hadir dengan kekuatan 2.000 orang.

 ""Kita mesti bisa menyervis tamu-tamu itu,"" kata Nughda.

 Nughda memberikan catatan juga bahwa Sirkuit Mandalika ada di dalam Kawasan
Ekonomi Khusus (KEK) Mandalika.

 Luas KEK mencapai 1.175 hektar.

 Sementara, garis pantai Mandalika panjangnya hingga 16 kilometer.

 Sedikitnya, ada lima pantai di Mandalika yang menjadi destinasi wisata yakni
Tanjung Aan, Gerupuk, Batu Berang, Kuta Mandalika, dan Pantai Seger.

 Mandalika, kata Nughda Achadie adalah satu dari lima destinasi pariwisata
superprioritas Indonesia.

 ",www.kompas.com
"Banyak Negara Siarkan MotoGP Mandalika 2022

","\- 09/03/2022, 21:12 WIB

","Perhelatan balap motor MotoGP Mandalika 2022 tak lama lagi akan berlangsung di
Sirkuit Mandalika, Kabupaten Lombok Tengah, Provinsi Nusa Tenggara Barat.

 Pergelaran tersebut akan berlangsung pada 18-20 Maret 2022.

 Berkenaan dengan MotoGP Mandalika 2022 tersebut, Indonesia Tourism Development
Corporation (ITDC) bersama Mandalika Grand Prix Association (MGPA) membuka
untuk umum Mandalika GP Hub.

 Wahana untuk memperkenalkan sekaligus mendekatkan masyarakat pada MotoGP itu
berada di Rasuna Epicentrum, Jalan Rasuna Said, Jakarta Selatan.

 ""Mandalika GP Hub merupakan bagian dari balapan MotoGP di Sirkuit Mandalika,""
kata Wakil Direktur Utama Mandalika Grand Prix Association (MGPA) Cahyadi
Wanda saat membuka Mandalika GP Hub pada Selasa (8/3/2022).

 Pada kesempatan itu juga, kata Cahyadi, pihaknya memperkenalkan 15 perusahaan
yang sudah berkomitmen menjadi sponsor

 Para sponsor itu adalah Pertamina, Telkom Indonesia, Telekomunikasi Selular
(Telkomsel), Bank Rakyat Indonesia, Bank Mandiri, Perusahaan Gas Negara (PGN),
GoTo Gojek Tokopedia, Pembangunan Perumahan, Aprilia Indonesia, Astra Honda
Motor, J&T; Express, Bank Tabungan Negara, TDR High Performance Technology,
RCB (Racing Boy), dan KYT Helmet.

 Cahyadi menerangkan pula bahwa Mandalika GP Hub terbuka untuk umum mulai 8-20
Maret 2022.

 ""Di Mandalika GP Hub tersedia tempat penjualan tiket MotoGP Mandalika 2022,""
ucap Cahyadi.

 Selain tempat penjualan tiket, di Mandalika GP Hub tersedia gerai layanan
cukur rambut dan simulator motor MotoGP.

 Sementara itu, penulusuran

 ""Tiket itu ada di Zona J dan K,"" kata petugas tiket, Grace, menerangkan.

 Harga tiket di Premium Grandstand itu adalah Rp 2.300.000 per tiket.

 Grace memaparkan, pemegang tiket Premium Grandstand bisa menyaksikan balapan
untuk gelaran pada 19 dan 20 Maret 2022.

 Pada kesempatan itu juga, Cahyadi Wanda menyebut bahwa pada laga balapan tadi
akan hadir 63.000 penonton.

 Mereka menyaksikan langsung di lokasi Sirkuit Mandalika.

 Sementara, kata Cahyadi Wanda, akan ada 200 negara yang menayangkan MotoGP
Mandalika 2022 melalui berbagai media digital.

 Cahyadi Wanda mengatakan pula bahwa 400 juta pasang mata di seluruh dunia akan
menyaksikan MotoGP Mandalika 2022.

 Sementara itu, Direktur Keuangan, Strategi, dan Manajemen Risiko Indonesia
Tourism Development Corporation (ITDC) Nugdha Achadie dalam acara itu
mengatakan bahwa Dorna Sport, pemegang hak balapan MotoGP juga akan
mengirimkan timnya hadir di Mandalika.

 Nugdha mengatakan tim Dorna Sports akan hadir dengan kekuatan 2.000 orang.

 ""Kita mesti bisa menyervis tamu-tamu itu,"" kata Nughda.

 Nughda memberikan catatan juga bahwa Sirkuit Mandalika ada di dalam Kawasan
Ekonomi Khusus (KEK) Mandalika.

 Luas KEK mencapai 1.175 hektar.

 Sementara, garis pantai Mandalika panjangnya hingga 16 kilometer.

 Sedikitnya, ada lima pantai di Mandalika yang menjadi destinasi wisata yakni
Tanjung Aan, Gerupuk, Batu Berang, Kuta Mandalika, dan Pantai Seger.

 Mandalika, kata Nughda Achadie adalah satu dari lima destinasi pariwisata
superprioritas Indonesia.

 ",www.kompas.com
"Perbedaan Barang Bebas dan Barang Ekonomi

","\- 10/03/2022, 08:00 WIB

","\-

 Keduanya dibedakan berdasarkan cara memeroleh barangnya. Barang bebas bisa
diperoleh secara bebas, sedangkan barang ekonomi membutuhkan pengorbanan.

 Menurut Sattar dan Silvana Kardinar Wijayanti dalam

 Sebaliknya, suatu barang disebut barang ekonomi apabila diperlukan pengorbanan
untuk menikmatinya. Jadi, manusia perlu mengorbankan sesuatu, seperti uang,
untuk mendapatkan barang ekonomi guna memenuhi kebutuhan hidup.

 Seperti namanya, barang bebas tidak memiliki harga dan bisa didapatkan secara
bebas. Contohnya, air, tanah, udara, dan sinar matahari.

 Dikutip dari buku

 Contoh barang ekonomi adalah benang, rumah, tanah, kendaraan, beras, minyak
goreng, bahan makanan pokok, minuman, makanan, dan masih banyak lagi.

 Dilansir dari buku

 Berikut beberapa

 ",www.kompas.com
"5 Jenis Pajak yang Ada di Indonesia

","\- 09/03/2022, 11:00 WIB

","\- Pajak sangat berperan penting sebagai sumber penerimaan negara. Pajak juga
memiliki peranan penting dalam pelaksanaan berbagai kebijakan negara di bidang
sosial dan ekonomi.

 Dikutip langsung dari Pasal 1 ayat (1) UU Nomor 28 Tahun 2007 tentang
Perubahan Ketiga atas Undang-Undang Nomor 6 Tahun 1983 tentang Ketentuan Umum
dan Tata Cara Perpajakan, berikut definisi pajak:

 Menurut Supraomono dan Theresia Woro Damayanti dalam buku

 Setidaknya, ada lima jenis pajak di Indonesia, yakni

 Dilansir dari buku

 Wajib pajak bisa berupa orang pribadi atau badan, yang memiliki hak serta
kewajiban perpajakan sesuai ketentuan peraturan perundang-undangan yang
berlaku.

 Dikutip dari situs

 PPN termasuk pajak tidak langsung. Sebab, pajaknya tidak disetorkan langsung
oleh konsumen sebagai penanggung pajak, melainkan pihak lain yang bukan
penanggung pajak, dalam hal ini pedagang atau produsen.

 Adalah jenis pajak yang dikenakan atas kepemilikan, pemanfaatan, dan atau
penguasaan tanah dan atau bangunan.

 Bumi merupakan permukaan bumi yang meliputi tanah dan perairan. Sementara
bangunan adalah konstruksi teknik yang ditanam atau dilekatkan secara tetap
pada tanah, dan atau perairan pedalaman, dan atau laut.

 Merupakan pajak atas dokumen yang terutang, sejak dokumen tersebut
ditandatangani oleh pihak berkepentingan, atau setelah dokumen tersebut
selesai atau diserahkan kepada pihak lain jika dokumennya hanya dibuat satu
pihak.

 Sederhananya,

 Adalah jenis pajak yang dikenakan pada barang yang tergolong mewah. Pajak ini
ditujukan kepada produsen, khususnya mereka yang menghasilkan atau mengimpor
barang dalam kegiatan usaha atau pekerjaannya.

 PPnBM hanya dikenakan satu kali pada saat penyerahan barang kepada produsen.
Kriteria barang yang tergolong mewah adalah:

 ",www.kompas.com
"30 Persen Penduduk Jabar Jadi Pelaku Industri Kreatif, Begini Cara Dapat
Bantuan Modal

","\- 10/03/2022, 07:03 WIB

","Pelaku

 Finscoin merupakan akses pembiayaan alternatif yang dilakukan melalui metode
pengumpulan dana dengan skema patungan oleh pelaku usaha untuk memulai atau
mengembangkan bisnisnya.

 ""Ini beda dengan pinjol. Kalau pinjol bisa pinjam uang, kalau ini bukan,"" ujar
Wakil Ketua Komisi X Dewan Perwakilan Rakyat (DPR), Hetifah Sjaifudian di
Bandung, Rabu (9/3/2022).

 Dalam

 ""Misal, ide (pelaku kreatif) ini bagus, amanah, jadi dia investasi di sana.
Nah pemerintah dan OJK (Otoritas Jasa Keuangan) ikut menjamin,"" ucap dia.

 Crowdfunding ini bisa membangkitkan ekonomi kreatif di Jawa Barat. Apalagi
pelaku ekraf di

 Deputi Bidang Industri dan Investasi Kementerian Pariwisata dan

 Mereka bergerak di berbagai bidang, dari sanggar seni hingga perfilman. Dengan
sistem ini, perfilman dan ekonomi kreatif lainnya bisa tumbuh melesat.

 Dari data yang diperoleh Henky, hingga 31 Desember 2021 total penghimpunan
dana melalui Securities Crowdfunding telah mencapai Rp 412 miliar atau
meningkat 115,48 persen dibanding 2020 yang mencapai Rp 191,2 miliar.

 Begitu pula dengan jumlah pemodal pada tahun 2020 sebanyak 22.341 meningkat
sebesar 319,56 persen mejadi 93.733 di tahun 2021.

 ""Itu artinya makin banyak orang yang percaya, begitupun dengan investor,""
ungkap dia.

 Ketua Persatuan Artis Film Indonesia (PARFI), Alicia Djohar mengatakan,
FinsCoin ini menjadi angin segar untuk industri perfilman Indonesia.

 ",www.kompas.com
"400 Juta Pasang Mata Saksikan MotoGP Mandalika 2022

","\- 09/03/2022, 20:10 WIB

","

 Perhelatan balap motor MotoGP Mandalika 2022 tak lama lagi akan berlangsung di
Sirkuit Mandalika, Kabupaten Lombok Tengah, Provinsi Nusa Tenggara Barat.

 Pergelaran tersebut akan berlangsung pada 18-20 Maret 2022.

 Berkenaan dengan MotoGP Mandalika 2022 tersebut, Indonesia Tourism Development
Corporation (ITDC) bersama Mandalika Grand Prix Association (MGPA) membuka
untuk umum Mandalika GP Hub.

 Wahana untuk memperkenalkan sekaligus mendekatkan masyarakat pada MotoGP itu
berada di Rasuna Epicentrum, Jalan Rasuna Said, Jakarta Selatan.

 ""Mandalika GP Hub merupakan bagian dari balapan MotoGP di Sirkuit Mandalika,""
kata Wakil Direktur Utama Mandalika Grand Prix Association (MGPA) Cahyadi
Wanda saat membuka Mandalika GP Hub pada Selasa (8/3/2022).

 Pada kesempatan itu juga, kata Cahyadi, pihaknya memperkenalkan 15 perusahaan
yang sudah berkomitmen menjadi sponsor

 Para sponsor itu adalah Pertamina, Telkom Indonesia, Telekomunikasi Selular
(Telkomsel), Bank Rakyat Indonesia, Bank Mandiri, Perusahaan Gas Negara (PGN),
GoTo Gojek Tokopedia, Pembangunan Perumahan, Aprilia Indonesia, Astra Honda
Motor, J&T; Express, Bank Tabungan Negara, TDR High Performance Technology,
RCB (Racing Boy), dan KYT Helmet.

 Cahyadi menerangkan pula bahwa Mandalika GP Hub terbuka untuk umum mulai 8-20
Maret 2022.

 ""Di Mandalika GP Hub tersedia tempat penjualan tiket MotoGP Mandalika 2022,""
ucap Cahyadi.

 Selain tempat penjualan tiket, di Mandalika GP Hub tersedia gerai layanan
cukur rambut dan simulator motor MotoGP.

 Sementara itu, penulusuran

 ""Tiket itu ada di Zona J dan K,"" kata petugas tiket, Grace, menerangkan.

 Harga tiket di Premium Grandstand itu adalah Rp 2.300.000 per tiket.

 Grace memaparkan, pemegang tiket Premium Grandstand bisa menyaksikan balapan
untuk gelaran pada 19 dan 20 Maret 2022.

 Pada kesempatan itu juga, Cahyadi Wanda menyebut bahwa pada laga balapan tadi
akan hadir 63.000 penonton.

 Mereka menyaksikan langsung di lokasi Sirkuit Mandalika.

 Cahyadi Wanda mengatakan pula bahwa 400 juta pasang mata di seluruh dunia akan
menyaksikan MotoGP Mandalika 2022.

 Sementara, akan ada 200 negara yang menayangkan MotoGP Mandalika 2022 melalui
berbagai media digital.

 Sementara itu, Direktur Keuangan, Strategi, dan Manajemen Risiko Indonesia
Tourism Development Corporation (ITDC) Nugdha Achadie dalam acara itu
mengatakan bahwa Dorna Sport, pemegang hak balapan MotoGP juga akan
mengirimkan timnya hadir di Mandalika.

 Nugdha mengatakan tim Dorna Sports akan hadir dengan kekuatan 2.000 orang.

 ""Kita mesti bisa menyervis tamu-tamu itu,"" kata Nughda.

 Nughda memberikan catatan juga bahwa Sirkuit Mandalika ada di dalam Kawasan
Ekonomi Khusus (KEK) Mandalika.

 Luas KEK mencapai 1.175 hektar.

 Sementara, garis pantai Mandalika panjangnya hingga 16 kilometer.

 Sedikitnya, ada lima pantai di Mandalika yang menjadi destinasi wisata yakni
Tanjung Aan, Gerupuk, Batu Berang, Kuta Mandalika, dan Pantai Seger.

 Mandalika, kata Nughda Achadie adalah satu dari lima destinasi pariwisata
superprioritas Indonesia.

 ",www.kompas.com
"Sederet Dampak Perang Rusia Ukraina bagi Ekonomi Indonesia

","\- 05/03/2022, 17:30 WIB

","\- Perang antara Rusia dan Ukraina masih berlangsung hingga hari ini.

 Konflik kedua negara kian memanas dan menyita perhatian masyarakat global.

 Secara global, perang di Ukraina adalah ""bencana"" bagi dunia yang akan
menyebabkan berkurangnya pertumbuhan ekonomi global.

 ""Perang di Ukraina terjadi pada saat yang buruk bagi dunia karena inflasi
sudah naik,"" kata presiden Bank Dunia, David Malpass, dikutip dari

 Namun, bagaimana dampak ekonomi

 Direktur Eksekutif Center of Economic and Law Studies (Celios) Bhima
Yudhistira mengatakan, salah satu dampak perang Rusia-Ukraina adalah kenaikan
harga gandum.

 Menurutnya, kenaikan harga gandum cepat atau lambat akan berdampak pada
konsumen di Indonesia, mengingat gandum merupakan bahan baku dari produk
pangan seperti mi instan dan terigu.

 ""Kelangkaan gandum atau kenaikan harga karena konflik di Ukraina bisa
meningkatkan harga produk turunan termasuk mi instan, tapi ini semua
bergantung,"" ujar Bhima, saat dihubungi

 ""Karena mi instan ini merupakan segmen masyarakat menengah ke bawah, yang
artinya dalam situasi saat ini banyak yang belum siap menerima kenaikan
harga,"" imbuhnya.

 Solusinya, kata dia, margin keuntungan dari produsen mi instan yang akan
dipangkas atau ukuran dari mi instan diperkecil, atau mengeluarkan produk mi
instan dengan kualitas lebih rendah.

 Bhima menerangkan, dari sisi pemerintah bisa membantu memfasilitasi pengusaha
mi instan untuk mendapatkan suplai bahan baku gandum selain dari Ukraina.

 membuat harga minyak mentah melonjak hingga melewati level 100 dollar per
barel.

 Kondisi tersebut membuat beberapa Badan Usaha Milik Negara (BUMN) energi
merasakan dampaknya secara langsung.

 Bhima mengatakan, lonjakan harga minyak dunia membuat perusahaan pelat merah
membebankan berbagai kenaikan harga ini kepada masyarakat.

 ""Termasuk LPG nonsubsidi yang telah disesuaikan dua kali harganya, sudah naik
dua kali, kemudian juga untuk BBM jenis non subsidi juga dilakukan
penyesuaian,"" ujarnya.

 Menurutnya, kenaikan tersebut langsung menguras cashflow dan membuat BUMN
berada di bawah tekanan utang atau

 Ada tekanan utang yang cukup dalam karena ada lonjakan harga minyak mentah
secara global.

 ""Sementara dari sisi pemerintah dana kompensasinya mungkin kurang, sehingga
kemudian dinaikan ke level konsumen, ini kan konsekuensi pertama,"" kata Bhima.

 Konsekunsi kedua ada bagi BUMN karya yang memiliki beban utang atau

 Pasalnya, krisis di Ukraina juga menciptakan dua hal faktor kunci yang salah
satunya adalah fluktuasi nilai tukar yang membuat beban utang luar negeri
naik.

 Termasuk di dalamya adalah bunga pinjaman juga akan semakin mahal.

 Kedua, trend kenaikan suku bunga akan lebih cepat jadi bunga pinjaman juga
akan naik.

 ""Jadi sudah

 Sementara itu, desakan dari masyarakat juga kuat untuk bagaimana BUMN bisa
berkontribusi untuk menjaga stabilitas harga. Kini, yang harus diperhatikan
adalah risiko utang BUMN.

 Bhima menambahkan, dampak ekonomi Indonesia dari ketegangan Rusia-Ukraina akan
paling terasa di sektor keuangan.

 Hal ini terlihat dari kondisi Rupiah yang sudah melemah dan bergerak di Rp
14.500, dan bisa terus bergerak mendekati level Rp 15.000.

 ""Dalam kondisi konflik, jika eskalasinya semakin meluas dan melibatkan banyak
negara, ini bisa berdampak pada stabilitas di kawasan, dan tentunya ini akan
merugikan prospek pemulihan, stabilitas moneter yang ada di Indonesia, karena
bertepatan dengan tapering off dan kenaikan suku bunga yang terjadi di negara-
negara maju,"" ucap dia.

 Harga komoditas, juga menjadi efek ekonomi yang dihadapi Indonesia.

 ""Dengan minyak mentah yang sudah tembus USD 100 per barel, akan meningkatkan
inflasi dan membuat biaya pengiriman (logistik) menjadi jauh lebih mahal.
Efeknya adalah harga kebutuhan pokok semakin meningkat, daya beli masyarakat
semakin rendah, dan efek terhadap subsidi energi juga akan membengkak cukup
singnifikan,"" imbuhnya.

 Dengan demikian, Bhima menyarankan, pemerintah sebaiknya segera melakukan APBN
perubahan untuk menyesuaikan kembali beberapa indikator khususnya nilai tukar
rupiah, juga inflasi.

 ",www.kompas.com
"Produsen Bir Heineken Hentikan Produksi dan Penjualan di Rusia

","\- 09/03/2022, 21:00 WIB

","\- Pembuat bir Belanda

 Dilansir

 Perusahaan bir terbesar kedua di dunia itu telah menangguhkan investasi dan
ekspor ke Rusia pekan lalu.

 ""Kami terkejut dan sedih menyaksikan tragedi di Ukraina terungkap,"" kata
kepala eksekutif Heineken Dolf van den Brink dalam sebuah pernyataan.

 ""Perang pemerintah Rusia melawan Ukraina adalah serangan yang tidak beralasan
dan sama sekali tidak dapat dibenarkan,"" katanya.

 Perusahaan itu mengatakan menghentikan produksi, iklan, dan penjualan merek
Heineken di Rusia ""sebagai tanggapan atas eskalasi perang yang terus
berlanjut"".

 Heineken mempekerjakan 1.800 orang di Rusia. Mereka adalah pembuat bir
terbesar ketiga di negara itu, di mana ia membuat merek Zhigulevskoe dan Oxota
untuk pasar lokal.

 Pembuat bir itu mengatakan akan mengambil ""langkah-langkah segera untuk
memagari"" bisnis Rusia-nya dari sisa operasi globalnya.

 Ini demi menghentikan aliran uang, royalti, dan dividen keluar dari Rusia.

 ""Heineken tidak akan lagi menerima keuntungan finansial bersih apa pun yang
diperoleh dari operasi kami di Rusia,"" katanya.

 Merek terkenal Heineken lainnya termasuk sari Amstel, Tiger dan Strongbow.

 Sejauh ini, sekitar 300 perusahaan telah mengumumkan penarikan mereka dari
Rusia sejak menginvasi negara tetangga Ukraina, menurut peneliti Universitas
Yale.

 McDonald's, Coca-Cola dan Starbucks bergabung dengan kerumunan pada hari
Selasa (8/3/2022), menyusul tekanan publik untuk melakukannya.

 ",www.kompas.com
"Teten Masduki Ajak CSR Perusahaan Berdayakan Ekonomi di Wilayah Miskin Ekstrem

","\- 10/03/2022, 07:00 WIB

","\- Menteri Koperasi dan UKM

 ""CSR haruslah menjadi pendorong untuk perubahan sosial dan memajukan
masyarakat,"" tegas Teten dalam siaran pers

 Selanjutnya, ungkap Teten, CSR tidak boleh hanya sekedar menjadi pajangan atau
bahkan beritanya lebih besar dari tindakan yang dilakukan.

 ""Kami mendorong dan berharap peran CSR dapat mendukung pemberdayaan ekonomi
masyarakat,"" imbuh Teten.

 Teten pun mengapresiasi kepada perusahaan yang berkomitmen dengan sungguh-
sungguh menjadikan CSR elemen penting untuk perubahan Indonesia menjadi lebih
baik.

 ""Kita harus terus perkuat sinergi dan kolaborasi untuk memperkuat ekonomi UMKM
nasional, menghapus kemiskinan ekstrem, dan bersama-sama menyelamatkan bumi
dari kerusakan lingkungan,"" ujar Teten.

 Bahkan, Teten juga mengapresiasi ajang Indonesia CSR Excellence Awards 2022
sebagai wadah apresiasi, motivasi, sekaligus kolaborasi agar ekosistem
kemitraan antara UMKM dan pelaku usaha besar di Tanah Air semakin baik, sehat
dan produktif.

 ""Sinergi dan kemitraan terus kami bangun dengan berbagai pihak, termasuk
dengan BUMN dan swasta untuk menciptakan keragaman model bisnis dan
pemanfaatan inovasi teknologi,"" papar Teten.

 Dalam kesempatan yang sama, Ketua Penyelenggara dan CEO First Indonesia
Magazine, Maya Julianti menekankan bahwa banyak hal yang dapat dicermati dalam
membangun CSR ini bagi perusahaan.

 Ada yang menyebutnya dengan Tangung Jawab Sosial dan Lingkungan hidup (TJLS),
serta ada pula yang menyebutnya dengan Community Development (COMDEV).

 Akan tetapi, lanjut Maya, bagaimana perusahaan tersebut dalam penerapan CSR
itu yang menjadi acuan bagi perusahaan tentunya menjadi sebuah pedoman bagi
perusahaan untuk dapat memberikan pencerahan dan pengembangan masyarakat yang
lebih luas.

 ""Penilaian CSR didasarkan pada keterkaitan CSR terhadap 3 hal yakni: 1) ISO
26000, 2) SDG’s 3) Praktek Good Corporate Governance (GCG) dengan tujuan agar
program CSR kedepan dapat mendorong Transformasi Menuju Masyarakat Digital
dipengembangan pertumbuhan ekonomi dan lingkungan serta sektor UMKM yang
berkelanjutan di era pandemi,"" pungkas Maya.

 ",www.kompas.com
"Presidensi G20, Kominfo Akan Tunjukkan Potensi Ekonomi Digital RI

","\- 04/03/2022, 16:44 WIB

","\- Dalam rangka pelaksanaan Presidensi

 ""Indonesia merupakan negara dengan potensi

 Mira mengatakan, melalui Digital Transformation Expo (DTE), diharapkan kepala
negara dari anggota G20 dapat tertarik untuk menjadikan Indonesia target
investasi mereka.

 Namun demikian, pihaknya tidak hanya akan menunjukkan Indonesia sebagai sebuah
potensi yang besar. Ia mengaku akan mengambil ilmu juga tentang pengaplikasian
teknologi di negara-negara G20.

 ""Ini kesepakatan dua arah, selain kita menawarkan, kita juga belajar dari
penerapan kebijakan di luar sana sebagai feedback bagi penyelenggaraan kita.
Teknologi yang terus berubah juga kita harus dikaji. Apakah sebuah kebijakan
masih dapat berjalan atau tidak,"" kata Mira.

 

 Ia menambahkan, Kominfo sebagai pengampu G20 Digital Economy Working Group
(DEWG) tidak hanya berfokus ke dalam, tetapi juga ke luar.

 Sebagai informasi, DTE merupakan ajang

 Nantinya, DTE akan menggunakan teknologi metaverse untuk memvisualisasikan
perjalanan digital Indonesia.

 Menurut rencana, DTE akan mengusung empat pokok gagasan. Ibarat bangunan, DTE
memiliki kerangka fondasi dengan tiga pilar. Fondasinya berupa infrastruktur
digital. Sementara tiga pilarnya adalah ekonomi digital, masyarakat digital,
dan pemerintah digital.

 ",www.kompas.com
