title,date,description,source
"Mencekam Kisah Polisi Dibegal di Bekasi di Kegelapan Malam

","Rabu, 16 Feb 2022 09:15 WIB

","Anggota Brimob

 Kurang dari 24 jam,

 ""Benar (pelaku ditangkap). Ada lima,"" kata Kapolsek Jatisampurna Iptu Santri
Dirga saat dihubungi, Rabu (16/2/2022).

 Peristiwa mencekam itu terjadi pada Selasa (15/2) sekitar pukul 02.00 WIB.

 Saksi mata sekaligus Linmas Jatiraden, Sarwono (52), mengungkapkan dirinya
saat itu sedang berpatroli. Sarwono melihat korban sedang merangkak ke sebelah
jalan.

 ""Saya lagi

 Sarwono awalnya tidak mengira apabila korban adalah polisi. Sebab, saat itu
Aipda Edi Santoso tidak memaki seragam polisi.

 ""Kalau kejadiannya saya nggak lihat. Dia tuh

 Sarwono langsung melaporkan kejadian itu ke ketua RT setempat. Aipda Edi
kemudian ditolong warga dibawa ke rumah sakit.

 

 ",www.detik.com
"Pria Berjaket Ojol Curi Spion Mobil di Jelambar Jakbar, Polisi Selidiki

","Senin, 14 Feb 2022 11:01 WIB

","Aksi

 Dalam video yang diterima

 Salah satu pria berjaket hitam strip putih. Dia bertugas mengambil spion
mobil. Pria lainnya yang

 ""Aksi pencurian spion mobil di Jl Jelambar Barat 2E No. 5A, Jakarta Barat,""
tulis keterangan video.

 Diketahui, peristiwa tersebut terjadi pada Minggu (13/2) pagi. Secara
terpisah, Kanit Reskrim Polsek Tanjung Duren AKP Fiernando membenarkan adanya
peristiwa tersebut.

 ""Sudah monitor. Sedang dalam penyelidikan pelakunya,"" ujar Fiernando saat
dimintai konfirmasi, Senin (14/2/2022).

 Dia menyebut kini sudah diperiksa beberapa orang sebagai saksi, di antaranya
pemilik mobil dan warga sekitar. Kini polisi memburu kedua pelaku

 ",www.detik.com
"Kronologi Keroyokan Maut Geng 'Brotherstes' ke ABG Cari Kucing yang Hilang

","Jumat, 11 Feb 2022 14:04 WIB

","Remaja inisial LEH (17) tewas

 ""Tersangka yang berhasil ditangkap oleh penyidik ada 4 orang,"" ujar Kabid
Humas Polda Metro Jaya Kombes Endra Zulpan kepada wartawan di Polda Metro
Jaya, Jakarta, Jumat (11/2/2022).

 Berikut ini identitas 4 tersangka dan perannya:

 1\. Laki-laki berinisial AB (21), berperan membacok korban pada bagian kepala

 Polisi mengatakan para pelaku adalah anggota

 Berikut ini kronologi pengeroyokan gangster 'Brotherstres' ke ABG cari kucing
yang hilang di Bekasi yang disampaikan Kombes Zulpan:

 Korban saat itu sedang

 Tersangka FH kemudian mengamati korban. Saat itu korban tiba-tiba meninggalkan
lokasi dengan menggunakan motor miliknya.

 ""Menurut tersangka, (korban pergi) secara terburu-buru. Tersangka kemudian
melakukan provokasi dengan teriakan maling,"" ujar Zulpan.

 Korban saat itu pergi menggunakan motornya ke arah taman, di mana saat itu
para anggota

 ""Mereka yang nongkrong pada saat itu kebetulan bawa sajam, karena mereka
berencana akan melakukan aksi tawuran di Tanjung Priok. Jadi melengkapi diri
dengan sajam, ini tidak ada kaitannya dengan kasus ini sebenarnya,"" tuturnya.

 Tanpa bertanya terlebih dahulu, para anggota gangster ini kemudian bersama-
sama mengeroyok korban. Ada yang memukul dengan tangan kosong hingga membacok
korban pakai celurit yang mengakibatkan korban tewas di lokasi kejadian.

 

 ",www.detik.com
"Korban Salah Sasaran Gangster, Pria di Jaktim Kena Bacok di Leher dan Pipi

","Kamis, 17 Feb 2022 17:42 WIB

","Seorang pria berinisial MF (21) terluka akibat

 Kapolsek Ciracas Kompol Jupriono menjelaskan peristiwa terjadi di Jalan Raya
Cibubur I RW 12, Cibubur, Ciracas, Jakarta Timur, Kamis (17/2/2022) sekitar
pukul 03.00 WIB.

 Saat itu korban beserta sembilan temannya melintas di TKP. Pada saat
bersamaan, kelompok pelaku diduga dari Gang Kiwi secara tiba-tiba menyerang
korban dengan menggunakan senjata tajam.

 ""Korban dan teman-temannya bertemu dengan kelompok pelaku yang (kemudian)
mengeroyok korban, kurang-lebih 20 orang,"" kata Jupriono saat dimintai
konfirmasi, Kamis (17/2/2022).

 Para pelaku mempersenjatai diri dengan celurit dan pedang. Beberapa pelaku
memanggil teman-temannya untuk

 ""Masing-masing yang diboncengkan membawa senjata tajam berupa celurit dan
pedang yang dihunuskan sambil teriak memanggil teman-temanya untuk menyerang
kelompok korban,"" ujar Jupriono.

 Karena kalah jumlah, korban kemudian melarikan diri. Namun nahas, korban
terkena sabetan sajam di bagian leher dan pipi kanan saat mencoba melarikan
diri.

 ""Tepatnya di depan SDN 11 Cibubur, korban, yang saat itu dibonceng oleh saksi
1, kena sabet senjata tajam di bagian leher belakang kanan hingga pipi kanan,""
ujarnya.

 Korban kemudian dibawa ke Rumah Sakit Polri. Belum jelas motif pelaku
melakukan pembacokan terhadap korban.

 ""Saat ini kami sedang melakukan penyelidikan, kelompok tersebut dari mana dan
apa motif sebenarnya,"" pungkasnya.

 ",www.detik.com
"Ditangkap, Penusuk Pria di TPU Kober Jaksel Ternyata Pembunuh Bayaran!

","Jumat, 11 Feb 2022 14:35 WIB

","Polisi menangkap pelaku

 ""Dari informasi interogasi yang kami dapatkan ada lebih dari 1 orang
(pelakunya). Pelaku mendapat bayaran dari orang yang menyuruh untuk melakukan
tindakannya tersebut,"" ujar Kapolres Metro Jakarta Selatan Kombes Budhi Herdi
kepada wartawan, Jumat (11/2/20).

 Budhi menyebut MYD dan rekannya diperintah untuk menghabisi nyawa korban.
Pelaku mengaku sudah menerima bayaran sebelum mengeksekusi korban.

 ""Bahkan perintahnya juga jelas: untuk menghabisi. Adapun dari perjanjian uang
yang ditawarkan oleh orang yang

 Lebih lanjut, Budhi menerangkan, pihaknya kini sedang

 Sebelumnya, Kombes Budhi mengatakan pihaknya telah menangkap seorang pelaku
pembunuhan pria yang ditemukan di TPU Kober Pesanggrahan, Jakarta Selatan.

 ""Tim telah berhasil menangkap salah satu dari pelaku yang diduga melakukan
pembunuhan terhadap korban yang kita temukan di Pesanggrahan tersebut,"" ujar
Kapolres Metro Jakarta Selatan Kombes Budhi Herdi Susianto kepada wartawan di
Polres Jaksel, Jumat (11/2/2022).

 Pelaku berinisial

 ""Dari interogasi yang kami lakukan awal bahwa pelaku ini tidak mengenal dengan
korban atau tidak ada hubungan dengan korban,"" imbuhnya.

 Diketahui, Fiky ditemukan tewas bersimbah darah dengan luka tusuk di TPU
kober, Ulujami, Pesanggrahan, Jakarta Selatan, pada Kamis (10/2) pagi. Barang-
barang miliknya seperti uang, motor dan ponsel hilang.

 ",www.detik.com
"Pelaku Pembunuhan Pria di TPU Kober Pesanggrahan Ditangkap!

","Jumat, 11 Feb 2022 14:12 WIB

","Polisi mengungkap

 ""Tim telah berhasil menangkap salah satu dari pelaku yang diduga melakukan
pembunuhan terhadap korban yang kita temukan di Pesanggrahan tersebut,"" ujar
Kapolres Metro Jakarta Selatan Kombes Budhi Herdi Susianto kepada wartawan di
Polres Jaksel, Jumat (11/2/2022).

 Pelaku berinisial MYL ditangkap di kawasan Tangerang. Dari hasil pemeriksaan,
pelaku mengaku tidak kenal korban.

 ""Dari interogasi yang kami lakukan awal bahwa pelaku ini tidak mengenal dengan
korban atau tidak ada hubungan dengan korban,"" imbuhnya.

 Sebelumnya, Fiky (22) ditemukan tewas dengan

 ""Dia bawa uang 2 juta lebih

 Wilda menduga kekasihnya itu menjadi

 ""Sedikit curiga, sih, ada. Teman, sih, temannya dia. STNK temannya belum
diambil, cuma temannya itu selalu

 ""Dulu dia

 ",www.detik.com
"5 Begal Polisi di Bekasi Rata-rata Masih ABG, Ini Perannya

","Rabu, 16 Feb 2022 10:41 WIB

","Polisi menangkap lima begal yang membacok anggota Brimob

 Kabid Humas Polda Metro Jaya Kombes Endra Zulpan menyebutkan identitas kelima
pelaku adalah MH (17), RMI (20), AM (17), MAL (18), dan RH (17). Para pelaku
punya peran masing-masing dalam melakukan aksi begal tersebut.

 ""Pukul 20.00 WIB, tim gabungan Unit Reskrim Polsek Jatisampurna dan Satreskrim
Polres Metro Bekasi Kota awalnya berhasil mengamankan pelaku RMI dan
dilanjutkan pemeriksaan,"" kata Kombes Zulpan saat dihubungi, Rabu (16/2/2022).

 Zulpan mengatakan, dari hasil pemeriksaan, pelaku RMI berperan membacok korban

 Sementara itu, pelaku MH diketahui berperan sebagai otak pelaku dan 'joki'.
Pelaku AM berperan merampas motor Aipda Edi Santoso.

 ""Pelaku RMI melakukan pembacokan dan pelaku MAL yang berperan menyimpan
senjata tajam hingga pelaku RH berperan menyimpan motor korban,"" ungkap
Zulpan.

 Zulpan mengatakan proses penyelidikan hingga saat ini masih berlangsung. Tidak
tertutup kemungkinan

 ""Yang jelas nanti dikembangkan lagi, tapi yang diamankan sudah ada. Nanti kan
yang diamankan diperiksa dulu apakah mereka nanti sebut nama lain dan
sebagainya,"" jelas Zulpan.

 ""Iya, jadi tidak tutup kemungkinan pelaku bertambah,"" tambahnya.

 

 ",www.detik.com
"5 Fakta Gempar Wanita dalam Kardus Ternyata Dibunuh Pacar Cemburu Buta

","Sabtu, 12 Feb 2022 08:13 WIB

","Tersingkap sudah teka-teki

 Kasus pembunuhan terungkap dengan cepat. Hanya berselang satu hari setelah

 AS seorang buruh harian lepas, ditangkap di Tamansari, Bogor. Sementara korban
SN dieksekusi di rumah kontrakan AS di Ciparigi, Bogor Utara, Kota Bogor pada
Sabtu (5/2) malam.

 ""Tersangka berhasil kami tangkap Bogor Selatan, saat dilakukan penangkapan
yang bersangkutan melakukan perlawanan sehingga kami lakukan tindakan tegas
terukur,"" kata Siswo dalam konferensi pers, Jumat (11/2/2022).

 Polisi mengungkapkan motif tersangka AS membunuh korban lantaran

 ""Motif si pelaku melakukan perbuatannya karena pelaku merasa cemburu melihat
korban banyak dihubungi oleh teman-teman korban yang sebagian besar laki-
laki,"" kata Kapolres Bogor AKBP Iman Imanuddin, dalam konferensi pers, Jumat
(11/2/2022).

 KBP Iman mengungkapkan korban tewas setelah dibekap pelaku.

 ""Berdasarkan hasil autopsi, disimpulkan oleh dokter bahwa yang bersangkutan
meninggal karena terganggu jalur napasnya,"" ucapnya.

 

 ",www.detik.com
"Geger Pria Ditusuk Pembunuh Bayaran di TPU Kober hingga Dalang Diburu

","Sabtu, 12 Feb 2022 07:49 WIB

",", Ulujami, Pesanggrahan, Jakarta Selatan, akhirnya terungkap. Seorang pelaku
berinisial MYL ditangkap polisi.

 Pembunuhan di TPU Kober diketahui terjadi pada Kamis (10/2). Korban ditemukan
tewas dengan luka tusukan di samping nisan di area pemakaman tersebut.

 Polisi kemudian melakukan penyelidikan kasus

 ""Tim telah berhasil menangkap salah satu dari pelaku yang diduga melakukan
pembunuhan terhadap korban yang kita temukan di Pesanggrahan tersebut,"" ujar
Kapolres Metro Jakarta Selatan Kombes Budhi Herdi Susianto kepada wartawan di
Polres Jaksel, Jumat (11/2/2022).

 Dari hasil pemeriksaan, pelaku mengaku tidak kenal korban. Kepada polisi,

 ""Dari informasi interogasi yang kami dapatkan ada lebih dari 1 orang
(pelakunya). Pelaku mendapat bayaran dari orang yang menyuruh untuk melakukan
tindakannya tersebut,"" ujar Kapolres Metro Jakarta Selatan Kombes Budhi Herdi
kepada wartawan, Jumat (11/2/20).

 Budhi menyebut MYL dan rekannya diperintah untuk menghabisi nyawa korban.
Pelaku mengaku sudah

 ""Bahkan perintahnya juga jelas: untuk menghabisi. Adapun dari perjanjian uang
yang ditawarkan oleh orang yang nyuruh ini sebagian sudah diberikan atau DP-
nya sudah diberikan kepada para pelaku,"" ungkap Budhi.

 

 ",www.detik.com
"Pria Tewas di TPU Kober Ulujami, Pacar Curiga Terkait Gadai Motor

","Kamis, 10 Feb 2022 18:22 WIB

","Seorang pria bernama Fiky (22) ditemukan tewas dengan luka tusuk di

 ""Sedikit curiga sih ada. Temannya dia,"" ucap Wilda kepada wartawan, Kamis
(10/2/2022).

 Wilda menyebutkan kekasihnya itu sempat menggadaikan motor milik rekannya.
Pemilik motor itu, kata Wilda, meminta pertanggungjawaban kekasihnya.

 ""STNK temannya belum diambil, cuma temannya itu selalu nanya nelpon dia 'itu
kapan diambil, kapan diambilnya?'. Dulu dia

 Sebelumnya, Fiky (22) ditemukan tewas dengan luka tusuk di TPU Kober, Ulujami,
Pesanggrahan, Jakarta Selatan, tadi pagi. Menurut Wilda, barang-barang milik
Fiky, seperti sepeda motor dan uang senilai Rp 2 juta, hilang.

 ""Dia bawa uang 2 juta lebih,

 Kapolres Metro Jakarta Selatan Kombes Budhi Herdi membenarkan adanya kejadian
itu. Budhi mengatakan saat ini Tim Satreskrim Polres Jakarta Selatan sedang
menyelidiki

 ""Betul. Kami sedang menurunkan tim untuk melakukan penyelidikan terhadap
peristiwa tersebut,"" ujar Budhi saat dihubungi

 Sementara itu, Kasat Reskrim Polres Metro Jakarta Selatan AKBP Ridwan Soplanit
menyebut pada tubuh korban ditemukan bekas dua tusukan benda tajam.

 ""Kami temukan ada dua luka tusuk akibat benda tajam,"" kata Ridwan.

 ",www.detik.com
