title,date,description
"Cerita Menegangkan Evakuasi Penumpang Pikap Tertimpa Pohon

","Minggu, 27 Feb 2022 20:07 WIB

","Cerita Menegangkan Evakuasi Penumpang Pikap Tertimpa Pohon

Saat kejadian, kendaraan yang ditumpangi Kapolres Sukabumi AKBP Dedy
Darmawansyah melaju ke arah Cibadak terhenti karena kepadatan kendaraan. Saat
itu, Dedy insiatif berjalan kaki mengecek penyebab kemacetan bersama
anggotanya, salah satunya Kasat Sabhara AKP Roni.

 ""Saya persiapan dalam perjalanan mau pengecekan jalur utara sekaligus
pengecekan vaksin, saat di perjalanan terjadi kemacetan. Ternyata akibat pohon
tumbang. Saya tiba di TKP alhamdulillah (anggota) Polsek Cikidang sudah di
sana,"" kata Dedy melalui sambungan telepon dengan detikJabar, Minggu
(27/2/2022).

 Dedy saat itu kaget, ia melihat ada tiga orang terjebak di dalam kendaraan
tersebut. Secara spontan ia bergerak mengerahkan anggotanya membantu proses
evakuasi. Dedy melihat mayoritas korban terjepit kerangka besi kendaraan yang
ringsek akibat pohon yang tumbang.

 ""Saya menghubungi teman-teman BPBD untuk membawa alat pemotong dan gerinda
untuk memotong kerangka mobil yang menjepit korban. Saya lihat ada tiga
penumpang, masin-masing laki-laki dewasa, satu anak kecil dan wanita yang
sudah sepuh,"" jelas Dedy.

 Sebelum kedatangan peralatan, Dedy dan petugas Damkar dibantu Basarnas dan
warga lebih dulu menggunakan balok dan linggis untuk mengurangi beban jepitan
rangka kendaraan. Dengan peralatan seadanya itu, Dedy berusaha mengeluarkan
korban dari jepitan.

 ""Saat itu saya dapat informasi satu orang meninggal dunia, yang anak kecil
itu, posisinya terjepit kerangka mobil. Kita berupaya sekuat tenaga
mengevakuasi korban. Awalnya pakai linggis dari masyarakat sekitar dan balok
untuk mengangkat kerangka mobil yang menjempit korban. Alhamdulillah tidak
lama Basarnas dan BPBD membawa alat, Basarnas dan anggota kami membawa alat
pemotong akhirnya bisa kami evakuasi,"" ujar Dedy.

 ""Satu korban anak meninggal, sementara dua korban lainnya sopir dan wanita
yang sudah sepuh selamat langsung dibawa menggunakan ambulans ke rumah sakit.
Kondisi mobil rusak, kalau dilihat arahnya tadi itu korban dalam perjalanan
dari Cibadak menuju Palabuhanratu,"" sambung Dedy.

 Sementara itu, dihubungi terpisah Sekretaris BPBD Kabupaten Sukabumi Anita
Mulyani mengaku saat ini pihaknya sedang berada di RSUD Sekarwangi, Cibadak.
Dua korban selamat dan masih mendapatkan penanganan medis.

 ""Korban meninggal dunia atas nama M Arpan usia 7 tahun, sementara korban
selamat Yoyoh (59) penumpang dia mertua dari sopir yang juga mengalami luka
atas nama Dede Pendi (38). Korban meninggal adalah keponakan sopir, mereka
warga Kecamatan Kalapanunggal. Saat ini seluruh korban luka masih mendapat
penanganan intensif petugas medis,"" beber Anita.

 "
"Truk Wing Box Selip Tabrak Mobil dan 2 Motor di Sidoarjo, 8 Orang Terluka

","Senin, 28 Feb 2022 17:31 WIB

","Truk Wing Box Selip Tabrak Mobil dan 2 Motor di Sidoarjo, 8 Orang Terluka

""Diduga kecelakaan tersebut terjadi karena truk wing box mengalami selip ban.
Kemudian menabrak mobil Toyota Innova dan dua sepeda motor,"" ujar Kanit Laka
Polresta Sidoarjo AKP Sugeng Sulistiyono saat dihubungi

 Sugeng mengatakan kecelakaan sekitar pukul 15.00 WIB itu berawal saat truk
wing box nopol L 8261 UC berjalan dari arah Surabaya ke Mojokerto. Truk yang
disopiri Andi Ardianto (25), warga Krian itu tiba-tiba selip sehingga oleng ke
kanan.

 Olengnya truk itu membuat truk tak bisa dikendalikan dan menabrak Innova yang
dikemudikan Samsul Arfan (43) dari arah sebaliknya. Innova bernopol nopol S
1864 NY itu terseret dan menabrak dua sepeda motor yakni

 ""Akibat kecelakaan ini ada delapan orang yang mengalami luka ringan. Korban di
bawa ke rumah sakit Anwar Medika,"" jelas Sugeng.

 ""Penyebab kecelakaan ini diduga kekurang kehati-hatiannya pengemudi truk wing
box. Untuk sementara ada delapan korban yang mengalami luka ringan,"" tandas
Sugeng.

 "
"Rombongan Bus Studi Wisata Sekolah Majalengka Alami Kecelakaan

","Senin, 28 Feb 2022 20:16 WIB

","Rombongan Bus Studi Wisata Sekolah Majalengka Alami Kecelakaan

Wakil Kepala Bidang Kurikulum Mts Darul Fallah Cijati, Lili Ramli mengatakan,
rombongan sekolahnya berangkat studi wisata ke Yogyakarta pada Sabtu
(26/2/2022) malam. Adapun kecelakaan itu terjadi saat perjalanan pulang menuju
Majalengka.

 Insiden kecelakaan sendiri, lanjut dia, terjadi di wilayah Kecamatan
Kaliwungu, Kabupaten Semarang, Jawa Tengah.

 ""Kejadian sekitar jam 01.00 WIB, kondisi di luar sedang gerimis. Saya posisi
lagi tidur, jadi enggak tahu kronologi awal mula kecelakaannya bagaimana. Pas
saya bangun, mobil sudah dalam keadaan kecelakaan aja,"" kata Lili saat ditemui
detikJabar, Senin (28/2/2022).

 Dijelaskan dia, bus yang ditumpangi 58 orang itu menewaskan 1 orang siswa yang
sedang mengikuti praktek kerja lapangan (PKL) di perusahaan bus tersebut.
Selebihnya, kata dia, hanya mengalami luka ringan dan berat.

 ""Bus rusak di bagian depan sebelah kiri. Nah, di samping sopir ada anak PKL
yang ikut, itu yang meninggal. Dia terpental sama kondektur sampai keluar,
kondektur kakinya sampai patah. Tapi yang siswa itu bukan dari kita, itu
pelajar yang sedang PKL di perusahaan bus."" jelas dia.

 ""Alhamdulillah murid-murid mah sehat semua. Cuma guru-guru aja yang luka-luka
di bagian badan, tidak sampai ada yang di rawat,"" sambung dia sambil
bercerita.

 Setelah kecelakaan, kata dia, sopir bus tersebut langsung menelpon bus
cadangan, untuk lanjut mengantar rombongan pulang ke Majalengka.

 ""Yang bus cadangan itu alhamdulillah cepet juga sih, enggak lama nunggu juga.
Kita sampai ke Majalengka lagi sekitar pukul 10.00 WIB. Tapi bus ketiga yang
ikut mah subuh juga udah nyampe,"" ucap dia.

 Diceritakan dia, sebelum kecelakaan, bus yang ditumpanginya itu sempat akan
beristirahat di salah satu

 ""Saya juga sempat bangun pas mau ke

 Kegiatan studi wisata yang mengangkut siswa kelas 8 dan 9 itu sendiri baru
pertama kali lagi dilaksanakan setelah adanya pandemi COVID-19.

 ""Tiap tahun kami selalu mengadakan Studi Tour. Ini kali pertama lagi kita
berangkat Studi Tour. Di sananya mah (Yogyakarta) cuma sehari. Berangkat malam
Minggu, pulang malam Senin,"" ujar dia.

 "
"Mobil Pikap Tertimpa Pohon di Cikidang, Dua Penumpang Terjebak

","Minggu, 27 Feb 2022 16:14 WIB

","Mobil Pikap Tertimpa Pohon di Cikidang, Dua Penumpang Terjebak

Dari video yang beredar, terlihat Kapolres Sukabumi AKBP Dedy Darmawansyah dan
sejumlah anggotanya terlibat langsung dalam proses evakuasi. Terlihat juga
petugas pemadam kebakaran menggunakan perlatan seadanya berusaha membuka pintu
kendaraan yang terlihat ringsek.

 ""Kabar dari anggota kita korban terjebak di dalam kendaraan. Pohon tumbang di
area kehutanan. Kejadian sekitar pukul 15.00 WIB,"" kata Sekretaris BPBD
Kabupaten Sukabumi Anita Mulyani dalam keterangannya kepada awak media, Minggu
(27/2/2022).

 Dari rekaman video, terlihat kendaraan nahas itu berwarna putih dengan nomor
polisi F 8415 OM, nyaris seluruh badan mobil ringsek. Belum diketahui kondisi
dari sopir dan penumpang di dalam kendaraan tersebut.

 Situasi arus lalulintas di kedua arah sempat tersendat karena pohon berukuran
cukup besar itu melintang jalan.

 "
"Kesaksian Korban Pohon Tumbang Timpa Mobil di Sukabumi

","Senin, 28 Feb 2022 14:46 WIB

","Kesaksian Korban Pohon Tumbang Timpa Mobil di Sukabumi

Ia adalah salah satu korban selamat dari himpitan rangka mobil yang tertimpa
pohon karet oblong di Jalan Raya Alternatif Cibadak-Palabuhanratu, tepatnya di
Kampung/Desa Cipetir, Kecamatan Cikidang.

 Dede masih ditangani intensif pihak medis RSUD Sekarwangi, Cibadak. Ia
mengerutkan dahinya, mencoba mengingat kembali peristiwa tragis yang merenggut
nyawa M Arpan (7) keponakannya dan melukai Yoyoh (59) ibu mertuanya.

 Dede lebih dulu menceritakan kondisi jalanan yang basah karena hujan. Ia sudah
terbiasa melalui lintasan jalan tersebut. Tidak ada tanda-tanda pohon yang
akan ia lintasi akan tumbang dan menimpa mobilnya.

 ""Mobil jalan hujan deras, tujuan memang mau antar mamah (mertua) ke Leweung
Datar (Cibadak),"" lirih Dede saat ditemui detikJabar di ruang perawatan RSUD
Sekarwangi, Cibadak, Senin (28/2/2022).

 Pandangan mata Dedy lurus ke depan, ia mengaku tidak terlalu kencang saat
melajukan mobil yang dibawanya. Sampai tiba-tiba suara derak pohon diiringi
suara benturan menghentikan laju kendaraannya, suasana seketika berubah
mencekam.

 ""Sama sekali tidak ada tanda-tanda, tahu-tahu tumbang posisi (mobil) sudah di
bawah (pohon). Kalau misalkan ada terlihat dari jauh pohon akan tumbang
mungkin bisa mengerem atau menghindar. Setahu saya hujan tidak terlalu deras,
angin juga tidak terlalu kencang,"" cerita Dede.

 Dede mengaku tidak sanggup melihat kondisi orang tua dan keponakannya, dalam
sejumlah video terlihat tubuh Dede terhimpit kemudi. Batang-batang pohon
menimpa bagian depan, belakang, dan atas badan kendaraannya.

 ""Badan sakit semua, harapan saya sekarang bisa sembuh secepatnya,"" imbuh Dede.

 Sementara itu, Rahmi, dokter yang menangani Dede, mengatakan kondisinya saat
ini sudah stabil. Meskipun begitu, korban rencanana akan di rujuk ke rumah
sakit lain.

 ""Kondisi sadar, stabil, kemarin saat pertama datang sempat turun tekanan
darahnya, sekarang sudah agak baikan, kita restitusi cairan. Saat ini sedang
melengkapi pemeriksaan penunjang kita akan rujuk ke rumah sakit entah RS Hasan
Sadikin atau RS Syamsudin ya, karena kita sedang menunggu balasan,"" kata
Rahmi.

 ""Kita melengkapi pemeriksaan penunjang, agar memudahkan pihak dokter yang di
sana mudah mengetahui kondisi pasiennya. Ada luka di bagian perut, namun untuk
pastinya harus periksa USG atau scan, kita di sini ada (alatnya) namun tidak
memadai, operatornya tidak ada,"" sambung dia.

 "
"Sopir Bajaj di Jakpus Tabrak Trotoar Gegara Mabuk, Tergeletak di Jalan

","Minggu, 27 Feb 2022 13:28 WIB

","Sopir Bajaj di Jakpus Tabrak Trotoar Gegara Mabuk, Tergeletak di Jalan

Seorang sopir bajaj

 ""Seorang ojol melaporkan bahwa ada korban tergeletak di pinggir jalan. Nabrak
trotoar. Setelah didatangi oleh tim polisi, yang bersangkutan rupanya laka
tunggal,"" kata Kasat Samapta Polres Metro Jakarta Pusat Kompol Rustian Effendi
saat dihubungi, Minggu (27/2/2022).

 Peristiwa itu terjadi pada Minggu (27/2) pukul 04.20 WIB. Rustian menyebut
sopir bajaj itu berkemudi dalam pengaruh alkohol.

 ""Dalam keadaan mabuk bawa bajaj. Kejadian pukul 04.20 WIB,"" tuturnya.

 Rustian mengatakan polisi kemudian mendata sopir bajaj itu. Hanya, sopir
tersebut tidak memiliki identitas apa pun.

 ""Didata. Identitas belum diketahui karena yang bersangkutan tidak ada
identitas,"" ucap Rustian.

 Sementara itu, lanjut Rustian, polisi langsung membawa pengemudi bajaj itu ke
rumah sakit terdekat.

 ""Dibawa ke rumah sakit oleh petugas,"" imbuhnya.

 "
"Seorang Bocah Tewas Usai Terlindas Truk di Cilincing Jakut

","Minggu, 27 Feb 2022 15:50 WIB

","Seorang Bocah Tewas Usai Terlindas Truk di Cilincing Jakut

Seorang penumpang sepeda motor

 ""Penumpang sepeda motor berinisial AS berusia lima tahun meninggal dunia,""
ujar Kanit Laka Lantas wilayah Jakarta Utara AKP Edi Wibowo saat dimintai
konfirmasi, Minggu (27/2/2022).

 Peristiwa tersebut terjadi pada Sabtu (26/2) sekitar pukul 17.30 WIB di Jalan
Raya Cilincing arah timur samping GTO Koja Timur, Koja, Jakarta Utara.
Kecelakaan tersebut melibatkan tiga kendaraan.

 Edi menjelaskan awalnya pengendara sepeda motor Yamaha Fino bernopol
B-4812-BKX yang dikendarai oleh B melaju dari arah barat ke timur di Jalan
Raya Cilincing. B diketahui membawa dua penumpang, yaitu SR dan AS.

 ""Ketika tiba di samping GTO Koja Timur, pengendara roda dua menyerempet
kendaraan roda empat hingga jatuh terpental ke sebelah kanan,"" kata Edi.

 ""Penumpang Saudari AS terlindas roda belakang kiri kendaraan trailer B-9307-IJ
pengemudi Saudara SP yang melaju searah di samping kanannya,"" sambungnya.

 Akibatnya, pengendara roda dua dan penumpang berinisial SR mengalami luka dan
memar di sebagian tubuhnya. Mereka dilarikan ke RSUD Koja untuk mendapatkan
perawatan.

 ""Pengendara sepeda motor mengalami luka mata kanan lebam, bagian hidung luar
kanan lecet dan pinggang ke bawah memar. Sedangkan penumpang saudari SR
mengalami luka di bagian ibu jari kiri kuku lepas,"" jelas Edi.

 Saat kejadian berlangsung, pengendara roda empat langsung melarikan diri,
sedangkan nomor pelat kendaraan serta identitas pengemudi belum diketahui.
Peristiwa tersebut kini ditangani Unit Laka Lantas Jakarta Utara.

 "
"Polisi Sebut Laka di Sengkan Mayit Jalur Ijen karena Sopir Tak Kuasai Medan

","Kamis, 24 Feb 2022 18:31 WIB

","Polisi Sebut Laka di Sengkan Mayit Jalur Ijen karena Sopir Tak Kuasai Medan

Kapolsek Licin, AKP Dalyono mengatakan selain rem blong, pengemudi juga tidak
memahami medan, hingga akhirnya mobil terguling dan terseret hingga 15 meter.

 ""Bukan warga Banyuwangi atau sekitarnya. Sopir asal Jakarta. Kalau tempat
tinggal Ujung Pandang,"" ujarnga kepada detikJatim, Kamis (24/2/2022).

 Rombongan tersebut mengambil jalur Bondowoso dengan menuruni jalur Ijen.

 ""Jadi mereka mau liburan ke Bali. Berangkat bersama dari Jakarta dan lewat
Bondowoso menuruni jalur Ijen,"" kata AKP Dalyono, saat dikonfrimasi wartawan.

 Keterangan dari para korban, mereka ke Bali hendak mengambil gambar untuk
video YouTube.

 ""Infonya seperti itu. Selain liburan juga ngambil video untuk YouTube,"" ungkap
Dalyono.

 Nahas mobil yang mereka tumpangi mengalami rem blong saat menuruni Sengkan
Mayit yang memiliki tikungan cukup tajam.

 Sebelumnya kecelakaan terjadi di

 "
"Pekerja Proyek Pengaspalan di Tol Waru Arah Perak Tewas Tertabrak Truk

","Sabtu, 26 Feb 2022 11:50 WIB

","Pekerja Proyek Pengaspalan di Tol Waru Arah Perak Tewas Tertabrak Truk

Kejadian ini berlangsung pada Sabtu (26/2/2022) sekitar pukul 02.30 WIB.
Pekerja yang meninggal dunia yakni Achmad Rokhim (22) warga Jalan Jambu
Kecamatan Cerme, Gresik.

 Kejadian ini berawal saat truk colt diesel bernopol N 9705 UY yang dikemudikan
Amri Usin (28), melaju dari arah Waru ke Perak di lajur kanan. Lalu, Warga
Kebonsari Wetan Keninggaran Probolinggo ini berusaha mendahului kendaraan di
depannya dari lajur kiri.

 ""Karena ada proyek dan perambuan lengkap, pengemudi truk kaget dan menabrak
jenset dan 1 orang pekerja proyek meninggal dunia,"" kata Kasat PJR Ditlantas
Polda Jatim AKBP Dwi Sumrahadi, Sabtu (26/2/2022).

 Dwi menyebut

 ""Menurut analisa petugas dan hasil interogasi dengan para saksi di TKP
pengemudi truk colt diesel kurang hati-hati dan berupaya mendahului dari kiri
dikarenakan hanya lajur kanan saja yang dapat digunakan,"" tambah Dwi.

 Sementara itu, truk mengalami kerusakan di bagian kaca dan bemper depan.
Sedangkan untuk kerugian materi ditaksir mencapai Rp 2 juta.

 "
"Pemotor di Bekasi Tewas Terlindas Truk Usai Jatuh Tersangkut Tali Muatan

","Sabtu, 26 Feb 2022 17:23 WIB

","Pemotor di Bekasi Tewas Terlindas Truk Usai Jatuh Tersangkut Tali Muatan

Seorang pemotor tewas terlindas truk di Kabupaten

 Kanit Lantas Metro Bekasi Iptu Carmin mengatakan peristiwa tersebut terjadi
pada Jumat (25/2/2022). Korban berinisial AM (17) awalnya hendak menyalip
truk, namun terjatuh akibat tersangkut tali truk yang sedang berhenti.

 ""Kendaraan Mitsubishi truk yang dikemudikan oleh Saudara TA yang berhenti di
lajur kiri sedang mengikat tali muatannya. Saat bersamaan, bagian setang
sebelah kiri kendaraan sepeda motor tersebut tersangkut di tali muatan,"" ujar
Iptu Carmin saat dihubungi

 Setelah tersangkut tali muatan, kendaraan yang dikemudikan AM terjatuh ke
sebelah kanan. Pada saat bersamaan, satu unit truk juga melintas lalu menabrak
korban yang terjatuh.

 ""Hingga jatuh ke kanan dan tertabrak ban depan sebelah kiri kendaraan truk

 Nyawa AM pun tak tertolong. AM tewas di tempat. Polisi membawa jenazah ke
Rumah Sakit Annisa, Cikarang.

 Kasus tersebut masih dalam penyelidikan penyidik unit Gakkum Satlantas.
Sementara sopir truk diamankan.

 ""Iya (diamankan),"" ucapnya.

 "
