title,date,description,source
"BNPB Catat Ada 5.402 Bencana dan 728 Jiwa Meninggal Sepanjang 2021

","Rabu, 23 Februari 2022 12:06 WIB

","Kepala Badan Nasional Penanggulangan Bencana (BNPB),

 Selain itu, juga terdapat sejumlah kerugian lain berupa material, seperti
rumah dan bangunan fasilitas umum.

 Hal tersebut disampaikan Suharyanto dalam pembukaan Rapat Koordinasi Nasional
(Rakornas) Penanggulangan Bencana Tahun 2022, Rabu (23/2/2022).

 ""Di tahun 2021, kami mencatat 5.402 kejadian

 ""Kerugian material tercatat lebih dari 150 ribu rumah dan lebih dari 4.400
fasilitas umum rusak berat,"" imbuhnya.

 Dalam kesempatan tersebut, Kepala

 Arahan itu, terkait mitigasi dan pencegahan

 ""Arti pentingnya pencegahan dan mitigasi diwujudkan dalam serangkaian program
terintegrasi.""

 ""Mulai dari kajian risiko

 Khusus tahun ketiga pandemi ini, lanjut

 Di antaranya penegakan protokol kesehatan melalui peningkatan kinerja posko
PPKM mikro dan sosialisasi masif melalui semua kanal komunikasi yang ada.

 ""Keberadaan relawan hingga media seperti wartawan peduli

 Kepala

 Presiden Joko Widodo (Jokowi) menghadiri pembukaan Rapat Koordinasi Nasional
(Rakornas) Penanggulangan Bencana Tahun 2022, Rabu (23/2/2022).

 Jokowi resmi membuka Rakornas Penanggulangan Bencana Tahun 2022 secara virtual
dari Istana Kepresidenan Bogor, Jawa Barat.

 Rakornas Penanggulangan Bencana tahun ini, mengangkat tema Meningkatkan
Kolaborasi dan Integrasi dalam Mewujudkan Ketangguhan Bangsa Menghadapi
Bencana.

 Dalam kesempatan tersebut, Presiden mengucapkan terima kasih kepada Badan
Nasional Penanggulangan Bencana (BNPB) dan Badan Penanggulangan Bencana Daerah
(BPBD) yang telah membantu masyarakat dalam menghadapi

 ""Saya mengucapkan terima kasih, mengucapkan penghargaan yang setinggi-
tingginya kepada jajaran

 Jokowi menyadari, negara Indonesia berada di lingkaran cincin api yang
berpotensi terjadi

 Untuk itu, peran

 “Sebagai negara yang dilingkari oleh

 ""Indonesia termasuk 35 negara yang paling rawan risiko

 ""Risiko kerugiannya juga sangat besar, bagi dari segi korban maupaun
material.""

 ""Oleh karena itu, Penanggulangan Bencana harus dilakukan secara terpadu,
sistematik, dan rencana induk penanggulangan bencana tahun 2020/2024 harus
dilaksanakan dengan penuh komitmen,"" imbuhnya.

 Lebih lanjut,

 ""Sebagai salah satu pilar penanganan

 Menurutnya, budaya itu, sangat penting karena

 Kedua, Presiden berpesan agar orientasi pada pencegahan diutamakan.

 ""Bencana gempa bumi, letusan gunung berapi memang tidak bisa dicegah
sebelumnya, namun ada juga

 Sehingga, hal tersebut harus dilakukan secara sinergis antara

 Ketiga, infrastruktur untuk mengurangi risiko

 ""Karena perubahan iklim dunia akan mengerikan, semua negara juga sudah
mengalami

 Kemudian, jalur evakuasi harus terus disiagakan, instrumen peringatan dini
harus terus diupdate dan cek secara rutin.

 ""Saya tahu tidak semua pengadaan peralatan ini oleh

 Keempat,

 Dimaksudkan, agar semua program pembangunan harus berorientasi pada taguh

 ""Perizinan usaha yang dikeluarkan harus mempertimbangkan risiko

 Kelima, membangun sistem edukasi kebencanaan yang berkelanjutan, terutama
daerah yang rawan

 Jokowi mengatakan, budaya sadar kebencanaan harus dimulai sejak dini.

 Di lingkungan sekolah maupun masyarakat juga perlu diberikan edukasi karena
masyarakat harus tanggap

 ""Lakukan simulasi setiap saat, jangan menunggu ada bencana,"" tuturnya.

 Diketahui,

 Mulai tanggal 22 sampai 24 Februari 2022.

 Dikutip dari

 Komposisi kehadiran fisik maksimal sejumlah 400 orang dan peserta daring
diperkirakan sekitar 6.000 orang.

 Peserta yang akan mengikuti kegiatan Rakornas PB Tahun 2022 baik fisik maupun
daring adalah:

 – Kementerian/Lembaga/TNI/POLRI

 – Kepala Daerah

 – Sekda Provinsi se-Indonesia

 – BPBD Provinsi se-Indonesia

 – BPBD Kab/Kota se-Indonesia

 – Akademisi, Organisasi Non Pemerintah, Media, Komunitas, dan Masyarakat

 ",www.tribunnews.com
"BNPB Ungkap Alasan Pentingnya Penetapan Status Darurat Bencana

","Kamis, 8 Juli 2021 14:39 WIB

","\- Plt. Deputi Bidang Penanganan Darurat

 Menurutnya, langkah ini diperlukan untuk memudahkan proses penanganan

 ""Berdasarkan hasil kaji cepat di lapangan setelah

 ""Kenapa perlu status, untuk mempercepat proses penanganan dan juga salah
satunya untuk melindungi hak-hak sipil, seperti surat-surat berharga yang
hilang atau hancur akibat

 Selain itu, saat fase tanggap darurat bencana diperlukan pembentukan pos
komando dan struktur serta kelompok kerja.

 Pembentukan pos komando, kata Dody, dibutuhkan untuk sentra koordinasi dalam
penanganan

 ""Begitu terjadi

 Langkah selanjutnya, membentuk bidang kelompok kerja di dalam posko, bidang
SAR, logistik, pengungsian, pendidikan, pemulihan dini, ekonomi, sarana
prasarana dan kesehatan.

 ""Sudah ditetapkan lembaga yang bertanggung jawab dalam tiap kelompok kerja
itu,"" jelas Dody.

 Penanganan darurat

 ""BNPB mengeluarkan kebijakan baru dalam dua tahun terakhir ini, masyarakat
diberikan dana tunggu hunian bagi yang rumahnya terdampak gempa sambil
menunggu rumah hunian tetap selesai dibangun kembali,"" pungkas Dody.

 ",www.kompas.com
"9 Fakta Chernobyl di Ukrania, Tempat yang Baru Bisa Dihuni 3.000 Tahun Lagi

","\- 27/02/2022, 09:09 WIB

","–

 Namun, pembangkit listrik itu sudah tidak lagi beroperasi karena terjadi
kecelakaan pada 26 April 1986. Bahkan, kecelakaan itu menyebabkan area di
sekitar Chernobyl menjadi tidak bisa dihuni manusia.

 Hingga saat ini, para ilmuan telah memperkirakan zona eksklusi sejauh 19 mil
atau sekitar 30 kilometer (km) di kawasan Chernobyl. Setidaknya selama 3.000
tahun kemudian, barulah kawasan tersebut baru bisa dihuni manusia, karena
tingkat radiasinya yang sangat tinggi.

 Hingga kini, upaya penahanan dan pemantauan radiasi masih terus berlanjut dan
pembersihan diperkirakan akan berlangsung hingga setidaknya tahun 2065.

 Berikut adalah fakta Chernobyl di Ukraina yang perlu diketahui, dikutip oleh

 Kecelakaan itu terjadi di area “Hutan Merah” dengan luas sekitar 6 km. Hutan
berwarna hijau ini menjadi coklat kemerahan dan mati karena tanaman dan pohon
menyerap begitu banyak radiasi tingkat tinggi yang berbahaya.

 Kawasan tersebut “secara paradoks telah menjadi suaka unik bagi keanekaragaman
hayati,” seperti yang disebutkan di Forum Chernobyl pada 2005.

 Lantaran tak ada manusia lagi yang tinggal di kawasan tersebut, populasi satwa
liar, termasuk serigala, beruang, elang, lynx, dan rusa telah meningkat
dibanding sebelumnya.

 Saat mereka berkembang biak, radiasi terbukti menyebabkan adanya kelainan yang
bisa membuat mereka tak bertahan hidup.

 Misalnya ada burung dengan paruh yang cacat, kemudian tingkat terjadinya
katarak juga tinggi, albinisme, hingga penurunan tingkat bakteri yang
menguntungkan.

 Zona eksklusi yang tidak bisa dihuni sejak bencana terjadi memang ada. Namun,
pihak berwenang dari Ukraina membuka kawasan Chernobyl sebagai tempat wisata
pada 2011.

 Wisatawan yang datang akan dipandu untuk melihat satwa liar dan menjelajahi
kota-kota tak berpenghuni, ditambah dengan lanskap dari

 Kota yang dulu punya populasi mencapai lebih dari 45.000 jiwa kini benar-benar
kosong dengan barang-barang yang ditinggalkan secara tergesa-gesa.

 Dulunya, banyak pekerja pabrik dan keluarganya yang tinggal di tempat ini yang
sekarang benar-benar menjadi kota mati.

 Demi keamanan tur di kawasan radiasi, pemandu akan membawa dosimeter atau alat
pengukur radiasi. Selain itu selama ada di zona radiasi, wisatawan juga tidak
diperbolehkan untuk makan ataupun merokok di luar.

 Perlu diketahui juga setelah adanya miniseri “Chernobyl” di HBO, pariwisata
ini juga mengalami peningkatan sebesar 40 persen.

 Pembangkit listrik tenaga listrik di Chernobyl diketahui tidak punya bangunan
penahan atau cangkang kedap gas yang mengelilingi reaktor.

 Cangkang yang biasanya berbentuk kubah dan terbuat dari beton dan baja itu
berfungsi untuk membatasi produksi fusi yang dilepaskan selama kecelakaan ke
udara.

 Selain tak adanya bangunan penahan, kecelakaan besar bisa terjadi lantaran
sistem keselamatan darurat reaktor juga telah dimatikan saat melakukan
pengujian.

 Ada pekerja yang secara tak bijak menonaktifkan sistem pendingin teras darurat
berserta sistem keselamatan utama lainnya. Uap pun menumpuk yang membuat
reaktor terlalu panas.

 Kerugian besar akibat radiasi setelah ledakan terjadi sangat cepat, hanya
dalam beberapa minggu saja. Pada 15 menit awal setelah ledakan, radioaktif
menurun menjadi seperempat dari nilai awalnya.

 Kemudian, setelah satu hari setelahnya turun menjadi seperlima belas, lalu
dalam tiga bulan turun menjadi kurang dari satu persen.

 Saat reaktor nomor 4 meledak, tiga reaktor pembangkit listrik tenaga nuklir
lainnya yang ada di Chernobyl dimatikan.

 Namun, dalam waktu satu setengah tahun kemudian atau lebih, sisa reaktor yang
masih bisa berfungsi tetap digunakan, meski sudah mendapat kecaman dari dunia
internasional.

 Bahkan, ribuan operator pembangkit terus bekerja. Baru setelah ada kebakaran
aula turbin, dilakukanlah penutupan reaktor nomor 2 pada tahun 1991.

 Meskipun tengah mengalami bencana besar, pihak berwenang Uni Soviet menutupi
kejadian ini dari warganya sendiri dan negara-negara tetangga. Perlu
diketahui, saat itu Chernobyl masih masuk dalam wilayah Uni Soviet.

 Semua itu terungkap setelah pemantau udara Swedia mendeteksi sejumlah besar
radiasi di atmosfer yang tampaknya berasal dari Uni Soviet pada 28 April 1986.

 Akhirnya Uni Soviet didesak untuk mengakui kejadian tersebut, dan mengaku
bahwa ada dua orang yang tewas akibat ledakan di Chernobyl.

 Sayangnya, Uni Soviet masih berbohong jika kondisi dan situasinya masih
terkendali bahwa kecelakaan di Chernobyl masih aman.

 Akhirnya baru pada 6 Mei 1986 sekolah di Kiev ditutup dan penduduk
diperingatkan untuk tetap tinggal di dalam rumah.

 Laporan mengenai berapa orang yang diterjunkan untuk melakukan pemadaman dan
pembersihan pascaledakan, jumlahnya bervariasi.

 Dikatakan, ada setidaknya 600.000 orang yang terjun secara langsung untuk
menangani pembersihan kontaminasi radiasi di Chernobyl. Mereka dikenal dengan
nama “likuidator” dan diberi berbagai fasilitas khusus setelah melakukan
pembersihan.

 

 Diketahui mereka akan menerima manfaat seperti perawatan kesehatan tambahan
dan pembayaran. Pastinya orang-orang tersebut juga terkena radiasi tingkat
tinggi.

 Hingga saat ini, tidak diketahui secara pasti berapa sebenarnya korban dari
ledakan di Chernobyl.

 Walaupun orang terakhir yang hidup pada hari ledakan telah meninggal, kematian
akibat Chernobyl dari radiasi masih akan ada karena sudah memasuki rantai
makanan.

 Menurut Badan penelitian kanker Organisasi Kesehatan Dunia (WHO), ada sekitar
9.000 orang akan meninggal karena kanker dan leukemia terkait Chernobyl, jika
kematiannya mengikuti pola yang mirip dengan bom atom Hiroshima dan Nagasaki
di Jepang.

 

 Di sisi lain, Kelompok Lingkungan Greenpeace mengatakan korban tewas Chernobyl
bisa saja mencapai 90.000, bahkan lebih tinggi lagi karena adanya kontaminasi
radiasi berbahaya.

 Korban yang terpapar radiasi saat reaktor di Chernobyl meledak, diyakini telah
menerima radiasi rata-rata 45 rem. Jumlah itu sama dengan radiasi yang
diterima mereka yang selamat dari ledakan bom atom di Hirosima pada 1945.

 Diketahui bahwa 45 rem tak cukup untuk menyebabkan penyakit radiasi. Namun,
yang bisa mengakibatkan penyakit radiasi adalah sekitar 200 rem.

 Meskipun begitu dengan kadar radiasi sebesar 45 rem, risiko seseorang terkena
kanker bisa meningkat sebesar dua persen.

 Sejak ledakan dan dilakukan evakuasi besar-besaran, zona eksklusi selalu ada
dan tidak boleh ditinggali manusia. Namun, tetap saja masih ada penduduk yang
kembali tinggal di kawasan radiasi secara ilegal.

 Bahkan setelah ribuan orang dievakuasi, beberapa penduduk tidak pernah pergi
dan tetap beraktivitas di tempat tersebut.

 Ada sekitar 130 hingga 150 orang yang masih tinggal di daerah tersebut dan
banyak dari mereka adalah perempuan yang menggantungkan hidupnya dengan
bertani di tanah leluhur.

 Usia mereka rata-rata 70-an hingga 80-an. Pendatang juga banyak yang
berdatangan dan tinggal di luar zona eksklusi.

 ",www.tribunnews.com
"Wapres: Penguatan Mitigasi dan Kesiapsiagaan Bencana Harus Jadi Prioritas

","\- 24/02/2022, 13:41 WIB

","\- Wakil Presiden Ma'ruf menyatakan, penguatan mitigasi dan kesiapsiagaan

 ""Penguatan mitigasi dan kesiapsiagaan bencana harus tetap dijadikan prioritas
sebagaimana komitmen dalam RPJMN 2020-2024 terkait lingkungan hidup, ketahanan
bencana dan perubahan iklim,” kata Ma'ruf saat menutup Rapat Koordinasi
Nasional Penanggulangan

 Ia menyebutkan, data Kementerian Keuangan tahun 2020 menunjukkan bahwa beban
rata-rata yang harus ditanggung untuk menanggulangi bencana setiap tahun
mencapai Rp 22,8 triliun.

 Selain itu, selama 2016-2021, tercatat setidaknya ada 30 juta orang pengungsi,
29.000 orang luka, serta 7.000 orang meninggal dunia dan hilang akibat
bencana.

 Ia melanjutkan, isu krisis iklim juga harus ditangani secara keseluruhan
karena beberapa bencana yang terjadi di Indonesia berkaitan dengan isu krisis
iklim, misalnya cuaca ekstrem, banjir, dan tanah longsor.

 ""Melihat kondisi dan letak geografis Indonesia, pemetaan risiko iklim dan
bencana menjadi mutlak diperlukan,"" kata Ma'ruf.

 Di samping itu, menurut Ma'ruf, Indonesia telah memiliki sejumlah instumen
kebijakan sebagai modal untuk pengelolaan risiko bencana yang lebih baik.

 Ia mencontohkan, telah terdapat Rencana Induk Penanggulangan Bencana sebagai
peta jalan penanggulangan bencana jangka panjang hingga tahun 2044.

 Dalam hal penganggaran, lanjut Ma'ruf, Indonesia juga memiliki Dana Bersama
Penanggulangan Bencana sebagai wujud gotong royong dalam pembiayaan risiko
bencana.

 Selain itu di tingkat pemerintahan daerah juga terdapat standar pelayanan
minimal yang menjadi panduan pelayananan kebencanaan yang harus diberikan
kepada masyarakat.

 ""Namun, instrumen-instrumen tersebut tidak dapat serta merta membawa
keberhasilan dalam penanganan bencana, sepanjang para pemangku kepentingan
belum bekerja secara terpadu,"" kata Ma'ruf.

 Oleh karena itu, ia berpesan agar seluruh pihak bersatu padu menyumbangkan
kontribusi terbaiknya agar Indonesia benar-benar tangguh dalam menghadapi
bencana.

 ""Tentu kita ingat, bencana adalah urusan bersama,"" ujar Ma'ruf.

 ",www.tribunnews.com
"Pascagempa, Pemkab Pasaman Tetapkan Status Tanggap Darurat Bencana Selama 14
Hari

","\- 27/02/2022, 09:39 WIB

","\- Pemerintah Kabupaten

 Penetapan itu terkait dengan dampak gempa magnitudo 6,1 yang menyebabkan enam
orang meninggal dunia dan merusak sekitar 1.000 rumah.

 ""

 Alim menyebutkan enam korban yang meninggal masing-masing perempuan F (4),
perempuan S (29), laki-laki A (17), perempuan NI (78), perempuan NU (75) dan
laki-laki R (40).

 ""Lima korban meninggal karena tertimpa reruntuhan. Sedangkan R (40) yang
ditemukan terakhir ditemukan di lokasi longsor,"" jelas Alim.

 Sedangkan warga yang mengalami luka-luka dan di rawat di rumah sakit.

 Alim mengatakan, warga yang mengalami luka berjumlah 36 orang.

 ""Itu yang mengalami luka berat dan dirawat di rumah sakit. Sedangkan luka
ringan belum tercatat,"" kata Alim.

 Menurut Alim, untuk rumah penduduk yang terdampak, diperkirakan ada sekitar
1.000 rumah.

 Kerusakan itu berupa mulai dari rusak ringan hingga rusak berat.

 ""Data pastinya sedang kita lakukan pencatatan ke lapangan. Kita dibantu BPBD
Provinsi dan daerah tetangga,"" kata Alim.

 Diberitakan sebelumnya, dua gempa beruntun yang berupasat di Pasaman Barat
dengan selisih 4 menit menghantam Sumatera Barat, Jumat (25/2/2022) pagi.

 Gempa pertama berkekuatan magnitudo 5,2 terjadi pukul 08.35 WIB dengan lokasi
18 kilometer timur laut Pasaman Barat dan kedalaman 10 kilometer.

 Kemudian gempa kedua terjadi pukul 08.39 WIB dengan lokasi 17 kilometer timur
laut Pasaman Barat, kedalaman 10 kilometer berkekuatan magnitudo 6,1.

 Selain di Pasaman Barat, sejumlah daerah di Sumatera Barat, seperti Kabupaten
Pasaman, Agam hingg Kota Padang juga merasakan getaran gempa.

 Kendati demikian, gempat tersebut tidak berpotensi terjadi tsunami.

 ",www.tribunnews.com
"Jokowi Ingatkan Perubahan Iklim Dunia Akan Semakin Mengerikan

","\- 23/02/2022, 15:34 WIB

","\- Presiden Joko Widodo (

 Presiden meminta Badan Nasional Penanggulangan

 ""Kita tahu perubahan iklim dunia arahnya akan semakin mengerikan. Semua negara
juga sudah ngeri dan sudah mengalami

 Jokowi mencontohkan terjadinya taifun dan tsunami yang semakin sering terjadi.

 Oleh karena itu, Indonesia harus mempersiapkan infrastruktur untuk mengurangi
risiko dampak bencana akibat perubahan iklim.

 Jokowi juga meminta masyarakat dan pemangku kepentingan melakukan perbaikan
kondisi lingkungan sekitar. Misalnya dengan menanam vegetasi penghambat ombak.

 ""Saya kira mangrove dan tanaman seperti nipah, cemara pantai, kasuarina, pohon
kelapa ini harus banyak-banyak kita tanam di daerah pesisir pantai yang banyak
bencana tsunami atau pun taifunnya,"" ungkap Jokowi.

 Lebin lanjut kepala negara meminta BNPB dan jajarannya melakukan pengecekan
secara rutin terhadap alat peringatan dini bencana.

 Presiden mengingatkan bahwa Indonesia masih tidak disiplin memeriksa
infrastruktur peringatan dini bencana.

 ""Innstrumen peringatan dini harus terus di-

 ""Saya tahu tidak semua pengadan alat ini dilakukan BNPB. Tapi saya minta BNPB
ikut terlibat dan mengingatkan kementerian terkait untuk menjalankan tugas.
Karena ini menyangkut keselamatan rakyat,"" ujar dia.

 Dalam kesempatan itu, Jokowi mengingatkan bahwa BNPB merupakan salah satu
pilar utama penanganan bencana di Tanah Air. Oleh karenanya kepala negara
meminta BNPB selalu berbenah diri.

 ""Pertama, budaya kerja BNPB harus siaga, harus antisipatif, harus responsif
dan adaptif. Budaya ini sangat penting karena bencana itu datangnya tidak
terduga,"" ujar Jokowi.

 ""Bahkan muncul bencana yang tidak terbayangkan sebelumnya, salah satunya
adalah pandemi Covid-19. Semua ketidakterdugaan itu harus kita tangani untuk
memperkecil risiko bagi masyarakat, bangsa dan negara,"" lanjutnya.

 Kedua, Presiden meminta orientasi pada pencegahan bencana harus diutamakan.

 Sejumlah bencana seperti gempa bumi dan letusan gunung berapi memang tidak
bisa dicegah. Akan tetapi banyak jenis bencana yang bisa dikurangi dan
dicegah.

 Jokowi mencontohkan, banjir bisa dicegah dengan penghijauan, dengan penanaman
vegetasi dan longsor juga bisa dicegah.

 Langkah-langkah ini menurutnya harus dilakukan secara sinergis antara BNPB
dengan kementerian serta lembaga terkait termasuk pemerintah daerah dan
masyarakat.

 ",www.kompas.com
"Si Cantik Skater Jepang Terpilih Jadi Anggota Komisi Promosi Rekonstruksi
Gempa Besar Jepang Timur

","Jumat, 5 Maret 2021 16:04 WIB

","\- Shizuka Arakawa, 39, yang terkenal dengan menampilkan layback khasnya Ina
Bauer menggunakan latar nyanyian You Raise Me Up pada Celtic Woman di

 ""Arakawa ditunjuk sebagai atlet terkemuka yang telah terlibat dalam mendukung
berbagai daerah yang terkena

 Shizuka Arakawa dan 9 orang lainnya menjadi anggota ""Komite Promosi
Rekonstruksi"" setelah Gempa Besar

 Badan Rekonstruksi telah mengumumkan bahwa mereka akan menunjuk sembilan
anggota baru, termasuk pemain skat profesional Shizuka Arakawa, sebagai
anggota ""Komite Promosi Rekonstruksi"" untuk memeriksa langkah-langkah
pemerintah untuk pemulihan dari Gempa Bumi Besar

 Komite Promosi Rekonstruksi adalah komite yang dibentuk berdasarkan hukum
untuk memverifikasi tindakan pemerintah untuk rekonstruksi dari Gempa Bumi
Besar

 Badan Rekonstruksi telah mengumumkan bahwa mereka akan menunjuk sembilan
anggota baru dari komite tersebut, yang memiliki masa jabatan dua tahun,
termasuk skater profesional Shizuka Arakawa dan ketua Miki Watanabe dari
jaringan restoran raksasa Watami.

 Sementara itu Forum bisnis WNI di Jepang baru saja meluncurkan masih pre-open
Belanja Online di TokoBBB.com yang akan dipakai berbelanja para WNI di Jepang
. Info lengkap lewat email: bbb@jepang.com

 ",www.kompas.com
"Wapres Sampaikan 4 Strategi Hadapi Bencana

","\- 24/02/2022, 15:01 WIB

","\- Wakil Presiden Ma'ruf Amin menyampaikan empat strategi dalam menghadapi

 Pertama, ia berpesan agar penguatan mitigasi dan kesiapsiagaan bencana tetap
dijadikan prioritas dalam meningkatkan ketahanan dan ketangguhan bencana.

 ""Kita perlu terus membangun kesadaran, kepedulian, dan budaya masyarakat,
supaya tidak saja tanggap dan tangguh mengantisipasi bencana, tetapi juga
aktif menjaga lingkungan dan kelestarian alam,"" kata Ma'ruf, Kamis.

 Ia menyebutkan, capaian dalam penanganan Covid-19 dapat dimanfaatkan sebagai
momentum untuk meningkatkan edukasi dan kolaborasi dengan semangat gotong
royong.

 Kedua, Ma'ruf meminta agar penanganan tanggap darurat diperkuat dan dipercepat
untuk mengurangi korban dan kerugian akibat bencana.

 Ketiga, Ma'ruf menyoroti penguatan proses pemulihan pascabencana di mana
prinsip membangun kembali menjadi lebih baik, aman, dan berkelanjutan perlu
terus diupayakan dengan melibatkan unsur masyarakat.

 ""Dalam hal ini, prinsip tujuan Pembangunan Berkelanjutan (SDGs) sekaligus
ditegakkan, leave no one behind, tidak boleh ada yang ditinggalkan),"" kata
dia.

 Terakhir, ia menekankan masih ada beberapa penuntasan pemulihan pascabencana
yang masih harus dikerjakan, antara lain pemulihan pascabencana gempa,
tsunami, dan likuefaksi di Sulawesi Tengah.

 Kemudian, penanganan pascagempa di Pandeglang, Banten; penanganan pascaerupsi
Gunug Semeri di Lumajang, Jawa Timur; serta penanganan pascabencana Badai
Seroja di Nusa Tenggara Timur.

 ""Semua penanganan yang masih on progress saya minta untuk terus dipantau dan
ditangani hingga tuntas,"" ujar Ma'ruf.

 Dalam kesempatan itu, ia juga menyampaikan apresiasi kepada seluruh pihak yang
telah memberikan sumbangsih dalam penanggulangan bencana di Indonesia.

 ""Seluruh dedikasi waktu, tenaga, dan sumber daya yang dicurahkan dalam
menangani dan menyelesaikan krisis-krisis penanggulangan bencana di berbagai
pelosok Indonesia, kiranya menjadi amalan yang tak ternilai,"" kata dia.

 ",www.kompas.com
"Tanah Bergerak Terjadi Lagi di Lebak, Puluhan Rumah Rusak

","\- 24/02/2022, 19:43 WIB

","\- Puluhan warga di Kampung Cihuni, Desa Curugpanjang, Kecamatan Cikulur,
Kabupaten

 sudah diketahui warga sejak beberapa pekan lalu, dan hingga saat ini masih
terus terjadi.

 Sebagian besar rumah warga yang terdampak tanah bergerak dalam kondisi retak.

 Salah satu rumah bahkan roboh akibat pergerakan tanah.

 ""Awalnya retak di dinding bagian depan, tapi merambat makin parah ke ruang
tengah hingga dapur nyaris roboh. Sekarang pilih mengungsi karena
membahayakan,"" kata Hidayat di tenda pengungsian darurat di depan Kantor Desa
Curugpanjang, Kamis (24/2/2022).

 Hidayat mengungsi bersama istri, serta dua anaknya sejak Rabu kemarin.

 Di pengungsian tersebut juga ada puluhan keluarga lain yang menempati dua
tenda yang disediakan oleh Kementerian Sosial.

 Warga lainnya yang mengungsi adalah Susilawati. Dia takut berada di rumah,
karena setiap malam kerap muncul suara gemeretak diikuti retakan baru
setelahnya.

 Susilawati khawatir akan tertimpa material rumah saat sedang terlelap.

 Susilawati tidak mengetahui apa yang terjadi dengan tanah di kampungnya.

 Kejadian ini baru pertama kali dia alami sejak dirinya tinggal di sana lebih
dari 40 tahun.

 Kepala Badan Penanggulangan Bencana Daerah (BPBD) Lebak Febby Rizky Pratama
mengatakan, total ada 22 keluarga yang mengungsi.

 Sebagian besar adalah lansia, perempuan dan balita.

 Sementara rumah yang terdampak pergerakan tanah ada 38 unit.

 

 Febby menduga, fenomena kali ini merupakan kelanjutan dari pergerakan tanah
dan gempa bumi yang terjadi sebelumnya.

 ""Kronologinya dimulai dari tanjakan (jalan raya) Tajur, merembet ke pemukiman.
Memang agak lama, hampir satu tahun, mungkin diperparah dengan gempa,"" kata
Febby.

 Febby mengatakan, pihaknya akan melakukan pemetaan udara untuk melihat
seberapa luas ukuran retakan yang terjadi.

 Selain itu, juga akan berkoordinasi dengan Badan Geologi untuk mengetahui
penyebab pergerakan tanah.

 ""Sementara kita ungsikan warga, karena rumahnya sudah tidak layak, khawatir
roboh, sambil menunggu laporan dari Badan Geologi,"" kata Febby.

 ",www.kompas.com
"Pakar UB Jelaskan Mitigasi Bencana Konsep ""School-Town Watching""

","\- 23/02/2022, 16:20 WIB

","\- Indonesia termasuk negara yang rentan terjadi bencana alam. Oleh karena itu
masyarakat harus mengetahui tentang

 ini tidak hanya harus dikuasai oleh orang dewasa. Namun anak-anak juga harus
paham mitigasi bencana agar tahu apa yang harus dilakukan saat bencana
terjadi.

 Pakar Vulkanologi

 Dalam webinar tersebut Prof. Sukir berharap mahasiswa yang saat ini sedang
mengikuti program MBKM Semeru nantinya mengeluarkan sebuah buku pedoman
tentang mitigasi bencana bagi sekolah ataupun masyarakat umum.

 ""Saat ini kenapa ketika bencana alam seperti Erupsi Gunung Semeru banyak
korban berjatuhan? Karena masyarakat belum paham tentang upaya mitigasi
terhadap bencana,"" kata Prof. Sukir seperti dikutip dari laman UB, Rabu
(23/2/2022).

 Prof. Sukir menambahkan, konsep mitigasi bencana di Jepang bisa dicontoh oleh
masyarakat Indonesia.

 Menurut dia, pelajaran untuk mengantisipasi terjadinya bencana alam di Jepang
sudah diajarkan di sekolah bahkan sejak mereka duduk di kelas Pendidikan Anak
Usia Dini (PAUD).

 ""Para mahasiswa nanti juga harus bisa seperti itu. Memberikan pemahaman di
sekolah tentang penangangan ketika terjadi bencana. Kalian harus bisa
memberikan pemahaman sesuai dengan bahasa yang mereka bisa pahami,"" urainya.

 Dia mengungkapkan, upaya mitigasi bencana di sekolah atau School Watching
adalah suatu metode atau proses untuk mengidentifikasi elemen-elemen sekolah
yang berisiko, menganalisis dampak resiko, serta menemukan solusi dari
permasalahan ketika terjadi bencana.

 Mitigasi dengan cara School Watching, bisa dilakukan dengan cara berjalan-
jalan menyusuri sekolah untuk mengidentifikasi elemen-elemen yang bisa
berdampak terhadap bencana, seperti tangga.

 ""Dengan upaya tersebut kita juga bisa tau tempat teraman di sekolah dimana?
Mahasiswa bisa identifikasi lalu dihasilkan dalam sebuah gambar berupa peta
bahaya sekolah dan peta evakuasi sekolah,"" katanya.

 Tidak hanya disekolah, mitigasi bencana juga dilakukan bagi masyarakat umum
atau Town Watching.

 Prof. Sukir menambahkan, Town Watching Penanggulangan Bencana merupakan
program bagi orang yang bermukim di suatu wilayah.

 Mulai dari warga, anak-anak, atau mahasiswa dengan cara berkeliling wilayah
melihat dan memahami tempat-tempat berbahaya ketika terjadi bencana maupun
fasilitas untuk keselamatan.

 ""Kemudian memikirkan sendiri langkah antisipasi terhadap bahaya jika terjadi
bencana,"" imbuhnya.

 Menurut dia, Town Watching bertujuan untuk meningkatkan kesadaran masyarakat
terhadap penanggulangan bencana, mengidentifikasi kerentanan lingkungan dan
sekitarnya.

 Selain itu juga mengidentifikasi kapasitas atau sumber daya masyarakat yang
dapat digunakan ketika terjadi bencana. Serta mengidentifikasi permasalahannya
utama di lingkungan masyarakat serta menemukan solusi dari permasalahan
tersebut.

 Konsep penerapan Town Watching bisa dilakukan dengan berkumpul bersama,
pembagian kelompok, berkeliling lingkungan, pengelompokan foto dan berdiskusi.

 ""Dengan adanya town watching masyarakat bisa sadar dan punya solusi jika
terjadi bencana,"" tandas Prof. Sukir.

 ",www.tribunnews.com
