title,date,description,source
"Jabar Hari Ini: Perkara Nurhayati Disetop-Persib Bekuk Persija

","Selasa, 01 Mar 2022 23:00 WIB

","Berikut rangkuman berita Jabar hari ini:

 Perkara dugaan korupsi APBDes dengan tersangka Nurhayati resmi dihentikan.
Kejaksaan menerbitkan surat ketetapan penghentian penuntutan (SKP2) atas
perkara tersebut.

 Resmi dihentikannya perkara ini setelah Nurhayati dilimpahkan tahap II oleh
penyidik Polres Cirebon Kota ke Jaksa penuntut umum (JPU) Kejaksaan Negeri
(Kejari) Kabupaten Cirebon.

 ""Kejari Cirebon telah melaksanakan gelar perkara P21 dengan memperhatikan
petunjuk dari Kajati Jabar dan hasil eksaminasi, maka Kajari Cirebon
mengusulkan Jaksa Agung untuk menghentikan proses penuntutan kasus N karena
tidak cukup bukti. Maka Kajari Cirebon mengeluarkan surat ketetapan
penghentian penuntutan,"" ucap Kepala Kejati Jabar Asep N Mulyana di kantornya,
Jalan LLRE Martadinata, Kota Bandung, Selasa (1/3/2022).

 Sementara itu, Elyasa Budianto, kuasa hukum Nurhayati menyebut kliennya sangat
senang mendengar kabar kasusnya dihentikan. Kliennya bahkan sampai melakukan
sujud syukur.

 ""Pasti dia senang, dia sujud syukur,"" ujar Elyasa Budianto, Selasa (1/3/2022).

 Elyasa mengatakan kliennya saat ini masih menunggu surat resmi terkait
pemberhentian perkaranya itu baik dari kepolisian melalui SP3 maupun dari
kejaksaan melalui SKP2. Pihaknya juga sudah mendengar langsung perihal
penghentian perkara itu dari Menko Polhukam Mahfud MD.

 ""Kami menunggu suratnya dari polisi atau kejaksaan,"" tutur dia.

 ""Sudah, Pak Mahfud bilang kepada Nurhayati dan lawyer nggak usah datang
mendekat Polhukam. Lalu kemudian dia sudah koordinasi dengan kepolisian dan
kejaksaan. Sudahlah biar tidak terlalu ramai diakhiri saja,"" katanya
menambahkan.

 Polda Jabar membongkar praktik arisan bodong bermodus slot. Ratusan orang jadi
korban hingga kerugiannya mencapai Rp 21 miliar.

 Penyidik mengamankan dua orang yang tak lain berstatus suami-istri. Mereka
adalah MAW (23) dan HTP (24).

 ""Ini kasus arisan lelang fiktif atau arisan bodong. Tersangkanya yang utama
satu orang dibantu satu orang lagi, jadi dua. Ini pasangan suami istri,"" ucap
Kabid Humas Polda Jabar Kombes Ibrahim Tompo di Mapolda Jabar, Jalan Soekarno-
Hatta, Kota Bandung, Selasa (1/3/2022).

 Suami-istri tersebut menjalankan bisnis arisan bodong dengan modus pembelian
slot kupon undian. Satu kupon dibanderol dengan harga Rp 1 juta.

 ""Nanti diberikan keuntungan Rp 1.350.000 ditambah lagi kalau korban bawa
orang, akan diberikan bonus Rp 250 ribu. Kelebihan ini jadi penawaran para
tersangka kepada korban,"" tuturnya.

 Pelaku sudah menjalankan bisnis arisan bodong selama empat tahun. Sejauh ini
korbannya berjumlah 150 orang.

 ""Kemudian dalam kejadian investasi bodong ini dari informasi pelapor
didapatkan sebanyak kurang lebih Rp 21 miliar kerugiannya. Walaupun dalam
pemeriksaan akan ada pengembangan dan setiap korban akan diinventarisir
kemudian seberapa banyak,"" kata Ibrahim.

 Jawa Barat (Jabar) kerap menjadi penyumbang tertinggi kasus harian COVID-19 di
Indonesia. Namun, dalam beberapa hari terakhir penambahan kasus di Jabar alami
penurunan.

 ""Setelah berhari-hari kita rangking satu terus, sekarang turun. Kemarin
(penambahan kasus) sekitar tiga ribuan,"" kata Gubernur Jabar Ridwan Kamil,
Selasa (1/3/2022).

 Gubernur Jabar Ridwan Kamil bersyukur penambahan kasus harian COVID-19 mulai
menurun. Namun, ia tetap meminta masyarakat untuk tetap patuh menerapkan
protokol kesehatan (prokes).

 Dikutip dari pikobarjabar.go.id, data terbaru pada Senin (28/2/2022) pukul
17.00 WIB, penambahan kasus harian COVID-19 di Jabar mencapai 3.745. Angka ini
jauh lebih menurun dibandingkan pertengahan Februari, yang menjadi puncak
lonjakan kasus Corona di Jabar.

 Pada bulan Februari, penambahan kasus tertinggi terjadi pada 16 Februari,
mencapai sebanyak 16.251 kasus. Kemudian, pada 15 Februari sebanyak 15.196
kasus. Setelah itu, kasus harian alami penurunan. Terkahir pada 28 Februari
kemarin, penambahan kasusnya sebanyak 3.745.

 Flyover Pasupati resmi berganti nama menjadi Jalan Layang Prof Mochtar
Kusumaatmadja. Peresmian ini dilakukan di halaman Kantor Inspektorat Jabar.

 ""Ini menjadi dasar persyaratan untuk mengajukan menjadi pahlawan nasional,""
kata Gubernur Jabar Ridwan Kamil.

 Ridwan Kamil alias RK mengatakan Prof Mochtar Kusumaatmadja layak menyandang
status pahlawan nasional. Sebab, Prof Mochtar Kusumaatmadja telah
memperjuangkan luas Indonesia. Sebelumnya hanya sekitar dua juta kilometer
persegi, kemudian bertambah menjadi lima jutaan kilometer persegi.

 ""Sebelum ada Deklarasi Juanda. Kemudian secara teknis dilanjutkan oleh Prof
Mochtar, dan diakui pada 1982 oleh dunia (luas wilayah Indonesia),"" kata
gubernur yang akrab disapa Kang Emil itu.

 RK menjelaskan dipilihnya Jalan Layang Pasupati untuk berubah nama menjadi
Prof Mochtar Kusumaatmadja tak lepas dari peristiwa sejarah tentang konsep
negara kepulauan. Prof Mochtar Kusumaatmadja merupakan tokoh nasional yang
pawai dalam diplomasi. Berkat kepiawaian diplomasinya, luas Indonesia
bertambah.

 Prof Mochtar Kusumaatmadja melanjutkan perjuangan yang dilakukan Ir H Juanda,
yakni peristiwa Deklarasi Juanda. Sekadar diketahui, Ir H Juanda telah
diresmikan menjadi nama jalan. Lokasinya bersilangan dengan Jalan Layang
Pasupati.

 ""Kenapa jalannya di sini (Jalan Layang Pasupati). Karena Jalan Dago ada Ir H
Juanda. Tokoh pembuka wawasan Nusantara. Kemudian, Prof Mochtar sebagai
penutup pintunya. Jadi jalan ini bersilangan dengan Ir H Juanda,"" kata Ridwan
Kamil dalam sambutannya.

 Mobil pikap mengalami kecelakaan di Jalan Raya Bandung-Garut atau tepatnya di
Kecamatan Cimanggung, Kabupaten Sumedang. Akibatnya, satu orang meninggal dan
3 orang lainnya mengalami luka berat.

 Kkecelakaan maut itu terjadi sekitar pukul 11.30 WIB. Mobil pikap SS bernomor
polisi Z 8548 DL datang dari arah Cileunyi tiba-tiba hilang kendali lalu
meluncur hingga berturut-turut menabrak pembatas jalan. Mobil itu juga
menabrak pohon hingga berakhir setelah menabrak mobil colt L300 yang datang
dari arah Garut.

 Salah satu saksi mata, Asep mengatakan, kondisi lalu lintas saat kejadian
cukup lengang. Namun, tiba-tiba pikap SS hilang kendali dari arah Cileunyi
hingga mengalami kecelakaan.

 ""Kondisi lalu lintas padahal cukup lengang sedang tidak terlalu padat
kendaraan namun entah mengapa mobil pikap SS tiba-tiba datang hilang kendali,""
ungkap Asep kepada detikJabar di lokasi, Selasa (1/3/2022).

 Akibat peristiwa itu, mobil pikap SS yang ditumpangi 3 orang, 1 orang di
antaranya dilaporkan meninggal dunia dan 2 lainnya mengalami luka berat.
Begitupun dengan 1 orang sopir yang berada di dalam mobil colt L300 mengalami
luka berat.

 ""Semua korban dibawa oleh petugas polisi, kondisi sopir pikap SS terjepit di
ruang kemudi bersama 2 rekannya yang lain, sementara sopir colt L300 terluka
akibat benturan dan pecahan kaca,"" ungkapnya.

 Persib Bandung berhasil mengalahkan Persija Jakarta dalam lanjutan BRI Liga 1.
Dua gol David da Silva menjadi penentu kemenangan pasukan Maung Bandung.

 Laga klasik kedua tim digelar di Stadion Kapten I Wayan Dipta, Gianyar, Bali
pada Selasa (1/3/2022). Jual beli serangan terjadi pada laga big match
tersebut.

 Pada menit ke 15 Persib Bandung berhasil membuka keunggulan melalui gol yang
dilesakan David da Silva. Persib berhasil unggul di babak pertama.

 Memasuki babak kedua, Persib tidak menurunkan intensitas serangan. Meski
begitu Persija Jakarta terus berupaya membalas ketertinggalannya.

 Namun, nampaknya dewi fortuna tengah berpihak ke skuad Pangeran Biru. Pada
menit ke-84 David da Silva kembali berhasil mencetak gol setelah memanfaatkan
bola muntah hasil tendangan bebas Marc Klok.

 Hingga peluit panjang dibunyikan Persib Bandung mampu mempertahankan
keunggulannya. Maung Bandung menang 2-0 atas musuh bebuyutannya Macan
Kemayoran.

 ",www.detik.com
"Diduga Panik Saat Truk 'Standing', Sopir Nekat Loncat Lalu Tewas Tergencet

","Rabu, 02 Mar 2022 13:12 WIB

","Informasi diperoleh, peristiwa itu bermula saat truk dengan nomor polisi A
8756 PD muatan kayu berusaha melintasi tanjakan dengan belokan curam tersebut.
Saat di tengah tanjakan tiba-tiba truk berhenti. Roda bagian depan kendaraan
terangkat, sopir yang belum diketahui identitasnya itu spontan meloncat
melalui pintu kanan sementara kondektur juga meloncat melalui pintu kiri.

 ""Saat sopir meloncat truk terbalik, dia langsung tergencet bagian depan mobil
sementara kondekturnya selamat dan langsung dibawa ke RSUD Palabuhanratu,""
kata Parlan, warga di sekitar lokasi kepada

 Parlan menduga sopir truk panik karena posisi kendaraan terangkat bagian
depannya. Posisi tanjakan curam membuat korban tanpa pikir panjang berniat
menyelamatkan diri. ""Truknya 'standing' jatuh menghantam aspal, disusul badan
truk terguling,"" ucapnya.

 Pantauan di lokasi kondisi mobil truk sudah berhasil dievakuasi oleh petugas
kepolisian. Muatan truk terlihat berceceran di sepanjang ruas jalan tersebut.

 ""Tadi badan truk dan muatan sempat menghalangi jalan, namun sudah kita
bersihkan sebagian kota geser ke pinggir,"" kata salah seorang petugas Lalu
Lintas Polres Sukabumi yang berada di lokasi.

 ",www.detik.com
"Pikap Tabrak Pembatas Jalan di Sumedang, 1 Tewas dan 3 Luka Berat

","Selasa, 01 Mar 2022 16:21 WIB

","Berdasarkan informasi, kecelakaan maut itu terjadi sekitar pukul 11.30 WIB.
Mobil pikap SS bernomor polisi Z 8548 DL datang dari arah Cileunyi tiba-tiba
hilang kendali lalu meluncur hingga berturut-turut menabrak pembatas jalan.
Mobil itu juga menabrak pohon hingga berakhir setelah menabrak mobil colt L300
yang datang dari arah Garut.

 Salah satu saksi mata, Asep mengatakan, kondisi lalu lintas saat kejadian
cukup lengang. Namun, tiba-tiba pikap SS hilang kendali dari arah Cileunyi
hingga mengalami kecelakaan.

 ""Kondisi lalu lintas padahal cukup lengang sedang tidak terlalu padat
kendaraan namun entah mengapa mobil pikap SS tiba-tiba datang hilang kendali,""
ungkap Asep kepada

 Asep mengatakan, mobil pikap itu secara berturut-turut menabrak pembatas
jalan, kemudian menabrak pohon bersamaan dengan datangnya mobil colt L 300
yang datang dari arah Garut.

 Saking kerasnya, kata Asep, mobil pikap SS itu sampai terguling sementara
pohon yang tertabrak sampai tumbang hingga tercerabut dengan akarnya.

 ""Mobil pikap SS itu terbang setelah menabrak pembatas jalan lalu nabrak pohon,
pohon itu sampai tumbang hingga tercerabut dengan akarnya saking kerasnya.
Sementara mobil colt L300 yang melakukan rem mendadak untuk menghidari
kecelakaaan, akhirnya turut terlibat kecelakaan itu,"" ucapnya.

 Akibat peristiwa itu, mobil pikap SS yang ditumpangi 3 orang, 1 orang di
antaranya dilaporkan meninggal dunia dan 2 lainnya mengalami luka berat.
Begitupun dengan 1 orang sopir yang berada di dalam mobil colt L300 mengalami
luka berat.

 ""Semua korban dibawa oleh petugas polisi, kondisi sopir pikap SS terjepit di
ruang kemudi bersama 2 rekannya yang lain, sementara sopir colt L300 terluka
akibat benturan dan pecahan kaca,"" ungkapnya.

 Arus lalu lintas sempat terganggu akibat peristiwa itu. Petugas polisi yang
datang di lokasi kejadian pun selain melakukan olah TKP langsung melakukan
pengaturan untuk mengurai arus lalu lintas.

 ""Kondisi arus lalu lintas sempat macet, karena mobil pikap SS itu terbang
sampai pindah jalur dari semula di jalur Cileunyi-Garut malah jadi
sebaliknya,"" ujarnya.

 Hingga berita ini diturunkan, kondisi arus lalu lintas di lokasi kejadian
sudah mulai kembali normal. Sementara untuk kedua mobil yang terlibat
kecelakaan, untuk mobil pikap SS dievakuasi oleh kendaraan derek lantaran
mengalami kerusakan parah. Sementara mobil colt L300 masih dapat dikemudikan
lantaran hanya mengalami pecah kaca dan penyok di bagian depannya.

 ",www.detik.com
"Kecelakaan Lalu Lintas Bikin Ngeri, Satu Orang Meninggal Tiap 24 Detik!

","Rabu, 02 Mar 2022 11:42 WIB

","Kecelakaan lalu lintas yang masih banyak terjadi di jalanan bikin masyarakat
khawatir. Angka kematian akibat kecelakaan lalu lintas pun masih tinggi.

 Menurut Organisasi Kesehatan Dunia (WHO), setiap 24 detik ada satu orang di
seluruh dunia meninggal dalam kecelakaan di jalan. Totalnya, sekitar1,3 juta
orang meninggal dunia setiap tahun akibat kecelakaan lalu lintas.

 Sementara di Indonesia,menurut data Kepolisian Negara Republik Indonesia,rata-
rata 3 orang meninggal setiap jam akibat kecelakaan jalan. Data ini juga
menyatakan bahwa besarnya jumlah kecelakaan tersebut disebabkan oleh beberapa
hal, yaitu: 61% kecelakaan disebabkan oleh faktor manusia yang terkait dengan
kemampuan serta karakter pengemudi, 9% disebabkan karena faktor kendaraan
(terkait dengan pemenuhan persyaratan teknik layak jalan) dan 30% disebabkan
oleh faktor prasarana dan lingkungan.

 Survei yang dilakukan 3M secara global menyebutkan, 33%responden global
memiliki anggota keluarga atau teman dekat yang meninggal atau terluka parah
dalam kecelakaan mobil, dan 40% dari insiden itu terjadi selama pandemi.
Selain itu, penelitian independen di 11 negara ini mencatat 3 6% responden
berusia 18-34 tahun - paling banyak dari kelompok usia lainnya - melaporkan
memiliki anggota keluarga dekat atau teman yang terluka parah atau yang
meninggal dalam tabrakan lalu lintas, dengan hampir setengah dari insiden itu
terjadi selama 18 bulan terakhir.

 Survei itu mengungkapkan, ada peningkatan kekhawatiran terhadap keselamatan
jalan sejak awal pandemi. Bahkan,4 dari 10 responden global mengatakan bahwa
kekhawatiran mereka akan keselamatan transportasi dan jalan sama seperti
kekhawatiran mereka terhadap COVID-19.

 Di seluruh dunia, orang-orang sangat mengkhawatirkan dengan perilaku pengemudi
lain, masalah visibilitas dan kondisi jalan. Paling banyak, pengendara
khawatir dengan pengemudi lain yang main HP sambil berkendara (86%), kelalaian
pengemudi lain (83%), cuaca buruk (77%), visibilitas malam hari (75%), dan
kesulitan melihat tanda dan marka jalan (72%).

 ",www.detik.com
"Truk Muatan Gas CO2 Kecelakaan di Tol Cikarang, Diduga Supir Mengantuk

","Selasa, 01 Mar 2022 12:09 WIB

","Sebuah truk bermuatan CO2 terguling di pintu

 Hal tersebut diungkapkan oleh Kasat Lantas Polres Metro Bekasi, Kompol
Argadija Putra. Peristiwa yang terjadi pada Senin (28/2) pukul 19.00 WIB itu
berawal dari sopir yang melaju dari barat ke timur oleng dan menabrak pembatas
jalan hingga terguling.

 ""Diduga kurang sopir konsentrasi, truk oleng ke kiri menabrak pembatas dan
terperosok ke parit. Pengakuan sopir, mengantuk"" ujar Argadija ketika
dihubungi

 Menurutnya, gas yang keluar hanya sisa-sisa yang ada dalam tangki. Tidak ada
korban jiwa dalam kejadian tersebut.

 ""Nihil korban, tangki kosong, (yang menyembur) sisa-sisa yang ada di tangki
bang,"" tuturnya.

 Hal serupa diungkapkan oleh Kepala Departemen Pemasaran dan Komunikasi
Jasamarga Transjawa Tollroad Divisi Regional, Tody Satria ketika dihubungi
secara terpisah. Menurutnya truk bisa tangani pada pukul 21.30 WIB.

 ""Petugas

 Kejadian ini viral di media sosial. Dalam video amatir, terlihat semburan gas
keluar dari truk tersebut.

 Sejumlah kendaraan terlihat mengurangi kecepatan saat melintasi lokasi
kejadian. Semburan gas di lokasi membuat jarak pandang kendaraan terbatas.

 ",www.detik.com
"Kesaksian Korban Pohon Tumbang Timpa Mobil di Sukabumi

","Senin, 28 Feb 2022 14:46 WIB

","Ia adalah salah satu korban selamat dari himpitan rangka mobil yang tertimpa
pohon karet oblong di Jalan Raya Alternatif Cibadak-Palabuhanratu, tepatnya di
Kampung/Desa Cipetir, Kecamatan Cikidang.

 Dede masih ditangani intensif pihak medis RSUD Sekarwangi, Cibadak. Ia
mengerutkan dahinya, mencoba mengingat kembali peristiwa tragis yang merenggut
nyawa M Arpan (7) keponakannya dan melukai Yoyoh (59) ibu mertuanya.

 Dede lebih dulu menceritakan kondisi jalanan yang basah karena hujan. Ia sudah
terbiasa melalui lintasan jalan tersebut. Tidak ada tanda-tanda pohon yang
akan ia lintasi akan tumbang dan menimpa mobilnya.

 ""Mobil jalan hujan deras, tujuan memang mau antar mamah (mertua) ke Leweung
Datar (Cibadak),"" lirih Dede saat ditemui detikJabar di ruang perawatan RSUD
Sekarwangi, Cibadak, Senin (28/2/2022).

 Pandangan mata Dedy lurus ke depan, ia mengaku tidak terlalu kencang saat
melajukan mobil yang dibawanya. Sampai tiba-tiba suara derak pohon diiringi
suara benturan menghentikan laju kendaraannya, suasana seketika berubah
mencekam.

 ""Sama sekali tidak ada tanda-tanda, tahu-tahu tumbang posisi (mobil) sudah di
bawah (pohon). Kalau misalkan ada terlihat dari jauh pohon akan tumbang
mungkin bisa mengerem atau menghindar. Setahu saya hujan tidak terlalu deras,
angin juga tidak terlalu kencang,"" cerita Dede.

 Dede mengaku tidak sanggup melihat kondisi orang tua dan keponakannya, dalam
sejumlah video terlihat tubuh Dede terhimpit kemudi. Batang-batang pohon
menimpa bagian depan, belakang, dan atas badan kendaraannya.

 ""Badan sakit semua, harapan saya sekarang bisa sembuh secepatnya,"" imbuh Dede.

 Sementara itu, Rahmi, dokter yang menangani Dede, mengatakan kondisinya saat
ini sudah stabil. Meskipun begitu, korban rencanana akan di rujuk ke rumah
sakit lain.

 ""Kondisi sadar, stabil, kemarin saat pertama datang sempat turun tekanan
darahnya, sekarang sudah agak baikan, kita restitusi cairan. Saat ini sedang
melengkapi pemeriksaan penunjang kita akan rujuk ke rumah sakit entah RS Hasan
Sadikin atau RS Syamsudin ya, karena kita sedang menunggu balasan,"" kata
Rahmi.

 ""Kita melengkapi pemeriksaan penunjang, agar memudahkan pihak dokter yang di
sana mudah mengetahui kondisi pasiennya. Ada luka di bagian perut, namun untuk
pastinya harus periksa USG atau scan, kita di sini ada (alatnya) namun tidak
memadai, operatornya tidak ada,"" sambung dia.

 ",www.detik.com
"Mobil Pikap Tertimpa Pohon di Cikidang, Dua Penumpang Terjebak

","Minggu, 27 Feb 2022 16:14 WIB

","Dari video yang beredar, terlihat Kapolres Sukabumi AKBP Dedy Darmawansyah dan
sejumlah anggotanya terlibat langsung dalam proses evakuasi. Terlihat juga
petugas pemadam kebakaran menggunakan perlatan seadanya berusaha membuka pintu
kendaraan yang terlihat ringsek.

 ""Kabar dari anggota kita korban terjebak di dalam kendaraan. Pohon tumbang di
area kehutanan. Kejadian sekitar pukul 15.00 WIB,"" kata Sekretaris BPBD
Kabupaten Sukabumi Anita Mulyani dalam keterangannya kepada awak media, Minggu
(27/2/2022).

 Dari rekaman video, terlihat kendaraan nahas itu berwarna putih dengan nomor
polisi F 8415 OM, nyaris seluruh badan mobil ringsek. Belum diketahui kondisi
dari sopir dan penumpang di dalam kendaraan tersebut.

 Situasi arus lalulintas di kedua arah sempat tersendat karena pohon berukuran
cukup besar itu melintang jalan.

 ",www.detik.com
"Sopir Bajaj di Jakpus Tabrak Trotoar Gegara Mabuk, Tergeletak di Jalan

","Minggu, 27 Feb 2022 13:28 WIB

","Seorang sopir bajaj

 ""Seorang ojol melaporkan bahwa ada korban tergeletak di pinggir jalan. Nabrak
trotoar. Setelah didatangi oleh tim polisi, yang bersangkutan rupanya laka
tunggal,"" kata Kasat Samapta Polres Metro Jakarta Pusat Kompol Rustian Effendi
saat dihubungi, Minggu (27/2/2022).

 Peristiwa itu terjadi pada Minggu (27/2) pukul 04.20 WIB. Rustian menyebut
sopir bajaj itu berkemudi dalam pengaruh alkohol.

 ""Dalam keadaan mabuk bawa bajaj. Kejadian pukul 04.20 WIB,"" tuturnya.

 Rustian mengatakan polisi kemudian mendata sopir bajaj itu. Hanya, sopir
tersebut tidak memiliki identitas apa pun.

 ""Didata. Identitas belum diketahui karena yang bersangkutan tidak ada
identitas,"" ucap Rustian.

 Sementara itu, lanjut Rustian, polisi langsung membawa pengemudi bajaj itu ke
rumah sakit terdekat.

 ""Dibawa ke rumah sakit oleh petugas,"" imbuhnya.

 ",www.detik.com
"Cerita Menegangkan Evakuasi Penumpang Pikap Tertimpa Pohon

","Minggu, 27 Feb 2022 20:07 WIB

","Saat kejadian, kendaraan yang ditumpangi Kapolres Sukabumi AKBP Dedy
Darmawansyah melaju ke arah Cibadak terhenti karena kepadatan kendaraan. Saat
itu, Dedy insiatif berjalan kaki mengecek penyebab kemacetan bersama
anggotanya, salah satunya Kasat Sabhara AKP Roni.

 ""Saya persiapan dalam perjalanan mau pengecekan jalur utara sekaligus
pengecekan vaksin, saat di perjalanan terjadi kemacetan. Ternyata akibat pohon
tumbang. Saya tiba di TKP alhamdulillah (anggota) Polsek Cikidang sudah di
sana,"" kata Dedy melalui sambungan telepon dengan detikJabar, Minggu
(27/2/2022).

 Dedy saat itu kaget, ia melihat ada tiga orang terjebak di dalam kendaraan
tersebut. Secara spontan ia bergerak mengerahkan anggotanya membantu proses
evakuasi. Dedy melihat mayoritas korban terjepit kerangka besi kendaraan yang
ringsek akibat pohon yang tumbang.

 ""Saya menghubungi teman-teman BPBD untuk membawa alat pemotong dan gerinda
untuk memotong kerangka mobil yang menjepit korban. Saya lihat ada tiga
penumpang, masin-masing laki-laki dewasa, satu anak kecil dan wanita yang
sudah sepuh,"" jelas Dedy.

 Sebelum kedatangan peralatan, Dedy dan petugas Damkar dibantu Basarnas dan
warga lebih dulu menggunakan balok dan linggis untuk mengurangi beban jepitan
rangka kendaraan. Dengan peralatan seadanya itu, Dedy berusaha mengeluarkan
korban dari jepitan.

 ""Saat itu saya dapat informasi satu orang meninggal dunia, yang anak kecil
itu, posisinya terjepit kerangka mobil. Kita berupaya sekuat tenaga
mengevakuasi korban. Awalnya pakai linggis dari masyarakat sekitar dan balok
untuk mengangkat kerangka mobil yang menjempit korban. Alhamdulillah tidak
lama Basarnas dan BPBD membawa alat, Basarnas dan anggota kami membawa alat
pemotong akhirnya bisa kami evakuasi,"" ujar Dedy.

 ""Satu korban anak meninggal, sementara dua korban lainnya sopir dan wanita
yang sudah sepuh selamat langsung dibawa menggunakan ambulans ke rumah sakit.
Kondisi mobil rusak, kalau dilihat arahnya tadi itu korban dalam perjalanan
dari Cibadak menuju Palabuhanratu,"" sambung Dedy.

 Sementara itu, dihubungi terpisah Sekretaris BPBD Kabupaten Sukabumi Anita
Mulyani mengaku saat ini pihaknya sedang berada di RSUD Sekarwangi, Cibadak.
Dua korban selamat dan masih mendapatkan penanganan medis.

 ""Korban meninggal dunia atas nama M Arpan usia 7 tahun, sementara korban
selamat Yoyoh (59) penumpang dia mertua dari sopir yang juga mengalami luka
atas nama Dede Pendi (38). Korban meninggal adalah keponakan sopir, mereka
warga Kecamatan Kalapanunggal. Saat ini seluruh korban luka masih mendapat
penanganan intensif petugas medis,"" beber Anita.

 ",www.detik.com
"Truk Tabrak Pembatas Jalan di Pasar Baru Tangerang, Kernet Tewas

","Rabu, 02 Mar 2022 14:19 WIB

","Seorang kernet tewas akibat

 ""Kendaraan truk Mitsubishi datang dari arah Sangiang menuju arah Tangerang
melintas di Jl Raya Moch berjalan di lajur kanan,"" kata Kasat Lantas Polres
Tangerang Kota Kompol Joko Sembodo kepada

 Dia mengatakan truk Mitsubishi tersebut ditumpangi empat orang, dengan posisi
dua orangnya berada di atas kepala truk. Tiba-tiba, saat melintasi New Town
Waterpark, truk tersebut oleng dan menabrak beton pembatas jalan.

 ""Penumpang empat orang dengan posisi dua orang berada di atas kepala/kabin
truk. Sesampainya di dekat New Town Waterpark, kendaraan tersebut oleng dan
menabrak beton pemisah jalan,"" jelasnya.

 Seketika dua orang yang berada di atas kepala truk terjatuh hingga berada di
depan truk. Salah satu korban dilaporkan mengalami luka berat hingga meninggal
dunia di tempat.

 ""Penumpang yang berada di atas kepala/kabin truk terjatuh ke depan dan satu
korban masuk ke kolong truk. Luka pada bagian wajah dan leher. Korban
meninggal dunia di lokasi kejadian.

 Hingga saat ini kepolisian tengah memeriksa sopir truk nahas tersebut. Namun
polisi menduga adanya unsur kelalaian yang merenggut nyawa seorang kernet truk
tersebut.

 ",www.detik.com
